S,call,delta,gamma,Vega,theta,rho
1,-2.0460288626686972e-06,-2.8596145489737427e-06,-9.331828298768749e-07,-3.499975362555155e-08,1.7707066298926254e-05,-2.0337305187639553e-07
2,-5.279300317399328e-06,-3.5402482337289383e-06,-5.16668234913726e-07,-7.751295291202502e-08,3.894949387499226e-05,-4.5040970935137666e-07
3,-9.04804025135223e-06,-3.971799492487153e-06,-3.65611436948626e-07,-1.234142913122331e-07,6.176989038401406e-05,-7.171366692281942e-07
4,-1.3187971779290398e-05,-4.294539882401544e-06,-2.860592375327701e-07,-1.7166408470428263e-07,8.567571294342685e-05,-9.975122868349459e-07
5,-1.7616372425933475e-05,-4.553024861156992e-06,-2.3648194994840398e-07,-2.2173861898233888e-07,0.00011041266710057514,-1.2884946780120457e-06
6,-2.228251933241569e-05,-4.773200403180612e-06,-2.024242623497349e-07,-2.733175423046954e-07,0.00013585624494144317,-1.5882155508274707e-06
7,-2.7151838104702878e-05,-4.960990487498911e-06,-1.7748364017074018e-07,-3.2618167522313396e-07,0.0001618841609970622,-1.8954086675968547e-06
8,-3.2199121772326083e-05,-5.132472477077134e-06,-1.583784453140346e-07,-3.8017135243367285e-07,0.00018842110489046549,-2.209146283805685e-06
9,-3.740511168698764e-05,-5.275736919270295e-06,-1.4324069348996184e-07,-4.351657227651736e-07,0.00021543367675729008,-2.5287165844747146e-06
10,-4.275457606870559e-05,-5.419310697895793e-06,-1.3092925852384914e-07,-4.910674095820727e-07,0.00024285838842882067,-2.8535607287749703e-06
11,-4.8235142915873913e-05,-5.5438624882182125e-06,-1.2070928471726895e-07,-5.477982691144321e-07,0.0002706548364334732,-3.18322824933851e-06
12,-5.3836548232307964e-05,-5.651841909521012e-06,-1.120727333636315e-07,-6.052932604466189e-07,0.00029879632229275026,-3.5173387602705675e-06
13,-5.955012894173556e-05,-5.75873577339861e-06,-1.0467428376707052e-07,-6.634975359252502e-07,0.00032726217908036516,-3.855568635692985e-06
14,-6.536846789323731e-05,-5.869615096699629e-06,-9.826324744665292e-08,-7.223655933808566e-07,0.0003560317974682717,-4.197642206022574e-06
15,-7.12851376013496e-05,-5.968739635571832e-06,-9.264781230069498e-08,-7.818543913424431e-07,0.0003850708136686129,-4.543336279432984e-06
16,-7.729451043368577e-05,-6.06239911786835e-06,-8.76844011624394e-08,-8.419337474511188e-07,0.00041445185906254997,-4.8924475913949845e-06
17,-8.339161490272245e-05,-6.14589623767689e-06,-8.3265155431363e-08,-9.025645394234545e-07,0.00044402176840917587,-5.244771956823936e-06
18,-8.95720247777404e-05,-6.230399632626768e-06,-7.930254489110083e-08,-9.637221220565794e-07,0.0004737898604261631,-5.600158723795093e-06
19,-9.583177210724519e-05,-6.294968615382784e-06,-7.572660489126026e-08,-1.0253814737939439e-06,0.0005038573291232806,-5.958486110654685e-06
20,-0.00010216727799401198,-6.384667371617941e-06,-7.248829493470069e-08,-1.0875209672416616e-06,0.0005341127795035691,-6.319571387323812e-06
