S,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.4174047456453874e-21,-1.2695032679791426e-21,1.6124459799883455e-21,7.51624911122366e-21,-2.2763518664773328e-21,-1.120273499188978e-21,-2.878525372232267e-21,-1.1405279989297679e-20
2,3.687311946024604e-21,5.517404472101422e-20,1.5880688292736966e-19,6.490588098241575e-20,-1.1025895469880015e-18,2.784696511728734e-19,7.160130103246785e-19,-4.646115001657349e-19
3,1.5447384742658239e-18,1.4271210887754614e-18,4.087460020247114e-18,5.037941044520598e-18,-5.32464883163129e-19,-1.5152438716977677e-17,-1.771937778564809e-18,1.698149289471384e-17
4,-4.034343668734588e-18,9.167482203924377e-19,-9.115038563048679e-18,1.6860057157922157e-18,1.0660254803935292e-17,4.4446166159778835e-17,1.6075929692045355e-17,-2.2656550131048553e-17
5,1.765481950729933e-17,-1.4523396435570577e-16,-8.352886837842066e-17,-8.956221938247171e-17,-1.2450779883303802e-16,-1.6901463935189718e-16,4.81687228256492e-16,3.3955252240905327e-16
6,1.198234006448022e-16,3.677929358355281e-16,6.691280229655488e-16,-4.4325598251057626e-17,-5.826354754850907e-16,1.358506931993437e-15,-1.8019247498837975e-15,2.70859535651968e-15
7,-2.4163087447200823e-16,6.449412827590341e-16,-1.1075359795936995e-15,2.4916912023093523e-15,1.424497809813047e-15,2.8005211790720323e-15,-2.2336011745875603e-15,2.268451399393359e-15
8,1.11952039877156e-15,-1.120943199427384e-15,-1.883533754187555e-15,7.530491796970403e-18,-3.7210122685529945e-15,-4.273231646791231e-17,8.027449827702297e-15,-5.976663466986766e-15
9,2.828548186420488e-16,-9.040592233650224e-16,-4.1335610795635533e-16,-2.2852013153478525e-15,1.0998386374555075e-17,4.048520596967605e-16,-7.452851996743723e-15,-3.797233448334405e-15
10,3.75929916712238e-16,-1.8037502305222556e-15,-5.688452265694943e-15,-8.652344766135906e-17,-5.260865683615822e-15,-7.813812572793674e-15,-2.8620316757435647e-16,1.4091185273748488e-14
11,9.641838442783017e-15,2.2073274517608412e-14,3.154470760467363e-14,-1.3767388041301937e-14,2.051503126904868e-14,-9.144131929847968e-15,3.5903599905053546e-14,-1.9281665423218067e-14
12,-4.101167705816719e-15,1.823366852102655e-14,3.5882693879447174e-14,5.483123387161801e-14,2.8540635637713474e-14,-3.0916987709669584e-14,1.6308019919366767e-14,-2.124133788611004e-15
13,-3.55273945418804e-15,4.241322444808982e-14,-1.7332177802564956e-14,-9.556502607138916e-14,-5.2673934022179723e-14,9.81623434643898e-14,-6.810136918796674e-14,1.1107770108506754e-13
14,-1.3293736254324809e-14,-5.0169980411685825e-14,-4.653627922170811e-14,-2.322583746389996e-13,-1.4027929603462467e-13,-1.166835154474638e-13,2.435590436062281e-13,-1.1560832690773448e-13
15,8.827723875381066e-15,2.8656009564922265e-14,1.9306610334326512e-14,-2.7960552125164836e-14,-5.0996342221480644e-14,-4.4925953296469435e-14,5.644953290179362e-14,4.8786785358088455e-14
16,-7.2838598395037e-14,-5.217601657738992e-14,7.862826330262372e-13,1.0687888136122456e-12,-2.2651400328858304e-13,-6.864506120507328e-13,-8.573723394148427e-14,-1.7505144074227592e-13
17,3.4089654679183103e-15,2.522430115190569e-13,-1.670864357351798e-13,5.874284037794382e-14,4.364829107543914e-14,-3.3904094666838416e-13,-1.698561878994187e-13,-4.2984347160910874e-13
18,-3.4461880574498223e-14,1.9211910229583323e-13,-3.6385797624905585e-14,-4.3047986407413624e-13,-2.841546179383588e-13,3.8957586620200374e-13,-5.444467612012519e-13,6.69097175253775e-14
19,6.854242701767012e-14,6.084502035482466e-14,4.932292966894113e-13,4.0378516582104304e-13,-3.446979156958657e-13,4.1725077398169034e-13,-4.755593540008826e-13,-3.005862714826194e-13
20,7.757842157341568e-14,4.4504100517618286e-13,-4.599632403382981e-13,5.064754879559471e-13,-5.422979900041591e-13,7.84616534344154e-13,-1.190816165391565e-12,2.247327856677953e-12
21,-4.2896104914217946e-14,3.9924740420245056e-13,1.5260693139835514e-12,8.616850251720707e-13,1.5614240640812593e-12,-1.0181240449373604e-12,-5.838180889381108e-13,-2.881744710903612e-12
22,6.037294705498269e-13,-9.164584208539258e-13,-1.2750309577381024e-12,-1.838511229472784e-12,1.4047499037844622e-13,1.2818144628433313e-13,-1.1038891699983866e-12,-7.038641705304386e-13
23,3.6059415962799394e-13,-8.42095737906892e-13,4.048242419753501e-13,2.0581337362468436e-12,2.3618572696665755e-12,1.4865465117195173e-12,-1.3431467429396947e-13,-1.3567414789346768e-12
24,8.411984721758111e-13,2.5893568599532357e-12,2.1639025128273643e-12,-2.144821398332014e-12,-9.579438561256491e-13,8.119705859802829e-13,4.4463395371732e-12,9.541821962313293e-13
25,2.7705950118120947e-13,-5.460954250473349e-13,-2.0663143281899227e-12,9.028291762270236e-13,-6.429056634557989e-13,2.229657569642772e-12,3.4248922386456727e-12,-2.445215899561579e-12
26,3.9532127705514e-13,-5.9655438223199286e-12,-1.0637083202983417e-12,-7.226397728548257e-12,-1.3139663126415466e-12,8.61929342025326e-12,5.0935718685296405e-12,-5.216775757284269e-12
27,4.196580868909819e-14,3.0587343341286436e-12,-7.475427092420907e-12,1.6429958037123365e-12,-8.614341496776038e-12,5.321521355488464e-13,-3.799393532606566e-12,-3.2196961114778324e-12
28,-3.6390239621322796e-13,-2.1615448775081854e-12,8.381099630292562e-12,-3.888808272598865e-12,-1.374243256566972e-11,1.056359806307765e-11,8.623839242538633e-12,-2.881794867998423e-15
29,-2.0674355956089354e-12,2.0401021539452325e-11,3.5919978931163633e-12,7.342707401391548e-12,1.589574534665172e-11,-1.9451665554829418e-11,-1.4575219472943368e-11,9.895746226843157e-12
30,-1.1966932885300098e-12,4.8062276609974495e-12,-9.530425385976994e-12,3.355340792483132e-12,-4.504599743767234e-12,2.799217695187547e-12,-3.6253506170637098e-12,-2.210637135168532e-13
31,-1.5548915271260809e-12,2.375557556452175e-12,-3.0568237358495316e-11,-2.4102618823221424e-11,-2.9507941842346165e-11,6.469435816291682e-13,-1.6781464472446466e-11,5.357748733671677e-12
32,1.0985530746725528e-12,5.1530861077809035e-12,-7.340848069784285e-12,-7.32618189147585e-12,-1.875592752239283e-11,5.688613642149652e-13,1.3760058214520665e-11,-5.119968235858108e-11
33,-9.112081164798797e-12,-6.753238375202734e-13,-1.8610816094096293e-11,-2.3912414077224815e-11,-2.8826154175968146e-12,6.642309891283552e-12,-1.7832103764933482e-11,5.712003571091555e-12
34,1.1119674672473023e-12,6.167630371272077e-14,-6.763595481776562e-12,-3.099035144911152e-11,-3.5365511811834076e-11,-4.762988562718265e-11,-2.7974491570796714e-11,-6.91891871957533e-12
35,-3.863691679793137e-12,7.430410235818841e-12,-4.554353963898303e-12,1.3404935020139303e-11,-8.90050397717529e-12,1.5722606659288953e-11,3.536409242541192e-11,7.128104747454194e-11
36,1.274896064469963e-11,-8.364204389446986e-12,3.075838084968369e-11,1.342608121239068e-11,3.935147593557628e-11,-4.5382814366705074e-12,-3.7421545525130744e-11,8.969134901646384e-12
37,-1.1528816557438022e-12,-1.3335404287679087e-11,1.5963561427223438e-11,-2.210482796928036e-11,-6.38688916821585e-11,-2.444008281084871e-11,-1.5643785955238477e-11,-2.6434109477459293e-11
38,8.969313242829797e-12,-4.7040520802628085e-12,-3.4249286526889435e-11,7.770825356061417e-11,2.935628199608002e-11,7.956087259836572e-11,1.463246116545083e-11,-4.394386502871589e-12
39,-2.1553315109600045e-11,-4.9716913369546104e-11,-1.3570765372810735e-11,3.482034404500181e-11,-1.2029319859947651e-11,9.216663681535343e-12,-1.527542683805277e-11,-1.4744382054672556e-10
40,1.9208327085464043e-11,4.4708641758696104e-11,7.176995420253813e-11,1.2994593227056613e-11,4.305839419393073e-11,-3.271011609203245e-11,-7.20772483063944e-11,7.337155299737519e-11
41,-1.2149592264000955e-11,4.514321962163469e-11,6.225448862974679e-11,-3.823520049268592e-11,-3.32300760089696e-11,1.9661552213829785e-10,1.0427314207763701e-10,1.7061907984002825e-10
42,-1.6998780192620754e-11,-4.7913589742997566e-11,-1.2744694120328808e-10,9.536653493181367e-11,1.410179214340415e-10,8.608697143483577e-11,4.888031587937881e-10,7.407967142975583e-10
43,1.0385069775724633e-11,9.294419452772507e-11,1.889940399173605e-10,1.812329005284558e-10,3.807492817439615e-10,6.220928067279897e-10,1.398190492811893e-09,1.8350657885751673e-09
44,2.0818132912224544e-11,1.8713067898969265e-10,1.9019378946327339e-10,5.88676392776406e-10,1.080206207702868e-09,1.844816273103455e-09,2.856515754705957e-09,4.464265269576588e-09
45,-2.0493798345042957e-11,4.254012935101446e-11,1.2886399125767735e-10,1.119288971701623e-09,2.3401716665310646e-09,4.054713010896374e-09,6.608010781460962e-09,1.0685838444676457e-08
46,-3.3123573029066706e-12,-1.971931468836876e-11,7.572435722663443e-10,2.435659928198599e-09,5.577742604711263e-09,9.995699243028866e-09,1.554050372254342e-08,2.478031349313857e-08
47,-3.221837617451277e-12,1.859422400885248e-11,1.925423803705344e-09,6.208624944740301e-09,1.3066328093675244e-08,2.2246479447823477e-08,3.521860093415179e-08,5.4974189914469234e-08
48,2.3419963578808605e-11,5.161438820323209e-10,4.252671393550727e-09,1.4199809385717473e-08,2.919665030502164e-08,4.9076029510985604e-08,7.56023895900701e-08,1.1775743067956004e-07
49,3.9642063033262096e-11,8.125734921544997e-10,9.477824622566567e-09,3.064344875338099e-08,6.219302026651013e-08,1.0349792085662053e-07,1.5771057587369344e-07,2.4323174443716854e-07
50,-6.7999983029141e-11,1.9753249217236775e-09,2.0182682513785517e-08,6.357227246953738e-08,1.2768045606735765e-07,2.106432899920822e-07,3.1817720637533924e-07,4.84969020999893e-07
51,5.484020386333888e-11,4.18196436702097e-09,4.257948334365866e-08,1.2971373351095098e-07,2.565282770607534e-07,4.1626027059328964e-07,6.22795284031577e-07,9.408543504865979e-07
52,-3.2765159589970633e-11,8.607120661313143e-09,8.549751649191201e-08,2.560600213656435e-07,4.981697541971435e-07,7.993835111471596e-07,1.1844909263799728e-06,1.7705206341629026e-06
53,9.183584082604494e-11,1.8245185636808685e-08,1.6817610468838375e-07,4.909850460379871e-07,9.400137232260073e-07,1.4922659275943629e-06,2.1896260990139312e-06,3.240822086874543e-06
54,8.395774068346465e-11,3.6782230041355886e-08,3.2096308450396883e-07,9.158029487309021e-07,1.726217867582011e-06,2.711991592871366e-06,3.9427108564191356e-06,5.778351616501009e-06
55,2.0636925335048985e-10,7.227571401184313e-08,5.979923435090904e-07,1.6640177818695806e-06,3.091008640043096e-06,4.803524860318674e-06,6.920869381602836e-06,1.0048030827790756e-05
56,2.2632602477397616e-10,1.3598354153144325e-07,1.0850391892681575e-06,2.949757214000732e-06,5.399775322923383e-06,8.30365854540189e-06,1.1857828019728837e-05,1.7058881366413363e-05
57,2.349626537387941e-10,2.5258489399898734e-07,1.922643346918449e-06,5.1065738517917705e-06,9.218596684081558e-06,1.4025304355402834e-05,1.985784888575929e-05,2.830957988647284e-05
58,8.322771928394542e-10,4.5740411250069107e-07,3.3298296642247406e-06,8.643962925807252e-06,1.5387511042100083e-05,2.3177526860111188e-05,3.2532190916839676e-05,4.5968226648112134e-05
59,1.3047057970048117e-09,8.090553886191184e-07,5.64015353247526e-06,1.4322748106347476e-05,2.514494248397319e-05,3.7498796385745936e-05,5.219377041025888e-05,7.311239152074309e-05
60,3.1036558977589365e-09,1.4001567697012043e-06,9.354745371891425e-06,2.324692189778748e-05,4.0264242406797685e-05,5.946016248814523e-05,8.208218718434857e-05,0.00011399979267870397
61,5.8655766838203705e-09,2.372910793909961e-06,1.520903256037754e-05,3.699357985741114e-05,6.323248131698267e-05,9.248377617118025e-05,0.00012663987968095786,0.00017441800770606058
62,1.0351718854006485e-08,3.943330376316757e-06,2.4251366092706804e-05,5.777600416861407e-05,9.74761449942102e-05,0.0001412228867918655,0.000191855583611851,0.0002620755066955194
63,1.8645104963665413e-08,6.427631084988342e-06,3.7967541708251035e-05,8.861499045404592e-05,0.00014760461190983787,0.00021188312064081283,0.0002856140400141899,0.00038701673701728445
64,3.364669704297196e-08,1.0287900055244627e-05,5.8402246797331636e-05,0.00013359136117208764,0.0002197438086527781,0.0003125820403297036,0.0004181453794327439,0.0005621315370650526
65,5.965622408742148e-08,1.6177078055487452e-05,8.833009871494005e-05,0.00019808735001684147,0.0003218486024567091,0.0004537493319446695,0.0006024454481286245,0.0008036281492693198
66,1.0314408475430587e-07,2.5018258203502765e-05,0.00013144573320425512,0.0002891017937198259,0.00046406799843884405,0.000648543328415907,0.0008547593405641707,0.0011315268817410629
67,1.7411598146451965e-07,3.806629897363731e-05,0.00019258686442466533,0.0004155641976366642,0.0006591793192019246,0.0009133180973661115,0.001195038013858396,0.0015701856915378842
68,2.9107129973629845e-07,5.701935234733724e-05,0.0002779880004574048,0.0005886831929043101,0.0009229539008059895,0.0012680082461455355,0.0016473810163231128,0.0021486666612613448
69,4.7572474693553194e-07,8.414436817672302e-05,0.00039554418768128485,0.0008223290754935664,0.0012745476766010122,0.0017365609818187355,0.002240420956395317,0.002901136449129371
70,7.66934769492767e-07,0.0001224001504535402,0.0005551206196108271,0.0011333529167240064,0.001736910485231058,0.0023472838256433093,0.0030076522869459943,0.0038670955326836065
71,1.2163253573893693e-06,0.00017560172066444224,0.0007688331091562639,0.0015419410540062906,0.002337052469950085,0.003133097947749519,0.00398760573172563,0.005091493025799476
72,1.9031329805938068e-06,0.00024859646676270164,0.0010513570916637072,0.002071951768142788,0.003106358833354639,0.004131754834102441,0.005223957898203846,0.0066246518687362865
73,2.9323320522098165e-06,0.0003474547635284181,0.001420201716645364,0.0027510953584664044,0.004080667227734924,0.005385827894777151,0.006765441852574217,0.008522006537947657
74,4.458807438258118e-06,0.0004796716517908861,0.0018960033629916717,0.0036111297112284557,0.0053003141806118315,0.006942575160595599,0.00866546955718972,0.010843613160171905
