S,p07,p08,p09
1,-2.7530820217311758e-25,-3.235891056946498e-25,-4.990955258557404e-25
2,1.15754110567106e-22,-3.4616962922820183e-23,1.5261026937312215e-22
3,-8.49788195745465e-22,5.44215959717573e-22,1.6087314254991078e-21
4,5.549296360475438e-21,1.145615377206691e-20,-4.143346423806297e-22
5,4.4737733602890086e-20,9.530598653968172e-21,7.984911678227967e-21
6,1.746470276222637e-19,8.031964429312801e-20,8.128121156152237e-20
7,1.1969314950197444e-19,5.950472772552685e-19,1.2262190103614705e-19
8,1.4769675490143375e-19,1.2463429535304536e-18,2.5074169230575595e-19
9,-3.5596159535103663e-19,4.684537750964922e-19,9.075413427659459e-19
10,-1.4283093428660754e-19,-2.8825694966234537e-18,-2.530511765975568e-18
11,-2.1385967199816254e-18,4.659102470138989e-19,1.984372437112884e-18
12,-1.0029144922897907e-17,-1.0108831049296291e-17,5.7072463871474806e-18
13,-1.3544245628491774e-17,-5.074385822390016e-18,-1.4907789217827565e-17
14,-2.1509118963085282e-17,-4.110937691558429e-18,-5.4081043171366106e-17
15,1.0130478238325262e-16,-1.0559377699158958e-17,-2.60158568363375e-17
16,-4.2974416496446586e-17,-4.369103897515379e-17,-5.733775554362468e-17
17,-1.1570888374203212e-16,-1.0189357876583478e-16,-2.437422168563292e-16
18,-2.8891296765016604e-16,-3.1891210124284765e-16,-3.5581657952770523e-16
19,-3.6388070020265963e-16,-3.3025383992896065e-16,-1.6423867667142148e-16
20,-4.840740897569994e-16,-6.846003330257491e-16,-2.8603578069767073e-16
21,-6.081595488767903e-16,-8.685881846659012e-16,-3.2427141870928875e-16
22,-1.0300561853241632e-15,-1.011111462469554e-15,-1.08764193669115e-15
23,-1.4000423525506444e-15,-1.4143696610556975e-15,-9.023807297945587e-16
24,-1.3715283906570349e-15,-4.0161525109349253e-16,-8.527902105729417e-16
25,-1.7772378146756666e-15,-1.5471655538835714e-15,-1.2472891781497127e-15
26,-1.9392630147721373e-15,-2.7472385914830856e-15,-3.268924211152563e-15
27,-4.079045572933951e-15,-2.9108180675419916e-15,-1.340086871821236e-15
28,-3.5372043568180494e-15,-3.522371460164771e-15,-2.0138982191840005e-15
29,-1.6413776448519974e-15,-1.596448745578309e-15,-7.812595959213703e-16
30,5.512809413248243e-15,5.172378336177124e-15,8.724277644769673e-15
31,5.815422650401014e-14,6.247103309417912e-14,6.707559432197997e-14
32,3.1741454426915757e-13,3.4651131209734046e-13,3.811425312288631e-13
33,1.5743853594744157e-12,1.7288359130334721e-12,1.90379114372009e-12
34,7.133544957747186e-12,7.840847091162255e-12,8.558439218401027e-12
35,2.974393407919163e-11,3.2583598217744564e-11,3.5495151681250526e-11
