S,p07,p08,p09
1,-5.635745148812991e-15,-3.701636657583948e-15,-1.8760835001905904e-15
2,6.707109271261171e-15,2.0126608183661e-16,-5.878423104137892e-15
3,1.229142503019822e-13,1.313152474999162e-13,1.3863543180296854e-13
4,2.2058294507749748e-14,4.3982778698659726e-14,6.434650505325656e-14
5,7.533466059591658e-14,4.2734143433048637e-14,1.1961759756613034e-14
6,-4.848694719899229e-13,-5.074216419597781e-13,-5.261884652164591e-13
7,-6.606044752769301e-13,-6.878506648123752e-13,-7.103281646717047e-13
8,-2.5576972246859824e-13,-3.2976370119933976e-13,-3.9779179159531854e-13
9,1.1069409896832666e-12,1.0662258829325682e-12,1.023304666139834e-12
10,2.1481520263344787e-14,1.38899939665027e-13,2.4823145554954683e-13
11,-1.242675654890574e-12,-1.3373949245363871e-12,-1.4202973556329136e-12
12,1.9377412914216323e-12,1.987289741595486e-12,2.024722161324098e-12
13,-2.3503220588414836e-12,-2.3797858211934117e-12,-2.3960324211194967e-12
14,2.647086249661615e-12,2.7010145062862796e-12,2.7392278603129217e-12
15,-2.6247700804260693e-12,-2.7565119732530885e-12,-2.867453922082397e-12
16,1.7165282884874442e-12,1.963339785067689e-12,2.184951337255324e-12
17,5.633176341745836e-13,2.421186219486432e-13,-6.002909528132579e-14
18,-3.5780964624882844e-12,-3.3507833808720363e-12,-3.12295789174829e-12
19,4.784937472328018e-12,4.877960211419026e-12,4.943387582824616e-12
20,-1.4833273055299071e-12,-1.905536174508774e-12,-2.2923332133313876e-12
21,-4.560228636670314e-12,-4.2260762626859225e-12,-3.895314993473693e-12
22,5.7813840026102355e-12,6.024788927282554e-12,6.2241542800000705e-12
23,1.7442233676426e-12,1.1735893896737338e-12,6.325268930763539e-13
24,-7.84055734430756e-12,-7.853348257781672e-12,-7.831664512139436e-12
25,4.827495069270937e-13,1.169093388125771e-12,1.8077094256920285e-12
26,9.150631470401006e-12,9.044525935396251e-12,8.905332349038432e-12
27,-9.36854925893415e-13,-1.7337058356196493e-12,-2.472529238622141e-12
28,-1.0658525739283433e-11,-1.060285943705899e-11,-1.0505410926078329e-11
29,-1.06096156086525e-12,-1.3588119480684352e-13,7.325431551180923e-13
30,1.1818487517633019e-11,1.2042282509970789e-11,1.2194482290670945e-11
31,5.9831085420455585e-12,5.0255200648907566e-12,4.10336232814143e-12
32,-1.0348081839437982e-11,-1.1070658503657693e-11,-1.1699522457274583e-11
33,-1.2674307626029938e-11,-1.2014350962409375e-11,-1.1343870122214486e-11
34,3.3038508880794727e-12,4.549527300795437e-12,5.6976861874324284e-12
35,1.67586124494904e-11,1.696437779291225e-11,1.708262543861263e-11
36,1.0762429520727303e-11,9.654622979814111e-12,8.590273747158933e-12
37,-5.09788865091431e-12,-5.875076822059087e-12,-6.5121660259906185e-12
38,-2.042939655942467e-12,-2.132729170487709e-13,1.7255208372013591e-12
39,5.0308611728892135e-11,5.7084864663773695e-11,6.389454037325752e-11
40,1.9575034349187659e-10,2.1298477751344487e-10,2.303561772525309e-10
41,5.643301824029782e-10,6.099877656893417e-10,6.563251108153733e-10
42,1.5387362293779324e-09,1.6632518320066962e-09,1.7897260459635412e-09
43,4.096544309247322e-09,4.425721184868436e-09,4.7594679452617515e-09
44,1.053222210548591e-08,1.1360684459893533e-08,1.2198913480576234e-08
45,2.5975093691992327e-08,2.796463110458528e-08,2.997411710555173e-08
46,6.146369795739267e-08,6.604606233319123e-08,7.0667255731478e-08
47,1.3989434188776829e-07,1.5005302164564374e-07,1.6028285140217923e-07
48,3.0705135432332796e-07,3.2877831961061737e-07,3.5062638555150646e-07
49,6.51294822684475e-07,6.962069407170674e-07,7.413065244299965e-07
50,1.3374901541764962e-06,1.4273687560519674e-06,1.5174998125172945e-06
51,2.6635714137990614e-06,2.8379835604894934e-06,3.0126541026043306e-06
52,5.151881149906422e-06,5.480576496357952e-06,5.809335104127585e-06
53,9.692219585104878e-06,1.0294692498362796e-05,1.0896527141114348e-05
54,1.7759380594621445e-05,1.88348529559146e-05,1.990787793364576e-05
55,3.173473883127123e-05,3.360684763828347e-05,3.547248341868354e-05
56,5.536890373837465e-05,5.8550538745940987e-05,6.171751731509604e-05
57,9.443009812332136e-05,9.97150689089828e-05,0.0001049697909341222
58,0.00015759007558458974,0.0001661795047932651,0.00017471044455364133
59,0.0002576052044464014,0.00027127762211624746,0.00028484250296885525
60,0.0004128538244393025,0.0004341887311645426,0.00045533393426353235
61,0.0006492910836251435,0.0006819560938389238,0.0007142980576212071
62,0.0010028781923469956,0.0010519895977628589,0.0011005676555590304
63,0.0015225335641344572,0.0015950991196004597,0.0016668081631071316
64,0.0022736381134038273,0.002379088925648615,0.0024831983617202053
65,0.0033421059077332273,0.003492921434560295,0.0036416840628230055
66,0.00483900476746471,0.005051431113309276,0.005260781797914981
67,0.006905680127242699,0.0072005371292932505,0.007490876554262683
68,0.009719300894346125,0.010122868096125068,0.010519921642558846
69,0.013498709983726894,0.01404367573226469,0.014579411838285915
70,0.018510426848108774,0.019236878739128715,0.019950465304560926
71,0.025074617016220015,0.02603104611037167,0.026969817940219465
72,0.03357081678089337,0.034815102810106975,0.036035508127388524
