S,p07,p08,p09
1,9.207313001484775e-21,6.14683468111446e-21,1.2461178961853569e-20
2,9.179894958473015e-19,-3.287961917894932e-19,-5.434746771419736e-19
3,-2.3973561844826737e-17,5.571510514991182e-18,2.7706895332551266e-17
4,-3.1896736454229445e-17,5.3321313556593845e-17,3.1617176819216434e-17
5,-8.996452064505265e-17,-3.0723058493288653e-16,-3.714276471766508e-16
6,1.621311305845859e-16,-3.3625334490565158e-16,6.593069208195571e-16
7,-5.497872633102296e-16,-1.4682605679844661e-15,7.312568235978789e-16
8,2.2338110418584034e-15,3.243550417661624e-16,1.2771171390063373e-15
9,-6.7745610471493564e-15,5.5601959574041805e-15,8.538322156845351e-15
10,1.2522070407876802e-14,-1.912902086509002e-14,-2.1849403409448966e-14
11,-4.932657300903205e-14,6.884039949740823e-14,-1.445957690431681e-14
12,-5.2702349587729595e-14,-7.846626486916573e-14,3.472987192375851e-14
13,-1.7343174124364607e-13,7.49634245375996e-14,-1.153677124800673e-13
14,1.5808437044380308e-13,1.2824898931422532e-13,-5.034181928735055e-14
15,8.580691246269583e-14,-1.1950311495409995e-13,-4.636005871185887e-14
16,-9.408943522588848e-14,2.416648469615774e-13,-1.048433252031565e-12
17,-5.744988780215358e-13,5.695708486016338e-13,3.183916382756484e-14
18,2.4850247829747344e-13,4.749021747135557e-13,-2.3228665967070975e-13
19,1.473377870305399e-12,3.890954451162326e-13,7.127359123235503e-13
20,7.10415402655569e-13,-2.6718978678154585e-12,7.222813295657688e-13
21,-5.565781413148803e-13,-4.2735937571339673e-13,-2.4939177040549317e-13
22,7.845343579509682e-13,1.7797648283894255e-12,-3.7495978731934025e-12
23,-1.0336498471453996e-12,2.6470004094290097e-12,-8.953285829931856e-13
24,8.241136318959663e-12,-2.0414150664008452e-12,-2.7198459402792792e-12
25,3.3384670420329594e-12,-3.1141656751760846e-12,7.865534099855526e-12
26,-2.402949651639639e-12,-2.8721964182176475e-12,2.099103404504676e-13
27,1.5505310322900488e-12,1.2648757107344938e-11,7.726432551073822e-12
28,1.242739828663807e-11,-7.963066097413182e-12,-1.286825384276168e-11
29,1.6315870029342266e-11,-2.548055556360362e-11,-1.9291880794892672e-11
30,2.971703364497102e-11,2.091289314563532e-11,2.0909051028098605e-11
31,1.658316465915094e-11,-5.8824645670018996e-12,-3.793582759991549e-12
32,2.883197254467808e-11,-1.831751854660851e-11,-2.2955263118292165e-11
33,4.2809278148276555e-13,1.7218924946724385e-12,-2.6089076078255085e-12
34,-8.828098593338865e-11,-5.136425689876782e-12,1.5435394017623775e-11
35,2.7138300154479667e-11,5.520515308193012e-13,2.6897990845317383e-11
36,-5.048538652249898e-12,-8.070437197440753e-11,6.635740788578121e-11
37,-4.68410883886376e-11,-6.775781418171196e-11,-1.1424007569998157e-10
38,2.798099819115292e-11,2.2984461926302303e-10,6.882641460501166e-11
39,6.219416801838414e-11,2.2493338220221218e-11,1.1020041590928054e-10
40,6.926222375802317e-12,3.757715181977099e-11,3.3393564250384615e-10
41,5.269541426065933e-10,5.087179327066114e-10,8.398988867023061e-10
42,1.4868806016344331e-09,1.8010916713600245e-09,1.5647227226919502e-09
43,3.855776528526708e-09,4.270088839400889e-09,4.663390059612702e-09
44,9.662471353059226e-09,9.996505495971921e-09,1.10316670250713e-08
45,2.316561276599035e-08,2.481139678988872e-08,2.624920395042574e-08
