S,p07,p08,p09
1,3.4134382567148485e-25,-3.393092928119528e-24,-2.7972697978518314e-24
2,7.315899834472301e-22,-3.5437298194901848e-22,2.001364463710314e-22
3,2.4481378402262437e-21,4.617290531010776e-21,-2.499379554880741e-21
4,-1.9191577827676702e-20,7.10370196125205e-21,-5.615914042135124e-22
5,9.29968873701848e-20,1.0174255328391419e-19,-8.941448045424004e-20
6,-3.0427379361853635e-19,5.426445834545049e-19,-9.65112048680655e-19
7,-2.2226694713529903e-19,2.687645843650932e-19,-1.5263827671438934e-18
8,-1.5062279278458972e-19,2.4832129520302714e-18,5.994146911915384e-19
9,-5.06104151102014e-18,-1.483041261212401e-18,1.2815530115696226e-18
10,-1.0727539648447665e-18,1.6065114802703367e-18,1.2997707724596983e-17
11,-4.459760608545465e-18,-1.013708758858214e-17,3.702872603418779e-18
12,5.622823033974685e-18,-1.1370615325608394e-17,-1.518130429063204e-17
13,-1.4294458326878552e-17,-4.099601018963111e-17,-1.1784432072081179e-17
14,-2.1804331076215478e-17,3.2437507943907533e-17,1.691826480470501e-17
15,-8.116084879863471e-17,3.3154307631208216e-17,1.9402762508925268e-17
16,4.8939738724365895e-17,-2.268629323630663e-16,4.6388902838581616e-17
17,-3.2879160192884796e-16,-8.270082098026134e-17,-6.78402866879511e-17
18,-1.786510990616904e-17,3.546326820670625e-16,2.0969324294741496e-16
19,-5.720936357267386e-17,5.341706144311264e-17,4.078536838309611e-17
20,-3.0777531804345737e-16,2.413817436618634e-16,1.864162865471166e-16
21,-5.598042630148847e-16,-2.9119424007970165e-16,-5.045842839535703e-16
22,-2.000792195772189e-16,-1.782936505240895e-15,2.0801803650717064e-15
23,-5.614670805693931e-16,1.1868940310416118e-15,-2.320717271007992e-15
24,-2.935445598002565e-15,3.4040612028222537e-15,-5.787119349643928e-16
25,-4.878233206470567e-16,4.545487083053302e-16,-7.093726408241505e-15
26,-4.3656294302015546e-16,-1.585042321198925e-15,8.13102528638494e-15
27,1.181966098710406e-16,7.848600754613197e-15,3.345920930089445e-15
28,5.1934882288178464e-15,4.828042648860491e-16,2.850656597403655e-15
29,-2.3221811593484265e-15,-1.961304048686301e-15,-7.938417288638667e-15
30,7.235347514436543e-15,1.0206907615350482e-14,-6.0323092594410965e-15
31,3.858187749931407e-15,1.4184137391991344e-14,1.4836680322659557e-14
32,1.7121211091437527e-14,1.609625569802228e-14,1.266751582151178e-14
33,4.8215380638636413e-14,5.040356564426856e-14,4.4891198003230945e-14
34,1.5846041047259763e-13,1.7004647557974602e-13,2.101726063537322e-13
35,6.524212639500966e-13,7.088575448934414e-13,7.639194055586383e-13
