S,p07,p08,p09
1,-1.2740512879483874e-23,6.361891315151146e-24,1.8280936509988667e-24
2,-2.5732450025394076e-22,-1.0252026093211601e-21,2.699549433356779e-21
3,-8.294681281066796e-21,-1.5509291181600775e-20,2.128196131183755e-21
4,-5.2768925832246367e-20,2.529292659149013e-20,-4.2258090954092583e-20
5,-3.2245086045386585e-19,7.34653496179966e-20,-2.65788432054381e-20
6,-6.646259567061885e-20,-2.0933939489624307e-18,2.9433596598678575e-19
7,3.005082518120081e-18,-6.451647481426439e-19,-6.749474167947732e-18
8,-3.5594648981434266e-18,1.3659878642929795e-18,-3.87917131165852e-18
9,1.397230765815835e-17,1.6881813157346556e-18,1.3100615798339773e-17
10,6.348068823993323e-18,1.2051589735664085e-18,9.492679055604241e-18
11,1.6160681694002106e-17,-5.2135159341900744e-17,-2.6216145754494024e-17
12,-2.018464424950104e-17,7.570544588051636e-17,-2.020145092008001e-17
13,8.894821487402229e-17,-3.543821306131111e-17,5.957994496449441e-17
14,-3.586129427259016e-17,-1.850308156618717e-17,-2.842516346544704e-17
15,8.278982093202298e-17,2.9086376667751056e-16,-2.7894612814454446e-16
16,-4.078633596987517e-17,2.5897863850723946e-16,-3.6646252763079376e-16
17,4.226243264434862e-16,-5.840973851415357e-16,1.8599749024630224e-16
18,-5.21081046863633e-16,-5.253053488576387e-16,-1.422933120345787e-15
19,-1.0378031387893106e-15,-9.50151892788464e-16,3.8217269746132073e-16
20,-2.42360130141913e-16,-1.0043095409354628e-15,1.5423260436821928e-17
21,2.6243594784433487e-18,-3.861793680941991e-16,5.867903552115058e-16
22,2.801202417987818e-16,2.1010459254510537e-15,-1.5418480435195441e-15
23,-4.684984818659104e-16,-3.3659790663487243e-15,4.3395937557358385e-15
24,-1.0666257801028948e-14,1.0212893450668577e-15,-1.2193384815078995e-16
25,-5.39304756803164e-15,1.2218749316527386e-14,-1.2101481476469392e-14
26,-6.023682267344293e-15,9.610674433463915e-15,3.1857985114027147e-15
27,4.40167891489187e-15,-1.318656929113816e-15,-5.23594015283844e-15
28,-9.363191624630884e-15,4.406881972470679e-15,1.241179442607364e-14
29,-2.0732300266833277e-14,-9.236342819319007e-15,1.6051261411608014e-14
