S,p07,p08,p09
1,-5.31185536850531e-27,-4.140535289794809e-27,-1.1886611157373966e-27
2,-7.50247958269194e-25,-7.839198341331333e-25,-4.153122324474933e-24
3,-4.069931705944435e-23,-7.686847255852564e-24,-1.206677695054855e-23
4,-3.1942539325619187e-22,-2.4137669440766465e-22,-7.065452882936874e-23
5,-8.460273363982836e-22,-7.240196380426692e-22,-5.315275094786275e-22
6,-2.2580869471110174e-21,2.8346535515491264e-21,6.083802202053181e-22
7,1.9289129421973e-21,2.4601882475429407e-21,4.14364765612153e-21
8,9.641292169196484e-21,1.7614522881793465e-20,6.5695664093647215e-21
9,3.998564600306472e-20,1.1503443674704339e-20,2.1159036681119823e-20
10,1.0169799210644692e-19,1.509071836504053e-20,7.179224725454949e-20
11,1.9326791996039067e-19,1.5362074580893628e-19,5.740819530784111e-20
12,3.0923079213537516e-19,1.5002900870692394e-19,2.1373353389214366e-19
13,3.906117454279487e-19,2.61597916612021e-19,2.500621060809239e-19
14,9.112701058730078e-19,1.3265282653561273e-19,-1.0617862840823148e-18
15,-1.1720951933476233e-18,-1.5426730506825856e-18,-9.988463356078816e-19
16,-9.095702279906627e-19,-1.8678391784649167e-18,-9.311912381071824e-19
17,-2.2793496581229114e-18,-2.3229424506530363e-18,-1.2294404113785844e-18
18,-3.97602678293727e-18,-4.374846878434496e-18,-2.8639012356003873e-18
19,-6.563158061291688e-18,-8.59474933442653e-18,-3.10530128387629e-18
20,-7.73411997682759e-18,-1.2762294287190164e-17,-1.981472451981802e-18
21,-1.181299978110493e-17,-1.786879755070803e-17,-2.433745478520288e-18
22,-1.5340722132324113e-17,-1.2249311826110155e-17,-1.393293639834466e-18
23,-2.3149265235479483e-17,-1.4718937829954076e-17,-9.587762571635033e-18
24,-2.5767955579098768e-17,-2.0638748502008036e-17,2.0165322854570317e-18
25,-3.5130736078597726e-17,-2.563891631242264e-17,-1.6065065746541562e-17
26,-5.946297281276601e-17,-3.18807374832089e-17,-3.095534278890755e-17
27,-8.436900495210834e-17,-7.863228575738429e-17,-8.324347696869981e-17
28,-3.507153325098241e-16,-3.8026459323210784e-16,-4.2152912102071504e-16
29,-2.1972160099145807e-15,-2.443843141320725e-15,-2.7185058576558805e-15
30,-1.4098616663677448e-14,-1.5664866667394515e-14,-1.7325470024023713e-14
31,-8.215215914166117e-14,-9.119201997838939e-14,-1.0062037240650151e-13
32,-4.349678574205394e-13,-4.818259506993952e-13,-5.303622971087891e-13
33,-2.100513901580327e-12,-2.3207369742078473e-12,-2.5485247063930027e-12
34,-9.30934243972237e-12,-1.0260069111028697e-11,-1.1240497807987981e-11
35,-3.8092966893396964e-11,-4.18815117100873e-11,-4.578002815867594e-11
36,-1.4469965961239416e-10,-1.5871606016355837e-10,-1.7310961291882557e-10
37,-5.127911621120081e-10,-5.61175833836956e-10,-6.107646498774428e-10
38,-1.7030426995902598e-09,-1.8595910486706419e-09,-2.0197292634940043e-09
39,-5.322484210370368e-09,-5.7991836357171685e-09,-6.2859131748528595e-09
40,-1.5712535819909093e-08,-1.7083826471932265e-08,-1.848146544888466e-08
41,-4.396675647660705e-08,-4.770614674661421e-08,-5.1510783005284166e-08
42,-1.1698496480929056e-07,-1.2668189596063233e-07,-1.3653146822781853e-07
43,-2.968484788498747e-07,-3.208311207881539e-07,-3.451516798517778e-07
44,-7.202973448625553e-07,-7.770201148651242e-07,-8.344515136113427e-07
45,-1.6755021945283277e-06,-1.804118299150526e-06,-1.9341424167741864e-06
46,-3.744879077288652e-06,-4.025106297152818e-06,-4.307982185882595e-06
47,-8.059730668432793e-06,-8.647665369086266e-06,-9.240306144740462e-06
48,-1.6736208724160074e-05,-1.7926387811052474e-05,-1.9124426174882614e-05
49,-3.3593159167320906e-05,-3.592211056004502e-05,-3.826328289377661e-05
50,-6.529049937581996e-05,-6.970334723983576e-05,-7.413355918433075e-05
51,-0.0001230699972927453,-0.0001311792954668617,-0.0001393102017328139
52,-0.00022532474029579507,-0.00023979921491951351,-0.00025429446521790924
53,-0.00040126293115733537,-0.00042639249298563424,-0.00045152823522791135
54,-0.0006959573852569211,-0.0007384485149516197,-0.0007809012068445463
55,-0.0011770739359529265,-0.0012471348889105088,-0.001317054508782839
56,-0.0019435389005496393,-0.002056315404612575,-0.0021687430909143827
57,-0.0031363276930979,-0.003313745130077342,-0.0034904293741274354
58,-0.004951426217062596,-0.005224482066373005,-0.005496135274032618
59,-0.007654831183091745,-0.008066360603579594,-0.008475377033802897
60,-0.011599218790887423,-0.012207126220743238,-0.012810752657257552
61,-0.017241634714140842,-0.01812254587738595,-0.018996458535142893
62,-0.025161261315372784,-0.026414504792653483,-0.027656701674434833
63,-0.03607602678553244,-0.03782780526992108,-0.03956267538142666
64,-0.05085656677276669,-0.053264129258975085,-0.05564651266942125
65,-0.07053586540571438,-0.07379144756260782,-0.07701045786420656
66,-0.09631282117768805,-0.10064708704028485,-0.10492943518049706
67,-0.1295480301474303,-0.13523272881807935,-0.14084526916761192
68,-0.171750271339884,-0.17909982160648294,-0.18635104130288097
69,-0.2245525220112762,-0.2339242583641935,-0.24316445196617242
70,-0.2896768146821344,-0.30146967112253864,-0.3130895852725055
71,-0.3688878505723289,-0.3835393228744698,-0.39796711894426584
72,-0.46393596953362026,-0.481917279277743,-0.4996137428798515
73,-0.5764907989234819,-0.5983002788493126,-0.6197522988916987
74,-0.7080676110266214,-0.73422243479913,-0.7599348753147206
75,-0.8599490568784492,-0.8909755399979464,-0.9214617282805745
76,-1.033105463094762,-1.0695282578934262,-1.1052994052402731
77,-1.2281172346240612,-1.2704478238816055,-1.312001773562412
78,-1.4451030686856658,-1.4938280231405157,-1.5416377781331425
79,-1.6836576360641091,-1.739227136253968,-1.793729652313708
80,-1.9428021233186779,-2.005619252885296,-2.067204987976094
81,-2.220950566580354,-2.2913618616198645,-2.3603655499693343
82,-2.515894271641644,-2.5941819601679876,-2.6708750295616452
83,-2.824805844675565,-2.911182135025153,-2.9957671126220027
84,-3.144263499976968,-3.2388671818608605,-3.3314743415499892
85,-3.470295416892738,-3.5731909298586326,-3.673877328834474
86,-3.7984430393730673,-3.9096220474199193,-4.018372987774415
87,-4.123841397110872,-4.243226792041154,-4.359959631404419
88,-4.441313819496079,-4.568765965939159,-4.693336095917111
89,-4.745477846512613,-4.880802784279347,-5.0130115022436135
90,-5.030858737829491,-5.173817977199957,-5.313421900459492
91,-5.292006755404543,-5.4423282415616,-5.589049856356587
92,-5.523614347669259,-5.681004133862455,-5.834543036908412
93,-5.720629486648631,-5.8847836423582045,-6.044828020292603
94,-5.878361686245603,-6.048977975896652,-6.215215877224378
95,-5.992577636821306,-6.169366534468179,-6.341496517479817
96,-6.059583899598842,-6.242278552591851,-6.420019338469962
97,-6.076294683377448,-6.26465949967816,-6.447758319092323
98,-6.040283343709296,-6.234120949230837,-6.422360339334587
99,-5.949816870715985,-6.148973260664636,-6.342176143488976
100,-5.803873238177593,-6.008241025736449,-6.206273974722931
101,-5.6021420494838825,-5.8116617926513126,-6.014436467859641
102,-5.3450094161962,-5.559669075761864,-5.767141877028337
103,-5.033528427983791,-5.253361073967833,-5.465531122490086
104,-4.669376909534817,-4.894456847757045,-5.111362458256963
105,-4.25480440625412,-4.48524193989619,-4.706955786538858
106,-3.7925704966877305,-4.028505568877705,-4.255128777769013
107,-3.2858765993374117,-3.527471582121944,-3.7591270015828293
108,-2.7382934325622443,-2.9857253354270696,-3.222550242641642
109,-2.1536862076363406,-2.4071385760110253,-2.6492770761737283
110,-1.5361394983504972,-1.7957942605660193,-2.0433896233766013
111,-0.8898835476796485,-1.1559130490755187,-1.4091002087233129
112,-0.2192235549400401,-0.49178299195142827,-0.7506814124454309
113,0.4715267520209565,0.19230631531836906,-0.07240076365517822
114,1.178106205345486,0.8921240889463888,0.6215389360831658
115,1.8963611434631211,1.6035524565485737,1.3270529227025207
116,2.622293656210495,2.3226337752706883,2.040220921119218
117,3.352102799714718,3.0456108724162156,2.7573264734772174
118,4.082218661779002,3.7689601201774003,3.474889085000754
119,4.809329345028601,4.489417439782883,4.189689309047218
120,5.53040109513141,5.203997486675682,4.898787045995157
121,6.242691934300382,5.910006397520284,5.59953345624411
122,6.943759265651295,6.605048581248596,6.289576985014378
123,7.631461992756705,7.28702811091253,6.966864067767808
124,8.303957752619162,7.954145323324191,7.629635131392298
125,8.959695891290309,8.604889260879034,8.276416530400788
126,9.597406822074284,9.238026597288851,8.906009061798414
127,10.216088399502787,9.852587679365499,9.5174736898759
128,10.814989921174245,10.447850293643945,10.110115086445859
129,11.393594336059465,11.023321730856317,10.683463554752493
130,11.95159919637323,11.578719678412774,11.237255860467776
131,12.488896840997832,12.113952420763141,11.771415442241207
132,13.005554246349327,12.629098774466208,12.286032420290915
133,13.501792925438494,13.124388129601705,12.781343765973219
134,13.97796920101051,13.600180913745596,13.25771393972932
135,14.434555124666026,14.056949741270941,13.715616251562501
136,14.872120262026733,14.49526145902027,14.155615146820821
137,15.291314515977206,14.915760252128862,14.57834957299724
138,15.692852114872125,15.31915192890665,14.984517539602749
139,16.07749685289157,15.70618946529585,15.374861944725993
140,16.44604863356669,16.077659853532822,15.750157707436685
141,16.799331336627432,16.434372269907982,16.11120021577932
142,17.138182001795244,16.777147550758897,16.45879507522814
143,17.463441300964178,17.106808944353347,16.793749121937296
144,17.77594525229773,17.424174089335054,17.116862648422426
145,18.07651811565023,17.730048156871092,17.42892277700747
146,18.365966398231137,18.02521808382309,17.730697906561588
147,18.645073891740083,18.31044781717779,18.022933151969767
148,18.914597657729004,18.58647448598063,18.306346692012454
149,19.175264875326903,18.854005414996777,18.581626939900175
150,19.42777046532491,19.113715894235384,18.849430450711324
151,19.6727754059129,19.366247620341426,19.110380482389644
152,19.910905657599898,19.612207728369313,19.365066129641306
153,20.142751619126287,19.852168336656817,19.61404195439229
154,20.368868040296917,20.086666531980413,19.857828040913006
155,20.589774322443333,20.316204727163978,20.096910409344204
156,20.805955143243793,20.541251328904764,20.331741726259622
157,21.01786134748238,20.76224165914269,20.56274225695951
158,21.225911051339708,20.979579078570865,20.790301009538226
159,21.430490913326494,21.193636266944083,21.014777026248765
160,21.631957529908874,21.404756619590515,21.236500783085788
161,21.830638919627532,21.613255724750502,21.45577566307786
162,22.026836063655608,21.819422891377727,21.672879474177975
163,22.220824475872192,22.02352270099439,21.888065986185268
164,22.41285577922092,22.225796561719235,22.10156646558694
165,22.603159268997075,22.42646424575483,22.31359119091607
166,22.79194344730726,22.625725395544194,22.524330933856263
167,22.979397515983635,22.823760986423736,22.73395839520518
168,23.165692817651973,23.020734736163817,22.94262958624742
169,23.350984217398008,23.216794454341994,23.150485149221822
170,23.535411419410934,23.412073326497307,23.357651612161945
171,23.719100214970013,23.606691129608492,23.56424257501004
172,23.902163659128206,23.80075537681492,23.770359825265075
173,24.084703175473976,23.994362390828883,23.976094382933866
174,24.266809588994676,24.187598306458113,24.181527475206366
175,24.448564087721536,24.380540002956508,24.386731442117338
176,24.630039115439217,24.573255968670082,24.591770575251104
