S,p07,p08,p09
1,-6.450417898254135e-25,4.6916641208098155e-25,1.2690354198302081e-24
2,-4.028095955423755e-23,-6.69725575166681e-23,-1.080957970934977e-22
3,-4.391463435052109e-22,8.705471903739307e-22,-2.707168512927976e-23
4,1.500908746666773e-20,1.6086620474116268e-20,9.708910711548745e-21
5,4.1981172396920466e-20,-1.0048108029755311e-20,-5.1995259628714533e-20
6,2.2970519169702326e-19,-1.610694958524698e-20,7.369481622156632e-20
7,1.9751521768373353e-19,-9.327657721236519e-20,2.2857439568757272e-20
8,6.845198029959788e-19,1.5203612167988437e-18,2.837247973004242e-19
9,6.381534854203824e-19,-1.4097457174396045e-18,1.3219977910253713e-18
10,-2.6820480389122445e-18,3.358953359948899e-19,1.7962813206470367e-18
11,-6.5259404160464455e-19,-6.187199643279222e-19,-4.818539697145641e-18
12,-2.5326215938929846e-18,2.398214841444545e-18,-1.0880457025526648e-18
13,-2.97315632635623e-17,9.249057091892563e-18,1.3650288596461133e-18
14,-8.591789069539265e-19,-7.911273505493897e-18,-1.4437976948698983e-17
15,-4.8644669721541965e-17,-4.8985646896515734e-17,-1.1519979530426031e-16
16,-8.782982153495888e-17,-1.2217235120281028e-16,-1.456693100193643e-16
17,-1.1868140488134445e-16,-2.526523526874156e-16,-1.237711861741496e-16
18,-3.209465079440319e-16,-2.8877635109702286e-16,-3.455017458425795e-16
19,-2.4941565858175684e-16,-3.487727755747287e-16,-3.883584531146174e-16
20,-5.769750265507217e-16,-5.090702719226068e-16,-7.144562184681679e-16
21,-6.45843177410757e-16,-7.983093285494509e-16,-7.250074877992815e-16
22,-1.132291333104668e-15,-5.951542996677745e-16,-9.514292626757056e-16
23,-1.1803798387947169e-15,-1.2005727267965132e-15,-6.973430073072737e-16
24,-1.2994865147787675e-15,-5.9587890194137035e-16,-1.145498539952472e-15
25,-2.1461290712518704e-15,-1.3073959020590595e-15,-7.498135217413619e-16
26,-1.170136856585147e-15,-2.097208549188137e-15,4.55031416343845e-16
27,-2.8030840250702207e-15,-3.2283617028818027e-15,-2.1801080985972556e-15
28,-2.2993726334793377e-15,-3.3080778542740416e-15,-8.709290895018744e-16
29,3.83485101674628e-16,1.701454164527897e-15,1.8400404141944643e-15
30,1.019620681020128e-14,1.3895066395804115e-14,1.2532634999792995e-14
31,8.358173263296128e-14,9.254245949799009e-14,9.896688566718155e-14
32,4.729156460725824e-13,5.148258283209242e-13,5.555757718704636e-13
33,2.356323655431124e-12,2.524016816333022e-12,2.722721492775245e-12
34,1.054361780762519e-11,1.1272985150271008e-11,1.2147902921027333e-11
35,4.349485478973433e-11,4.641304307080792e-11,4.987318041615962e-11
36,1.6619312204298672e-10,1.7703082609479188e-10,1.8987314144466124e-10
37,5.916517820491056e-10,6.291882503753819e-10,6.73597852279151e-10
38,1.9720162478295166e-09,2.0935831258331345e-09,2.2372887637250107e-09
39,6.179650617506111e-09,6.5500355096617314e-09,6.987298808552618e-09
40,1.8277991869345572e-08,1.934296931880131e-08,2.059888414622683e-08
41,5.120926371474569e-08,5.4109553010799385e-08,5.752664231105984e-08
42,1.3634624851788992e-07,1.4385191473263333e-07,1.5268700657431247e-07
43,3.4603310537408e-07,3.6454592252276104e-07,3.863194488211578e-07
44,8.394119978728595e-07,8.830519596663941e-07,9.343382875819351e-07
45,1.9513124824751105e-06,2.0498787340505007e-06,2.1656310787560573e-06
46,4.357128941979641e-06,4.5709366761296776e-06,4.821855508704448e-06
47,9.365874708515874e-06,9.81226284357232e-06,1.0335808416824714e-05
48,1.942023567256518e-05,2.031905050014517e-05,2.137263136285896e-05
49,3.891709190255904e-05,4.066576285683014e-05,4.2714495616510165e-05
50,7.550412090005876e-05,7.879703824890469e-05,8.26532589885727e-05
51,0.00014205549877171987,0.00014806711076546306,0.0001551043158161426
52,0.000259577929475021,0.0002702338991697579,0.0002827035753489384
53,0.00046134034797204405,0.00047970562349809303,0.000501190744457351
54,0.0007985474258634607,0.0008293632978939367,0.0008654061098514386
55,0.0013478775777689641,0.001398280619288639,0.001457223469801735
56,0.0022211691225611343,0.002301622174229485,0.0023956971618492935
57,0.003577453439260338,0.003702911357754792,0.00384960621628035
58,0.005637394388186754,0.00582871424055354,0.006052427076924839
59,0.00869999706278095,0.008985583412757648,0.009319557182644515
60,0.01316120114988606,0.013578852251943154,0.01406735143503167
61,0.01953368755624194,0.020132578684519425,0.02083323665009399
62,0.028466922176867415,0.02930962981384901,0.03029585793409102
63,0.0407661650378378,0.041930602918462685,0.043293914617421096
64,0.05740891847409897,0.0589900267028323,0.06084209502414282
65,0.07955710758747024,0.08166811291496645,0.08414235289523099
