S,p07,p08,p09
1,2.257398969822368e-15,3.687803264827626e-15,5.2255482766620126e-15
2,-1.9500249363443367e-14,-2.4080034316265312e-14,-2.9000941944673635e-14
3,1.5308765837863063e-13,1.567485869187129e-13,1.603822044557985e-13
4,1.0918110334404059e-13,1.2381351457789008e-13,1.3950286797828653e-13
5,-5.733134359133721e-14,-8.107588330590626e-14,-1.0660746823703002e-13
6,-5.61243808796518e-13,-5.683055153719348e-13,-5.747592839656919e-13
7,-7.510955047754423e-13,-7.582787260098523e-13,-7.64658811397868e-13
8,-5.450723431641473e-13,-5.914492218264011e-13,-6.407473812528053e-13
9,9.12675305606399e-13,8.65165673028584e-13,8.118823882375104e-13
10,4.911824528249864e-13,5.715930202064959e-13,6.576384300978347e-13
11,-1.5871573006511122e-12,-1.6308776702914449e-12,-1.6747154396398378e-12
12,2.081048696943685e-12,2.0814425537601728e-12,2.07729679418475e-12
13,-2.400631537120789e-12,-2.379606016808378e-12,-2.3516543861559285e-12
14,2.78699822720379e-12,2.777661629277391e-12,2.762013483675627e-12
15,-3.0773261994324293e-12,-3.12209125042805e-12,-3.1638600845356253e-12
16,2.654657508176001e-12,2.7941081687145092e-12,2.9398634509241646e-12
17,-7.397620158821547e-13,-9.708847305105695e-13,-1.2194082781297206e-12
18,-2.565865568859891e-12,-2.347110519473377e-12,-2.1046572301980143e-12
19,5.0204183663599644e-12,5.00008096067244e-12,4.967755105916242e-12
20,-3.1317755326324416e-12,-3.3964755984961634e-12,-3.6775381922177906e-12
21,-3.0939893072230875e-12,-2.7847197766673632e-12,-2.4424365068392794e-12
22,6.588368034887873e-12,6.65321513772789e-12,6.7104787620953625e-12
23,-5.949538303435321e-13,-1.0194168006330921e-12,-1.476784729031878e-12
24,-7.669554541901043e-12,-7.540812581452822e-12,-7.385205740243102e-12
25,3.2187150638833584e-12,3.682266216754592e-12,4.178061604112997e-12
26,8.463815692298242e-12,8.230110060882596e-12,7.957108365563877e-12
27,-4.102214211830521e-12,-4.633437789587761e-12,-5.2004380490329335e-12
28,-1.0134418942413862e-11,-9.907984543763991e-12,-9.641229636788375e-12
29,2.677224139022157e-12,3.333390713621385e-12,4.038075407942567e-12
30,1.2367523495458132e-11,1.2310276926750086e-11,1.2223886767211259e-11
31,1.9700195177513984e-12,1.2016815457507052e-12,3.690400622870113e-13
32,-1.2948972461595716e-11,-1.3265925184934768e-11,-1.3577378580051745e-11
33,-9.668385341453214e-12,-8.990462308797901e-12,-8.233857578204861e-12
34,8.21023402812251e-12,9.01259395929992e-12,9.868193343054447e-12
35,1.7123767248327815e-11,1.6983868396003383e-11,1.6800821126035702e-11
36,6.1535519943343255e-12,5.264723043591861e-12,4.306990023734104e-12
37,-7.538965922609289e-12,-7.739856923702951e-12,-7.875572305197776e-12
38,7.158637133580148e-12,9.286750306659453e-12,1.1796916268679395e-11
39,8.184615329085333e-11,8.829679401617733e-11,9.580620634584306e-11
40,2.7693064387794116e-10,2.934550523388028e-10,3.128746377254516e-10
41,7.823029032986085e-10,8.271431568941316e-10,8.800872482557771e-10
42,2.1340835169137586e-09,2.2566082903928208e-09,2.401233872756259e-09
43,5.665876047929364e-09,5.987138449639034e-09,6.3658147016828404e-09
44,1.4470182592784737e-08,1.5271327453273638e-08,1.6214568345717938e-08
45,3.5410447706883965e-08,3.73188714801944e-08,3.956392293519924e-08
46,8.315450675012342e-08,8.751802245913526e-08,9.264767255317633e-08
47,1.8789781069683535e-07,1.9750396529919165e-07,2.0878951718110218e-07
48,4.0955045407977e-07,4.299554142099344e-07,4.5391311786176507e-07
49,8.628405253055425e-07,9.04736154492109e-07,9.538982990999225e-07
50,1.7602132160965353e-06,1.843500794857901e-06,1.9411825908200565e-06
51,3.482748962770012e-06,3.6433227357592294e-06,3.8315572691658946e-06
52,6.693724343055298e-06,6.994416032479098e-06,7.346752356503651e-06
53,1.2514973149544737e-05,1.3062681689708498e-05,1.370421124630907e-05
54,2.27928393297643e-05,2.376457211432103e-05,2.4902369238553557e-05
55,4.0488062064434175e-05,4.2169432010410615e-05,4.4137552188550264e-05
56,7.023201199852823e-05,7.30726369099505e-05,7.639687501752893e-05
57,0.00011909970538436164,0.0001237908870871261,0.00012927959350872068
58,0.00019765714200328737,0.00020523808229759048,0.00021410637575480364
