S,p07,p08,p09
1,-8.3389195393094e-21,3.665170651066258e-21,5.538384703579425e-21
2,-4.842084805890476e-19,-4.300314041487355e-20,-6.09368253827522e-20
3,-4.1596273470119286e-18,8.526671946184152e-18,1.6127369791614283e-17
4,-4.508940178856725e-18,7.218463835600601e-18,-4.6689872981918583e-17
5,-7.794105231073849e-16,2.094749235610369e-16,5.242556674488446e-16
6,2.481013052190426e-16,4.138964307300989e-16,-1.568742754359876e-15
7,-1.403390552196411e-15,1.4111096660649516e-15,-2.5583114070643197e-15
8,1.686469965835686e-14,-1.1907889452072741e-14,1.1664683014795915e-14
9,-1.1539688201784095e-15,2.7358198377975457e-15,8.253382201540462e-15
10,-5.4118763545334374e-15,1.956056974590965e-14,-2.3921411153014784e-14
11,5.584794705720175e-14,-2.7208346579260616e-14,9.297636816078155e-14
12,1.4565899847041667e-14,7.434961176959987e-14,1.3694223340570562e-14
13,6.67284674487873e-14,1.1832273943814891e-14,8.006777310650942e-14
14,-4.813189928875369e-13,4.6088877161599244e-14,1.616223468573486e-14
15,-7.46900714051933e-14,-8.310722411416954e-14,-1.7549403438428238e-13
16,-4.8196963797726165e-14,5.943760754168977e-13,4.432461381478628e-13
17,-1.5376973702335338e-12,-3.245944076702118e-13,-2.1549933999007621e-13
18,-8.291851968823494e-13,-9.858885415591729e-13,-3.6561392444568866e-13
19,9.0690762415344e-13,-8.049374065764712e-13,4.109978301414397e-13
20,1.5312443989579424e-12,-9.12850080113157e-13,4.860748404398965e-13
21,-2.8318035823725065e-13,-2.7548073331171235e-12,1.2107733361995717e-12
22,-2.9488677729601436e-12,-8.019302787254656e-13,1.4490560995766064e-13
23,2.1760798498882657e-13,-4.4419187053229175e-12,7.459392085917357e-12
24,-5.753406566631137e-14,2.106543712927814e-12,3.348066310855753e-12
25,9.018428414499299e-13,5.062312712657481e-12,-6.2444899566091074e-12
26,-2.6869337769883785e-12,-1.1208095807302226e-11,6.248547645345861e-12
27,-5.944292880786888e-12,4.874374945220747e-12,5.9342968492723885e-12
28,1.9195997318822028e-11,1.3116634148441318e-11,2.616682800971168e-11
29,-1.3940371154000667e-11,4.168344661061029e-12,-7.791669090170807e-12
30,5.000000510229891e-12,-1.302113141177891e-11,-2.0931653487995306e-11
31,6.603764327014934e-12,-2.4878953695070345e-11,5.547073932790703e-12
32,-4.783905684348804e-12,1.4094217252477367e-11,-1.1006507913488142e-11
33,7.82888253720167e-12,1.1357258778884292e-12,-1.1910259333196173e-11
34,6.900710709863629e-11,2.664296316502299e-11,7.446351395487466e-12
35,-5.889456616843674e-11,4.259189794276063e-11,-8.694291743999259e-11
36,7.116673316492546e-11,2.117783987351609e-11,6.555023070571616e-11
37,-2.023465794390178e-11,6.649437160746347e-11,3.6491655384276654e-11
38,-9.332342466820183e-12,1.7919528277642307e-10,-6.317477932545581e-11
39,1.6395841346012842e-10,4.876769963337672e-11,1.928380997659676e-10
40,3.980049362361865e-10,3.49083032042054e-10,3.3274375149686995e-10
41,7.76374719210805e-10,7.915534110728494e-10,7.553178234220173e-10
42,1.9248718467621028e-09,2.44243267625903e-09,2.309533454989014e-09
43,5.7612333502978795e-09,6.047716436671535e-09,5.9990918237744934e-09
44,1.3461755829805809e-08,1.4023829853683144e-08,1.4649484288163755e-08
45,3.090205783834508e-08,3.277586478600553e-08,3.429795817680313e-08
46,6.901967502571677e-08,7.257240980093162e-08,7.70125399668264e-08
47,1.4924107358176299e-07,1.5758823122888541e-07,1.661311792182767e-07
48,3.120361830970321e-07,3.2725820954516115e-07,3.4463891004727964e-07
49,6.285720963774546e-07,6.57944721416863e-07,6.933398036508087e-07
50,1.2273915357958033e-06,1.2837261830462936e-06,1.3493450843162554e-06
51,2.325282300692441e-06,2.4278037804963126e-06,2.5487001577832085e-06
52,4.279034139620754e-06,4.4630969401579556e-06,4.6798860868101e-06
53,7.663967998097244e-06,7.985543463599276e-06,8.361395021592175e-06
54,1.3375651430089057e-05,1.3920097781156167e-05,1.4557367254187676e-05
55,2.2774054912961042e-05,2.3674847347311678e-05,2.4727467388139038e-05
56,3.7875921881291505e-05,3.9333301698162015e-05,4.103514945376363e-05
57,6.159613360275269e-05,6.389863003953763e-05,6.659049125914279e-05
58,9.806143256348848e-05,0.00010162163807930086,0.00010578229915278459
59,0.00015296065737809006,0.00015835089858286244,0.00016465522250774106
60,0.00023400820127125743,0.00024200813878924587,0.0002513730651583501
61,0.00035140780801738714,0.00036307002868572746,0.0003767112002114187
62,0.0005184129818133765,0.000535109348324958,0.000554629996443734
63,0.0007519238161800279,0.0007754022142252015,0.0008028721350944457
64,0.0010730505676723179,0.001105528559322555,0.0011435413596952437
65,0.0015077101459676223,0.0015519357934173916,0.001603711347747394
66,0.0020871380145004448,0.0021464401436799285,0.0022158933542237857
67,0.0028483559261216485,0.0029267211917871627,0.0030185512076008614
68,0.0038344716291049963,0.003936581356028812,0.004056275367675388
69,0.005094821960149876,0.005226071485286976,0.005380023336554185
70,0.006684984683869022,0.006851501310745078,0.007046960584511375
71,0.008666461992490326,0.008875073419234436,0.009120148386498883
72,0.011106202416066857,0.011364447230488572,0.011668050206581349
73,0.014075765553123176,0.0143917058825771,0.014763558431329926
74,0.017650403361102462,0.01803264343402944,0.01848292977002508
75,0.02190779016530975,0.022365261725942887,0.0229047732169807
76,0.026926531837556666,0.027468285285214833,0.028108078364841305
77,0.032784271131180986,0.03341948245916271,0.034170456741922095
78,0.039556709297006165,0.04029413608330756,0.04116728763436939
79,0.04731480207631478,0.04816275711583273,0.0491685414605314
80,0.05612317555137025,0.05708961914319133,0.05823755921952056
81,0.06603869395771511,0.06713025135773876,0.0684292761343741
82,0.07710947158567905,0.07833158843784105,0.0797891946957563
83,0.0893703472337748,0.09072764761697272,0.09234958353587785
84,0.10284559870399335,0.10434061392672334,0.10613150913663105
85,0.1175457398083779,0.11917952735807091,0.12114126923812307
86,0.13346691529747545,0.13523852593344543,0.13737162518623336
87,0.15059049562893279,0.15249724816257526,0.15480001724910153
88,0.16888370701906297,0.17092063320234274,0.17338899205299185
89,0.1882981104373016,0.19045899302128078,0.19308653564920064
90,0.2087751416190997,0.21105155401102138,0.21382936532532426
91,0.23024037121288643,0.23262178849847714,0.23553972106071797
92,0.2526082343301539,0.25508296586096435,0.2581273861324007
93,0.2757838624134479,0.2783381303217425,0.28149549358147397
94,0.2996650483311214,0.30228251013397767,0.3055372177485083
95,0.32413967065991756,0.3268066928185931,0.33013971556528077
96,0.34909075630196185,0.35178981949712806,0.35518201713102826
97,0.37440281985823276,0.37711529454753645,0.38054976947421437
98,0.39995278200422035,0.40266225909135756,0.4061168290547812
99,0.4256237584598921,0.4283097876367492,0.4317653345964345
100,0.45129340264793427,0.45393933056914193,0.45737560405711974
101,0.4768501149499116,0.4794402208574411,0.48283550491134974
102,0.5021859816878305,0.504701880288394,0.5080359688491853
103,0.5271947767226948,0.5296171057267429,0.532874944170203
104,0.5517770240714981,0.5540938818882069,0.5572503791739791
105,0.57584794710408,0.578042946841606,0.5810870007394442
106,0.5993249896363295,0.6013888498301867,0.6043004319167267
107,0.6221422488295048,0.6240590266770596,0.6268246366403218
108,0.6442316013988147,0.645990194669821,0.6485977976922186
109,0.6655415774048379,0.6671334595864664,0.6695725751626469
110,0.6860316759116358,0.687449741576529,0.6897077575729327
111,0.7056687678641538,0.7069048457708504,0.7089727915854382
112,0.7244175037612877,0.725470883367052,0.7273371238625259
113,0.7422724657146773,0.7431368409527295,0.7447993333187242
114,0.7592225514940765,0.7598896623051132,0.7613488506308386
115,0.7752539055161378,0.7757307685096748,0.7769794585499312
116,0.7903843801670973,0.7906676202651397,0.7917035915738779
117,0.8046185939747375,0.8047106980768604,0.8055319966615571
118,0.817980883027758,0.817880163594964,0.8184896316265622
119,0.8304731125008402,0.8301828557932822,0.8305873322456137
120,0.8421391584079174,0.841660607875383,0.841853164956774
121,0.8529847050908757,0.8523318939523961,0.8523187489117845
122,0.8630694381395188,0.8622356162391043,0.8620229863254281
123,0.8723965549961576,0.8713923804748447,0.8709873711154614
124,0.8810165041950313,0.8798494377515453,0.8792534700319266
125,0.8889616154306168,0.8876346768715848,0.886843309899632
126,0.8962750541741116,0.8947873553211139,0.8938229711930035
127,0.9029745839939096,0.9013430002369205,0.900207197673808
128,0.9091145614092966,0.9073403361981036,0.9060325822929371
129,0.9147177237878168,0.9128061861929382,0.9113403365290651
130,0.9198243944297246,0.917788511856088,0.9161656322476119
131,0.9244670806651811,0.9223100505550974,0.9205336937156972
132,0.9286775792816115,0.9264031319844435,0.9244949694675597
133,0.9324935490440112,0.9301105663439557,0.9280606505512878
134,0.9359469643754892,0.9334538475513909,0.931279586779965
135,0.9390499045025535,0.9364660158439619,0.9341619033875759
