S,p07,p08,p09
1,-3.673300604194261e-25,1.6706343103157643e-25,-4.446188626707062e-24
2,-4.319698716866966e-22,8.667017106481175e-23,3.8076776383952553e-22
3,9.39954919073188e-22,1.2258633238364122e-21,3.427869202535559e-21
4,4.952842383941251e-21,-2.74585203555421e-20,1.4484610470435257e-20
5,1.329096495436591e-19,1.4989449830559672e-19,3.4420133848632415e-20
6,-8.228211710026e-20,3.980791321297584e-20,-1.6950879354268644e-19
7,8.66958626317954e-19,1.654111730181627e-19,1.1003948021190772e-18
8,-2.2642298667325845e-18,-2.1802198328496252e-18,1.2234466827836853e-18
9,-1.8626347666699433e-18,1.5245518442527433e-18,2.515360524489208e-18
10,-4.806688330633035e-18,-2.1218398074123838e-18,-9.712247638586785e-18
11,-1.2550055442124932e-17,1.0382563135855465e-17,1.9298460318760278e-18
12,-2.4782786539415683e-17,-1.3841756439944417e-17,-2.382461812370485e-17
13,1.648008523414524e-17,-1.1718972848225253e-17,-4.526853159650414e-17
14,4.7001225842286874e-17,-9.169991764896077e-17,-1.5635760988765243e-16
15,4.21502610748744e-17,-2.1667301015202822e-17,1.3026594085587625e-16
16,-1.9957401248453805e-16,2.481975110639914e-16,-5.970273519853233e-17
17,1.1222720945505428e-16,-2.7681133708113415e-16,1.0547172757367569e-17
18,1.5545755914747317e-16,2.287702136544648e-16,-1.3575431786126117e-16
19,-5.734861820588929e-17,-1.0679240285466324e-16,-1.9402366881928494e-16
20,-4.090042849249818e-16,-2.9164276974540018e-18,-2.6382406254244823e-16
21,5.928647936285467e-16,-1.0899525150005063e-15,1.0191234974678219e-16
22,6.066310527183962e-16,-6.602525967501036e-16,5.691794239801843e-16
23,-6.30337907507908e-16,-1.0060670410156834e-15,7.075271356651091e-16
24,-7.011299553564991e-16,-1.0478341899214566e-15,2.0292452076720064e-16
25,5.886151772742448e-16,-7.34652097569836e-16,1.425397332163886e-15
26,1.3327160050497412e-15,-3.128279471317122e-15,-8.217418251977295e-15
27,-5.26934826160489e-15,4.3357216363442275e-15,7.565148113001086e-15
28,8.217678734658894e-15,7.796115997874792e-15,2.5821649977929258e-15
29,-6.322404352071544e-17,1.959907116540159e-15,1.4904584835409773e-15
30,3.746317120617891e-15,1.3842808829205906e-16,-2.3232698743743536e-15
31,7.064173710374332e-15,-8.006601874735955e-15,1.1128604284364813e-14
32,9.227339671802348e-15,7.624141923996996e-15,1.1628423857888011e-14
33,4.314730342628522e-14,5.655763799180301e-14,5.265497436961146e-14
34,2.6090038764458823e-13,2.5732265123288026e-13,2.8832732953723623e-13
35,9.385418428399412e-13,1.005028452284299e-12,1.0947373226663473e-12
36,3.430779802292931e-12,3.650217241170677e-12,3.926172156997782e-12
37,1.1603161432892863e-11,1.2305008637165821e-11,1.3151712272315284e-11
38,3.6571481362808737e-11,3.8785500009254797e-11,4.147196854480665e-11
39,1.0872646526830013e-10,1.1528415207546266e-10,1.2297990275551945e-10
40,3.0570473206717074e-10,3.2344764386806817e-10,3.445380963063556e-10
41,8.150741617580025e-10,8.612292396686445e-10,9.156697520172267e-10
42,2.06774566868532e-09,2.181517991720694e-09,2.3155569437398137e-09
43,5.005760535703567e-09,5.273582814537194e-09,5.588596295175234e-09
44,1.159589633612815e-08,1.2198594167987067e-08,1.2907199417788974e-08
45,2.5767949183259413e-08,2.706947974282805e-08,2.8598192466747802e-08
46,5.5056687055899957e-08,5.7758493105638556e-08,6.09293465172581e-08
47,1.1335230716379494e-07,1.1875504228665141e-07,1.2509172696843112e-07
48,2.2532297513595408e-07,2.3575214029629378e-07,2.4797705572046027e-07
49,4.3325145636340406e-07,4.527200121676821e-07,4.755294744522664e-07
50,8.072046018193847e-07,8.424107793181227e-07,8.836397532120945e-07
51,1.4596008309146442e-06,1.521372890262045e-06,1.5936836221119995e-06
52,2.565328745311274e-06,2.670643971362468e-06,2.7938843133289696e-06
53,4.388529740039675e-06,4.563239405262152e-06,4.767628252637986e-06
