S,p07,p08,p09
1,-1.4861603051959343e-23,1.1755047690837218e-23,1.32539083089847e-23
2,-1.713765064253723e-21,-2.0755131151115508e-21,-4.299355514819907e-22
3,-9.600873885537408e-21,7.135393502845348e-21,7.364284100068325e-21
4,5.980845403083035e-20,-2.040488944161891e-20,3.290945883089867e-20
5,-4.4816459441979936e-20,5.008980589911938e-19,2.3608313055218365e-19
6,-1.384978192085539e-18,-3.785367145679946e-19,-1.1519603319973254e-18
7,-2.502149125894649e-18,-5.448520037248531e-18,4.8313235868728996e-18
8,5.3458650575026594e-18,4.507297348966201e-18,8.570943645087531e-18
9,8.108773716000295e-18,4.366175215545037e-18,9.843429221106673e-18
10,-4.2292099442060976e-17,1.2887626462524011e-17,2.6496882624433773e-17
11,4.040075037997282e-17,-2.0495978004366272e-17,-3.9989845626811737e-17
12,5.979819054256015e-17,4.861880851237746e-17,9.927040844768731e-17
13,-4.998203635473087e-17,-8.400288110648343e-17,-6.657882038391826e-17
14,5.030678624138702e-16,-6.401989898613813e-16,-4.993024441047609e-16
15,2.2457929950521275e-16,-2.5164820461220296e-16,4.600703137689479e-16
16,2.934950401284097e-17,3.1908856794312274e-17,2.2594028354003277e-16
17,-2.288761391711516e-16,-3.3186775342410683e-16,-5.094198616644322e-16
18,4.011931602435436e-16,3.3368483223599443e-16,8.600547494204687e-16
19,-4.636725691847824e-16,-5.3467060317041283e-17,3.064258817742118e-16
20,1.0344327723438645e-15,2.9951615276618463e-15,-7.19472795442918e-16
21,2.051464434436921e-15,1.2481346093156641e-15,1.1379710449555385e-15
22,5.796371624883317e-16,1.4186052257651155e-15,-5.538520209294213e-15
23,-1.438721984852586e-15,-1.7089497602739516e-15,9.04867482648597e-16
24,-3.4242751165544204e-16,-2.6493834155439123e-15,-7.373545415057993e-15
25,-5.1488401374052245e-15,-1.5230835440313002e-16,1.5891246940710546e-15
26,1.4520895965534122e-14,-6.186617819307881e-15,6.886561779223266e-15
27,-6.0392770895547175e-15,-2.6510048846126375e-15,8.417714648237103e-15
28,-3.068083625549549e-14,-1.1696588116165322e-15,-1.3887471098557841e-14
29,-3.8084819279789946e-16,-1.5479047094937377e-14,-1.8670288791830903e-14
30,4.239391810658884e-15,-3.132287655587007e-14,-1.1945626730150865e-15
31,1.2345429602758763e-14,4.708029944945882e-14,2.4807183113243718e-14
32,8.685889386367681e-14,8.070591515716596e-14,5.949116543073649e-14
33,3.182820151776512e-13,3.5262811484924934e-13,3.4109425235309493e-13
34,1.4012079726348908e-12,1.5046688707646966e-12,1.639264820482451e-12
35,5.8476073937293155e-12,6.266871697308481e-12,6.775671063053488e-12
36,2.2837217655545677e-11,2.4526650276779337e-11,2.635545352068031e-11
37,8.386618876737553e-11,8.93554016826656e-11,9.573805891335116e-11
38,2.867628062355317e-10,3.048519403004795e-10,3.262556518735339e-10
39,9.21843446786944e-10,9.783571943946117e-10,1.045314206220038e-09
40,2.7964235526069412e-09,2.9638904757911006e-09,3.1608808864116127e-09
41,8.0368371343162e-09,8.504618990980507e-09,9.055795608805294e-09
42,2.1949098328844145e-08,2.3192328948923965e-08,2.4656575552006922e-08
43,5.713775689989748e-08,6.02873555796277e-08,6.399492402595204e-08
44,1.4217158691191556e-07,1.4979818731667742e-07,1.5876910226649389e-07
45,3.3900282001739506e-07,3.567004224751043e-07,3.775022989065436e-07
46,7.764757584964402e-07,8.159218911711492e-07,8.622550264189806e-07
47,1.7121615102430494e-06,1.7967953299960392e-06,1.8961419697638003e-06
48,3.6420252023644674e-06,3.8171802030908976e-06,4.022661140428133e-06
49,7.4877173011597575e-06,7.838030423860207e-06,8.248772118746902e-06
50,1.4905072518562287e-05,1.5583351726141616e-05,1.6378241632530023e-05
51,2.8774963557937597e-05,3.0048444404842466e-05,3.154020335861159e-05
52,5.395874187658505e-05,5.6280789136613995e-05,5.8999771999459804e-05
53,9.842420654534999e-05,0.00010254199371365621,0.00010736203609286778
54,0.00017487259913681616,0.00018198394044643704,0.00019030564162472418
55,0.00030301996459758884,0.00031499499310355856,0.00032900483766636274
56,0.0005127035906890315,0.0005323891720678637,0.0005554154486435696
57,0.0008479922570567125,0.0008796182449170288,0.0009166062836610819
58,0.0013724728332713155,0.0014221792852655622,0.001480308589305089
59,0.0021758614472786215,0.002252364012807857,0.0023418278113977687
60,0.003382041370933062,0.0034974479679614283,0.003632411152177132
61,0.005158560233706547,0.0053293454911433865,0.00552908934835076
62,0.007727526381241453,0.007975661072063319,0.008265912613614809
63,0.011377731007507478,0.011731951867399637,0.012146382275261996
64,0.016477694307517714,0.016974886046469163,0.017556746755562937
65,0.023489199112462427,0.024175845121697858,0.024979692921697074
66,0.03298074299803826,0.033914386173786865,0.03500783090294897
67,0.04564022285822796,0.04689086348834761,0.048356255151569404
68,0.06228607458856269,0.06393742002265557,0.06587337793000775
69,0.08387603640264835,0.08602650877452543,0.08854918506027291
70,0.1115126963767074,0.11427610061565117,0.11752006528423924
71,0.1464450289126798,0.1499507849738249,0.1540694211717153
72,0.19006522260257838,0.19445807386900268,0.19962338023565837
73,0.24390025322590378,0.24933937705848283,0.25574108929588
74,0.3095978526282406,0.3162553187385786,0.3240992854404434
75,0.3889067580316318,0.3969653061604294,0.4064710807064053
76,0.4836513842310097,0.49330152117679765,0.5046991654635014
77,0.5957013287968826,0.6071377756128316,0.6206639067252162
78,0.7269363794193405,0.7403539332179186,0.756247077692007
79,0.8792079310218636,0.894796833394995,0.9132921938076465
80,1.054297919564351,1.072238854971097,1.0935626193558923
81,1.253876535523002,1.2743354012523245,1.2986987556862228
82,1.4794600673856404,1.5025826773262805,1.5301757028129968
83,1.7323702684840512,1.7582771592972166,1.7892628007554199
84,2.0136965979411503,2.042478111302648,2.0769864172043295
