S,p07,p08,p09
1,-6.743698642071191e-27,4.5385513782530615e-27,-2.6624149077233478e-27
2,-1.3614278400751774e-24,5.655661843478528e-25,5.319653850112138e-25
3,-3.3157983984733196e-24,-6.883389085835534e-24,8.575267608450593e-25
4,-1.6527452864817857e-22,-2.007959545012791e-22,-2.6573841645467813e-22
5,2.3401850709563526e-22,-4.2866697747146285e-22,-1.0258803671158285e-21
6,1.5136623204338513e-21,-1.474369982889081e-23,-1.7626101781829225e-21
7,-1.85274337975671e-21,-2.33084041006434e-21,-2.605628392436054e-21
8,3.7773838434886315e-21,-4.3974814477144425e-22,-2.8771550994592224e-21
9,2.7100651533877678e-20,2.5003849478202166e-21,1.733514667180761e-20
10,1.3918970872818687e-20,-2.0393821998218728e-20,3.56448918319029e-20
11,5.713894130958784e-20,-1.3433796212641808e-19,1.9192892193616735e-19
12,6.975522907564245e-20,-2.247120957669047e-19,4.0595747622385393e-19
13,-1.2511694392104916e-19,-4.525693741822846e-19,3.561074274693326e-19
14,-1.1609323187496123e-18,-3.9732097681280346e-19,-6.374614034342116e-19
15,-8.307400384141463e-19,6.205757214579669e-19,-1.5518612136397885e-18
16,-1.1431012490859774e-18,3.422617434852848e-19,-2.233307869804103e-18
17,-3.1668756063478463e-18,-2.319266766545781e-19,-2.749003183814957e-18
18,-3.6183057207235785e-18,1.405566424149014e-18,-3.3808815670999185e-18
19,-9.347282078122506e-18,2.685870469495341e-18,-6.650892646534053e-18
20,-9.212082462625225e-18,3.860781208808569e-18,-7.295711368369463e-18
21,-1.1735704679378098e-17,4.989015332494201e-18,-8.30827963166479e-18
22,-1.9527867851939852e-17,1.117846831079179e-17,-8.378330556047145e-18
23,-2.0861854278148043e-17,1.0366026502695062e-17,-1.1092342977413103e-17
24,-3.1033191906384166e-17,1.7338422855697326e-17,-2.5958135335108458e-17
25,-4.0547236704232894e-17,3.2369125518154306e-17,-3.5030207473425235e-17
26,-6.784268634107492e-17,6.902085896859432e-18,-5.3705971713452336e-17
27,-1.127462922650583e-16,-4.4755679570631595e-17,-1.0077912658249334e-16
28,-5.3542947778959005e-16,-4.87220945539513e-16,-6.272931362637655e-16
29,-3.475738770066882e-15,-3.632086685396948e-15,-4.096924212135303e-15
30,-2.2047437083527678e-14,-2.3674885248963965e-14,-2.5871230721889344e-14
31,-1.270976231538864e-13,-1.368364371303198e-13,-1.4879227591376721e-13
32,-6.657184890173723e-13,-7.159752208280777e-13,-7.762079108032952e-13
33,-3.1813752310140857e-12,-3.415671660531682e-12,-3.695238741620468e-12
34,-1.3958235243079327e-11,-1.495950650087335e-11,-1.6152452523757358e-11
35,-5.655912225322408e-11,-6.051154922068106e-11,-6.521323305142013e-11
36,-2.1281411727704407e-10,-2.273015598792859e-10,-2.4451488292687684e-10
37,-7.472571967401215e-10,-7.968187226561188e-10,-8.556399551009465e-10
38,-2.4596206129152552e-09,-2.618576256714722e-09,-2.807028854090743e-09
39,-7.620447261864462e-09,-8.100362760159338e-09,-8.668765940953227e-09
40,-2.2307011141783528e-08,-2.3676123763418936e-08,-2.529615537919263e-08
41,-6.190836663234671e-08,-6.56116989486573e-08,-6.998989309374581e-08
42,-1.6341098679851758e-07,-1.7293886761473824e-07,-1.8419378969682538e-07
43,-4.114383698482115e-07,-4.348220574067252e-07,-4.624232763487152e-07
44,-9.908075964301355e-07,-1.0456993806523414e-06,-1.1104459474748093e-06
45,-2.2877863181543977e-06,-2.411339968346068e-06,-2.556981060099461e-06
46,-5.0767228703828066e-06,-5.343995096008237e-06,-5.6588611569334475e-06
47,-1.084977546984793e-05,-1.1406609388681693e-05,-1.2062250300750545e-05
48,-2.2376314863398457e-05,-2.3495826914629355e-05,-2.4813361939310663e-05
49,-4.461571190257346e-05,-4.6791721022128206e-05,-4.935155571120039e-05
50,-8.615181825011668e-05,-9.024785975037685e-05,-9.506465635234392e-05
51,-0.00016136674264719575,-0.0001688455526763798,-0.00017763768824538868
52,-0.0002936203234831772,-0.0003068854742282805,-0.00032247623966071915
53,-0.0005197421575293822,-0.0005426301888607378,-0.0005695258909026204
54,-0.000896164897147654,-0.0009346318442891138,-0.000979828637789288
55,-0.001507018873229728,-0.0015700682861860779,-0.001644143545542782
56,-0.002474456792509863,-0.0025753557743845496,-0.00269389948121538
57,-0.0039713728050731305,-0.00412919685895633,-0.004314632205533792
58,-0.006236516000509471,-0.0064780513821789745,-0.006761880178740974
59,-0.009591773748045996,-0.009953786843207258,-0.010379273500200471
60,-0.014461122392243059,-0.014992979324391425,-0.01561825706532073
61,-0.02139042750863769,-0.022157014547807868,-0.023058559982945016
62,-0.031066947615270794,-0.03215180575466941,-0.033428184983833084
63,-0.04433708543469102,-0.04584563340263558,-0.04762137744058056
64,-0.06222067544384058,-0.06428335784462924,-0.06671278127109968
65,-0.08591993221746758,-0.08869509733585089,-0.09196583610601872
66,-0.11682114412126819,-0.12049743314928056,-0.12483345001261395
67,-0.15648730655412643,-0.16128532621561414,-0.1669491193455008
68,-0.2066401618536471,-0.21281321841762954,-0.22010697392226994
69,-0.2691305484930121,-0.2769642446025014,-0.2862296985069733
70,-0.34589654404269393,-0.3557070807965832,-0.3673239011416026
71,-0.4389095831378864,-0.45104066700991163,-0.465423230384023
72,-0.5501094989715815,-0.564927823438249,-0.5825203392515761
73,-0.681330220840409,-0.6992195716688153,-0.720489596951112
74,-0.8342186025387222,-0.8555727182095698,-0.8810031996765104
75,-1.0101494990350297,-1.035363897856386,-1.0654439697988225
76,-1.2101406997812167,-1.2396037569710194,-1.2748186064867328
77,-1.434771624559257,-1.4688552405220072,-1.5096754195530415
78,-1.68410976438743,-1.7231600051278495,-1.7700306165658972
79,-1.9576486944239648,-2.0019768034019254,-2.055307012541642
80,-2.254261103776714,-2.3041352799701653,-2.364288600919795
81,-2.572169700633059,-2.627808010252805,-2.6950937895487166
82,-2.908938096203348,-2.970502837138844,-3.0451693055260827
83,-3.2614828944825978,-3.3290766663138682,-3.4113058578821795
84,-3.626107270540829,-3.6997709231299414,-3.7896756734185297
85,-3.998555364345846,-4.078267909690486,-4.175891046600999
86,-4.3740859048954475,-4.4597663855141745,-4.5650821249257625
87,-4.74756266034464,-4.839073878356581,-4.951991336210959
88,-5.113558625199454,-5.210712554416507,-5.331081194364928
89,-5.466470336440931,-5.569034969474151,-5.696651724700785
90,-5.800638375856382,-5.908345702709139,-6.042963446087368
91,-6.110469973155574,-6.223024749268524,-6.364361740074376
92,-6.39055966954084,-6.507648610764272,-6.655398520138089
93,-6.635804220047525,-6.757105259538876,-6.910947370712961
94,-6.841508282706132,-6.966699539151611,-7.126308731218534
95,-7.003477934782887,-7.132246070752157,-7.297302224291857
96,-7.11809963860226,-7.250147329685319,-7.420343836236665
97,-7.1824029177468995,-7.317455204351142,-7.492506316274405
98,-7.1941056652993,-7.331915016476143,-7.51156183560433
99,-7.151641658041408,-7.291991637158457,-7.476006606380592
100,-7.054170466719745,-7.19687794922188,-7.385067777274257
101,-6.901570509835775,-7.046486460941059,-7.238693474346425
