S,p03,p04,p05,p06,p07,p08,p09
1,3.2234403820241147e-25,-3.7392623646028826e-25,1.850745198075979e-25,-4.83003581416197e-25,8.736325962537352e-25,-3.673993939740681e-25,1.0720064758301292e-24
2,-2.9883379658883206e-23,-1.0523554687742938e-23,-6.336162470660237e-23,-1.7436505551844135e-22,-1.719624975320383e-22,5.397669270179204e-23,2.940648666980073e-23
3,4.334681244477961e-24,3.733514914479083e-22,7.468712970575885e-23,8.628367415249944e-22,1.1032485784028988e-21,5.185177614058243e-22,2.521039205720156e-22
4,1.079855785673976e-20,1.0775492569855303e-21,9.700127583557859e-21,5.185935174898839e-21,-3.121493573660803e-21,6.6328304326219815e-21,4.219682387374474e-21
5,-2.975120762448602e-20,3.93883331932036e-21,-2.077270523990445e-20,3.688531471904904e-21,2.787222569986165e-20,4.937821525135599e-22,8.913550875767628e-21
6,4.166489946378456e-20,6.646874251269777e-20,5.567433469602756e-20,2.3426042177515923e-19,1.3119185698683553e-19,8.86648498417667e-20,1.6834460018815692e-20
7,4.358241082167335e-19,-6.71854045599756e-20,-1.7517548177404336e-20,2.937682335087536e-19,6.867970072015328e-20,7.346523015246368e-20,2.3651741784027426e-19
8,-4.3361772062275526e-20,-1.614083042042535e-19,6.863061011152828e-19,7.699824755771755e-19,4.505526224700426e-19,-1.2363535519170337e-19,4.577752453388616e-19
9,6.753092362611403e-19,1.4852817256984979e-18,1.645029233357082e-18,-9.743692521713215e-19,-4.181228481579283e-20,-2.2360841740388783e-19,6.499554782579379e-19
10,-4.589682425758285e-19,5.110009841861836e-19,-9.908124541316933e-19,-2.0192931538044714e-19,1.2447736531876088e-18,-1.5107596633230164e-18,1.6565219863540069e-19
11,-2.8864643428854693e-18,3.665025130666379e-19,-1.923824793457089e-18,5.366094917453822e-18,4.2048726228171145e-19,1.2445796265261764e-18,4.356584801410489e-18
12,1.1267887620426983e-18,3.904636059884232e-18,3.63473256007664e-18,-5.602098699072528e-18,-5.901595595227885e-19,-9.523750434668522e-18,-7.60296106528129e-18
13,-7.70622414141032e-18,-9.953242220148863e-18,-1.115991345060735e-17,4.645185420180328e-18,-5.420311108659668e-18,-6.830115171655494e-18,-6.179126022450205e-18
14,5.827706877326835e-18,-1.0713327283643232e-18,7.976533127548587e-18,-2.0386189085949564e-17,-4.349998949154697e-17,4.550463586875379e-19,-8.537450847432925e-18
