S,p03,p04,p05,p06,p07,p08,p09
1,7.138462541458786e-15,-1.5811806670993774e-14,-2.255934428652062e-14,-2.283443464199228e-14,-2.082498354002418e-14,-1.771545177888726e-14,-1.3170957496931421e-14
2,-1.3357375025983733e-14,5.935808351377083e-14,7.571568512093944e-14,7.227416219743797e-14,6.259593871885261e-14,5.0072041218426055e-14,3.3163245785563716e-14
3,-9.713475124696959e-14,-1.448809316782524e-13,-9.78881005329428e-14,-4.6154733096166496e-14,-1.8960120770739637e-15,3.685794145032088e-14,7.65362757529699e-14
4,6.576829449075062e-15,-2.2247380343870843e-13,-2.5464524043558045e-13,-2.2718992834777336e-13,-1.8396758047609215e-13,-1.341791981896266e-13,-7.122137977153151e-14
5,-1.0381879708725549e-13,2.744552727453952e-13,3.784133410612854e-13,3.766597903717129e-13,3.384874069747733e-13,2.830520063838189e-13,2.04029690139653e-13
6,3.9318006305619635e-13,4.670836679554085e-13,2.612810025431304e-13,6.710153832840386e-14,-8.865046981523229e-14,-2.1903371021889002e-13,-3.4627151842190315e-13
7,5.387684594726871e-13,6.034129027082275e-13,3.1648211458125573e-13,5.5047105831835416e-14,-1.5131483257397545e-13,-3.218221713301832e-13,-4.858584523520007e-13
8,1.3183161335700905e-13,8.412350414445028e-13,8.575005441525747e-13,7.006506022878858e-13,5.117246076095502e-13,3.127753051352086e-13,7.590339104506483e-14
9,-1.0047692024538637e-12,-1.8343006576301365e-13,4.70193952856687e-13,8.323250862060432e-13,1.0296907404980065e-12,1.1347810952471617e-12,1.1735276209077313e-12
10,1.2463013444670824e-13,-1.132521714754278e-12,-1.3579355214631926e-12,-1.2482677982060888e-12,-1.0416051256822017e-12,-7.923594785285e-13,-4.689847153676321e-13
11,9.53839631755526e-13,1.547418841970443e-12,1.0979373791328403e-12,5.691594611907621e-13,1.0678926501693102e-13,-3.05295265831703e-13,-7.325822291155275e-13
12,-1.6064038853230082e-12,-1.4741824507875663e-12,-5.746470403468191e-13,1.6410792073519293e-13,7.170828820518534e-13,1.1539205900217614e-12,1.5516125121138954e-12
13,1.9845535261923963e-12,1.4940419445398877e-12,3.4146363529999853e-13,-5.282801164925686e-13,-1.1458856712429012e-12,-1.6114115178438676e-12,-2.0102918168589673e-12
14,-2.2071117727905696e-12,-1.880469232006638e-12,-6.248053392745585e-13,3.726819830229676e-13,1.1038012357865169e-12,1.6716438124468703e-12,2.177329508953954e-12
15,2.087060895994801e-12,2.6084823301969455e-12,1.5239414595142095e-12,4.678389136925689e-13,-3.906070712497023e-13,-1.117496775496014e-12,-1.8330290673426414e-12
16,-1.159613799421444e-12,-3.224135675978844e-12,-2.841165174439065e-12,-2.014345257164119e-12,-1.1793600788603905e-12,-3.7117545031346534e-13,5.335768007780794e-13
17,-8.940720768104113e-13,2.7508192461801552e-12,3.696914889969919e-12,3.626681258995251e-12,3.2157488506233953e-12,2.6440117804737566e-12,1.8462938349946767e-12
18,3.3570361378395893e-12,-2.94071880948015e-13,-2.6018219244719722e-12,-3.695710262744423e-12,-4.17423970532699e-12,-4.318781412670158e-12,-4.187586903022143e-12
19,-3.976307430807725e-12,-3.3557508765143034e-12,-1.0816842122142258e-12,7.17293678297634e-13,2.031981349421439e-12,3.050075153597881e-12,3.953828453896653e-12
20,7.162331049816303e-13,4.754177286186492e-12,4.8570197649060435e-12,3.968817764304023e-12,2.893254052442584e-12,1.7603032779810016e-12,4.100897825284889e-13
21,4.336589924672337e-12,-7.782603515877964e-13,-3.810253883320958e-12,-5.170761779790733e-12,-5.7088618011659145e-12,-5.803689699261633e-12,-5.518481157528376e-12
22,-4.617760412332934e-12,-5.285707694182822e-12,-2.810359128255196e-12,-5.283668177039379e-13,1.2823763454139604e-12,2.784809254727262e-12,4.2331289320835276e-12
23,-2.252551667611989e-12,4.471932126034309e-12,6.548080847150724e-12,6.700044864785674e-12,6.1552097796288295e-12,5.270769860345064e-12,3.955107416361752e-12
24,6.67229540714736e-12,4.199414218392268e-12,1.95882780850717e-13,-2.6373996427707672e-12,-4.558853228136533e-12,-5.942275638352773e-12,-7.049840294784291e-12
25,5.158296591988511e-13,-6.693246759646236e-12,-7.866336751187585e-12,-7.123500284738504e-12,-5.846697118067691e-12,-4.341209176458358e-12,-2.4118105720452894e-12
26,-7.944518774071056e-12,-3.765650783258687e-12,1.159568564170012e-12,4.365403195125404e-12,6.4048739813183725e-12,7.768482352962655e-12,8.733278533073761e-12
27,-2.954449672931884e-13,7.950731959435798e-12,9.124673914506108e-12,8.131001193783605e-12,6.5597648960034425e-12,4.7477894336364005e-12,2.4569839997678678e-12
28,9.15349551643919e-12,5.038094344635864e-12,-5.560671998711732e-13,-4.350173397325399e-12,-6.843315196810692e-12,-8.576839460256063e-12,-9.886128374405564e-12
29,2.193720394806562e-12,-8.101838474449155e-12,-1.0577990914737152e-11,-1.0204323042967539e-11,-8.901830523996834e-12,-7.170662091949283e-12,-4.802697132916627e-12
30,-9.747963385678818e-12,-8.23557182390929e-12,-2.6225744095538552e-12,1.819438896684134e-12,5.062357512087296e-12,7.569745303833072e-12,9.78976352116567e-12
31,-6.446161302579844e-12,5.828548018229654e-12,1.091136220056683e-11,1.228867930698466e-11,1.213094099227038e-11,1.11842358631883e-11,9.401952740446134e-12
32,7.769140516380301e-12,1.2164728164776545e-11,8.362531856162166e-12,4.0413419748557165e-12,3.0948119734361286e-13,-2.9849195837610208e-12,-6.36818613062065e-12
33,1.1727714765553196e-11,5.19299230074906e-13,-7.380484712800158e-12,-1.1425663515601208e-11,-1.3406349265646728e-11,-1.4252601490891532e-11,-1.4208997564302846e-11
34,-9.541768313360058e-13,-1.3217441003405422e-11,-1.4159194844472039e-11,-1.1985112160664909e-11,-9.11436937739628e-12,-5.984399397559316e-12,-2.1667215393848057e-12
35,-1.3713065871149874e-11,-1.0177520311644988e-11,-2.061422485378754e-12,4.040413982698227e-12,8.36029952850841e-12,1.1611825648200827e-11,1.4389117717177888e-11
36,-9.819150374948907e-12,6.623890973068406e-12,1.4201753268791987e-11,1.674801004895829e-11,1.7116763815229078e-11,1.6369221100273435e-11,1.4548138610797055e-11
37,6.79078432532831e-12,1.7215003074563544e-11,1.50976988943489e-11,1.0945656754036726e-11,6.934533483413146e-12,3.222676513089115e-12,-6.682579248142454e-13
38,1.7300809412150026e-11,9.639928685002102e-12,6.232470946526417e-13,-4.554267516597225e-12,-7.093716024951925e-12,-7.902450144637413e-12,-6.96144530039348e-12
39,1.0398578254735054e-11,-5.389206379309355e-12,-7.631314574404785e-12,-3.4809142434306224e-12,3.4077403967971753e-12,1.2351282364799523e-11,2.548633620819295e-11
40,-4.59662753680204e-12,-2.5682134064506743e-12,1.7952161865844547e-11,4.20355771734851e-11,6.692033002078418e-11,9.405646798216515e-11,1.3038010007858898e-10
41,-4.475595240414606e-12,4.411478478253387e-11,1.0661601668198538e-10,1.69123654482658e-10,2.3177207576428113e-10,3.001883748355223e-10,3.929824586869307e-10
42,3.496863682062749e-11,1.7008692737197567e-10,3.241291226332099e-10,4.818547054133623e-10,6.441009089148294e-10,8.247827673301622e-10,1.0735737328624005e-09
43,1.4370661845170856e-10,4.73321905367488e-10,8.681674031053386e-10,1.2836689314933761e-09,1.7154027810817116e-09,2.1975901672904717e-09,2.861119034502862e-09
44,3.987723407042727e-10,1.2330271232857544e-09,2.2619213105279623e-09,3.3441614950624285e-09,4.4624663114122365e-09,5.703762527278185e-09,7.400308937237784e-09
45,1.0182698964557139e-09,3.1443354616489936e-09,5.745637561033109e-09,8.448578344726623e-09,1.1215418307888314e-08,1.4263512077417587e-08,1.8399942748712934e-08
46,2.544057685950433e-09,7.793264130566956e-09,1.4084295003939284e-08,2.053506257466264e-08,2.7080165322993884e-08,3.4242015141794736e-08,4.3900010007332e-08
47,6.202509828871306e-09,1.8624074025795544e-08,3.320281890737505e-08,4.797572301182801e-08,6.284728095680776e-08,7.902169834874335e-08,1.007086094876898e-07
48,1.4627426527197597e-08,4.2854479527554213e-08,7.536675386952855e-08,1.0795883908074568e-07,1.4052914405600827e-07,1.7574988017757745e-07,2.227154792682388e-07
49,3.327803627683603e-08,9.511488627562182e-08,1.6511366053466275e-07,2.3456570160570263e-07,3.0348026686330045e-07,3.775859093641626e-07,4.758723003818652e-07
50,7.311749706735512e-08,2.0409253083175056e-07,3.4989814172467164e-07,4.931138459567172e-07,6.342324730041512e-07,7.851457882059119e-07,9.842447770679523e-07
51,1.5547929300310789e-07,4.2423256030659597e-07,7.185476214066238e-07,1.004778250514182e-06,1.2848864929566222e-06,1.582816212878757e-06,1.973834982135865e-06
52,3.206020127125832e-07,8.556808852782256e-07,1.4322477312347917e-06,1.9875266882744428e-06,2.5272753172353922e-06,3.098320688039666e-06,3.843985038098649e-06
53,6.421273807050369e-07,1.6772446559255077e-06,2.77499575748237e-06,3.8221282761753535e-06,4.833266738200975e-06,5.897480692113589e-06,7.28021303421456e-06
54,1.2510067173757865e-06,3.199288443369319e-06,5.2333715042648466e-06,7.1555051112119886e-06,8.999583507464032e-06,1.0930592736533994e-05,1.3427349361678576e-05
55,2.3738205824201728e-06,5.94625344933049e-06,9.619138156200393e-06,1.3058033424551971e-05,1.6336403481440134e-05,1.9752226017244335e-05,2.414778752612442e-05
56,4.39254935127577e-06,1.0781924906888757e-05,1.7252601961608398e-05,2.3256522542493524e-05,2.8944676305176774e-05,3.484240648667378e-05,4.239635438182918e-05
57,7.935383680525728e-06,1.9094664520012646e-05,3.0229743353243358e-05,4.047035395594607e-05,5.0113342831846854e-05,6.006381708374671e-05,7.275038796859398e-05
58,1.4011242624479598e-05,3.306447549822866e-05,5.180168447443769e-05,6.888436087109912e-05,8.487410144232043e-05,0.00010129636466336517,0.00012214055241146425
59,2.420423093212813e-05,5.60387825199103e-05,8.69007503172777e-05,0.00011479803354661001,0.0001407575032435426,0.00016729662950141296,0.00020083400631409437
60,4.094820503419363e-05,9.304887785422514e-05,0.00014285274791780113,0.00018749596558532327,0.00022879929868943472,0.0002708345605171556,0.0003237259178531651
61,6.790573702178286e-05,0.00015150368556555673,0.00023031954433573403,0.00030038840905287194,0.0003648493127725719,0.0004301624443337004,0.0005119970455002804
62,0.00011047978868389086,0.00024210130155129732,0.0003645188905685853,0.00047247260672892213,0.0005712358508818484,0.0006708707649338144,0.0007951932352272825
63,0.0001764899722041585,0.000380001081856958,0.0005667689950600592,0.0007301644326240757,0.0008788359133729548,0.001028181243135552,0.001213776380521364
64,0.000277047950477323,0.000586299247574109,0.0008664028988357486,0.0011095450811219837,0.0013295946157830228,0.0015497184207613874,0.0018221850153321683
65,0.00042766784647931097,0.0008898484530312654,0.0013030916433033404,0.0016590585438280006,0.0019795256762078373,0.002298787205841827,0.0026924259400820673
66,0.000649647008275043,0.0013294560160464696,0.001929605125227946,0.0024426820810351923,0.0029022084355756618,0.0033581647428631957,0.003918196194537764
67,0.0009717496721011567,0.0019564861828067935,0.002815025222518178,0.003543573829484951,0.004192775783421182,0.004834391142762486,0.005619507822602501
68,0.0014322206208860217,0.0028378787594514673,0.004048407375094253,0.005068179447784592,0.005972362136785996,0.0068625157709080445,0.007947757230923043
69,0.002081147621779375,0.004059579817071971,0.00574286478415134,0.0071507540311616736,0.008392952245679191,0.009611225148894847,0.011091147979203499
70,0.0029831801880432123,0.005730360386560565,0.008040024564382502,0.009958227543524375,0.011642541433695086,0.013288246657936955,0.015280342378623968
71,0.004220598195717246,0.007985976823064692,0.01111477868303494,0.013695313153950355,0.015950487595974106,0.018145891005887822,0.02079418539566753
72,0.0058967074643083775,0.010993602829366572,0.015180225748333716,0.01860972979814251,0.021592906736695068,0.024486567865142687,0.027965316245118017
73,0.008139521170704076,0.014956439199824327,0.020492674246934735,0.024997384810437548,0.02889793897284103,0.032668085244525885,0.03718546083471085
74,0.011105666699521757,0.02011838455441218,0.027356555329199325,0.03320734138012293,0.03825069262228881,0.04310852591984267,0.04891018378941591
75,0.014984438190298337,0.02676863010882727,0.03612907530689785,0.043646380527940114,0.05009766187168806,0.056290485211620604,0.063662873647028
76,0.02000189668578461,0.03524602526963124,0.04722442610032999,0.05678295965546749,0.06495040987213745,0.0727644547322468,0.0820377399773861
77,0.026424903514803474,0.04594304981082402,0.06111736710903132,0.07315037049321262,0.08338831476244396,0.0931511470680401,0.10470161702964799
78,0.03456495942969083,0.059309223604061816,0.0783459951709899,0.09334890899680631,0.10606019136744435,0.11814257676358188,0.13239439481139875
79,0.04478171302447518,0.07585378705215512,0.09951353077103013,0.11804688843804172,0.13368462589053337,0.14850174288509851,0.165927934363077
80,0.057485997875750976,0.09614749485323189,0.1252889683386603,0.14798035410587346,0.16704889399097167,0.18506079673171713,0.2061833679511588
81,0.07314225922917647,0.12082338244307361,0.15640646575054937,0.18395139267529956,0.2070063728803884,0.2287176233150455,0.2541067350112997
82,0.09227023818305657,0.15057638796092956,0.1936633819955464,0.22682496998428378,0.2544724037430036,0.28043081502054296,0.3107029586281707
83,0.11544579417896443,0.18616174201703042,0.23791691097346024,0.27752427591021467,0.3104186098303228,0.341213068121429,0.3770282226293517
84,0.14330076487732551,0.2283920717389419,0.29007930189807957,0.3370246022495539,0.37586572577681626,0.4121230851374199,0.4541808634415487
85,0.17652178556836995,0.2781332031114361,0.35111170089785965,0.4063458268677389,0.45187504276493956,0.49425611604696135,0.54329094125521
86,0.21584801728640426,0.33629868490526804,0.4220166922188812,0.48654362281014074,0.5395386199635759,0.5887333168673585,0.6455086995619043
87,0.26206776269822046,0.40384309683808123,0.50382965904691,0.5786995525886317,0.6399684532180048,0.6966901431885507,0.7619921589208121
88,0.316013980421271,0.4817542423711378,0.5976091216286274,0.6839102437725458,0.754284825637455,0.819264027338585,0.8938941184732073
89,0.3785587404181672,0.571044361167993,0.7044262425818342,0.803275870918105,0.8836040902531462,0.9575816098688247,1.0423488563535908
90,0.4506066942285219,0.6727405263595446,0.8253537148296176,0.9378881897589517,1.0290261514832066,1.1127458083467816,1.2084588273515744
91,0.5330876628149073,0.7878744162581212,0.9614542656211336,1.0888183818481232,1.1916219193691155,1.2858230088852012,1.3932816530740193
92,0.6269484706173714,0.9174716682134376,1.113769020132409,1.2571049713060651,1.372421008513084,1.4778306587240064,1.5978176870146423
93,0.7331441760989391,1.0625410333978618,1.2833059700673903,1.4437420702046604,1.5723999428173212,1.6897255222247372,1.822998415326734
94,0.8526288658991084,1.224063555261155,1.4710287867570098,1.649668195979572,1.7924711083400426,1.9223928388883138,2.0696759250031405
95,0.9863461912022167,1.4029819913325543,1.6778462050501404,1.8757558839899449,2.0334726709437145,2.1766365917732085,2.3386136361079504
96,1.135219830821879,1.6001906883779664,1.9046021846428463,2.122802292055677,2.2961596442460155,2.453171059459898,2.630478455326909
97,1.3001440657873922,1.8165261052991384,2.1520670304451257,2.391520962782398,2.5811962581381116,2.752613786056336,2.945834466104336
98,1.481974645105955,2.0527581574363434,2.4209296243250957,2.6825348751095985,2.8891497403089508,3.075480063249533,3.2851382276691603
99,1.6815201122724686,2.309582531098512,2.711790888358902,2.996370880190386,3.220485584285534,3.422178977610213,3.6487357128748523
100,1.8995337475826177,2.5876140892727215,3.0251585658320814,3.333455579789463,3.575564338859286,3.793011036646212,4.036860874370929
101,2.1367062630781035,2.8873814596664102,3.36144337191203,3.694112669133231,3.9546399166739237,4.188167349702674,4.44963579136346
102,2.3936593658090235,3.2093228656037374,3.720956532293589,4.078561731689042,4.357859385281743,4.607730305755493,4.887072316058185
103,2.6709402818742887,3.5537832298618315,4.10390869621572,4.486918441633046,4.78526417300719,5.051675660222818,5.349075110494306
104,2.969017309253752,3.9210125522260206,4.510410180922093,4.919196101559315,5.236792595158094,5.519875917706442,5.835445941333096
105,3.288276442594908,4.3111655341762845,4.94047247857125,5.3753084188341616,5.712283583937853,6.012104877402021,6.345889082460973
106,3.62901908863924,4.724302399349728,5.394010934291895,5.855073404273791,6.211481488071923,6.528043192904887,6.880017663007445
107,3.9914608675575654,5.1603908367755755,5.870848485851628,6.358218261686719,6.734041795718195,7.067284788229138,7.437360791368329
108,4.375731473707681,5.619308975695476,6.370720341407782,6.884385126269258,7.2795376265487,7.629343966806355,8.017371283718381
109,4.78187554971271,6.100849286275468,6.89327946202693,7.43313750371128,7.8474668357051325,8.213663049674562,8.619433827823228
110,5.209854510660726,6.604723289744552,7.43810270995561,8.003967259883977,8.437259573248703,8.819620382535394,9.242873419161421
