S,p03,p04,p05,p06,p07,p08,p09
1,-3.189125013272782e-21,4.572604517105952e-23,-2.1175110562003157e-21,-5.298281217015657e-21,-5.2067578670455095e-21,7.482469886294551e-21,6.850930220065418e-21
2,-3.55146370999544e-19,-2.9878361680813537e-19,3.2432449572314863e-19,-7.835255609240723e-21,4.610969077559968e-19,4.185465336524303e-19,-7.504316867341681e-19
3,-1.5284650104440467e-18,-7.972711074360657e-19,-1.1860037082901234e-18,2.3133242071874105e-18,-3.4052627961286172e-19,-4.031688509820769e-18,2.153232559262484e-18
4,-1.8838724607646415e-17,-9.306387684976845e-18,-3.439897875899454e-19,-7.561252590579082e-17,-4.6213829892390514e-17,3.0644551617629936e-17,-3.0956392596294474e-17
5,3.266642687110115e-16,-6.957549685547432e-17,2.7280708419524825e-16,3.6602252753873284e-16,4.1413837909651544e-16,5.631679841606789e-16,2.291389616382647e-16
6,-1.0894163467968671e-15,3.146855017860911e-16,-1.1158102532884137e-15,-1.0257190238700317e-15,-3.7485016711349936e-16,-4.568038689883909e-16,-1.3887256051776308e-15
7,-1.0333201790327003e-15,8.022679748983327e-16,-1.5268131026291298e-16,-1.2128628107290331e-15,-3.984496520462619e-15,2.1301716144629929e-16,1.0107447820861555e-15
8,6.2733519183699275e-15,-2.5465785427886343e-15,9.720433914698805e-15,4.031229681281778e-15,2.277419965030323e-15,1.616530407831141e-15,2.5110717014772088e-15
9,-2.458440410564698e-15,-4.021628814694788e-15,-4.4216941227860756e-15,2.480035670545995e-15,-1.806823065739887e-15,-3.928741740241863e-15,-3.547523016942481e-15
10,4.123613857419747e-15,-9.209966977617363e-15,5.8800588413149765e-15,-1.3505039169921115e-14,-1.0254220124054883e-14,1.3399664098485219e-14,-1.3522973766374657e-14
11,1.599518765028557e-14,2.2921785052291354e-14,-3.292214546878662e-14,-2.6065412713984818e-14,-3.2001994790421895e-15,-2.9176061175737823e-14,2.048547747982725e-14
12,1.676690516406549e-14,1.8862937947170956e-14,1.2045106690020533e-14,-3.845563612839669e-14,-3.069003820627629e-14,4.5822979504113074e-14,-4.3662559719996015e-15
13,-5.99989158662961e-14,-1.076501055138873e-13,1.8665394643063773e-13,5.272910168549024e-14,-4.2579267004460705e-14,6.544028890756368e-14,-6.703224140273766e-14
14,1.4109457204378329e-13,1.8805729841622153e-14,-9.75989511772817e-15,-8.895073181290035e-14,-2.0777349114229109e-13,-3.2451460715606757e-14,2.1724564324632243e-13
15,8.918505431097186e-15,-1.1121588453422466e-13,-6.749637189897533e-14,-7.612377767353074e-14,4.0461458306967767e-14,-3.405725576095553e-14,-8.09692303352515e-14
16,-4.715035502629136e-14,-9.640001382282215e-13,-4.75065966813181e-14,-6.042727580041496e-14,-2.190375075591654e-13,3.463332563591305e-13,-1.996968249620914e-13
17,-6.350711268328906e-13,-1.1361421654319024e-13,-5.564190015249524e-13,-9.838778135038411e-14,-2.3560595672670822e-14,1.954159231681651e-13,4.547838930245634e-13
18,-7.096892799890675e-13,-7.801742823129668e-14,-7.844738258516298e-13,3.464577075771681e-13,-6.894428866965183e-14,9.103486476018314e-13,-3.27113795113844e-13
19,-3.4305809485042064e-13,8.540713704221495e-13,-4.760561615202008e-13,6.880764596229906e-13,4.4453361112781343e-13,-6.111813002644468e-13,1.7434720343118325e-12
20,9.070065541351553e-13,1.3162150811141122e-13,1.6256434290407638e-12,-2.5787119561723404e-13,-6.920581620377874e-13,-4.5506870509266647e-14,-2.748675766553757e-13
21,-1.1716861856505682e-12,-6.098945888794146e-13,-1.9558807339425567e-12,-5.517175897908681e-14,-4.1822253143217505e-14,2.2598933910801374e-12,1.8279226283440146e-12
22,9.086836475408233e-13,-1.0731567142813924e-12,-1.5129684062989455e-12,3.3940043776928187e-13,-4.4778104958994e-13,1.4071264146342884e-12,-2.9717526115286456e-12
23,2.159419595404815e-13,1.1056653365175578e-12,-1.445448713547597e-12,-1.1061408638608913e-12,6.172855080564121e-12,-4.942840693214096e-12,-1.7783260731935846e-13
24,2.4048406221621687e-12,-1.7371755980275195e-12,-6.556327876578773e-13,-1.1591488147133652e-12,4.0149612353736385e-12,-1.002030623371244e-11,-2.5693916854029493e-12
25,1.375213457478149e-12,1.5063873368358443e-12,1.1994473286420774e-12,-2.91973116634934e-12,5.458790416537705e-13,1.0896291271453253e-13,1.0069760863589435e-12
26,3.099041611308468e-12,6.2432230057252444e-12,2.7044159547844167e-12,-7.023926496339885e-12,9.050946117025356e-13,-5.168903859703206e-12,-1.5921080212306908e-11
27,-3.2659789486655795e-12,-4.910949339155586e-12,2.7054226892115776e-12,7.264983430227815e-12,-4.215980503152746e-12,3.2401443104456004e-12,1.5142784766315905e-12
