S,p03,p04,p05,p06,p07,p08,p09
1,7.973789047912788e-25,-7.95785913075697e-25,4.275454159967464e-25,1.686052067369294e-24,1.040341846584469e-24,5.985238202177687e-24,-3.818778327748063e-24
2,-1.9176795433392e-23,1.5458500246685962e-22,-4.412555795486989e-22,3.675420657960612e-22,-5.258914364629003e-23,2.4128191980943005e-22,6.765107393538156e-22
3,8.91783292104626e-22,-1.6204547591675408e-21,2.488151655341119e-21,2.384177636127327e-21,-3.7096092825868626e-22,-2.5605013297713507e-21,-1.0085194223742023e-21
4,-1.2181243337677143e-21,-3.739446551922861e-21,4.735472372146873e-21,-1.4570086577583386e-20,1.0463589421454098e-20,-2.0184471006242158e-20,2.060034784883888e-20
5,6.825984115391827e-20,-4.79708560545305e-20,9.725984427057365e-20,1.494195239314073e-19,1.189392622994583e-19,7.834074388087326e-20,2.8644175134205984e-20
6,3.6567346869578835e-19,-6.958620572075763e-19,-6.659192414545729e-21,-3.026004219865246e-19,6.192028371894713e-20,3.105203649689707e-19,1.7027106171855447e-19
7,-1.4759387878245469e-19,-5.80283492113907e-19,1.5010969553348074e-18,5.092312653480243e-20,3.3707616814975616e-19,3.6723298107303126e-19,-4.993317639373607e-19
8,-5.737578832680524e-20,-2.594036681333177e-19,1.4245321849579252e-18,-1.5844837116353133e-18,3.665444525759344e-19,2.1067017467060905e-18,1.6839498508453207e-18
9,-6.517923414764388e-19,-1.9389927531080872e-18,-1.2665659116093488e-18,3.5248570050832385e-19,-6.276999947346586e-19,6.535334612803781e-19,-2.1784148115568603e-18
10,3.0587723585047525e-18,8.878462408696045e-18,1.2541009807716588e-18,-8.855604708159982e-18,-3.1954029361612957e-18,7.852390079623711e-18,-2.997848807932914e-18
11,-3.4159549840069123e-18,4.342309587361724e-18,7.537155230405334e-18,-5.465499001106643e-18,-8.891148176494741e-18,1.4336213523600085e-17,2.122030236671294e-19
12,-8.028844558774533e-19,-7.664227800987614e-18,3.576050106474218e-18,1.693372380793366e-17,-1.1058108246868001e-17,4.446590809087439e-17,8.294253050680902e-20
13,3.705327719234118e-18,-1.4901426092502553e-17,-1.0283828446353546e-17,4.195570692463187e-17,-3.016130843968675e-17,-8.792037456625551e-18,-8.875963725783345e-18
14,-5.263796844191939e-17,5.721143068487396e-17,-1.7896348796726706e-17,-1.2910210393230124e-17,3.2044377970457686e-17,-6.340039315516904e-17,-6.152390725360348e-18
15,5.954128812105696e-17,-8.002885549412801e-17,5.1539323893042145e-17,1.1206792742376598e-16,-3.2448357357231006e-17,-9.733492607460196e-17,5.820902900303942e-17
16,-1.442328476195684e-16,5.141856968795038e-17,1.0002911507467927e-16,-8.617827766582095e-17,1.639568497057697e-16,-9.265066928252258e-17,-1.4247875318476267e-16
17,2.4998355946077746e-17,1.247663457407769e-16,7.624210519278153e-17,3.4567969989346177e-17,1.8410347120189875e-16,1.699515157366175e-16,-3.0984033137276343e-16
18,2.074609621106996e-17,1.449630991815534e-16,2.6523196837495797e-17,-1.8452533169600102e-16,-7.984596031280571e-17,4.965349539056178e-17,9.200143461799395e-17
19,-6.393466035291988e-16,1.3298968931173607e-16,-6.055685585522821e-17,1.0797490683282876e-16,6.223820844957133e-17,1.9944071103484104e-16,2.997241446903849e-17
20,-7.993511996666347e-17,-4.9162149557307096e-18,-4.3247504749119743e-16,-8.811704380338153e-17,1.9879390546862015e-17,-1.2263429041315961e-16,3.3892994138174956e-16
21,1.334751984436556e-16,-2.9247671490337754e-17,1.7162643137724804e-17,-2.355477437295192e-16,-2.073624757025136e-16,-1.7696736259448005e-16,2.7533181667858916e-16
22,5.158492768007378e-16,7.779947473807514e-16,4.216197256023383e-17,6.339336924841134e-16,4.848549495625444e-16,-3.496496346084213e-16,-1.7747426188751935e-16
23,5.952176125344108e-16,-8.8435707188802e-17,-3.172255042653838e-16,3.034800889767641e-16,-4.625500171169439e-16,-1.199460300467729e-15,1.6721884301692564e-15
24,7.956466256455887e-16,-6.846107943876571e-16,-7.974162806115204e-16,-9.51599116427654e-16,-6.287976441514732e-16,9.800396228961807e-16,8.587109036275488e-16
25,4.0462033707791824e-16,-4.9894410694110734e-15,1.7737951599419434e-15,-1.6493820263091485e-16,2.589149446929437e-15,-4.156135922479968e-15,2.566256260152906e-15
26,5.211698625545055e-17,4.472686960998464e-15,-1.103252977838393e-15,-2.831958289363932e-15,-5.429537726484001e-15,4.756213037459439e-15,1.9751616948890345e-15
27,2.20677947985341e-15,-1.077764282247744e-15,2.768355484891854e-15,-1.6840137708613115e-15,-1.4279102390386197e-15,-4.2578394862318835e-15,3.582465609114098e-15
28,-9.794038826498238e-16,-3.4755719474126495e-16,-1.5578263361519615e-16,-1.5619309762832826e-16,-3.048095818746684e-15,3.525789974873268e-15,-5.779844736309283e-15
29,8.038990180637581e-15,-6.288655235416026e-15,1.5045808099427813e-15,-2.5246776229059015e-15,4.5552794000937856e-15,-1.0103193376209434e-14,3.6347381631162584e-15
30,-5.055580221214756e-15,-5.868965293589882e-15,-6.312727728564232e-15,4.365725793857337e-15,3.0761547625462494e-15,-6.29790361607175e-15,2.2675765384538337e-15
31,1.0747599948630727e-14,1.2781957561556233e-14,-5.775079437570564e-15,4.201979792588266e-15,-3.141412977713141e-15,-1.951886569121075e-15,-2.4037093815935186e-15
32,1.661188169527273e-15,7.84019471128101e-15,6.228349154799444e-15,1.7156092532918357e-15,-8.982589902304238e-15,3.0047903204433607e-15,8.003664535577334e-16
33,9.689397583315865e-15,9.58783751809984e-15,2.0411131426350115e-15,2.0824614477070583e-14,-4.477248956043692e-16,2.8534583920275484e-15,7.813186758746299e-15
34,1.0890432046888143e-14,1.0938640049902931e-14,2.099073136751507e-14,4.4513318001285805e-14,8.169728940191743e-14,9.099907379509096e-14,1.2201655032652707e-13
35,8.164537231360607e-15,3.75985982533822e-14,1.1331849261736427e-13,1.737414631134692e-13,2.1443368914306507e-13,2.9775137235692894e-13,4.30035534664657e-13
36,4.3764336733238395e-14,1.9985190592927414e-13,4.0502311300962727e-13,6.321211057694694e-13,8.865105465798795e-13,1.181614705725695e-12,1.5833674112764424e-12
37,1.968658105501543e-13,6.880822587027051e-13,1.4206798719823263e-12,2.1958339624544225e-12,3.0802042601523534e-12,4.018601293190882e-12,5.393248090633793e-12
38,6.614094851007738e-13,2.392188796764749e-12,4.702308421000231e-12,7.250751469531214e-12,9.984965196808282e-12,1.3081047065807787e-11,1.7427353001421563e-11
39,2.121229126950181e-12,7.494121605175197e-12,1.4660726931505378e-11,2.2424349172989737e-11,3.063184238016093e-11,3.994094256893297e-11,5.289380452432814e-11
40,6.572221811919614e-12,2.264438612773372e-11,4.335039946802193e-11,6.562629214340449e-11,8.89895345147037e-11,1.1516042652900694e-10,1.5139044866491805e-10
41,1.9389720853246072e-11,6.446291904327327e-11,1.215205775967962e-10,1.819677213270828e-10,2.447253954671388e-10,3.1478456000876364e-10,4.108145800249067e-10
42,5.3829934548484217e-11,1.7438950865360344e-10,3.2351137438868817e-10,4.796431440396115e-10,6.402886804351226e-10,8.182955795824571e-10,1.0608105375740138e-09
43,1.4293993302905664e-10,4.495019206917509e-10,8.21050853618677e-10,1.2052830883221445e-09,1.5973705696149165e-09,2.02834693840989e-09,2.612421853759192e-09
44,3.617979416424627e-10,1.1067832109182034e-09,1.9919025542382916e-09,2.8957487292900544e-09,3.810471800890517e-09,4.8092659296195285e-09,6.153649365757973e-09
45,8.770017943743404e-10,2.61075153979349e-09,4.630397018540327e-09,6.6683517119766606e-09,8.71355654890219e-09,1.0932568096769654e-08,1.3900033165042887e-08
46,2.040225571756953e-09,5.913979041293927e-09,1.0339963904488962e-08,1.4753720246363547e-08,1.914744297788169e-08,2.388334086947034e-08,3.017836132942372e-08
47,4.564813342409335e-09,1.2892275023763085e-08,2.2227366002726105e-08,3.1429743701588e-08,4.05175715858681e-08,5.025182824230323e-08,6.311238378520336e-08
48,9.843962408374714e-09,2.7103043933634177e-08,4.6091354632827896e-08,6.459909650695905e-08,8.273377521731084e-08,1.0203857811580424e-07,1.2739260232312136e-07
49,2.0499803221061178e-08,5.505131218451035e-08,9.237067659982394e-08,1.2834300018297206e-07,1.6332070314592093e-07,2.003298430483363e-07,2.4865460936366156e-07
50,4.1298850265134855e-08,1.0822862024267804e-07,1.7922290307309945e-07,2.469103969227426e-07,3.12231344251581e-07,3.809363592206524e-07,4.7013751403954403e-07
51,8.062314774511955e-08,2.062828073374224e-07,3.372182375164376e-07,4.60721079385159e-07,5.790252556295468e-07,7.027332134509402e-07,8.624485208748726e-07
52,1.5275426960068322e-07,3.817674620404435e-07,6.162434297817564e-07,8.350849027040363e-07,1.043191287400128e-06,1.2595571275623483e-06,1.5373677848544063e-06
53,2.813019389587407e-07,6.870290350185762e-07,1.095313255877769e-06,1.472432885228899e-06,1.8284888813103903e-06,2.19659342710237e-06,2.66668725517202e-06
54,5.041867440925853e-07,1.20386283947309e-06,1.896055335823702e-06,2.5289004352798457e-06,3.12219572141305e-06,3.732171600830521e-06,4.507023452077875e-06
55,8.806500544813385e-07,2.056614728228006e-06,3.2006254246695696e-06,4.236055442610211e-06,5.200053538436452e-06,6.185753161217823e-06,7.431363184153938e-06
56,1.5008243956985665e-06,3.429394764770322e-06,5.274736020789174e-06,6.928414967022616e-06,8.457503629961808e-06,1.001263075495727e-05,1.1967739172241633e-05
57,2.4983893364139136e-06,5.587961664399357e-06,8.49627109196716e-06,1.1077098456766248e-05,1.3447431381795392e-05,1.5845392302676464e-05,1.8844898504091073e-05
58,4.066810408786761e-06,8.906657494392738e-06,1.3389628277586901e-05,1.7329528446193444e-05,2.0924084879434283e-05,2.454160704965327e-05,2.904411789441926e-05
59,6.479533918148182e-06,1.3900442004854876e-05,2.0665471806800015e-05,2.65545120965618e-05,3.1892191123227e-05,3.723640359704246e-05,4.385544484449043e-05
60,1.0114331556058194e-05,2.1261662513466463e-05,3.12649826443882e-05,3.9891311430875244e-05,4.765947341449752e-05,5.539776887111651e-05,6.493571678197613e-05
61,1.5481690930190797e-05,3.190066782835042e-05,4.640701490026423e-05,5.880056209897188e-05,6.9889929134293e-05,8.088146147733517e-05,9.436473909565923e-05
62,2.325679487614465e-05,4.6988764676925057e-05,6.763583765430868e-05,8.511408050527938e-05,0.00010065440577159898,0.00011598163249899526,0.00013469517140866048
63,3.4314212114653665e-05,6.800140844084174e-05,9.686644825124789e-05,0.00012107988381880597,0.0001424742980960913,0.00016347248008594453,0.0001889910134205558
64,4.9763918541501084e-05,9.675886895204634e-05,0.00013642382439764227,0.00016939820371734624,0.0001983536857181646,0.00022663595187393318,0.0002608492532542826
