S,p03,p04,p05,p06,p07,p08,p09
1,-9.094441703997181e-24,5.263597781049676e-26,-1.3223323511068366e-24,-4.8500444911223205e-24,1.1704650900897003e-24,8.511428239496431e-25,1.1880256677447374e-23
2,-1.1247704379107921e-22,-9.7907048664243e-22,1.5859718271620033e-22,9.334716115476716e-22,-1.4384894071411195e-22,3.0967627026345464e-22,5.816612856334403e-22
3,1.0378322596865495e-20,4.858521021299063e-21,-5.169550706867011e-21,9.532843899216305e-21,-2.937317467896723e-20,1.1469813724180605e-20,-4.537821292258903e-21
4,8.15760401348569e-20,5.1802640133519726e-20,3.6335625610494024e-20,6.207990556171504e-20,-7.45074424705315e-20,-3.950805684799432e-21,1.1225915322642687e-20
5,2.1605196652777968e-20,-4.0902974734702897e-19,-3.9892164517805507e-19,2.550557265829828e-19,-4.001778312202228e-20,3.2924460341554835e-20,1.2178323411525888e-19
6,-1.6903003642952962e-19,-1.739701687482859e-19,3.616365773480987e-19,1.2472770065465579e-18,-1.2271204236436942e-18,2.0738960155310417e-18,-1.523928045111287e-18
7,-3.894370868547453e-18,-8.073947536852779e-20,3.7804722394767e-18,1.3432448953695483e-18,1.0176502825456394e-18,8.615455989712355e-19,1.1626500296359102e-18
8,2.0872009588077588e-18,-4.351501037806819e-18,4.113050565123335e-18,3.0294498424170644e-18,-3.535267365358597e-18,-5.836697429617865e-18,3.730354137861737e-18
9,-1.0342545693874339e-19,-3.760230856878737e-18,5.609375346801252e-18,-7.934441013374266e-18,5.041551895863037e-18,1.2714507764180037e-17,-2.867826694832009e-19
10,-1.081404561231823e-17,8.252822981978535e-18,-2.2702975800162735e-17,-2.297293675552514e-19,-1.4809862945470222e-17,-6.616031325073125e-18,3.1108846069955194e-17
11,1.1972742335781076e-17,-1.9420127648040046e-17,2.0051963022533962e-18,3.760237058855983e-17,2.1432966648370147e-17,1.834805694434426e-17,-1.9736756186340974e-17
12,-6.69669952328613e-18,-1.0904085463166449e-17,-5.3440582626836507e-17,5.300534670045328e-18,-1.2760136405377546e-17,6.037362395378494e-17,-4.8597355968142006e-17
13,-4.044072295884269e-18,6.921446251025682e-17,4.5895617302140667e-17,-2.2341450554536442e-17,1.5144056962602976e-16,-2.528645674465276e-16,-4.105058106844096e-18
14,1.7466585874626872e-17,-1.6722679640894318e-17,8.276209960407065e-17,-1.2098292242843e-16,2.047389726807564e-17,3.9209155857517964e-17,4.258021388866325e-17
15,1.46880369929475e-16,-3.736774054958225e-16,-7.805595218586605e-16,2.1851502360103235e-16,1.2122339577558115e-16,3.565387653315858e-17,3.577385852934279e-16
