S,p03,p04,p05,p06,p07,p08,p09
1,-8.293557319551154e-27,-4.1833975027983454e-27,2.9627663674530265e-27,9.958844738880859e-27,1.3911711626208667e-26,2.0812678101785075e-27,-6.511078995392038e-27
2,2.1426588505844e-26,7.156133278230691e-25,1.477169473116326e-24,-1.7712409521338117e-24,-8.068308756276798e-25,-5.681059146036774e-25,-1.2706353656079679e-24
3,-1.3008812796567677e-23,-1.931177493050584e-24,1.4516839825606038e-23,-2.8726837388464256e-24,-8.825993311815121e-24,2.1599040374131147e-23,1.2997480568140449e-23
4,-1.2965467106441058e-23,-3.073243792858221e-24,-3.504701542681161e-22,4.92456476819788e-23,-1.1953598799185674e-22,1.0819493162115354e-22,-2.078781581351052e-22
5,-6.4255263043273e-23,-2.686858673480324e-22,-1.2612214664172654e-21,4.886591289022581e-22,-3.6681533989806726e-22,-6.824709745603921e-22,-9.894913470703707e-22
6,-1.32447032336374e-21,1.775125115566918e-21,-2.9820341110831518e-21,1.732905265022646e-21,-2.574628599922372e-21,-2.086476936896944e-21,-1.5687589416627068e-21
7,-6.837237063646505e-22,-1.3785941688395128e-22,-8.683806409845935e-21,1.3454536417497995e-21,-3.930036567666913e-21,-2.733843565374251e-21,-1.1906302703089286e-21
8,2.7726237372858037e-21,-1.2211456858446475e-21,-9.06825098951389e-21,1.0581929120793797e-20,8.713835126415665e-21,9.593392548289898e-23,4.959472023748992e-21
9,6.2645460967863194e-21,3.1341853050385286e-21,8.64571299608385e-21,9.77043370949912e-21,1.9852527871297504e-20,1.4192084137195997e-20,-9.922208843506454e-21
10,3.7524739437694726e-20,-1.4159873881901792e-20,3.3383403825170177e-20,7.743571817531314e-20,-2.0986536428164866e-20,6.626856484441013e-20,3.41542357850639e-20
11,7.148021966397348e-20,3.930307478463067e-20,4.5039245882202947e-20,1.9670371897466974e-19,4.952555499477644e-20,1.3283123056151801e-19,-1.4083107078233538e-20
12,1.2460333934041095e-19,5.580087146095439e-20,1.2120637353994574e-19,2.1634110668003373e-19,8.326669451050155e-20,2.8041809568064033e-19,5.539864611817387e-20
13,1.561380446437721e-19,-8.612524793240899e-20,1.6019684051592586e-19,2.4152180626154377e-19,6.170360585335664e-20,4.88801981279072e-19,1.5192685841561222e-19
14,-1.608743858344731e-19,2.6407553725365737e-19,-2.722161877043746e-19,4.0293113740291865e-19,-1.7607121047369373e-19,1.7817060619279317e-19,2.6730139698679485e-19
15,-1.787785703485828e-19,1.1756363280233068e-19,-3.029688853459534e-19,-9.844452762064483e-19,-1.5079644928776005e-20,-2.166047419553153e-18,-2.3989711953964115e-19
16,-1.4778492802607873e-18,-1.5564748727052328e-18,-1.1971706919175406e-18,-1.0412352884601837e-18,9.915375055581553e-19,-3.514014076111847e-18,-7.644155566507743e-19
17,-3.102024953839959e-18,-1.8999916618846903e-18,-1.6551964620170832e-18,-3.0635822984139686e-18,1.10488059456379e-18,-5.4851091704632825e-18,-3.728502915706653e-18
18,-4.700287026295712e-18,-2.6929859029137276e-18,-3.883411116515212e-18,-3.455164610951822e-18,6.91551124020297e-19,-8.010516454943751e-18,-3.492973096310007e-18
19,-6.2148229585359045e-18,-4.397730639190872e-18,-5.959607320886479e-18,-6.588826815534487e-18,-1.3846376407410702e-18,-1.1985927445808693e-17,-4.294464831732526e-18
20,-8.549680889243117e-18,-3.582089949261381e-18,-7.571240455367749e-18,-7.075966134860115e-18,-5.423705396905522e-18,-1.4338230103174668e-17,-3.502527723667954e-18
21,-9.095435822712588e-18,-5.913442061918794e-18,-8.119176390932383e-18,-8.82492433151171e-18,-7.339432829901681e-18,-1.5757103168204072e-17,-6.870091312255e-18
22,-8.310584353333326e-18,-5.9590662366028685e-18,-1.4656165477279245e-17,-1.099355472283494e-17,-8.016736582802654e-18,-2.3141316953211764e-17,-5.644171796876091e-18
23,-9.552353735432992e-18,-1.131567213269208e-17,-1.8043535776944478e-17,-1.1032448528455327e-17,-1.4925277097715355e-17,-1.9970562875394947e-17,-1.2289857526863128e-17
