S,p03,p04,p05,p06,p07,p08,p09
1,9.2446727918693e-25,4.818200865683674e-25,1.7879554929314506e-25,8.049744084983403e-25,-1.1324009484450403e-24,-6.185534465430791e-25,9.552751760310301e-25
2,-1.0649063937979983e-22,5.038737881504923e-23,-1.7534486520262018e-22,-2.883839618277386e-22,-1.0811043765684771e-22,-7.769477114049176e-23,-1.614043532725928e-22
3,1.4619519724383156e-21,-2.6791800268262916e-22,9.460658545256716e-22,7.527970303847988e-22,-9.807402958972587e-22,1.2111125997839336e-21,-1.9413325418621116e-22
4,1.3310799257525295e-20,1.3470518874100427e-20,-1.0316602286775112e-20,3.1436244749426412e-21,5.100767604744849e-21,-6.662157344005997e-21,-3.936797277674169e-21
5,1.1378260506780607e-20,1.9517644363501847e-20,5.2421078107561416e-20,-9.741189773447878e-21,2.2797257132281692e-20,1.7620477462174684e-20,2.3425927047359268e-20
6,-1.91800984032949e-20,1.0568100398534462e-20,8.078358708428547e-20,5.695409715207136e-20,-4.95876498614422e-21,9.57024401293318e-20,-6.286837943746164e-20
7,1.2899276640650902e-19,1.2608668070115601e-19,1.1644156217452672e-19,1.406414077386247e-19,2.2470852938510886e-20,-2.1421694713816823e-19,2.8174689013022664e-19
8,4.277937201459429e-19,4.617306727625094e-21,5.429440212391429e-19,5.789898287876001e-21,7.4064427764548405e-19,-3.2969557735985744e-19,-3.3949454155071067e-19
9,4.913331024571292e-19,5.927300195573827e-19,-3.875759173484137e-19,-2.0242811714264522e-19,-5.242034993059434e-19,-5.079670393628438e-21,9.440384544650893e-19
10,3.2179805537671704e-18,1.327410042086437e-18,-3.3652929728492404e-18,1.5156098563572158e-18,-3.526748515388526e-18,1.7609483968630062e-18,-4.104939465720184e-19
11,-9.405216658163613e-19,4.472205073312009e-18,-2.6331927609794116e-18,-1.4123070919362296e-18,7.456233918065447e-18,2.0625384879874623e-18,2.6520190864764094e-18
12,-3.283745004024561e-18,-1.8070770652997447e-18,-4.484263653992556e-18,-3.321721099208568e-18,-2.920505266610144e-18,4.285618585406492e-18,2.8390981463553777e-18
13,6.889928812862241e-18,-6.068269915796402e-18,6.0428386896396036e-18,-7.147778893224562e-18,-4.784943979425908e-19,1.0102379190269523e-18,3.4258510098097073e-18
14,2.109574144255397e-17,-1.3130422898503796e-17,-1.2964661148721135e-17,-3.916912450659166e-17,3.639441633778064e-18,-1.327213166482161e-17,-1.0452634641699154e-17
15,-4.213614023726908e-17,-9.035722971075306e-17,-5.0705301813377394e-17,1.0321147935717962e-16,9.078343052583955e-17,-3.153711206985219e-17,-2.9844990883507373e-17
16,-5.4099509685165566e-17,-1.6942392677378864e-16,-1.5155818269552472e-16,-1.1750436834257626e-16,-1.5978207560023004e-16,-9.929917995159892e-17,-1.1225395345129407e-16
17,-2.2230684779733576e-16,-1.853693411905578e-16,-2.0226330408308602e-16,-1.0323484605849483e-16,-5.3781137722035164e-17,-2.3574157613980137e-17,-1.4625388073962827e-17
18,-2.557027153173135e-16,-1.1826098678194931e-16,-2.293991146448987e-16,-2.3217652396796266e-16,-2.710922331170899e-16,-1.823569168044469e-16,-1.8465525918935664e-16
19,-1.4910348423472716e-16,-4.228070657826147e-16,-4.378327463222351e-16,-4.140597009872872e-16,-4.553117408373124e-16,-4.705413443338162e-16,-3.9083340174136426e-16
20,-3.405283779856335e-16,-5.643039695785708e-16,-4.85321316545415e-16,-5.162306465956233e-16,-4.1122677217758537e-16,-7.070268090013887e-16,-7.013055074550422e-16
21,-5.164859021223415e-16,-5.689727091757017e-16,-5.29621014382308e-16,-8.551573142113587e-16,-6.460448693193647e-16,-7.37694472594386e-16,-8.569422576467326e-16
22,-8.031960087180393e-16,-7.868458034764538e-16,-6.952820916949757e-16,-6.516897694319651e-16,-1.0759032857983483e-15,-9.760063841586778e-16,-1.1175241085446928e-15
23,-9.935056392107692e-16,-4.1289363210024343e-16,-8.618313050507197e-16,-1.120162336372439e-15,-1.1102644972966523e-16,-3.2959201160311863e-16,-7.827830132699446e-16
24,-4.0850836861491586e-16,-1.3518684425296256e-15,-9.656956045997557e-16,-1.2655644095789482e-15,-1.2448522473915877e-15,-8.9030165238575e-16,-9.423622956250977e-16
25,-1.4088089680831265e-15,-9.856936163182315e-16,-1.104420554238723e-15,-1.541641005529166e-16,-3.127281783544254e-15,-1.6716235190613134e-15,-1.539687244215347e-15
26,-2.2525933847628037e-15,-1.468265973768545e-15,-1.1515134611363153e-15,-2.8030133908053997e-15,-1.5038178902608978e-15,-1.638450140545346e-15,-1.9538428243622597e-15
27,-2.0831771507947144e-15,-4.52106550927394e-16,-1.651651725197705e-15,-2.5483251077078193e-15,-3.694666507198622e-16,-4.599950019336042e-16,1.562985442912184e-16
28,-2.0872861765514093e-15,-5.19318525528022e-16,-1.3159899211006271e-15,-2.2730264943242965e-15,-4.328751883201356e-15,-2.0584436527097306e-15,-3.813006060704213e-15
