S,p03,p04,p05,p06,p07,p08,p09
1,-2.211526629508783e-14,-2.245070107359541e-14,-1.902363362576079e-14,-1.527477127608571e-14,-1.1649162077769755e-14,-7.930084335122703e-15,-3.3382210242403236e-15
2,7.534958120390676e-14,6.990188876409986e-14,5.516147791524785e-14,4.085263257202824e-14,2.7697037631747866e-14,1.4635446998225152e-14,-1.0075302517451816e-15
3,-1.0974390541329764e-13,-3.1446581260826765e-14,2.272164255937495e-14,5.979915544989328e-14,8.736838995995453e-14,1.1018626502510185e-13,1.3267455683190918e-13
4,-2.5761365259570113e-13,-2.1532565080826364e-13,-1.5389955061061007e-13,-9.941681145458055e-14,-5.152376157150741e-14,-5.548690569035495e-15,4.7991865442485705e-14
5,3.727059312827194e-13,3.685247481054841e-13,3.061174367056893e-13,2.4043559538381996e-13,1.7787061462941821e-13,1.1428916386759265e-13,3.6592314343719866e-14
6,3.0758093651414164e-13,1.4089804141972994e-14,-1.7226768580546047e-13,-2.9351392121144935e-13,-3.797418618411521e-13,-4.4796636992418983e-13,-5.106637515113556e-13
7,3.7930136444843735e-13,-1.5581082393472346e-14,-2.6098907086686873e-13,-4.182977716857644e-13,-5.284682459208205e-13,-6.145646136066153e-13,-6.917441880277988e-13
8,8.841922117303629e-13,6.447291764592141e-13,3.8959140010418104e-13,1.803589815539809e-13,4.2784086178352965e-15,-1.5937919508885012e-13,-3.430670008443175e-13
9,3.680847690044649e-13,9.121992706574212e-13,1.1051927566136263e-12,1.1668057205505534e-12,1.169903378534675e-12,1.1367478492523864e-12,1.0569209928325827e-12
10,-1.3642166164984347e-12,-1.1936414727423068e-12,-8.920851085482864e-13,-6.147562657229327e-13,-3.662504342558629e-13,-1.2430107089787543e-13,1.6060652363329378e-13
11,1.2174492280558754e-12,4.1686585598006074e-13,-1.5419719840073278e-13,-5.515840465068531e-13,-8.50472448836503e-13,-1.102049638618743e-12,-1.3526337046422561e-12
12,-7.577781779549796e-13,3.578656465388861e-13,1.0004822349384311e-12,1.3907174898672462e-12,1.6503891987155615e-12,1.840217892294056e-12,1.9931337636544943e-12
13,5.62097037221568e-13,-7.493646649829655e-13,-1.4514157287665789e-12,-1.8527597539325666e-12,-2.103032695265487e-12,-2.270292196363274e-12,-2.3810134216061992e-12
14,-8.739268056147743e-13,6.306083669712054e-13,1.4741483253154922e-12,1.9747142132458933e-12,2.3000519741828793e-12,2.531284874777172e-12,2.7064759775107493e-12
15,1.7731082961367987e-12,1.7677735732108022e-13,-8.559529386925844e-13,-1.5350253095496555e-12,-2.0222856556187073e-12,-2.4127749220019182e-12,-2.776017385157127e-12
16,-3.009109009035077e-12,-1.7530186433385232e-12,-6.763155551841596e-13,1.4118726213415495e-13,7.963467582397155e-13,1.3796901452393846e-12,2.005613948536797e-12
17,3.6534910128643975e-12,3.5339537768663146e-12,2.880071516677194e-12,2.2117868260224437e-12,1.5836278155489449e-12,9.507231196583808e-13,1.818735750083993e-13
18,-2.2727950332861325e-12,-3.91143062385994e-12,-4.301349438158234e-12,-4.281723988785116e-12,-4.0941192463421616e-12,-3.791551235092222e-12,-3.303072239648667e-12
19,-1.5322290396488067e-12,1.1823879861514022e-12,2.6959058703031643e-12,3.591338843572986e-12,4.171947142598492e-12,4.581019445104794e-12,4.886665960540641e-12
20,5.007908958212776e-12,3.651204773220863e-12,2.1982393279298916e-12,1.0052184113038136e-12,9.943024665844766e-16,-9.324666585348866e-13,-1.9805554324168426e-12
21,-3.3926726321374004e-12,-5.4279979032006375e-12,-5.817900452046614e-12,-5.6913922749100685e-12,-5.360988951832834e-12,-4.887001817414521e-12,-4.157327187535884e-12
22,-3.3576288276677934e-12,9.2307871036715e-14,2.2480503065655564e-12,3.6350100138924813e-12,4.6101904832034684e-12,5.372924509473392e-12,6.059387124928494e-12
23,6.399541001340659e-12,6.602592546626884e-12,5.6456969036175955e-12,4.566598757368543e-12,3.5098933365979624e-12,2.419094699290331e-12,1.0649664986935715e-12
24,9.281183484086957e-13,-3.3386365372840283e-12,-5.476383580500593e-12,-6.626379664409878e-12,-7.288600230089127e-12,-7.675695216324391e-12,-7.842514779221428e-12
25,-7.92747966292305e-12,-6.779245392690564e-12,-4.940810581981389e-12,-3.2783711398519158e-12,-1.8029702584655682e-12,-3.7386438368404e-13,1.2948498497436283e-12
26,3.0459518827752775e-13,5.131580627535382e-12,7.326501637374235e-12,8.385869544873078e-12,8.905156256292171e-12,9.108648464525135e-12,9.009218241011955e-12
27,9.22985219834441e-12,7.699873043893948e-12,5.466023196948386e-12,3.483708239940944e-12,1.740389244035336e-12,6.564492318841273e-14,-1.877754941523667e-12
28,4.405624160307447e-13,-5.273755064504574e-12,-8.00430401436708e-12,-9.400012581678365e-12,-1.0148369048082791e-11,-1.0525575804707393e-11,-1.0576405049281484e-11
29,-1.0498681229741666e-11,-9.892920218406344e-12,-7.877993254942554e-12,-5.8830134294424005e-12,-4.032852838164537e-12,-2.1862327133774674e-12,3.4961485637304084e-14
30,-3.733096178676967e-12,2.9668705950949072e-12,6.699272738300496e-12,8.902979863298973e-12,1.0325595558374653e-11,1.1322559888931482e-11,1.206224481573676e-11
31,1.0370137367856302e-11,1.2402619158759e-11,1.1633456104671639e-11,1.0264682899151457e-11,8.744940565105946e-12,7.056959049268428e-12,4.8385068813075555e-12
32,9.345747151024492e-12,2.8048601456238174e-12,-1.7808775613341026e-12,-4.9404312654328926e-12,-7.296040805885076e-12,-9.256388987560309e-12,-1.1186608634271947e-11
33,-6.2025022967222835e-12,-1.226909161876908e-11,-1.4059143142919795e-11,-1.4354418683336206e-11,-1.4009916691235974e-11,-1.3247071619717883e-11,-1.1872476504220687e-11
34,-1.4485262676692821e-11,-1.1157703676344695e-11,-7.203406185051811e-12,-3.858062623539546e-12,-9.94652300550231e-13,1.704099380831431e-12,4.7726101622512584e-12
35,-3.6126551403974946e-12,5.5894337622573825e-12,1.0495856215878042e-11,1.329538638164393e-11,1.5035752585761412e-11,1.6199455821798913e-11,1.6972902687412766e-11
36,1.3314138117059949e-11,1.70984330331011e-11,1.6781225812780592e-11,1.5461109306290445e-11,1.383828749181747e-11,1.1959610702392825e-11,9.434748369904425e-12
37,1.5972663083725105e-11,9.680966630587669e-12,4.608232384589217e-12,9.832440332525205e-13,-1.727971358996885e-12,-3.941703442599823e-12,-6.00093101339971e-12
38,2.1480432298273784e-12,-5.602377136252876e-12,-7.768340023994948e-12,-7.600448574726628e-12,-6.25600051873509e-12,-3.933794827450507e-12,1.5412346403869297e-13
39,-7.956999448006896e-12,-1.4865008123173361e-12,8.794868077973906e-12,1.9409262744958528e-11,3.016222871242996e-11,4.205507069541681e-11,5.833198363882734e-11
40,1.3358362481916351e-11,5.0156257985844383e-11,8.374121410517479e-11,1.1393180783569842e-10,1.428687923369228e-10,1.7402228495181743e-10,2.1608082886548777e-10
41,9.447975987843092e-11,1.8996555791392276e-10,2.743110970043544e-10,3.508798921563881e-10,4.253520500314259e-10,5.066985983220651e-10,6.181824494134391e-10
