S,p03,p04,p05,p06,p07,p08,p09
1,1.5135107401512604e-20,-2.1252319972754884e-22,-7.423136464721007e-21,-4.482979543567736e-21,-6.967265030405156e-21,-8.31302807892146e-22,-1.5095717461163315e-20
2,-8.803082163897858e-19,-2.1615675786853974e-19,-3.1607969227773453e-19,1.083922691917535e-18,7.482883813855362e-19,7.284110243981332e-19,1.7594637593563673e-18
3,-3.37156501606704e-18,1.8406310393089696e-19,1.2733384714253535e-17,1.3765927752053245e-17,-4.397091737789762e-18,-8.899638215187495e-18,-1.056539791903774e-17
4,-4.1040778541935365e-17,-3.217193013424249e-17,2.1680206495801567e-18,7.289633423079129e-17,-1.1048966676955243e-17,-5.871075844226719e-17,-5.394982045436789e-17
5,3.936718912464594e-17,-3.1149718304426965e-16,-3.9390916854233624e-16,3.09591225629868e-16,9.895153951855434e-17,-2.540234580888585e-16,-2.461476932402031e-16
6,-6.266661162640761e-16,6.187423021544358e-16,2.267757500915627e-15,-6.5648846485226245e-16,2.493330452015872e-15,1.2847719451741775e-15,1.2316125611933597e-16
7,-1.3397549580238185e-15,3.1177052271574403e-16,-3.168770428195293e-16,1.09470393491484e-15,-9.457572411151767e-16,1.023547917396196e-15,-2.434445240127106e-16
8,-4.868593111450622e-15,-3.776988391408052e-16,-1.448525479476947e-15,-1.4111037374049339e-15,1.0934698607012845e-15,3.9341138612462776e-15,1.755883415910459e-15
9,-3.251709256157003e-15,5.1391046840875366e-15,4.767504399524454e-15,4.216477576067484e-15,-4.1012413698273634e-15,2.71648193982982e-15,-5.740712599688004e-16
10,-1.9536782474407413e-15,1.1146897295761088e-14,-2.7506145782308204e-15,1.809070287985606e-14,7.634278204688926e-15,-2.1840173472131536e-15,-3.638752745095141e-15
11,4.468793049750279e-16,2.9472565115661188e-15,4.515792032154207e-14,-2.3176444404027512e-14,-3.8006926420445645e-14,7.498216480288143e-14,7.205672812041788e-14
12,-3.0386520368470465e-14,-3.619222683083004e-14,2.9390686033186265e-14,1.0026157723555589e-15,-1.1399741853621723e-14,-9.489824836221068e-14,-1.0217341783370103e-13
13,5.701510903606596e-14,7.912265208417941e-14,1.094320685762229e-14,-4.206827227173381e-14,8.241520762367269e-14,-1.640415438262549e-15,5.534459664453177e-14
14,1.5007263141117422e-13,-1.5599679078782544e-13,1.4185351829661168e-13,1.5711605029101872e-14,4.4283141260403456e-14,-2.527638556353717e-13,-2.9573449237600657e-13
15,-2.9228568007490153e-15,5.688979501360216e-14,1.3484597228222792e-13,2.0077039686388558e-13,-1.6708682902707664e-13,-1.0955992282478536e-13,1.8201796609274845e-13
16,-2.06118738733864e-13,-4.751963544205677e-13,-1.1890781474886974e-13,4.3120523855493883e-13,-3.2518825474893664e-13,2.178063872651091e-13,7.716635036330867e-14
17,-1.2142848360891928e-13,1.7277291185131276e-13,2.8086191842642236e-13,2.260952653596489e-13,-2.772136682761312e-13,-2.0418517703554897e-13,-2.936786803038233e-13
18,-5.546322739013139e-14,8.616114388591097e-13,-1.0359850284792752e-12,9.168464140937412e-13,1.0060817169344307e-13,5.933694520097561e-13,-6.13948287638656e-13
19,-1.6651601244286653e-13,-8.756460333963321e-13,1.0921250870893116e-12,8.944419847298508e-14,8.59809600553066e-13,-2.789652451938427e-13,-2.1388791909573494e-14
20,3.7789175692419175e-13,1.222722766096559e-12,-1.3938530517751178e-12,-2.0776863068589019e-13,-6.15582159718825e-13,1.9356018352672883e-12,1.878887003326943e-12
21,5.100338520487768e-13,-2.2519981791666407e-12,-2.440390955743801e-13,2.7260487297479018e-12,1.7520190239697313e-12,-1.3105955138422513e-12,-1.8178941072379424e-12
22,9.30000929092639e-13,-1.0214670044319594e-12,2.7174185052257764e-12,2.0875537556536568e-12,-4.3525088609702704e-14,4.385463896938241e-12,1.551266206670257e-12
23,-4.797976732094446e-13,9.531513100120648e-14,-3.7975313433136725e-13,-2.206345399677004e-12,7.196582146252952e-13,-2.0043797417196763e-12,-1.4355651095605407e-12
24,-1.3646994361353421e-12,-1.7521157151148005e-12,-4.326483796677169e-12,-9.369023217532136e-12,-6.930416698871225e-12,7.395084869650155e-12,1.0690802908522948e-11
25,1.8012509069494547e-12,-1.220489816336844e-12,4.603228068673836e-13,2.411197699776743e-13,4.267504575536066e-12,-1.0682565278871043e-11,8.238057709377917e-12
