S,p03,p04,p05,p06,p07,p08,p09
1,-9.047508457569418e-25,-2.0172886002597365e-24,-1.6025416016403172e-24,-3.0726565523416567e-24,4.0184437064748222e-25,-2.3861911280526282e-24,-3.5573587982238064e-24
2,6.389516443925056e-23,2.8284206527192253e-22,-6.112936675050558e-23,2.1912443151899653e-22,6.869595208324861e-23,1.974168156288083e-22,2.143264583271157e-23
3,-3.4108379915714443e-22,1.4686729914593967e-21,4.884395487974898e-22,-1.9578432554989645e-21,-2.772458338960992e-21,-2.4028737522364316e-22,-1.9091069930466384e-21
4,2.230256985847646e-21,-2.4833224760025605e-20,1.6014772113762268e-20,-9.99956348866266e-21,-7.794520174584422e-22,-2.2114190685849896e-20,7.480066500349824e-21
5,1.3200799677965403e-19,2.7005683766520673e-20,-2.0981960357896445e-19,1.2218367912175651e-19,-7.0568501954716e-20,-4.8739929522141146e-20,1.0289182610943918e-19
6,5.955299083912266e-19,-1.9712846922621804e-19,-2.1619936129442981e-19,4.0824837079563003e-19,-6.693430838541127e-19,9.728110771228889e-21,2.3712344850680142e-19
7,-3.0886329057287707e-19,-3.388498401240426e-19,-5.040679768836876e-19,5.086856963720652e-19,-3.0626976235309107e-19,1.1358384883238206e-18,-1.4423164330679057e-18
8,2.462960117874374e-19,-1.4845908258926215e-18,2.5123684158946033e-18,1.6153415018346167e-18,-1.908263916736515e-18,-2.1851872181231797e-19,-2.5752635089649564e-19
9,3.5516913375409394e-18,1.989251669355177e-18,-9.718975809647207e-20,-2.492504305559417e-18,2.2236480898059807e-18,-1.879366231043666e-18,-2.5555037987594406e-18
10,-7.244536151464395e-18,1.582687694004407e-18,2.6031201670057755e-18,6.676313241420432e-18,-9.225737710274111e-18,3.603252266245162e-18,1.0048789160553374e-17
11,4.4094445567500985e-18,-2.4390382763705627e-17,-3.852138476345964e-18,2.04269502506108e-17,6.276596646189203e-19,-4.2633893470987734e-17,-3.8867704782108715e-17
12,3.8566005670186435e-17,-4.079996280710043e-17,5.968656579792099e-18,2.80635084313766e-17,4.1262328790014936e-17,-4.919536559291682e-17,-5.3478036780058825e-17
13,6.090332469657625e-18,4.4124331686994527e-17,-4.790199268936566e-17,-3.4016815385367923e-18,1.1182309835424047e-17,3.125613561566626e-17,5.45130610367165e-17
14,3.400544420106146e-17,5.835907012081109e-18,-5.857814606820561e-19,-2.850949695932099e-17,-2.94925907072983e-17,3.52579498200345e-17,3.332729046717808e-17
15,3.5516604678542457e-17,1.0984328603745346e-16,-1.928835235524116e-17,-4.466354740474971e-17,1.2635184272974335e-16,7.168477722332023e-17,7.670273536809871e-17
16,-2.3835447705033565e-17,5.541551935800678e-17,-9.905082358014971e-17,-6.896357745879739e-17,-5.768106590452824e-17,1.1573497742649927e-16,8.46505344347711e-17
17,-1.8108529424907518e-16,1.4246463719261308e-16,-1.0539176816031821e-16,2.8095598488220243e-16,1.1683239365761862e-16,-3.921517151164802e-18,-1.420307302258913e-16
18,-5.721857617087066e-17,6.907288309591818e-17,1.4306019908759223e-16,1.3224146539280056e-16,-7.16011338649252e-17,-1.2466779917336058e-16,-9.955149427936495e-17
19,4.4411254318381955e-17,2.575794360086671e-17,-2.0964556627780932e-16,2.3105728858990773e-16,5.473820818834332e-16,4.522685095547059e-16,1.1762670245053172e-16
20,4.7472953904600574e-17,2.3625536110016047e-16,5.441575764075325e-16,8.445962907262119e-17,1.0119302883165134e-16,3.7838375364393776e-16,5.205084412430848e-16
21,1.298004425771541e-16,9.362658480421123e-17,2.0594859754828957e-17,4.378096428484797e-16,2.4252140784546545e-16,2.963563686758648e-16,1.6054378600159204e-16
22,-3.4618275661328576e-16,1.4173982405649149e-16,-2.2550457826167763e-16,-2.0572358677829065e-16,-1.0128076893898335e-18,-6.271517369810545e-16,8.136088403680188e-17
23,-3.6109749902103466e-16,-1.6573623874111567e-15,-1.858621153447602e-16,-1.5197702194473887e-15,3.338890568455846e-16,-1.52847469305469e-15,-1.0241750217119886e-15
24,-1.1382339345124173e-15,-8.699303614403536e-16,2.6562546407670285e-15,-2.6177164334148997e-16,-1.0375692342493205e-15,-9.969216153059056e-16,6.742154002372091e-17
25,7.928860305257336e-16,-2.6182966515140767e-15,2.719825265369255e-15,-2.36089960193715e-15,2.428297623944398e-15,1.5465493240642565e-16,-3.9231249483480617e-16
26,4.797438035014228e-16,-2.2470586743992514e-15,1.2729611376468448e-15,4.5836860376395705e-15,3.9286713204788497e-16,1.778682716616798e-15,-1.0085065120038855e-15
27,7.736984779223114e-16,-5.730781377563913e-15,3.831468532700225e-15,-3.935053983329283e-15,-2.301333284825526e-15,-5.56090108942793e-15,-4.32690965097107e-15
28,-5.6722810789266e-15,-1.7668248471705647e-18,-2.8671854751227243e-15,7.164095471244066e-16,-2.4760557271887433e-15,-1.4851691980149972e-15,1.0834222829324361e-15
29,-1.2610091052990632e-15,2.8017866746237732e-15,-4.0187083110191464e-15,-1.3396463986358693e-14,8.548151756442776e-16,-1.0970210242881383e-14,-9.078181403552165e-15
30,-6.898848865569061e-16,-7.915007662160836e-16,4.01933661381789e-15,-4.6268189137599745e-15,1.0956832258580818e-14,-4.1745457857621086e-16,4.888114464168878e-15
31,-1.0580344572887018e-14,2.139706693732854e-15,3.639093929539379e-15,-6.4582509448047335e-15,-1.8301838026245546e-16,2.301302370759557e-16,6.4996673469016895e-15
