S,p03,p04,p05,p06,p07,p08,p09
1,-3.4771205070631985e-25,-4.617940720930455e-24,1.4510558091054645e-23,2.440709549075984e-24,5.979474687050439e-24,1.7918530700516144e-24,-4.660076199648808e-24
2,-8.191770683909586e-22,3.2909776812147123e-22,-2.081662002223968e-21,1.0699077297293919e-21,1.2429630066708165e-23,-9.424315002519784e-22,2.143626954465919e-21
3,-5.423679400045511e-21,-6.986424870287003e-21,7.11764147599933e-21,9.45813253560235e-21,7.810699003449123e-21,-1.1670731514924249e-20,1.4051093072406362e-21
4,3.731370871461433e-20,6.868028093867963e-20,1.6306844858612193e-21,2.2329755922371337e-20,-2.0232334251301853e-20,7.194183687944597e-20,-2.24538323577286e-20
5,-8.35026941736589e-20,2.82484603377462e-19,3.485457027179474e-19,-9.052961935084027e-20,1.170839805869623e-19,-4.426626597202818e-19,1.0666255531933675e-19
6,4.569119599335012e-19,-1.601955975329901e-18,7.815270291312478e-19,1.1851849064776965e-18,-9.950374453416923e-19,9.420198521969985e-19,1.4512518531792216e-18
7,-1.1056454713462437e-18,-1.1916590031876272e-18,1.1290544895865895e-18,-3.4329830298135057e-18,-3.5824728789230176e-18,5.601282075706456e-20,-4.656031215684816e-19
8,1.290446232432641e-18,1.4177891240593215e-18,-3.2364898232613544e-18,-8.208769593798735e-18,5.449918132565955e-19,-2.4853863128858404e-19,2.957744143501265e-18
9,3.080541937946506e-18,-1.3539172963339828e-17,4.634737587100047e-18,3.5275455535171466e-18,-2.0484708785661852e-17,-1.1300535643766046e-17,-3.739078627422971e-18
10,-9.746541623460613e-19,6.484791859983082e-18,2.90400303173607e-18,-3.152352388315736e-19,6.254224683661401e-18,3.096253651413511e-19,-2.1601808551119077e-18
11,-3.721394892664037e-17,-2.2235981266799107e-18,-1.1000193061982499e-17,-1.3187016125269371e-17,-5.4434861113506655e-17,1.3652135310561708e-17,-1.2049248623379356e-17
12,6.790898799171937e-17,-5.599459472353482e-17,2.2874168422121398e-17,1.6489269559406846e-17,-4.2856977301381825e-17,-1.4083158385828506e-16,-1.880125084560903e-17
13,2.1751508000472444e-17,1.4659849911800638e-16,-3.417916717165272e-16,-3.003967670101746e-16,1.276391990559089e-16,8.845535106748326e-17,1.4755762084664345e-16
14,-4.447775252236994e-16,7.097620628900977e-17,1.2452943874578307e-16,1.164353353781908e-16,1.2980753455056973e-16,-1.9700170444445704e-16,-7.450111856338486e-17
15,-6.676779733545293e-16,-2.1917711382399167e-16,-1.3385079978021067e-17,-4.494961348065411e-17,7.29405198713971e-18,-2.0334017481072913e-16,-4.291636210961271e-16
16,1.6577063990849136e-17,-5.825656483733818e-16,1.5756162792011078e-16,-4.455612491263846e-16,-1.8502042989335145e-16,-2.1948893881949264e-16,-2.6868984037167863e-16
17,-6.900315619753563e-17,-5.473641277368686e-16,2.2826197977759078e-17,5.191495211843785e-16,-3.6420206706180695e-16,8.092115402808446e-16,9.083387666677057e-16
18,-1.165961990843569e-15,-8.002534907469476e-17,5.350929979439554e-16,5.832498535270555e-16,7.29610121632816e-16,5.479676127355753e-16,-1.519895711902673e-16
19,3.623368418629483e-16,-3.0696800920217024e-16,-6.57351538644365e-17,6.218629038248492e-16,-9.276134517505368e-16,8.590492357408873e-16,-8.869916530589889e-16
20,6.176446564539357e-17,-2.751762604618529e-16,1.4037059050118775e-15,2.1232577315799483e-16,4.629056598810484e-17,-1.0347908642058208e-15,-7.147982789987665e-16
21,9.047938606874388e-16,-1.2558121480384753e-15,2.9487282328005852e-15,2.1894833330563215e-16,1.1919225799876725e-16,-9.409590064983636e-16,-9.957510651251128e-16
22,3.530983136112044e-15,-6.979707027305235e-16,1.1197461357918079e-15,-3.102569165987335e-16,2.0387699696986183e-15,8.103035517769761e-16,-2.502244279621973e-15
23,-3.7513301463453824e-16,3.535659279220739e-15,1.913140401632105e-16,-2.037802563683062e-15,1.1560529656276747e-15,-4.730659740625036e-16,2.3303978816662053e-15
24,-3.3447036289315716e-16,1.3096557527402928e-15,3.3271323045284565e-15,-2.404612781725468e-15,1.482721285870614e-14,-6.136145666096917e-15,-1.8792584054171674e-15
25,2.174452306368181e-15,3.307981928390287e-15,2.5256538252280653e-16,7.647669042562018e-15,8.289305495669788e-15,3.953676277070316e-16,-1.3048730704986239e-15
26,2.2918968842668597e-15,1.9359754895337504e-15,1.371504977571569e-15,-1.247956416973804e-15,2.4251585712426015e-15,-2.609152238973699e-15,9.25226966870374e-16
27,-7.558069491295928e-15,7.656842864724409e-15,8.375691394489808e-16,6.257643617929669e-15,-2.491009088195938e-15,8.007766399704323e-15,1.9997609559147025e-14
28,1.2929270733249197e-14,4.015625357573882e-15,6.118362526251986e-15,-6.251121026540038e-15,8.577138111733442e-15,4.239405958951885e-15,9.473783965480236e-15
29,-1.102288485400359e-14,-5.187299797730611e-15,1.6703392260638146e-14,2.592803865423231e-15,7.544342071458556e-15,-6.552879038075087e-15,-9.809947090373191e-15
30,-1.5838936493430533e-15,1.4398616097951003e-15,-2.6299729938542386e-15,-8.73333222064638e-15,1.617332532857143e-14,2.916803371236216e-14,9.894944926046504e-15
31,6.40846379939823e-15,-4.970628361339961e-15,-6.935232377081558e-15,4.071859453660817e-15,5.346404368476844e-15,-2.4146030245983524e-14,1.1907789205564444e-14
