S,p03,p04,p05,p06,p07,p08,p09
1,-4.161480096950508e-27,-8.7510096170054e-27,3.56410391109555e-27,5.664149281447876e-27,3.615830595152911e-27,-3.2881505718794335e-28,-1.1527900011243904e-26
2,-3.0512412764300286e-25,1.3979730547230115e-24,-3.0069134597365794e-25,-7.798993868475401e-25,-1.9504047707712908e-24,1.2629541760346701e-24,2.8976813022433504e-25
3,-2.470370775706579e-23,-5.141755062279083e-24,1.4883420524054413e-23,-6.868262996920238e-24,-3.95942197706626e-24,-2.829175634418146e-23,9.483262888998084e-24
4,-4.071188171587143e-23,-4.967804233891095e-23,-3.160725651707295e-22,-5.778040736183568e-23,-3.0816610507214385e-22,-2.630521158247878e-22,-8.47804660525871e-23
5,-3.0749037582594925e-22,-3.1251999133818925e-22,7.134915229848693e-23,-3.828024945701922e-22,-7.441027306241645e-22,-4.0521580030971963e-22,-3.184488980207121e-22
6,-6.247723258754348e-22,-2.578098462789637e-22,-1.599989812825692e-21,4.897324581944797e-22,-7.076344721845314e-22,-2.4039457899975725e-21,2.320794230772318e-21
7,-3.717866112671156e-21,-3.0869663023876657e-21,-3.803057461355994e-21,3.688528582552949e-21,1.4704836366481125e-22,-3.6425573125039154e-21,6.88550153753936e-21
8,-1.434521651575059e-20,-6.705333224964676e-21,3.0590725155052715e-21,2.790424707105162e-20,-5.5944002308317464e-21,2.57225009757284e-21,1.5564509742626714e-20
9,-7.823863614226578e-21,-1.6357813825084092e-20,-3.879547528734065e-21,5.414008488387738e-20,-2.2857082694366524e-21,1.746513643644648e-20,6.109513286823653e-20
10,2.728150226834165e-20,5.085820507362118e-21,-1.2945835626628604e-20,9.45161347177094e-20,2.1728551553904863e-20,4.493606736526354e-20,9.654932140273088e-20
11,8.340877859039459e-20,6.157243227271482e-21,5.3600804144515206e-20,1.2728555081243155e-19,1.718028825636049e-20,8.718769215815308e-20,1.8587967335890258e-19
12,1.8164037138837288e-19,5.3479469557690244e-20,2.308764748001904e-19,2.2073053725799088e-19,3.601035518604511e-20,1.939664278293388e-19,3.0086914267071252e-19
13,2.6745185427823595e-19,6.485063114130163e-20,8.691060704027e-20,5.862384663594572e-19,1.2235014773987387e-19,3.0074055719680124e-19,3.601526586806476e-19
14,4.3552069727257805e-20,2.3208855200913445e-21,2.0188305692344591e-19,2.175486812930356e-19,3.533862088112127e-20,1.8458133875570076e-19,-2.5152912654504495e-19
15,-1.0335802200662884e-18,-1.2479823746862406e-18,-4.996536482006185e-19,-1.933726966020191e-18,-7.161551730888213e-20,-7.636855080454524e-20,-1.3854284410798183e-18
16,-7.964342882359463e-19,-2.146681382164386e-18,1.1380619410019433e-19,-1.9507794466826714e-18,-6.936711538602828e-19,-1.3652995379154333e-18,-6.86364091378737e-19
17,-1.0886276960310174e-19,-3.4846268496297854e-18,-8.681793178237198e-19,-2.046454418195037e-18,-1.8628374314517267e-18,-1.7255963254301758e-18,-1.2636095175319806e-18
18,-2.1140955790574903e-18,-4.28334632104041e-18,-1.84863549958367e-18,-3.7065435327279814e-18,-6.749881885040254e-19,-3.1558014641915522e-18,-2.0982181629290347e-18
19,-1.0994210514937848e-18,-5.562880881975562e-18,-2.957070965031287e-18,-6.098186886228828e-18,-1.7722471274711026e-18,-3.778773830014353e-18,-4.589699188848127e-19
20,-4.9443313640543175e-18,-6.97589311275003e-18,-2.9023205446091743e-18,-7.645773916686252e-18,-4.5559620246234784e-18,-2.579339396836528e-18,-3.3211506705067553e-18
21,-8.075517312048873e-18,-9.444476984521356e-18,-2.926952554079008e-18,-1.1411896695143381e-17,-3.675627862828334e-18,-4.3896983096226345e-18,-7.722594894321475e-18
22,-7.500909405812435e-18,-9.23854769939168e-18,-4.504316141904783e-18,-1.429045730722429e-17,-6.008267756699742e-18,-4.0237761643239685e-18,-2.3694336862179076e-18
23,-9.452883452827552e-18,-1.0588251020723356e-17,-8.968030894571272e-18,-1.9793771293122877e-17,-1.0868682736424662e-17,-1.1257651826127596e-17,-1.0106241481002559e-17
24,-1.5479347980221308e-17,-8.51167974724746e-18,2.106019694903476e-18,-2.222080926405984e-17,-8.407608472116355e-18,-1.1818468950573269e-17,-1.2332531905805277e-17
25,-2.4242344099047837e-17,-8.670487301068323e-18,-6.5305870206869435e-18,-2.5692002667690654e-17,-8.421982798398708e-18,-1.899642936132035e-17,-9.942903190369568e-18
26,-2.2325458128177068e-17,-1.3269571487901075e-17,-1.7329034788765e-17,-3.798089521867831e-17,-2.45903407219914e-17,-2.5073519617484916e-17,-3.9017516603647626e-17
27,-2.4512589886514457e-17,-2.940503147110918e-17,-3.969534077038823e-17,-7.52998409692158e-17,-6.497359356624101e-17,-6.933796244440185e-17,-1.0215921324308657e-16
28,-8.432652594358391e-17,-8.165865487377032e-17,-1.495216942730689e-16,-2.2057362304903086e-16,-2.2240707968322095e-16,-2.727223567813816e-16,-4.0835154769331015e-16
29,-2.4171261865387045e-16,-5.176652275642259e-16,-8.027507098758001e-16,-1.189330899321439e-15,-1.4949375433712585e-15,-1.865452177720268e-15,-2.5152848526807442e-15
30,-1.421552192294538e-15,-3.292380240167624e-15,-5.264650274985244e-15,-7.422413549796628e-15,-9.574576658411447e-15,-1.2139464593315612e-14,-1.6012909249030182e-14
31,-8.769281049238514e-15,-1.972927120462918e-14,-3.154946083951334e-14,-4.3689522830558905e-14,-5.63485756074328e-14,-7.119354228128118e-14,-9.295203709069943e-14
32,-4.88457187207693e-14,-1.0810361019903734e-13,-1.7098800408117148e-13,-2.3473661156615876e-13,-3.0126836494796943e-13,-3.784442613518475e-13,-4.905846733828941e-13
33,-2.4896326625753745e-13,-5.397233346304505e-13,-8.446699299071303e-13,-1.1503010040673047e-12,-1.4677999562162014e-12,-1.8335706372114147e-12,-2.361431862647205e-12
34,-1.1610231301310006e-12,-2.470976069509744e-12,-3.826010020464159e-12,-5.171610670695918e-12,-6.561002303960729e-12,-8.152091742962795e-12,-1.04348121655961e-11
35,-4.991056771694518e-12,-1.0434594174406695e-11,-1.5990046571454626e-11,-2.1458424051077202e-11,-2.706918190156501e-11,-3.3459360738934715e-11,-4.257530497678807e-11
36,-1.988703331079955e-11,-4.086628625480883e-11,-6.199631560720257e-11,-8.261949671172396e-11,-1.0364931888260529e-10,-1.274738110861035e-10,-1.6127465746767936e-10
37,-7.382197023803565e-11,-1.4918049774400436e-10,-2.2411234665380328e-10,-2.9664928831267443e-10,-3.7017234963190974e-10,-4.530390161560154e-10,-5.69980163466317e-10
38,-2.5646455780451723e-10,-5.099158946825194e-10,-7.58801109178763e-10,-9.978184202338412e-10,-1.2386707097944951e-09,-1.508780817240725e-09,-1.8879884399939486e-09
39,-8.373675049980081e-10,-1.6388283794029512e-09,-2.416326888842598e-09,-3.15723154513122e-09,-3.899583358025906e-09,-4.728090552307187e-09,-5.885380533495398e-09
