S,p02,p03,p04,p05,p06,p07,p08,p09
1,3.119084373452671e-25,-9.021849769897532e-26,-5.249785593272457e-26,1.6387806735865978e-25,-3.386379526414026e-27,4.491125954147472e-25,-1.2793579859631713e-26,7.334427040424727e-25
2,1.2203798074760165e-23,-1.1430320684983707e-23,-2.3692280021141037e-23,-1.391339335612973e-23,1.253346743617882e-23,-4.828890299954848e-23,-1.8662366612313897e-22,-7.602718896832692e-24
3,-1.5544776931809856e-22,-8.48029508691423e-23,2.811422765981112e-22,1.671238906105302e-21,1.1705955103108308e-21,8.211754180430808e-22,7.609640346448587e-22,8.625221538492038e-22
4,1.633080242896433e-21,-2.4053831981418665e-22,2.822107227277001e-21,5.743911190042395e-21,8.531757115143205e-21,-7.017038499813681e-21,6.596437029769012e-21,-8.930295629349103e-22
5,4.232669529363733e-22,-2.799362819386161e-21,1.718149504180489e-21,8.015852944930611e-21,6.551321555089284e-21,1.1065180917228477e-20,-2.5437063604117628e-20,-1.3847660386503996e-20
6,-1.9709317918451205e-21,7.263334149526405e-20,1.1819607302269462e-19,-4.7477764938343114e-20,-6.669338815254966e-20,9.499796308662762e-20,1.392499983931767e-20,-2.3124021488800058e-20
7,1.8322299371821952e-20,9.944676150552318e-20,2.6919487968076375e-19,3.2855334537484756e-19,2.5163410581441665e-19,3.368308182526221e-20,4.205360926077007e-19,2.5472281533113576e-19
8,7.408548791223817e-20,1.2487178199730221e-19,-1.0362697980288407e-19,4.378966876904812e-19,3.43726249623938e-19,-1.4888656001779855e-19,-1.0355220625587918e-19,-6.809928082524263e-20
9,3.9456751790055316e-20,2.4110064929234324e-19,1.3966441982674055e-19,-3.034620369108596e-19,9.00690016732868e-21,5.033102566542387e-19,9.662861490420942e-19,-1.9837752695474388e-19
10,1.564586138526019e-20,1.5692063870105377e-18,1.5701464864414708e-18,1.6894345721982658e-18,6.52951623028614e-19,4.979885043444223e-19,-2.7238387446534496e-19,5.666570691362856e-19
11,1.2881522000235433e-18,1.2416045593810953e-18,9.793004987014428e-20,3.0241293771438767e-18,1.6602498954582992e-18,3.28501006718805e-18,1.6214614049984312e-18,-2.033374189604888e-18
12,1.6762547230846753e-18,-1.7464589261227262e-18,-2.4529793857634688e-18,-5.395218711176527e-18,-7.729125411942376e-18,6.911397242659232e-19,-5.006326841159145e-18,7.834921635642775e-19
13,1.6868953499386176e-18,-6.35443258766353e-18,-1.1349291245683742e-17,-1.845279375969936e-17,2.231904310518541e-19,4.437200100924294e-19,-4.474641188876885e-18,-1.3713715279111322e-17
14,-2.6895075807768603e-18,6.051139881284739e-19,-2.0911971528199995e-17,-1.3140188245949127e-17,-9.079875995531195e-18,9.223808052372785e-18,-1.454249894789576e-17,-2.7386021851939246e-17
15,-2.7375153932393588e-18,-5.4710481195271544e-18,-1.7042153202742155e-17,-2.2922471179298868e-17,-2.509915075558352e-17,-4.0549395552109504e-17,2.80311267895284e-17,-4.8320071258334284e-18
16,-1.856860822023202e-18,-1.862079815585617e-17,-2.66364074252382e-17,-7.974581331058726e-17,-8.375576450291922e-17,-6.065337545309782e-17,-1.7734528042599813e-16,-1.4688623448297952e-16
17,3.3349259650849542e-18,-1.4538968005490626e-17,-2.3502521743557887e-17,-1.2526954515459775e-16,-1.428798156819749e-16,-6.608911372265478e-17,-2.1208989982738748e-16,-2.756326915384901e-16
18,4.686668116218916e-19,-1.1438896682053626e-16,-1.36130866166063e-16,-1.1168241293433526e-16,-1.2777008899645746e-16,-2.358099277556034e-16,-1.5653824516720967e-16,-3.779929508864544e-17
19,1.3625302059179722e-18,-6.783050814660205e-17,-3.975333265007091e-17,-2.7416149439390365e-16,-3.266358743219512e-16,-2.1749757702098386e-16,-1.6254059917625235e-16,-1.2333091665754544e-16
20,-7.29811543766273e-17,-1.799433593875234e-16,-3.52480905760283e-16,-3.707730110436863e-16,-4.93590009884191e-16,-6.126538413582498e-16,-3.5953074832761598e-16,-3.105184268638687e-16
21,-1.0636962973955468e-16,-3.222047876858183e-16,-3.622822632783097e-16,-4.905659635609377e-16,-4.935342742569759e-16,-8.355236006335495e-16,-3.183093955926552e-16,-4.483298718902323e-16
22,-8.605609847491167e-17,-4.169422845962246e-16,-4.861575137512434e-16,-1.9852736722583704e-16,-2.2371192885194685e-16,-7.191362475115634e-16,-3.7816016318537156e-16,-1.1185067826879616e-15
23,-8.459839414539566e-17,-5.26406183199255e-16,-6.892494256117998e-16,-9.367706418727942e-16,-9.38172508248439e-16,-9.466202312035834e-16,-8.511736449636672e-16,-9.267970507580314e-16
24,-2.5314987992244226e-16,-7.17587408739555e-16,-8.324141404847814e-16,-9.147176100730992e-16,-1.1853895429350672e-15,-8.125032120585206e-16,-1.4543919984609647e-15,-9.208823441987836e-16
25,-3.5662687995170456e-16,-7.600915590239111e-16,-7.751121177816988e-16,-6.098481858469166e-16,-1.4681849859463006e-15,-1.9890869754485553e-15,-5.855181304511401e-16,-1.997555498437137e-15
26,-2.622199610991556e-16,-6.014814092056229e-16,-6.406446889823392e-16,-8.768959241160835e-16,-5.485439471539528e-16,-1.442595819374802e-15,-2.021716323462868e-15,-1.1680512187377037e-15
27,-3.31702139205053e-16,-1.6967405139935018e-15,-1.5317110770759506e-15,-1.6682022623529683e-15,-2.7856501314608132e-15,-8.411754442192988e-16,-1.1498475691615132e-15,-2.185017128911277e-15
28,-7.692367688929335e-16,-9.385370732034894e-16,-1.0066710442438467e-15,-2.086447339934879e-15,-2.3389398193747584e-15,-1.6327424129478035e-15,-1.4145867618464108e-15,-1.9342676970072643e-15
29,-6.247128660513858e-16,-1.0114967879235962e-15,1.0839493925169896e-15,-1.5112266911689492e-15,-3.5155430437225137e-15,-1.61936867954545e-15,-2.374262188278823e-15,-3.9397883119589116e-15
30,-9.230315483593039e-16,-1.5442440747432898e-15,-2.2829565082224114e-15,-3.834966761144255e-16,-2.0103705742513226e-16,-3.601886316558754e-15,-2.0404438763374022e-15,3.3493129614411067e-15
31,-8.21282284335642e-16,-1.866121022052001e-15,-3.806060118441949e-15,-1.5947147225157792e-15,1.7207921936020694e-15,6.100163783931913e-16,6.771086681118215e-15,1.5449689691634706e-14
