S,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.3629871711704319e-14,-1.2291676326101495e-14,2.0213766004562002e-14,3.923537285888975e-15,-1.2394933534634955e-14,-2.0776507117051486e-14,-2.3083464238600547e-14,-2.004570736287438e-14
2,4.2421383692157805e-14,3.329672184117551e-14,-6.439902995487801e-14,-2.5426968681994785e-15,4.934143850598379e-14,7.21925554709051e-14,7.461216549409679e-14,5.932345393752888e-14
3,-2.3165752061822056e-14,4.1672741691292764e-14,4.767684324203827e-14,-1.114127270703752e-13,-1.4772264676277005e-13,-1.2009896479424651e-13,-6.534829189222109e-14,9.382711131770114e-15
4,-1.3094510270777257e-13,-8.343096679223252e-14,2.0418849479987642e-13,-2.989463563256983e-14,-1.940354172076883e-13,-2.517773185780741e-13,-2.40508607337625e-13,-1.7057039135552458e-13
5,2.192402058466807e-13,1.9338278793705923e-13,-3.321613519460858e-13,-4.993606063574628e-14,2.1918029117675277e-13,3.520726371524422e-13,3.8305104324018746e-13,3.2437294480819033e-13
6,2.7383127911150155e-14,-2.0836242827103244e-13,-8.614444492711667e-14,4.3182411094537803e-13,4.932318671809534e-13,3.522904216257194e-13,1.3769015947815103e-13,-1.2720722361213246e-13
7,1.758279529345989e-14,-2.9756392021991766e-13,-8.531418504007056e-14,5.858068765349265e-13,6.436568526634293e-13,4.41346686694891e-13,1.494899928024155e-13,-2.019144514026264e-13
8,3.9635977728059027e-13,1.6859427722113859e-13,-6.382112270319591e-13,2.550003924928188e-13,7.665925633065374e-13,8.839213670172861e-13,7.674896457657355e-13,4.568180360652493e-13
9,4.953194087729145e-13,8.804371644760166e-13,-6.787096660372596e-13,-9.41032402737994e-13,-3.730808445600851e-13,2.313560950790839e-13,7.15621115450072e-13,1.0665239600291522e-12
10,-7.12012672891359e-13,-5.118177625666252e-13,1.1115566987952899e-12,-6.900157603669406e-14,-9.68463588747618e-13,-1.32170334871584e-12,-1.3068603900742925e-12,-9.753915181809062e-13
11,3.0714781843577866e-13,-3.547245910773451e-13,-5.773321806164587e-13,1.1144735329719384e-12,1.560750642808915e-12,1.3169989432959384e-12,7.673000085787228e-13,-1.2825436497166256e-14
12,1.16782891287812e-13,9.908295520012277e-13,-3.317998175584598e-14,-1.6949989932136127e-12,-1.6343790653441164e-12,-9.506826017006814e-13,-9.784906130469792e-14,8.487018492887633e-13
13,-3.240972398065217e-13,-1.3361175931922002e-12,3.307056589370565e-13,2.0416326096802176e-12,1.7320422413022894e-12,8.07722794284242e-13,-2.2483236756515934e-13,-1.2883657861532135e-12
14,2.336952462927221e-13,1.4070143923863695e-12,-1.7278051387348808e-13,-2.3054468073191233e-12,-2.1181468150103595e-12,-1.142833168394692e-12,2.1002321923153885e-14,1.2760266129265296e-12
15,2.48167474081521e-13,-1.0373426467771325e-12,-5.737526996020964e-13,2.313675914592884e-12,2.7326483150079574e-12,2.0092628918998697e-12,8.532241840917485e-13,-6.050575702283845e-13
16,-1.1324614772854324e-12,-4.670590686735163e-14,1.8919262406448295e-12,-1.5708390797454421e-12,-3.0766141021514157e-12,-3.101269071780941e-12,-2.3418467524709536e-12,-9.516631509511341e-13
