S,p02,p03,p04,p05,p06,p07,p08,p09
1,7.333478793902897e-25,-5.05856851431294e-25,2.469473277191786e-25,-7.972034927039062e-25,1.7631810486786906e-24,-1.5593894482667336e-24,1.3721881827104253e-24,-2.240262421188257e-24
2,-1.4977041458540254e-23,2.025317540827241e-23,-4.194648089836774e-23,-3.850904976532527e-24,-2.915208344833249e-22,3.6233556957631885e-22,7.451960929426404e-23,3.6169813039362955e-22
3,1.3710404220570197e-22,1.688200445456248e-22,1.4099756526085489e-21,-6.288777323615826e-22,-2.292403502435255e-21,-1.431347547954168e-21,-8.437875111048493e-22,-1.2107930364223581e-21
4,-2.175865400560103e-21,-5.0301168949606395e-21,2.637672493480136e-21,-7.553073226013696e-21,-3.820607637996418e-20,2.4945444490228084e-20,-1.7807414857276527e-20,-1.4359459146003208e-20
5,-6.7598534664080444e-21,3.096790328154974e-20,3.023460432391494e-20,5.960718751987136e-20,-3.338515842354182e-20,-9.656106352950552e-21,1.2337566694874053e-19,-1.14549980442932e-19
6,-4.8889808355612875e-20,1.0114459954757666e-19,-3.419175554005046e-20,7.15006163825318e-20,2.1241950970527312e-20,3.552975772422459e-20,2.4722632150095915e-19,2.2653969887065913e-19
7,-1.6688664766263676e-19,3.723060016355476e-19,-2.0302272501867134e-19,-2.051131503200284e-19,-7.337347896959039e-20,3.368873650792046e-19,2.1168067429901861e-19,-6.84993932339395e-21
8,-1.0777337075604073e-19,-2.580213769028635e-19,5.110206399718609e-19,-4.1784851164528117e-19,-6.987296416710565e-19,-1.3318720839717056e-18,-1.0661891078433932e-18,1.9068108096856616e-18
9,-1.081036019158251e-18,5.565971702954834e-19,-1.3434582531192253e-18,2.4293394325220097e-18,5.320780705476718e-19,-1.2580731809314686e-18,1.815254670115426e-18,8.64997307341688e-19
10,-4.3351993141499303e-19,-3.2898250380169097e-18,-1.3652878952969088e-18,2.4329956886936834e-18,-1.5562040513881786e-19,-4.8961379221461005e-18,1.715224609591491e-18,8.090021601137635e-18
11,-2.894451908446045e-18,-2.37097526004289e-18,-6.5311018678210895e-18,-5.95168040000763e-18,-2.0270517464582532e-18,-1.624255792323636e-17,-1.446730607594857e-17,7.458409355057176e-18
12,-5.575929570950875e-18,-9.150500553153446e-18,-1.7086043502184195e-17,-2.4672218266568538e-17,-2.8173413571008674e-17,-1.8649940731943864e-17,3.807127182377509e-18,-5.015274440848956e-18
13,-3.2337680327601434e-18,-1.9861660950423872e-17,1.8197389071377795e-17,2.2231053261420725e-17,1.0630720043753219e-17,3.2007842088108415e-17,2.030272574914371e-17,-6.765843897079099e-18
14,9.80446018547747e-18,1.5941785771240676e-17,6.28408735888836e-18,-1.0884152561763007e-17,-2.83768906799014e-17,-2.971555877226257e-17,-6.425758046587029e-17,-3.022578625712285e-17
15,-2.1082078523406526e-18,6.423406737589563e-19,-1.0427393019469943e-17,-1.0568024969110363e-16,-1.3925799017176197e-16,2.4879054099932024e-17,9.90420846323982e-17,1.0372464347206774e-16
16,-3.129338162950012e-17,3.252066983366554e-17,6.457074203284925e-17,3.747682815647826e-16,2.894531380795534e-16,8.356666031010852e-17,1.634713209107842e-16,1.423738232659636e-16
