S,p02,p03,p04,p05,p06,p07,p08,p09
1,1.2943959030292271e-24,6.025056774487186e-24,-3.113718212874887e-24,4.533603650976258e-24,-1.869316695514535e-24,1.0295593784438948e-23,-1.374740159706103e-24,-2.9413217053929977e-24
2,5.709849439791721e-23,-2.489501930205408e-22,5.89115362190298e-23,-2.5561764502895285e-22,6.831483296971099e-22,-8.340745760127413e-22,9.676999472747277e-22,-6.325354612079457e-22
3,-8.457155411171634e-22,2.0867340799635685e-21,-7.372204247755339e-22,-5.4367950126157645e-21,-4.4610323633329156e-21,-9.314388903982952e-21,-5.275907336398878e-21,-8.749882370920473e-21
4,-8.279413745968551e-21,-1.9488466576281582e-20,-1.0711128624947594e-20,7.274697845893512e-20,-2.0553535904745347e-21,3.159843565856228e-20,7.243020000605538e-22,-3.796052497975596e-20
5,1.1910948248285962e-20,-4.5257840827675227e-20,-1.2086778436324322e-19,-2.0407488662562213e-20,3.107930618532172e-20,-3.470268157386926e-19,-4.4334927310320505e-20,-2.1905910701118765e-19
6,-6.190868433836679e-21,4.300134925864473e-19,9.141458543566602e-19,-1.4297547462934248e-18,-1.0402679665821081e-18,-6.8301913103773775e-19,-1.1240400260169906e-18,-4.01271967216196e-19
7,1.1147902818075985e-19,1.889740438226647e-19,-1.429238851970554e-20,-1.98606418368231e-18,-4.023666316114535e-19,-4.882954994999943e-22,-4.029950937706935e-18,2.335029197607331e-18
8,-1.0045807517250277e-18,9.131253683436411e-20,-1.5649567377813535e-18,-1.8790591183949807e-19,2.9655647917528682e-18,-9.877479994210547e-19,9.602014049139237e-19,3.921151624777744e-18
9,-2.2153179587817313e-18,-1.801304838764379e-18,-1.4406995309100723e-18,-1.2477315551581717e-18,-6.132329473975717e-18,-1.8506273188958522e-17,-1.9358532757262228e-18,6.4373292503752386e-18
10,2.888807335017635e-18,-4.486059949211484e-18,-2.5534669608941957e-18,-1.1559942274983013e-17,-1.2208538222866822e-17,2.740836592917042e-17,-5.619273854421085e-18,8.915274273727586e-18
11,1.1179450144946335e-18,-8.522256594690215e-18,-7.811022487142455e-18,3.6651437856263126e-17,3.37276955103636e-17,3.546121481883177e-17,-2.304267014596669e-18,-2.2455311862055314e-18
12,-2.7064570264995477e-18,-2.1456445941859868e-17,-7.902372948371482e-18,9.145408572655737e-18,9.70848325255351e-18,-1.462135175606414e-16,-1.4318827611665812e-17,-4.353387506613489e-17
13,-3.3778474035598397e-18,1.1179015266471142e-17,5.691727982791197e-17,-6.621708989219073e-17,-3.4583613900620635e-17,-3.0695125244200436e-17,1.4559481665726937e-16,1.056534205449383e-16
14,6.41047279896238e-18,1.2431668874675073e-16,1.9206382111203909e-16,-2.278203080517884e-16,-2.653046722408703e-16,1.5369254259511573e-17,-2.8908298411393255e-17,2.2312387801374104e-16
