S,p02,p03,p04,p05,p06,p07,p08,p09
1,1.359916303498666e-28,7.221329419773284e-27,6.799230039611689e-27,5.28732348538329e-27,2.529475687538408e-27,5.287736586036263e-27,2.9504932809495705e-27,-2.3245737438379357e-27
2,2.2604220574538063e-25,1.1040379860873367e-24,5.016490959734753e-25,5.883815302372719e-25,1.1850587151872925e-24,7.229675466657843e-25,-1.0800568226782735e-24,3.2930606571155045e-25
3,-3.043600454808845e-24,4.115014727674723e-26,1.2956946819232157e-23,-3.2402630719623034e-24,-6.83727120058744e-24,-3.769834984230351e-24,-1.1687043144452332e-23,-1.0850072527750904e-23
4,-7.717864892267557e-24,-4.841119905049894e-23,2.3475168765149973e-23,-1.0993164551484737e-22,-1.1049438292381858e-22,7.71800906323423e-23,-3.812694049582688e-25,-2.357807127891443e-22
5,-6.933767600524388e-23,-4.447611456191425e-22,-2.846432335400809e-22,-8.674049446966414e-23,3.4095354483818526e-23,-2.3630794363365642e-22,-4.999716464479127e-22,-1.0107916121567827e-21
6,1.1848636485099633e-22,-1.230576489294715e-21,-6.6690333534270685e-22,1.0689366712199939e-21,-8.550924149059228e-22,-2.9606458611661935e-22,9.39428608545164e-22,1.2269781275207327e-22
7,1.213218559534717e-23,9.310302802579854e-22,-1.995766647208232e-21,2.2275978320490587e-21,-6.033780943753164e-22,-4.676448535013191e-21,-4.142099994400001e-21,3.780613535363664e-21
8,5.571619095408656e-22,-3.788734369100561e-21,-2.51450224429401e-21,1.8471596421914226e-21,2.1339003824846047e-21,-4.9667192489672204e-21,-1.6478217264126017e-21,5.198956667013244e-21
9,-2.4549568324175293e-22,-3.7676814934978826e-21,9.774369859229928e-21,2.0566680132344873e-20,3.5164378005440415e-21,-2.2659449257613755e-22,-1.0810218972630745e-20,3.303492909560183e-20
10,-2.898911761870837e-21,-2.858603639802985e-21,1.0577951768247595e-20,3.7067863461746646e-20,2.7680336258331194e-21,2.4314235291714944e-20,4.4357228886828814e-20,5.426558338925392e-20
11,-1.106208774174001e-20,-1.07458494170146e-20,7.360051267338011e-20,1.1722710173052498e-19,9.262958969393747e-20,8.154549459459911e-20,1.3639306023942778e-19,1.204030868993351e-19
12,-2.3440984921723116e-21,5.450036449405974e-20,1.3244418820340524e-19,1.2105354748275637e-19,8.19813959853886e-20,2.3983469249075325e-19,1.4989812835898612e-19,8.885460786903212e-20
13,-1.8415987032250746e-20,1.411262326918694e-19,2.0100895753988176e-19,9.934841722224698e-20,2.197630699418747e-19,3.2564804227431923e-19,-6.285718530444379e-20,6.115970805938215e-20
14,-9.748566906121314e-21,2.0370383478624932e-19,3.302443914336583e-19,1.6469385719765496e-19,2.4696343776859857e-19,3.8187277429789606e-19,2.307185338420162e-20,-1.627414939628673e-19
15,2.9745241278037536e-20,2.1342998405001233e-19,1.2571772621026278e-19,-8.13511067076022e-20,-3.5236432293259384e-19,-9.05048119560601e-19,-1.2038513695494696e-18,-1.2713542092508754e-18
16,8.331420445538069e-21,1.1069087897107552e-19,3.6995360154823756e-19,-3.5134624252881957e-19,-1.051425790849204e-18,-1.104982801605371e-18,-8.995693484200624e-19,-1.1417982548923157e-18
17,-1.7296087920310673e-21,-5.832293735983879e-19,4.451006945205837e-19,-5.725165965952164e-19,-1.8682396079357468e-18,-4.96835968189275e-19,-1.6488274639071217e-18,-1.772839306798846e-18
18,-2.129148368815594e-20,4.877876825681601e-19,6.327824575263589e-19,-1.0769135080297312e-18,-2.156336764791318e-18,-1.5250306313753863e-18,-1.3111780900153263e-18,-2.056914301631508e-18
19,-4.0456595963094045e-19,-6.09278686210548e-19,6.49492465109654e-19,-1.8450060277302376e-18,-5.9854513809550084e-18,-4.260503661832499e-18,-2.9618699436658123e-18,-2.520653817130267e-18
20,-6.823998911929115e-19,3.969953651694412e-19,1.1598889717784925e-18,-2.6136393858203686e-18,-9.777156141030207e-18,-6.213104282360738e-18,-3.225700049491083e-19,-3.3195061061845167e-18
21,-3.334561204533565e-19,-4.666474004433185e-19,1.993083382532154e-18,-4.919463844187833e-18,-1.1901321705942012e-17,-1.0071723178779135e-17,1.2087994025211383e-18,-4.2004397999140404e-18
