S,p02,p03,p04,p05,p06,p07,p08,p09
1,5.3005145554043e-25,6.902281524758852e-25,-5.204027139299734e-25,3.636967027018813e-26,2.4083036505880846e-26,3.4741812110339197e-26,2.9491209553014116e-26,1.5461847626665926e-24
2,-4.656879190091043e-27,-5.22723449853907e-23,2.012372126001749e-23,-2.4816277904617644e-23,2.885283678857985e-23,5.654703565604175e-23,-6.230331639806143e-23,-8.96633842244845e-23
3,-9.37639423583103e-23,-9.90433347346595e-24,-5.5417674320364685e-22,-1.0099265565223606e-22,1.6155502479433013e-21,4.537374352463086e-22,5.87638222502889e-22,-7.116839014889212e-22
4,5.717339789441722e-21,-3.2424099585657555e-22,2.152011310513656e-21,4.768909419005115e-21,6.113647884205471e-21,-3.13136529838278e-21,7.875753405534451e-21,-3.537815087625397e-21
5,1.4663407911070842e-21,1.98043038400686e-20,6.393694402306288e-20,-3.9979581643190005e-20,7.158791719138803e-21,4.659842550857147e-20,2.844032337718685e-20,-9.023003679231901e-21
6,3.7996952984427515e-20,6.766011828120721e-20,-2.8262391780359994e-21,4.7639640901525425e-20,4.0252646927776867e-20,-5.92035902321563e-20,1.626914002153952e-19,1.3560564570610857e-19
7,-1.798104503574853e-20,3.6765522655635064e-19,-6.866646149297362e-20,5.125346233648187e-19,1.73028921269221e-19,9.932688104533061e-20,4.3213291179463985e-19,-1.1161904396406668e-19
8,-6.402230443052108e-20,-8.070854213282165e-20,2.5664698407676075e-19,3.715799484724675e-20,6.369273397209454e-19,3.583532543319139e-19,3.2415529756202525e-19,8.817147592365268e-19
9,3.039629640058302e-19,3.6757444788786155e-19,5.95016550493755e-19,1.366296044699421e-18,1.2172578129602475e-18,8.677117765634893e-19,1.3983506590360877e-18,6.530513301732676e-19
10,1.3982807646612038e-18,-1.0644724566353557e-18,-1.890040827606179e-19,6.784396763946972e-19,1.005113838244616e-18,2.4632072071679247e-18,-8.179609854651412e-19,-4.027677710708116e-18
11,1.4194036349652757e-18,1.5183142407939108e-18,-1.843077004901622e-18,-3.475334494500832e-18,-2.926430079539572e-18,-6.662687102436909e-18,1.9079566261770536e-18,-3.704434048228813e-18
12,-3.6811372402951207e-19,-2.189298567690446e-18,-6.391385974587084e-18,-8.217982547209591e-18,2.2196698448677595e-18,8.972608317180768e-18,-2.158526516912775e-18,-7.396673682039877e-18
13,4.837770253502695e-18,-5.787309272679427e-18,-6.174654385810218e-18,2.3179673126199263e-18,1.2219680753139173e-17,-2.1800794327068774e-17,-1.7690509089994432e-17,7.038314442391858e-18
14,-5.065830201710717e-18,1.287298155821751e-18,-9.660631257134855e-18,9.859051201343038e-18,-1.0238734671780687e-17,-2.5786017528433824e-17,5.899721394303194e-18,-7.5783788196691e-18
15,-1.1794686407243236e-17,-3.944072418692091e-18,-2.6623018584409062e-17,2.6051305646843415e-17,-6.412938605069748e-17,-8.780947676198149e-17,-4.383861074779203e-17,-8.687721185332012e-17
16,-1.474113097266976e-17,-2.584412142812361e-19,-6.562681526567961e-17,-9.833077219723809e-17,-1.233591520647683e-16,-8.330242994115557e-17,-7.60667533334962e-17,-1.5665660148077424e-16
17,-1.5540754561228346e-17,-9.237870152318747e-17,-1.1374829019195117e-16,-5.916229741817555e-17,-1.2299014325357945e-16,-1.5604466559086682e-16,-2.128002291727099e-18,-1.1924731255509082e-16
18,-1.059317786544956e-16,-1.684531908643706e-16,-6.781166146544895e-17,-2.9341310689644657e-16,-2.159631379950379e-16,-8.456237387118554e-17,-2.918819874701443e-16,-2.8830169217431317e-16
19,-1.8851485919496345e-16,-1.4965469909410408e-16,-1.0438641171307422e-16,-1.7655674809821408e-16,-3.003459251293932e-16,-2.754819866175487e-16,-1.4017519651451447e-16,-4.954827911769964e-16
20,-2.9108278486232423e-16,-2.6485322271970606e-16,-2.568896280958258e-16,-4.322404847323478e-16,-5.207755434422439e-16,-2.8138060331549525e-16,-4.889623396304716e-16,-5.472751396855789e-16
21,-3.12323699730382e-16,-4.317407675542709e-16,-4.584114759599766e-16,-5.054102980060315e-16,-6.93096126681554e-16,-1.8804242645807548e-16,-6.32661287234479e-16,-6.367941188749054e-16
22,-1.5575861948573247e-16,-6.289583031222199e-16,-7.129448971529418e-16,-6.631867502387525e-16,-5.902487732383136e-16,-7.471704704898794e-16,-8.125481870145863e-16,-6.480143668229196e-16
23,-4.2224463312515056e-16,-6.097488746634403e-16,-9.137477041259592e-16,-1.0121217666424962e-15,-5.773467643052399e-16,-9.85731861749739e-16,-8.350460472134228e-16,-1.2132726814159008e-15
24,-5.897713920262885e-16,-8.099608785739062e-16,-8.581492752394133e-16,-1.163192996570226e-15,-1.464895553021637e-15,-1.6115137414287529e-15,-1.6837255068912805e-15,-5.96732950304719e-16
25,-3.805359751470467e-16,-1.1629501530639697e-15,-4.473144085290681e-16,-1.295292371319738e-15,-1.24020194552137e-15,-1.3346890882594048e-15,-1.3679380846596174e-15,-7.605389826536153e-16
26,-2.901884831105968e-16,-1.2523587021527789e-15,-1.3872345253897261e-15,-1.5364724970527408e-15,-1.037982238642946e-15,-2.442758194479226e-15,-9.00344008503032e-16,-8.398882110580853e-16
27,-7.309519938160326e-16,-8.67335478596163e-16,-1.7700978263520051e-15,-1.7500109569539148e-15,-7.934489134072763e-16,-1.0891348904007736e-15,-1.0349175882177324e-15,-3.689594035828689e-15
