S,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.143756954004918e-14,1.4042522116960743e-14,-1.083165670021487e-14,-2.1213235867809114e-14,-2.3048016066253368e-14,-2.108837515680131e-14,-1.6929779293440078e-14,-1.0234764919928543e-14
2,3.0055561079649756e-14,-3.8137305912533243e-14,4.468104951206569e-14,7.315670162450418e-14,7.409054289019622e-14,6.373487246077083e-14,4.707148806436031e-14,2.2688071442697945e-14
3,4.997897266741888e-14,-4.7159204914738294e-14,-1.480094200513066e-13,-1.1590453062275567e-13,-6.041873240480792e-14,-6.17397735494111e-15,4.470995086487234e-14,9.658909057639062e-14
4,-7.123289289373838e-14,9.574230727437458e-14,-1.8050449546906918e-13,-2.5321578443896846e-13,-2.373523163703988e-13,-1.887068409815403e-13,-1.2274026791683616e-13,-3.372404721491655e-14
5,1.786727901818816e-13,-2.215224535276319e-13,1.938202839440594e-13,3.587577046264036e-13,3.8185964087778506e-13,3.4330586819732927e-13,2.6930679988548826e-13,1.5371496112340513e-13
6,-2.3533852448642933e-13,2.3849528700881436e-13,5.013010598269294e-13,3.345735152746322e-13,1.194990412018859e-13,-7.380457150973697e-14,-2.4481904545093175e-13,-4.0783241472019545e-13
7,-3.32501360455008e-13,3.413339433294974e-13,6.569585336167809e-13,4.1704483858593206e-13,1.2505794601422941e-13,-1.3176028020163624e-13,-3.5519373472455667e-13,-5.640357817112386e-13
8,1.2228068652924484e-13,-1.9244718740267637e-13,7.293952885101012e-13,8.814047931485801e-13,7.512173869650573e-13,5.315024447026834e-13,2.6875235549381125e-13,-5.957290287813151e-14
9,8.942458836270125e-13,-1.0111569691656885e-12,-4.529706300855635e-13,2.815712773634876e-13,7.469833848167411e-13,1.0138430324812161e-12,1.1482131155809693e-12,1.161328136796703e-12
10,-4.5075605459180563e-13,5.850326099612862e-13,-8.910497783317676e-13,-1.3336052073391605e-12,-1.293221314763743e-12,-1.064928220131461e-12,-7.342927615004902e-13,-2.73219725665207e-13
11,-4.425674136369813e-13,4.1314608486112777e-13,1.5563248614743332e-12,1.2761909661454037e-12,7.164570265695125e-13,1.515819846530589e-13,-3.892765162667032e-13,-9.516376626658804e-13
12,1.077222425871747e-12,-1.1461470563160162e-12,-1.693159310645987e-12,-8.760373917504287e-13,-2.970760620376829e-14,6.658637119029966e-13,1.2366028808407827e-12,1.73083094238533e-12
13,-1.424973064172193e-12,1.5452257424101783e-12,1.8235996604587e-12,7.14335893466465e-13,-3.0417534119845736e-13,-1.0898073945302043e-12,-1.69695936527485e-12,-2.176108734221307e-12
14,1.5178963979879776e-12,-1.6315518085453744e-12,-2.2079488262174473e-12,-1.0395335819172807e-12,1.1279521470538395e-13,1.0365811795491986e-12,1.7777619392724427e-12,2.398771749294475e-12
15,-1.1871883065850778e-12,1.2125977028020351e-12,2.768308353479512e-12,1.915796841780852e-12,7.537930948729082e-13,-3.095562821896336e-13,-1.261138672653095e-12,-2.1823837991109295e-12
16,1.3195429028871398e-13,3.110475532784774e-14,-2.993352117196556e-12,-3.0579513379954972e-12,-2.25951230073174e-12,-1.264245253361393e-12,-1.9863729475216554e-13,1.0268998826258662e-12
17,1.6554365802456457e-12,-2.055447471009791e-12,1.9859294209202615e-12,3.527067249717579e-12,3.6916412053016345e-12,3.265701230304704e-12,2.504883374538184e-12,1.3423246679145417e-12
18,-3.233619595943584e-12,3.732326069892129e-12,7.723150812010208e-13,-1.9673528625382928e-12,-3.4519404088805066e-12,-4.140893102208312e-12,-4.3168082015176464e-12,-3.990415024375139e-12
19,2.723517546654121e-12,-2.9487283488760295e-12,-3.9519989334210204e-12,-1.831029562771028e-12,2.4888029606706594e-13,1.911609661835632e-12,3.2406801422169013e-12,4.347314226030737e-12
20,7.483008935993719e-13,-1.1159366299870528e-12,4.114899283646082e-12,4.991552154268443e-12,4.255997418788943e-12,3.0065547298944304e-12,1.509372114424891e-12,-3.638514152483541e-13
21,-4.28971507438575e-12,4.975897837110151e-12,6.726906518796063e-13,-2.9900261978066346e-12,-4.875291637896154e-12,-5.6748150290538165e-12,-5.7797599999761786e-12,-5.196226945414083e-12
