S,p02,p03,p04,p05,p06,p07,p08,p09
1,2.9774357648480947e-21,3.2615687364940376e-21,-1.624933397413376e-21,-2.569748093831148e-21,-5.0068260533557245e-21,-3.647220447054524e-21,-8.586540972622228e-21,9.830438345737416e-22
2,1.8002799719279726e-19,-7.758249175072544e-20,-4.863266843487691e-19,-2.627194406640653e-19,-9.698651002983871e-19,8.2975201778202975e-19,-4.3231389004442487e-20,-5.229147959116981e-19
3,-4.3045086340976504e-18,-4.3226235320390615e-18,-3.7349954562978104e-18,4.1008943684258294e-18,1.1733232848711263e-17,4.791804762562134e-18,-8.99918646648217e-19,5.872836035114158e-18
4,-9.254570616819482e-18,-5.4833198872706234e-17,-7.566824793514686e-18,1.906882236388381e-17,6.054326015014246e-17,-6.135405089669874e-18,1.2682032256069427e-17,-1.1864954365569666e-16
5,1.0820505228863293e-16,-2.0275238577400659e-16,-5.4865782806571556e-17,5.172764267626101e-16,3.6874952924603964e-16,-6.035820039583703e-17,-6.042492550724107e-16,4.480574379369782e-16
6,-6.633288534306369e-16,-2.390498050089785e-16,1.2536806906521763e-15,-1.7281149288406948e-15,-1.3710547370439185e-15,1.749018894995432e-16,-3.7247049115288563e-16,-1.8421883113397497e-15
7,-2.7269834283939235e-15,-3.1716659518860533e-15,2.0916650650325066e-15,-3.3847776093516184e-15,-5.790154110514173e-16,2.0261765717216956e-15,-1.6314762475466536e-15,5.1598615265441205e-17
8,2.1743285287339933e-15,-1.0755280081384243e-15,7.504602025198003e-15,1.0485016408816556e-14,2.350662055130066e-15,3.2457867678234014e-15,1.1009547236119866e-14,8.105579682053474e-16
9,-1.574382633057698e-15,2.5817498007637754e-15,-2.780212777852212e-15,-2.9298006387879325e-15,-2.939866885656008e-15,-9.563551560651894e-15,-5.425736401289835e-18,-3.4029430469031627e-15
10,1.590406703043833e-15,9.110371178003964e-15,-6.492412026860824e-15,1.763272909054135e-15,2.5772937914842657e-15,1.199538732031294e-14,-1.423479879050302e-15,-7.200442857242192e-15
11,3.5668474770236314e-14,7.901637466436442e-16,-8.862611991184984e-14,5.0703251447226814e-14,-4.065618643931247e-15,-1.184402389954766e-14,8.115539521895823e-14,4.0678558174114196e-14
12,1.858072074582119e-14,-1.6037253824450099e-15,5.08178651205406e-14,-4.0948339826672694e-14,5.842907703565335e-14,4.676401086585077e-14,5.3537677235957214e-14,-3.643754209697875e-14
13,1.3187904554172308e-14,-4.6362682316991765e-14,-1.5534469000603048e-13,-1.2458987055805271e-13,-4.2110286549839833e-14,5.035584371550525e-14,1.5092795788406397e-13,-3.754049897028889e-14
14,2.3627666522599678e-14,1.9607509762590277e-13,1.2776514234620878e-13,9.668682208762356e-14,-2.543489150071813e-14,-1.922932230687307e-13,5.673668650126984e-15,9.306443028126315e-14
15,-2.1840473848275774e-14,-1.3370379741164978e-13,1.8717585788687568e-14,-8.382823851297766e-14,-1.5999227197038498e-14,7.782882471275736e-15,8.097547489738408e-14,3.6134727537395627e-14
16,1.8939122265205664e-14,1.5683943415675563e-13,3.0468036829151387e-13,2.020719487971252e-14,-2.9079499214307055e-14,1.1222139000685902e-13,1.9861821988276616e-13,3.3399417122780863e-13
17,1.8236396855166508e-13,-1.0144825244077388e-13,-2.836519608820785e-13,-5.859697387716707e-13,-3.1982096562657984e-13,-2.97827483705764e-13,-1.1309366512026714e-12,4.740068442211561e-13
18,-1.7527730715009584e-13,5.8484469970148e-14,4.719603041622215e-13,2.3428253774327096e-13,5.557287943711383e-13,1.29735222464708e-13,-1.3679735147784418e-12,6.840631977481503e-13
19,2.2478320410740257e-13,-6.620471035496348e-13,2.2697691195128016e-13,-3.3705257660010146e-13,-6.331671742030904e-13,-1.2950165876855487e-12,4.5254416593187814e-13,8.201677704597602e-13
20,-1.0365531765060851e-12,2.7635014590440923e-13,-6.094860000568171e-13,-4.056913445348949e-13,-6.20774549186617e-13,2.2362518786107413e-12,8.153712520787393e-15,-1.9833189302488853e-12
21,1.0377232004902458e-13,-1.0782472221816503e-13,3.969757195183275e-13,-4.763208547067715e-15,-1.6521017449871768e-12,2.044060563493982e-12,-5.926667959141995e-13,7.640345725870493e-13
22,-7.921653606250048e-13,1.72147880611261e-12,1.379690993161388e-12,2.122642962653375e-12,4.946996167924826e-16,8.444560416416715e-13,-1.1626168763261573e-12,9.892860545956792e-13
23,9.22282176556035e-13,-5.852491075638213e-13,-9.7370623158968e-13,-2.0446942471587807e-12,4.795652614432689e-12,-2.4840387062059024e-12,3.4000552564002914e-12,3.2552525580390897e-14
24,5.077396646049627e-14,-1.2312743044571342e-12,-3.2301082591947495e-12,4.834076362564338e-12,-5.96784278947401e-13,-3.5804424240068156e-12,4.995426751126883e-13,-3.741746938900268e-12
25,1.0065344841384896e-12,1.2510895666245307e-13,-7.641496390007226e-13,-1.6866964876331564e-12,-1.0328033901136873e-12,-4.283110574646113e-12,3.6478069157375124e-12,-8.640019445301328e-13
26,2.966102678423828e-12,-5.429114946048732e-12,1.2701997070842953e-11,-5.805539195642199e-12,-6.905243888885654e-12,1.2104498207508801e-11,-3.0253079217110473e-12,-2.45040585040685e-12
27,-1.638929359072527e-13,6.92735574819289e-13,-5.172804486163692e-12,7.782588060420213e-12,-6.237073697951329e-12,3.1240223934485166e-13,-1.8251304997199483e-12,3.6862449302058316e-12
28,9.32420142301961e-12,-3.0298771142559473e-12,6.691640399873175e-12,6.343339054018253e-12,-5.991372908844286e-12,-1.7753651719789987e-11,1.809859627561418e-11,-3.2982165107915276e-12
29,3.131526239819672e-13,2.8714711884804033e-12,-9.139779627670027e-12,-2.047215980645884e-11,-1.499407606718017e-11,8.16751961332169e-12,-6.874426880019225e-12,-4.965794324636851e-12
30,3.985775699167418e-12,4.243165666061523e-12,-3.9286980113650166e-12,-1.3781647755743013e-11,9.259389693874053e-13,-1.0541081665928111e-11,-1.1448400891075916e-11,1.874665209980615e-11
31,-1.5878554392815798e-11,1.2515507654762612e-11,-4.8615113584334916e-12,-2.828470828561038e-11,-2.101108551682202e-11,-4.532203844065198e-12,-7.947911382426516e-12,3.819152154244223e-12
32,3.061560375865167e-12,5.6048299553313374e-12,-2.6241396237646737e-11,9.234399684538912e-12,-1.3178887563205264e-11,-9.683416244263175e-12,4.891340643467649e-12,8.783278104724124e-12
33,-2.500193144870637e-11,3.48897707688301e-11,-3.456673383179648e-11,-9.752309450963251e-13,-8.123903277287832e-12,-3.571383062430535e-11,-1.963591363047397e-11,-9.18452577516535e-12
34,3.360220012902448e-11,-2.9895522047480563e-12,2.2847308660632176e-12,1.1103770279023094e-12,-8.335017820129382e-12,-2.7549174746032123e-11,6.056104820159292e-11,4.976492313311111e-13
35,-3.715877695933972e-12,3.524016091098538e-11,-1.570907705720703e-11,-7.87381197674104e-12,-8.029645284723881e-12,-5.93070282067191e-12,-3.273198202511764e-11,-4.753828581247101e-12
36,-1.138344459162443e-11,-1.83539434110717e-11,1.311414282532345e-11,-1.3839075409613277e-11,4.6863351795285235e-12,-2.1182936058852046e-11,-1.5228075695719708e-11,-9.83786288391668e-11
37,9.731369612773437e-12,2.006591611175853e-11,-1.2074139198012707e-11,8.372714232272758e-11,-4.8561748473054627e-11,1.674211701882124e-12,5.7966950516782967e-11,-1.0016112122973025e-10
38,-2.1508480443539515e-11,-6.481807043140011e-12,-4.5243386602013306e-11,-6.073404495697687e-11,5.37097507875923e-12,-4.008797633579059e-11,-8.41847714693517e-11,1.5084044321548365e-10
39,-2.353619303255041e-11,1.8349894454995734e-12,-8.663000395552882e-11,-5.707307022784847e-11,1.1329569328815258e-11,8.982759670992835e-11,1.9187256802608624e-10,-6.901268340049638e-12
40,4.4599266435894194e-11,-5.022914026667619e-11,1.2894905143560066e-10,-7.80563934710284e-11,3.813303205480826e-11,1.1216781329744963e-10,1.1923817577239844e-10,-1.3025008230049597e-11
41,-3.091420182260354e-11,-5.5605711032447854e-11,6.991258579047246e-11,9.95874075380639e-11,1.8614433194439887e-10,5.122043232126423e-11,1.1048282312522439e-10,4.775380109211574e-10
42,-2.937485112545665e-11,1.5115392027227552e-10,-8.42587058256981e-11,3.356382606704067e-10,3.218992430602984e-10,7.137735973949729e-10,8.890906404767082e-10,1.3695444527173574e-09
43,2.987104894139012e-11,1.0721225179582687e-10,4.433355401581617e-10,9.267720881394947e-10,1.1501563122733508e-09,1.6449340337804263e-09,2.2888698215429493e-09,3.160276658842375e-09
44,7.417626491264296e-11,1.1240435593336683e-10,1.0636887705483159e-09,1.613411276650342e-09,3.0226632939023887e-09,4.082744548853602e-09,5.7130229894516046e-09,7.660159663851006e-09
45,1.9872252790370286e-11,5.626123581898635e-10,2.1501990716259365e-09,4.336978634198867e-09,6.919412394274563e-09,9.759265050489976e-09,1.3307664820268613e-08,1.901469819490472e-08
46,6.645264535388028e-11,1.4198063248803404e-09,5.9130792675755145e-09,1.0293856329387482e-08,1.6100358586273398e-08,2.26962413696702e-08,3.0591674195352316e-08,4.260683820651579e-08
47,1.3149138700931455e-10,3.6440421972328356e-09,1.2033760023950403e-08,2.3661673144774523e-08,3.564888010559493e-08,5.036401126696824e-08,6.760175841562532e-08,9.307276308803424e-08
48,3.279440127280763e-10,8.36078486868781e-09,2.682949364944435e-08,5.075471447831215e-08,7.796482337522195e-08,1.0760799470845033e-07,1.4363627377513802e-07,1.9592757484119644e-07
49,9.184838262896535e-10,1.8428573563845162e-08,5.783126777976045e-08,1.0784933557094677e-07,1.6234423123046766e-07,2.2341159698789154e-07,2.953539512571754e-07,4.0003672032926096e-07
50,1.949267408939277e-09,3.8922501311949476e-08,1.1962306706800194e-07,2.1952671743300114e-07,3.2883139060320676e-07,4.467251710879621e-07,5.872097199696616e-07,7.892574757847068e-07
51,4.568579279546364e-09,7.97743411839303e-08,2.3935528491916944e-07,4.33446860260655e-07,6.419394303675181e-07,8.677811357643247e-07,1.1322097764743916e-06,1.511304665973974e-06
52,9.585647201822548e-09,1.5979077894256465e-07,4.6547768644678424e-07,8.319685404027655e-07,1.2200185480943401e-06,1.6364154768657574e-06,2.121372226475827e-06,2.8124227647680035e-06
53,1.9792895487688074e-08,3.0982583209232626e-07,8.807569817140791e-07,1.551391558993968e-06,2.25397576376408e-06,3.0013967046850325e-06,3.866488224968205e-06,5.0894079667860095e-06
54,3.931960326163985e-08,5.827454963486288e-07,1.6201196852792398e-06,2.815856001061462e-06,4.055157063617633e-06,5.3607979160093504e-06,6.864884993063947e-06,8.97439327373988e-06
55,7.653633672039106e-08,1.0722374721165349e-06,2.905350198839857e-06,4.984703344263885e-06,7.11369236628713e-06,9.339635998178303e-06,1.1884621874136154e-05,1.5434531535068064e-05
56,1.451032924881351e-07,1.9191320988905486e-06,5.084951811153799e-06,8.607848574958233e-06,1.2180623805597979e-05,1.5885503904054105e-05,2.00948558194778e-05,2.592366866148183e-05
57,2.699268850954163e-07,3.3568174891769782e-06,8.692764559656719e-06,1.4529721284635422e-05,2.038497036373644e-05,2.641082509212845e-05,3.321288353391218e-05,4.256851557989279e-05
58,4.869561655881075e-07,5.7400220203850365e-06,1.4532390624265399e-05,2.398707656657041e-05,3.337740579257599e-05,4.2963608338315515e-05,5.371528688426913e-05,6.84121474205622e-05
59,8.612735616250712e-07,9.602685976299683e-06,2.378274850277015e-05,3.877795572712964e-05,5.351440251761923e-05,6.8450919845503e-05,8.509630852618702e-05,0.00010770707784858724
60,1.4880016884521769e-06,1.573305677767976e-05,3.813635808514425e-05,6.144077488532546e-05,8.410760152580132e-05,0.00010691311795292882,0.0001321764122848637,0.00016627935465161892
61,2.5206065736699777e-06,2.5273863270237548e-05,5.9975228993217056e-05,9.549173246841541e-05,0.00012969050204418575,0.0001638564230046352,0.00020146835588708,0.00025193315857964527
62,4.182751692748121e-06,3.9832140407217165e-05,9.257710835994595e-05,0.00014570401092248164,0.00019635900707064974,0.000246606039625355,0.0003015931905256397,0.0003749363883601142
63,6.812292886775517e-06,6.164785343451204e-05,0.00014038003615449157,0.0002184462409137583,0.0002921614393556343,0.0003647634277959,0.000443760046070496,0.0005485060431027755
64,1.0888692901435577e-05,9.376013556045351e-05,0.00020926320030111023,0.0003220289811721455,0.00042748998785313574,0.000530648929745331,0.0006422533945643627,0.0007893783716961256
65,1.7108538842352736e-05,0.00014023794061776562,0.00030689294421709645,0.0004671271941307509,0.0006155742799177077,0.0007598021170562852,0.0009149575628392137,0.0011183255276686621
66,2.642558921521227e-05,0.0002064251330632927,0.000443072867891553,0.0006672065569306163,0.0008729254081726867,0.0010714623199098439,0.001283859737272186,0.0015607074226736684
67,4.016401604746769e-05,0.0002992148846400755,0.0006301520069640354,0.0009389436060255885,0.0012198036417748748,0.0014890744887141594,0.0017755597339630391,0.0021469343230301474
68,6.009870335763057e-05,0.0004273749431606133,0.0008833928814150349,0.0013027087871972376,0.0016806556580456489,0.0020406853724203033,0.0024216650820058083,0.002912865868648362
69,8.859866643508643e-05,0.0006018387394349234,0.0012214018208292488,0.0017829059409391057,0.0022845319386233243,0.0027593398052583318,0.0032591099090317766,0.0039000382784371013
70,0.00012875062886490152,0.000836085410974019,0.0016664677450484167,0.0024083678194092295,0.003065369399285478,0.0036833518006484933,0.0043304273361632895,0.0051558996655431955
