S,p02,p03,p04,p05,p06,p07,p08,p09
1,1.5578207714611965e-25,-1.5574037434339921e-24,3.668275415348124e-24,-7.016081111071753e-25,9.573811476406516e-25,-8.16559066985902e-25,1.3061168319737035e-24,-1.1901522050776187e-24
2,-6.005410088881255e-23,-1.3073459840976818e-23,2.467787793886541e-22,2.877142807201911e-22,1.1066025846073244e-22,-2.9811790647627523e-22,6.535744784339813e-23,-8.703512583981145e-23
3,1.9004330823780908e-21,3.4985229159639546e-21,-2.071546512068432e-21,3.6254305880242215e-21,4.4813690135099076e-21,2.8614943595807882e-21,4.773554261486009e-21,-2.5229303695699408e-21
4,4.028006774402104e-21,3.755100469041568e-21,1.1139387195521059e-20,-2.6396120324668938e-21,7.3469427469845e-21,-6.396971548584361e-21,1.136330618088075e-21,-2.7909626760342924e-21
5,6.45821281279638e-20,-7.519208417166956e-21,-6.518062205299846e-20,7.795762689275142e-20,9.415475538131309e-20,-2.467280815493179e-19,7.502236050615356e-20,1.1137650823645909e-19
6,1.0954662437166106e-19,-2.3017969850220362e-20,-3.9338425737582433e-19,4.3164901127541573e-19,3.085311897518921e-19,1.8967753245631326e-20,-3.252667897065959e-20,-3.8557638788053354e-19
7,3.613364981636212e-19,-8.059728945185733e-23,-4.224613228896337e-19,-2.696660009339462e-19,5.656317895700065e-20,-5.173945573072328e-19,1.0945042583364054e-18,-1.2210155257835047e-19
8,-5.491799412548291e-19,1.6968263360032816e-18,5.508302222412366e-19,-9.729353557047676e-19,2.503085265814322e-18,-7.550531739040016e-19,1.7581512747795047e-19,2.0743059825928855e-18
9,-2.3565512831067398e-20,-2.0980889803659936e-18,5.037506278818393e-18,-1.4664391621017081e-18,2.30901335821003e-18,-4.793955752483007e-18,-2.1201535636587746e-19,-2.8361700778129724e-18
10,-2.6575567478682035e-18,7.544447247523438e-18,2.5135703645398356e-18,-1.5481947317089628e-18,-5.420479592278839e-18,-4.337225773066864e-19,-1.080322255489864e-17,3.969337525566052e-18
11,-1.3550829633918746e-17,8.79111386294741e-18,1.6510810705394406e-17,-1.5460661627355466e-17,1.0572692290072268e-17,1.2332032743323162e-17,6.998201849985785e-18,-2.0544095348747243e-17
12,-8.240553308624404e-18,-3.7153757153977806e-18,3.118640087558278e-17,1.257529318256414e-18,-2.613330843146453e-17,-2.8540476936400524e-17,-1.434664575143349e-17,-1.1603086567814988e-17
13,-1.3562602114229867e-17,-3.7046771782385845e-18,-5.308082895202798e-18,1.1876074228635646e-18,-1.6819384915531986e-17,-1.3884827500246386e-17,-6.527005603823938e-17,-3.7108942259866426e-17
14,8.832025906466359e-18,-3.644280201230314e-17,3.309682256083169e-17,-4.540185794021654e-17,-4.0080512275896366e-17,-1.279510355895831e-18,-3.977493013919667e-17,1.8549908737887002e-17
15,-1.324827252251486e-18,-9.52095795193408e-17,-5.834709468998615e-17,1.2285392736826829e-16,3.815941032888516e-17,-4.6477926183866416e-17,4.7674154268683334e-17,1.4338538527721614e-18
16,1.8854781046542646e-17,-1.1382927916520252e-16,3.6258247808178205e-17,1.3100875166372006e-16,1.1746293144524863e-16,5.620500250263733e-18,-1.787582100643478e-18,-2.274515759714285e-16
17,-3.56189822497585e-17,1.119413916484503e-16,1.2434756294572543e-16,7.108481547922406e-17,3.7814565786262936e-17,-2.892742112900898e-16,-5.000036514654547e-17,-5.643294509413668e-18
18,1.7849421464036006e-16,2.1917856937901373e-16,3.968029218706077e-17,4.29262643076203e-17,1.061379481862073e-16,1.8305943335383915e-16,5.516432167773328e-17,4.2319483851563716e-16
19,8.205536904757713e-17,2.1027971263729393e-16,-1.2686348567125336e-17,-3.6459231024209505e-16,5.050300228404423e-16,-4.026056952906358e-16,2.5537576986694805e-16,2.5221931769649663e-17
20,3.142294811337313e-16,7.472999203156723e-17,-2.9440432782848856e-16,1.5385047560094922e-16,5.54362877223596e-19,-5.2825045326147816e-17,-9.850723740671798e-17,5.753447152961863e-16
21,-9.511609023576715e-17,1.2655748727628577e-16,-2.5012650504609755e-16,2.269425611930522e-16,3.1518015289540485e-17,1.2832403349525085e-16,1.0139382325493743e-16,-6.310357975397937e-17
22,-3.156980810997383e-16,-6.01025720825502e-17,-2.511282181117575e-16,-3.439073247608516e-16,-4.840377320292929e-16,-5.078758811385992e-17,-9.806203221689849e-17,-1.2155352649134968e-15
23,1.145120846735509e-16,7.64207329660347e-16,7.39779256856053e-16,-2.3797505015028883e-16,2.0341296265792962e-15,3.407672302274783e-18,7.075594439384948e-16,2.6349210691446916e-16
24,-3.6010817362136615e-16,-6.253296267214059e-17,1.426522888823079e-15,2.0173627693640393e-15,1.308272662945867e-15,-1.0426040494128834e-15,6.702588547939193e-16,1.7389310786585448e-15
25,3.057739732052694e-16,-7.063566823631094e-16,1.2558888909564887e-15,-9.97173029633864e-17,3.79795644357707e-15,2.981998495944899e-16,1.9339796113966135e-15,1.7689325185192579e-15
26,-6.754579081116352e-16,-8.209780752238541e-17,2.1845517708024353e-15,1.8518188192251774e-16,-1.1785080055057122e-15,4.306752307140106e-15,-1.820846289534624e-15,-7.785093756320556e-16
27,1.4189376079011876e-15,-1.5661687361482835e-15,-1.5775354960657399e-15,8.719121328753984e-16,2.4148176531956918e-15,-1.3257691318388502e-15,4.602976830875009e-15,9.550852256714449e-15
28,-2.260337573305189e-16,1.7182607049646576e-15,9.222861675689205e-15,-6.375186547368864e-16,-5.295716694611831e-16,-2.458157595041094e-15,-3.601182202611677e-15,-2.8464811811835496e-15
