S,p02,p03,p04,p05,p06,p07,p08,p09
1,-4.578949032233898e-24,3.169163998385459e-24,5.1257123320193394e-24,-1.5029762512180281e-24,-5.509170496582829e-24,-3.0833756851556572e-24,3.3368606978781546e-24,6.866407127433272e-25
2,-2.307126278793171e-23,-5.98386887884066e-22,-1.662446843488975e-22,-1.0294026486332987e-22,-3.979471841035539e-23,1.1286758907687957e-21,-3.3335826188351645e-23,1.2222445184422813e-21
3,8.823444804678121e-22,5.4492387705636466e-21,4.106506090157524e-21,-7.862675551806596e-22,-4.360692559199383e-21,-4.780304325684288e-21,1.8594286792133186e-20,-1.333681761151659e-20
4,1.933499203772544e-20,-5.116300371358261e-22,1.4991037234334735e-20,7.012068725638748e-20,6.517421024089658e-21,-1.0733941617899695e-19,5.545707969558555e-21,-4.862220768503659e-20
5,1.786078476861484e-19,-8.188454529934279e-20,1.623311152818042e-19,-4.346115902099499e-19,2.8796263649311577e-19,9.747421276649616e-19,-3.7853953158037865e-19,-1.064053035514752e-19
6,-7.644872415562917e-19,1.0754816781460573e-18,2.1280918548628326e-19,-3.114220050350616e-19,-7.096128330505156e-19,5.319127843193692e-19,1.1462307428805e-18,3.27914043654315e-19
7,7.71861378202975e-19,1.5156719192525833e-18,9.53633469596882e-19,1.348480920746128e-18,-1.9762204319181364e-18,-3.568734615667904e-19,2.2698227008998514e-18,-1.0775971067635924e-18
8,4.838878854792116e-18,-2.1236677099092696e-18,-1.1873223357405655e-18,1.2301967409951651e-18,8.98972259051808e-18,2.8736225063938695e-18,4.4167926227326845e-18,2.6985298003920006e-18
9,5.259867056627349e-18,7.916793735361854e-18,-6.32027481869611e-18,-3.66959550083496e-18,-5.295073621197755e-18,-8.20196058758297e-18,3.3941861098111824e-18,2.801498467313682e-18
10,4.448420295842836e-18,6.2215555785083604e-18,1.3891331255594368e-18,-3.413493271866761e-20,1.3243029616845248e-17,2.840938436817207e-17,-1.610158174784086e-17,4.276433735733328e-19
11,9.806078818618308e-18,-3.7511363911755125e-18,-3.686312611691992e-17,8.185412580228882e-18,1.1818219060942357e-18,2.7703351588843174e-17,1.7645473185541302e-17,-2.525202635155069e-17
12,2.1686397655303224e-17,1.84891612486e-17,-3.946931220100602e-17,-6.485247302129316e-17,5.859378795260064e-17,-5.017907638207993e-17,3.821017838693855e-17,-6.329138352676914e-17
13,4.191892688647956e-17,5.798379090387393e-17,1.907979990336312e-17,1.0833808997931004e-16,-2.6789687611599053e-17,-1.349357049067104e-16,-7.495025392861506e-17,-1.810267877890721e-16
14,-6.672819085632562e-18,5.3502064257362127e-17,-3.652481221332573e-18,6.259436450057644e-17,-7.387119616393403e-17,1.0281696139987634e-16,1.7909651981956126e-16,-7.768538290267815e-17
15,-1.8644163969194575e-17,2.686006847276823e-16,1.118974938245542e-16,-2.7282221412968075e-17,-5.433768581733664e-16,1.0247455477235091e-16,1.2833632125671672e-15,3.415867386438417e-16
16,1.98870114930544e-16,1.4451272247606483e-15,3.1313919266260143e-16,5.448791816807918e-17,6.315132842858942e-16,-2.3930288535760873e-16,-1.4054153934694656e-16,1.4704040518151654e-16
17,-1.3252136793846623e-16,-3.2281695980247006e-16,1.883807568343315e-16,3.408257696647456e-18,2.1713455979552372e-17,-8.780897884929735e-17,-6.240784937286721e-16,-7.652615015681742e-17
18,3.609000257819357e-16,3.1087433763345936e-16,-7.96704580586077e-16,9.282883890933164e-16,6.07258061128998e-17,3.2635553543547696e-16,-2.723792699199751e-16,-9.69361033037119e-16
19,-1.5319971417810065e-16,1.010451695268558e-16,-7.903516005208443e-16,4.306559135826289e-16,1.743253762191217e-16,-2.749196533176417e-16,-5.957018294416815e-16,1.1308968927203017e-16
20,3.596563967801236e-16,4.430687892605288e-16,8.036313466865174e-17,2.7637175388911983e-16,3.309568161129742e-16,-3.423755689730326e-16,-1.430463023929091e-16,2.1535109913951796e-16
21,3.4405494107432604e-16,4.973255993667972e-17,4.848880197800021e-16,-7.163564182841296e-16,-9.675480380963716e-16,-4.803388080925677e-16,1.5452162492512404e-15,1.3598587498486837e-15
22,-6.337375547896667e-16,1.375506674644642e-16,-1.068492703221228e-15,1.673793996910746e-15,-3.3255680075681135e-15,1.5638750067219382e-16,7.645932871277705e-16,-3.71988282424712e-15
23,8.518693095910227e-16,3.695722311309217e-16,-1.2345767003203432e-15,-1.521274282396153e-15,-1.5209701392649602e-15,-1.0626462488589367e-15,-1.6027665491620505e-15,-1.1885819392295581e-15
24,-1.8780440540681972e-15,4.698983107699537e-16,-3.1619644644430194e-15,-4.429245225379113e-15,3.218607349203583e-17,3.5190141544778853e-15,-2.0615759906093132e-16,-4.962684194809212e-15
25,-1.0107539888434413e-15,2.224288406385946e-16,-7.083981321600562e-16,-9.679178656976524e-16,-3.033565066074151e-15,2.2953525390593664e-16,-6.592659394450813e-15,2.9048754387334554e-15
26,-3.0309517567472628e-15,-3.5896869114198195e-16,7.63407766084401e-15,1.3027910321195727e-14,5.1195931518977424e-15,-1.0749096926218927e-14,9.629295265515666e-15,-1.895818853278234e-15
27,1.6096768308587007e-15,4.972478529754136e-15,-9.261859328654182e-15,6.195067228425347e-15,-3.5320311306907216e-15,2.0238089255119363e-15,-1.2949559132508511e-14,6.426945883437505e-15
28,7.319540821720456e-17,1.2474808807021747e-14,-2.008686875157668e-15,3.929785866715778e-15,-1.0213218685183816e-14,-1.156306247009913e-14,-8.37345437963315e-15,-9.088036111354019e-15
29,-8.346655983268613e-15,-1.700420025883411e-14,1.5155745015149586e-14,7.436583945363868e-15,-7.714923977036386e-15,-8.801936724673087e-15,-4.597106459133069e-15,2.09573239727449e-15
30,1.8987982279025918e-14,-1.3683720958930884e-14,-4.61376382380507e-15,1.2123235534162048e-14,1.5127388878479307e-14,1.0875950943702541e-14,8.105717913711019e-15,-1.8874220189576368e-14
31,9.274278133758196e-15,-2.3164383748681678e-14,2.0299372627250066e-14,3.1617085147034614e-15,-1.3776438537368383e-14,-2.6269040166883034e-15,-1.0952930268605929e-14,-1.8706186731313775e-14
32,7.545112926229554e-15,-2.371951705915512e-14,9.98583306505949e-15,7.778025325284685e-15,-1.0179188672726978e-14,1.7484584754375144e-14,-4.6863944460369655e-15,3.328586581604441e-14
33,-6.595999359376974e-15,-6.72872629555829e-15,3.202012443282247e-14,4.3567988649203886e-14,7.33424667092108e-14,3.204536778579705e-14,7.99787562698637e-14,1.3434433142155944e-13
34,9.417964430329998e-15,7.484775565003286e-15,6.281261158306501e-14,1.1382393649592564e-13,1.9023763658107537e-13,3.097176509423916e-13,5.054531606433514e-13,7.970454639873879e-13
35,-5.298523019788674e-15,7.519844494966712e-14,1.741369718596408e-13,4.1973668391322e-13,8.87714880966567e-13,1.3524734814310233e-12,2.034937053987248e-12,3.0674609158712304e-12
36,-3.399535220415133e-15,1.7424231486415322e-13,8.995394457276307e-13,2.075077326431752e-12,3.5317630579810772e-12,5.46677851819951e-12,8.013305185055825e-12,1.227422891936584e-11
37,1.2707855358142213e-14,7.821368691939981e-13,3.4518020209614517e-12,7.783758115745394e-12,1.3694539678703975e-11,2.0854291500249385e-11,3.026650845280765e-11,4.5663671980415265e-11
38,6.076229868986159e-14,2.9326203965612364e-12,1.2768682433702322e-11,2.8602471736122928e-11,4.8889207276337216e-11,7.373861100037209e-11,1.061885925967662e-10,1.582919633031003e-10
39,3.073700530318442e-13,1.0361334586637703e-11,4.4065943741055814e-11,9.695906942979956e-11,1.6378059617777676e-10,2.447029616447898e-10,3.500369426849973e-10,5.164166692395227e-10
40,8.946804046665599e-13,3.4935728802859273e-11,1.4357964753050951e-10,3.106640973031349e-10,5.180192040152338e-10,7.673402063605248e-10,1.0871858541194971e-09,1.588687993430851e-09
41,3.0453217380443535e-12,1.1135521588531591e-10,4.434640044845048e-10,9.413860836865193e-10,1.5508409702604508e-09,2.275421987252033e-09,3.1977450275943665e-09,4.629551476706068e-09
42,1.0118785062708757e-11,3.3671940574006013e-10,1.2981749346371422e-09,2.707894448974374e-09,4.408324526855659e-09,6.408308928278225e-09,8.931834320879439e-09,1.2815225042623882e-08
43,3.129723256888566e-11,9.674167225418568e-10,3.616454365948442e-09,7.414744643571204e-09,1.1931689068573805e-08,1.7189511434931828e-08,2.3768507687229052e-08,3.3801907625048714e-08
44,9.217893240667203e-11,2.6508958671077332e-09,9.614416556963657e-09,1.9382251743241247e-08,3.083898619183636e-08,4.4041828218353735e-08,6.042232983015865e-08,8.519390855075891e-08
45,2.6006191008123897e-10,6.945130262770341e-09,2.4455371055623895e-08,4.8497043290538155e-08,7.631585804405262e-08,1.0806065416308455e-07,1.471208702246893e-07,2.0570594578472403e-07
46,7.016259328383914e-10,1.7440748970227268e-08,5.966440892778924e-08,1.1643254550256002e-07,1.812555193666478e-07,2.545153338638121e-07,3.439350257842474e-07,4.769706786093878e-07
47,1.8150807580085157e-09,4.2075569917693287e-08,1.3993554500749027e-07,2.688206646801502e-07,4.1409528271468317e-07,5.767366428579195e-07,7.736926635241842e-07,1.0644065190009683e-06
48,4.514240003138411e-09,9.77264534201618e-08,3.161725423955654e-07,5.981183059010993e-07,9.11899296303407e-07,1.2599617534785985e-06,1.6782135497686155e-06,2.290801929748517e-06
49,1.0814436316710951e-08,2.1896223616117458e-07,6.895324871927424e-07,1.2849648241629813e-06,1.9394161487448373e-06,2.658829711839751e-06,3.5167973693632175e-06,4.763912565989428e-06
50,2.5002520572920874e-08,4.7413362941517553e-07,1.4541571781907921e-06,2.6703064403950423e-06,3.990756599641425e-06,5.429458989975377e-06,7.132567467176342e-06,9.589812720619396e-06
51,5.5885210567457747e-08,9.939324855546824e-07,2.9705223737555313e-06,5.37687650642592e-06,7.958459758302588e-06,1.0746882693083628e-05,1.4023849926034652e-05,1.8717525138707012e-05
52,1.209640527372606e-07,2.020383567116961e-06,5.887188824077849e-06,1.0507095147886184e-05,1.540542653693872e-05,2.0651285492784994e-05,2.677244056413694e-05,3.54774747067475e-05
53,2.5394634287078384e-07,3.988279770335095e-06,1.1336574309691874e-05,1.995533604351589e-05,2.898853949338408e-05,3.858201717806605e-05,4.969818365858463e-05,6.539629316569599e-05
54,5.178236276170809e-07,7.656380790585932e-06,2.1240167620228458e-05,3.6885736392604376e-05,5.309862728634008e-05,7.017625733321295e-05,8.982910790367593e-05,0.00011739232382793078
55,1.0269945225692787e-06,1.4312669025261189e-05,3.877056455828948e-05,6.644199472213242e-05,9.479895713243343e-05,0.00012442847639909015,0.00015829699652673796,0.00020547800413794884
56,1.9836075511594454e-06,2.6086440814127826e-05,6.903118732485688e-05,0.00011677201911989382,0.0001651626103548918,0.00021532590495223296,0.000272287748342867,0.00035111464413994936
57,3.735651737543674e-06,4.640999466750826e-05,0.00012002908378740632,0.00020046664613406533,0.00028112578494222853,0.00036409162050125046,0.00045769133317924703,0.0005863784587636879
58,6.867377968549374e-06,8.068375452403818e-05,0.00020403035687584017,0.0003365258846714264,0.000467987148932889,0.0006021778361333708,0.0007526042085286639,0.0009581003861401691
59,1.233648633036601e-05,0.00013721012887891234,0.00033940015292681006,0.0005529761922254612,0.0007626897575966511,0.000975154217860714,0.0012118343313243375,0.0015331323247692655
60,2.1677223132562563e-05,0.00022847233022549435,0.0005530375604231755,0.0008902651326016642,0.001218018762754033,0.0015476261892505346,0.0019125416324462143,0.0024048651854434834
61,3.729396099401831e-05,0.0003728433948597042,0.0008835180565213177,0.0014055531224628208,0.0019078323217785497,0.0024092932561275895,0.0029611121837700865,0.003701077197178822
62,6.287591288619524e-05,0.0005968161932233919,0.001385049948092931,0.0021780027597287843,0.002933412058652709,0.0036822153554787527,0.004501310755980047,0.005593122927993873
63,0.00010396999214742075,0.0009378456378221445,0.0021323345057467366,0.0033151332162273737,0.00443097215388228,0.0055292947616358825,0.006723683218870512,0.008306385063778197
64,0.00016875508590441559,0.0014478878268314903,0.0032263904220188777,0.004960258623645537,0.0065803018384474185,0.008163903579658412,0.009876089763756566,0.012131805812807398
65,0.00026906654580774393,0.002197706006789495,0.004801361278982015,0.007300966412926261,0.009614436881756703,0.011860494131699787,0.014275145121425517,0.01743819705603538
66,0.0004217238476321308,0.0032819888715854713,0.0070322697344883485,0.010578515085820153,0.013830164161121592,0.016965926734834567,0.02031822984584989,0.02468490710298178
67,0.0006502162922524619,0.004825292281962056,0.010143616070495617,0.015097945195766646,0.019599065081542938,0.02391114261824853,0.028495623410505416,0.03443430447460337
68,0.0009868005516414373,0.006988771452829875,0.014418643776875106,0.021238606285950073,0.02737870448648975,0.03322270654302836,0.03940220628128634,0.04736343738017192
69,0.0014750589327660786,0.009977617819109663,0.020209015479349772,0.02946471299573351,0.037723479610809324,0.045533653124027455,0.053748091381148465,0.0642741504306224
70,0.002172957732875908,0.014049055573734334,0.027944563648100645,0.04033546198017879,0.05129456614070756,0.06159300094364661,0.07236748668015477,0.08610089746695358
71,0.0031564307535324877,0.019520690332664598,0.03814270772440481,0.05451417487067552,0.06886834402483957,0.08227325835920285,0.09622506674661356,0.11391548880163026
72,0.004523493343327979,0.02677893976266686,0.05141706884157284,0.07277588832182644,0.09134266012490731,0.10857523904273662,0.12641914755757988,0.14892805663222625
73,0.006398867697060376,0.036287218285833284,0.0684847713134859,0.09601279559283414,0.11974029467294588,0.14162954067795108,0.1641810206315375,0.19248361698386005
74,0.008939071168456887,0.04859349927192543,0.09017190075420732,0.12523696023575975,0.15520904594786,0.1826941165940232,0.21086990779767276,0.24605374666399057
75,0.012337886696805673,0.06433684252753549,0.11741659718782214,0.16157977207088836,0.19901793264429088,0.2331474862681676,0.26796314409084643,0.31122307409189864
76,0.016832099927581445,0.08425245734931808,0.15126929898690022,0.20628770174627162,0.25254913637029475,0.29447728399148443,0.3370413780137693,0.38967049602947607
77,0.022707352581759207,0.109174873303558,0.19288972136696778,0.26071402481064876,0.3172854588472107,0.3682640267128889,0.4197687853098319,0.48314526530784935
78,0.030303928379117256,0.14003881624972958,0.2435402482899723,0.3263063329442262,0.39479324559915646,0.45616018288438526,0.5178685134429872,0.5934383339317728
79,0.040022258382052533,0.17787743425944078,0.3045755385198967,0.40458981197255545,0.48670092081884436,0.5598648358681735,0.6330937983287099,0.7223495703492787
80,0.05232790890527527,0.22381758833373008,0.37742828484718655,0.49714644548698445,0.5946734727813041,0.6810944400414963,0.7671954056445717,0.8716516811640983
81,0.06775579985815114,0.27907201265893467,0.4635912192893498,0.6055904800586487,0.7203834207769598,0.821550364620005,0.9218862420681816,1.0430518501192143
82,0.08691339513783312,0.3449282541992393,0.5645956140581943,0.7315406607477647,0.8654789666120987,0.9828840810160998,1.098804132618203,1.238152238983159
83,0.11048261184601336,0.42273442047574544,0.6819866813348451,0.8765899040530377,1.0315501799557092,1.166660988183299,1.2994738787880378,1.4584105880122153
84,0.1392202120040556,0.5138818854590055,0.8172964184260944,1.0422732035025861,1.220094179663067,1.3743239524799387,1.525269770080717,1.7051021745762005
85,0.17395646826970365,0.6197852300077189,0.9720145668967727,1.2300346614174673,1.4324803415816099,1.6071576894066684,1.777379741374485,1.9792843740318309
86,0.21559193618021774,0.7418598072517212,1.147558454722697,1.4411946086589909,1.6699165964084715,1.8662551012127435,2.0567723216902145,2.2817649757533864
87,0.2650922139614542,0.8814974310725198,1.345242554096071,1.6769177881820194,1.933417853572372,2.152486636020079,2.3641674376073674,2.613075286378441
88,0.32348063069009836,1.0400407722960248,1.566248625914368,1.938183566979612,2.2237775383349145,2.4664736342494553,2.7000119981523962,2.9734488787291897
89,0.3918288670509695,1.2187571151567322,1.8115973173804532,2.2257590789109827,2.5415431152420176,2.808566492168429,3.064461024138154,3.362806642448479
90,0.47124558273173295,1.4188121673502916,2.0821220491129555,2.5401761102161746,2.886996352341464,3.1788283059275275,3.4573648861835333,3.7807485714913542
91,0.5628631905826853,1.641244634126293,2.3784459489861742,2.8817124153368563,3.2601388954889283,3.577024471168588,3.878263006451554,4.226552485764312
92,0.6678229883080866,1.8869422546807788,2.7009625128138204,3.250378002761511,3.660683577688672,4.002618508347489,4.3263841615348575,4.699179660005992
93,0.7872589156465714,2.156619963156192,3.0498205289941622,3.645906766702733,4.088051652861857,4.454774183260124,4.800653302883262,5.197287101332826
94,0.9222802628883197,2.450800774783657,3.4249136889319405,4.067753668635099,4.541376001765407,4.932363788179295,5.2997046187108765,5.719246023150325
95,1.0739536980552966,2.7697999178899475,3.825875142904333,4.515097488844155,5.019510133386085,5.433982269154035,5.821900366842491,6.263165888853449
96,1.2432850123478278,3.113712628743936,4.252077109412333,4.986849025845341,5.521042657208318,5.957966703862282,6.36535485203371,6.826923243985482
