S,p02,p03,p04,p05,p06,p07,p08,p09
1,6.62829826157846e-27,4.287480531607747e-27,-1.313894892182805e-27,6.55710973886476e-27,1.8748158347615312e-27,-1.118033296742351e-26,4.326260876796355e-27,-3.048531077953639e-28
2,5.588507530362614e-25,8.9171738580737e-25,4.332651519382159e-25,8.604268451772304e-25,-3.446173870136195e-26,7.068463696036459e-25,5.931757921835498e-25,1.0295173759470482e-24
3,3.6356495325558216e-24,1.2539156305459755e-23,-4.011346443151438e-24,1.4147870713962133e-23,2.2457702395260044e-23,-1.0246653790741126e-24,-7.004940642672911e-24,-5.023060981906088e-24
4,-2.3136569200141983e-23,-3.9658274088329984e-23,-6.935210969401598e-23,-2.3224163855112774e-22,2.886795095334357e-24,-2.549635377936907e-22,-2.1255182298588147e-22,-3.1113240183577023e-22
5,-4.784904465552573e-22,-3.1111635719686906e-22,-4.761573908801736e-22,-7.467847464121702e-22,-2.5339662623835135e-22,-5.829325126526422e-22,-1.2023437860503087e-21,-9.56108519426019e-22
6,-1.63249628905422e-21,-4.885750923402078e-22,1.0282913514270682e-21,-1.9417048823193827e-21,-1.9945869926447368e-22,-2.7123592213049844e-21,-1.5671745999901398e-21,1.7471292012009554e-21
7,-1.9927778961024113e-21,-2.31702612108647e-21,6.1729930849655004e-21,-2.317564404405434e-21,2.9984400266503342e-21,-5.597653598186813e-21,-5.121702044594806e-21,3.854191472007521e-21
8,-5.4255424118330096e-21,-6.65916592715047e-21,1.2926842148336876e-20,-2.9889893812868174e-21,1.1628716270223076e-20,-6.2269396524430884e-21,-2.0513890073022756e-21,1.6788959014786275e-20
9,-7.425712343159196e-21,-1.2365042194252966e-20,2.5927713960580776e-20,-7.127545576467815e-21,3.004436507103802e-20,2.462443633581422e-20,-6.3713412874211975e-21,1.4692701751293236e-20
10,-1.2556267577851544e-20,-4.700345988757737e-21,4.058196553532769e-20,-1.1551959167387963e-20,5.696193912660433e-20,8.509279392197112e-20,5.795731028145986e-20,7.286904954994964e-20
11,-2.9879277518716746e-21,-1.6739678054484726e-20,6.795714243299306e-20,2.6711637049904698e-20,9.99390401630725e-20,9.003990911827671e-20,1.0894486978376079e-19,1.5983315774940996e-19
12,2.4702266919868935e-20,-6.389841179507749e-20,1.1365828672083774e-19,2.41228946052369e-20,1.8051330542642148e-19,2.276875172104656e-19,2.800575327722843e-20,2.348398621796655e-19
13,6.089064108203778e-20,-1.135884139611753e-19,1.6843094417517145e-19,-1.507882971389755e-19,2.91837127909673e-19,2.3116470346734964e-19,2.7351901835674415e-19,1.813891422091865e-19
14,-2.089943368645268e-21,6.198880373444313e-20,3.0245065920599407e-19,-2.6181734073989426e-19,-1.558074140814393e-19,2.5445056322959107e-19,2.718359762803012e-19,2.523996021811644e-19
15,3.8403520120117497e-20,-7.323402433785902e-20,-4.755414498145746e-19,-1.8058159989724416e-18,-1.417442945089875e-18,1.1372914597936195e-19,-1.167317057804497e-18,-1.4163999168164263e-19
16,2.693100859085085e-19,-7.681562177937094e-19,-1.134562017193816e-18,-1.4147965576066275e-18,-1.3724688988113545e-18,-1.4213638835268023e-18,-6.416485305940976e-19,-1.8681894793703574e-18
17,-1.523440860259903e-18,-1.0576367597320615e-18,-1.5140752952577535e-18,-2.2609941688162557e-18,-1.9397007082984658e-18,-1.2377570443754318e-18,-6.047944694557842e-19,-3.1986864086490534e-18
18,-1.329561061338973e-18,-1.8027848808830022e-18,-2.5697409735612504e-18,-3.81031640826978e-18,-9.747166581693742e-19,-2.865972802927964e-18,-9.950940992793835e-19,-4.3566790995815216e-18
