S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,8.357394099733764e-21,3.487944419462956e-21,-1.1593313868128242e-20,1.2264620769767324e-20,-1.306976644719511e-20,-1.5413776554613196e-20,-1.4449632323794361e-22,-7.994181102664079e-21,-1.5941947569385678e-20
2,8.779060917142616e-19,-1.7069949652950946e-18,-1.734732580277834e-18,4.559199070270753e-19,8.336144650654641e-19,-1.2937230791115083e-19,6.265488273347004e-20,-5.1407808584530065e-19,-2.0246390742630666e-19
3,9.197054555990857e-18,9.655681521612799e-18,5.171026507877802e-18,-1.757886755750807e-17,-2.754468737694119e-18,1.4229657924664526e-17,3.9089923944472165e-18,-1.768137777346665e-17,-7.191174716275223e-18
4,4.4897835662567875e-17,-4.072398023347091e-17,6.655830750119532e-17,5.37471921483513e-18,-7.121181001508376e-17,5.958888357862353e-17,6.041519142210801e-17,2.817600334381619e-17,1.408541060760692e-16
5,-2.2170916654500677e-16,8.726128490964516e-17,-3.7102224642059074e-17,1.650284920105811e-17,-9.17128928232156e-16,-2.0342557214164578e-16,2.0716628109642744e-16,-2.1658744780493201e-16,-1.1526850488020787e-15
6,2.382382081287767e-16,-1.2950151175962986e-16,2.2409186447371054e-15,-1.1479948918416294e-15,2.244017489113748e-16,-4.639925187595805e-16,2.4605913663382203e-15,2.9416389428278593e-15,-1.4116808940840904e-15
7,2.7889148726514172e-15,4.090130073904203e-15,7.791477226280391e-16,-2.219536969930203e-15,1.6081663704121066e-15,-3.711110131366211e-15,9.779624175039879e-16,-1.256678294395009e-15,-1.4909093904366687e-15
8,-9.478928928736439e-15,-9.673121150748676e-15,-1.3744892284175031e-15,-6.187498049925499e-15,3.5046984881242337e-15,-1.1501996521044258e-15,-1.9407930936585116e-15,2.7563709391857276e-15,1.640621832114443e-14
9,-2.5644782210739222e-15,-6.2783270835380255e-15,-1.9958300913479415e-15,-6.7063118949072074e-15,1.4392217959051416e-15,-4.079973780275643e-15,-2.797874909005229e-15,-1.187275023776744e-16,-1.3338870225001696e-15
10,-3.9049645076228485e-16,-9.85383190448602e-15,1.406838074558705e-14,-1.7967424446543905e-14,-6.060325691361643e-15,-1.3663780158438038e-14,-2.855463778810173e-15,3.863755101288485e-15,-1.979551653129111e-14
11,-3.756412928784179e-14,1.142888294931135e-14,-3.380227788641849e-14,-5.1081942229846665e-14,-6.570656544301773e-15,5.013929524049281e-14,-9.832650414400085e-14,-1.0136275069186888e-14,5.4018148432428966e-14
12,7.479018636427034e-14,-1.0731871095748074e-13,-3.636950255197625e-14,-5.051607941832321e-14,-5.236925335828634e-14,-6.063239130864283e-14,-1.091482997671279e-13,6.762736780374155e-14,5.167942471610664e-14
13,2.0843971049488003e-14,4.778079439435038e-14,8.55528487464683e-14,6.514270826920651e-14,-2.5101152243048114e-13,-1.7691895043063192e-14,1.9037459919517044e-13,-8.438472768438805e-14,6.846377823067194e-14
14,2.314674468725897e-13,-1.5762082865776986e-13,1.537629991173126e-13,2.6412062032937314e-13,4.4802662526371863e-13,5.460678993117103e-14,-3.061423307095338e-14,-2.8209709234037028e-14,2.0479578106489318e-13
15,1.0115257847047852e-13,1.613662831368673e-13,-8.971571127602824e-14,-9.993171830869693e-14,-1.8134569587979426e-13,1.7991936198538682e-13,-2.3011247660001846e-13,-1.5805602491625863e-13,2.97355415207513e-13
16,8.809360847353996e-14,-5.156460152544831e-13,-9.406387456956184e-14,-3.489728663110376e-13,4.596274425176326e-13,2.7842550724815435e-13,-2.223503730589811e-13,2.4947601821787855e-13,1.5480803549650878e-13
17,4.3701509183619006e-13,-3.8736188195540685e-13,1.6508387122158305e-14,5.318898606538742e-13,-2.1669520654776234e-13,7.361598535090727e-13,-6.173823717967171e-14,-6.895204331963787e-14,-1.3977091133434774e-12
18,-3.293918683353017e-13,-1.9010301100767663e-13,-2.8375668600270343e-13,-3.825092695889429e-13,1.0345294785624023e-12,-7.288216838978044e-14,1.2887511982573906e-14,6.192277042045616e-13,-2.0952317688929287e-12
19,1.4134706720079205e-12,-4.973657191204483e-13,1.1929393642997683e-12,1.284728473745457e-12,-2.301925213269989e-12,8.841283178608055e-13,-1.1849749538263903e-12,1.142838345336872e-13,2.1918698884929147e-13
20,-1.1321917593603597e-12,-1.0522410544838028e-12,-3.268211331155102e-13,3.711547780404266e-13,-1.2993652083718833e-12,2.524397999930502e-13,1.1881777388373915e-12,-6.509178767930066e-13,9.079884041805091e-13
21,4.0489640955620965e-14,-2.948806884101236e-12,2.83232772329823e-14,2.5185915906410057e-12,-3.6221385349064593e-12,1.956730885396324e-12,7.272103049881608e-13,-1.4544568605117032e-12,-1.071606110955599e-13
22,-2.0870927301462485e-12,-2.440757052535462e-12,2.798374798736455e-12,1.993941734596126e-12,6.403920359521281e-13,8.049603882612041e-12,-3.115464994614494e-13,2.474796956288894e-12,-5.500681063273245e-13
23,-3.4714073432780667e-12,5.554318832745739e-13,-6.744808783834481e-12,-4.747749207432488e-12,6.122991749227481e-12,-7.376826586333421e-13,1.0568815512085173e-12,4.193184492702195e-12,8.274403620717393e-12
24,-2.018250663946944e-12,3.011033671171041e-12,-2.684022082881364e-12,-1.8211382017420386e-12,3.2700684871596915e-12,7.129826323286047e-13,-3.588745555601044e-13,8.035182681688252e-12,1.1313434189502343e-12
25,3.9222857102195634e-12,2.0539444563867954e-12,5.225184751197081e-12,7.742353436333846e-12,-3.91728534653884e-12,-1.6535642329938342e-12,-1.9582510711127704e-12,-7.475707400069257e-12,8.537998830440695e-14
