S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.1280324363204542e-26,-5.078489107136519e-27,1.1923742480688353e-26,-1.4262711819384434e-26,4.221830028694667e-27,-1.38684140890442e-26,-1.1130994293414402e-27,7.82948865409467e-27,-5.877298451938995e-28
2,5.627309163498503e-26,-1.943345405095165e-24,-1.277849405671512e-24,-3.7340413293070566e-25,-1.6051494898316152e-24,-3.319441174395687e-24,-6.7574814171843405e-25,-3.382836273341559e-24,-1.5190684171529126e-24
3,-5.7881747106743956e-24,1.4593962989032814e-23,-4.1834602372366015e-24,9.286184179998151e-24,-1.0454119311302258e-23,-1.2303530317409825e-23,1.4085046956508124e-23,-1.826753384723594e-23,6.683225392079983e-25
4,-2.076837189721096e-23,-1.9578726596483366e-22,-5.436977635515858e-22,-3.162711113411198e-22,-2.8435519227644453e-22,-1.7555506287852755e-22,-7.588260746878544e-23,-2.5088897326023404e-22,-3.404404947672935e-22
5,1.0236540127828636e-21,-8.564215021176989e-22,-6.319499701891401e-22,-4.089716722088653e-23,-8.000482719448999e-22,-7.227231448449419e-22,-3.509440635453793e-22,-6.940374980194057e-22,-1.8125093674721323e-21
6,3.043355172766301e-22,-8.839843707494201e-22,1.8442921268287837e-21,-1.6924048497347384e-21,5.733736996250163e-23,-3.9541416297692897e-22,-1.0102581911318662e-21,-1.4344038237954132e-21,-1.4445749640513392e-21
7,-6.5590490430315044e-21,-4.60722905963345e-25,2.6654144363756903e-21,-6.8272950231174e-21,-5.008482436794643e-21,1.5064004262160805e-21,-6.736806802004808e-21,-4.0806042166660476e-21,-6.291490746583465e-22
8,-6.063853268233359e-21,1.009002760968642e-20,1.1550047942316865e-20,-2.7970620340501146e-21,3.5000260870771014e-21,8.851677430316132e-21,-1.356486183640759e-20,1.972625596266283e-21,-3.1581784224365502e-21
9,6.847925691943055e-21,3.697833534337155e-20,1.029830044807567e-20,-3.264726685224206e-20,2.947437828887356e-20,5.080534625170882e-20,4.908494873949454e-20,-7.436017351013678e-21,7.921372310119906e-21
10,7.482468200945295e-20,1.3528953276804973e-19,4.365428979433092e-20,4.058717478171529e-21,6.433863754628355e-20,8.76225936220464e-20,1.1885983685195178e-19,-4.8766176250103404e-20,7.107736204381929e-20
11,1.0545309740255589e-19,3.7344230090418233e-19,-6.922772627859217e-20,-3.239802030139982e-20,1.2781973837731549e-19,2.3782941268333107e-19,2.181646491986443e-19,-3.467997288435924e-20,6.844394777837915e-20
12,3.7515418941455873e-19,6.719088794223729e-19,-1.3935121272439928e-19,3.763432608604739e-21,4.387242916293996e-20,2.0355973892547755e-19,3.1061976390324353e-19,-8.363612617334858e-20,-2.8476212077061135e-19
13,3.2155139986793214e-19,8.464708714393993e-19,-1.6768929847225975e-19,-5.67178122363716e-20,1.349510351029877e-19,1.9570888703885009e-19,3.1123012096774173e-19,-5.85749269129818e-19,-2.382657581762088e-19
14,1.695769809678945e-19,-8.792343000331572e-19,-1.2037210685791557e-18,-1.0582179468095978e-18,-6.707757976743805e-19,-7.821922230843262e-19,-5.977246452706192e-19,-8.240537459725632e-19,-1.0404749393619542e-18
15,-8.036736638936633e-19,-3.090840628307381e-18,-4.499945718986927e-19,-8.377549036629112e-19,-1.2607837355593658e-18,-8.714818360186527e-19,-1.4617308369562e-18,-9.787347432950458e-20,-1.1750165310922124e-18
16,-1.7053679697193134e-18,-4.2410541526227265e-18,-1.5205162262792437e-18,-1.4792552210674385e-18,-9.348502234748846e-19,-1.7882023420489576e-18,-1.7233158265511983e-18,-6.147742795983272e-21,-1.5576047983451267e-18
17,-2.4151018505776036e-18,-5.717989125227434e-18,-4.851552295898926e-18,-5.095716025198348e-18,-2.003448764156125e-18,-5.105046041380509e-19,-7.654885701961651e-19,1.679025710186264e-18,-2.3992517740309177e-18
18,-5.475967643116562e-18,-1.0038757703490993e-17,-5.677562807437159e-18,-5.1723819850661364e-18,-4.8887864203672205e-18,-1.8708440726163028e-18,-1.786335898018751e-18,3.0775777514846564e-18,-4.300665484952324e-18
19,-5.202510582961032e-18,-1.4951855926759942e-17,-8.824595070456174e-18,-8.439817419730921e-18,-4.754422189558184e-18,-4.898782233881778e-18,-1.6379765594052997e-18,3.0626799116100315e-18,-4.262397937900895e-18
20,-5.855022744028632e-18,-2.1660826447408022e-17,-1.3909837801205274e-17,-8.029229961048618e-18,-4.939389221327936e-18,-5.5106010715371394e-18,3.6380364025021473e-19,4.2146123094308374e-18,-1.1564075780071204e-17
21,-7.365150679543488e-18,-3.02542421320811e-17,-1.7423261123191592e-17,-9.548578133583054e-18,-7.477219860655929e-18,-3.755338006289378e-18,8.280677789716965e-19,4.9120397709965206e-18,-1.3894978392574803e-17
22,-4.638641719458244e-18,-2.5877345424864064e-17,-2.807896857954448e-17,-1.0761824735167796e-17,-9.44160808263529e-18,-3.9247101966438685e-18,8.447540567330187e-18,9.848904502078182e-18,-1.4999008645041086e-17
23,-8.153620188503845e-18,-3.0912290087990347e-17,-3.730890417338108e-17,-2.3746233352405957e-17,-2.165853200349678e-17,-7.224831477743078e-18,1.2802884241769355e-17,1.6823417865821333e-17,-1.6854469236526156e-17
24,9.092097806938618e-18,-4.1157958831060885e-17,-4.372164822219506e-17,-1.1457580787967615e-17,-1.7832635040891996e-17,-2.0207929587651114e-17,8.783316596632116e-18,4.813726339651502e-18,-2.8874108852860246e-17
25,-5.9171778440999765e-18,-5.1893111713362004e-17,-6.261671780488156e-17,-3.426898210772431e-17,-3.098825648196235e-17,-2.7043987652383686e-17,9.334427030240343e-18,-1.2704724745384764e-18,-3.3435884608262807e-17
26,-3.032961726538115e-17,-7.231777631350487e-17,-9.238995710134558e-17,-5.16030880828336e-17,-5.117549159153252e-17,-6.443187151205482e-17,-2.0014254521646465e-17,-4.024517875362047e-17,-8.133587846683449e-17
27,-8.897492113524047e-17,-2.2663962581090773e-16,-3.0081902023249136e-16,-2.837585832846073e-16,-3.019217972015871e-16,-3.081273591007148e-16,-2.4747284322492593e-16,-2.6581580342798916e-16,-3.5731640683929025e-16
28,-6.439118708803302e-16,-1.3806668686161624e-15,-1.74537813444859e-15,-1.8380179157752e-15,-1.9697546494256316e-15,-2.079208189162613e-15,-2.077552281267404e-15,-2.263435592680113e-15,-2.4750651367749614e-15
29,-4.378867576029901e-15,-9.310010659800819e-15,-1.1440986862123712e-14,-1.2571453476870452e-14,-1.3426985798517155e-14,-1.41668606389765e-14,-1.476523168598774e-14,-1.5627624931701663e-14,-1.6888803617052477e-14
30,-2.7783083683301818e-14,-5.811991729712523e-14,-7.103839519886469e-14,-7.831234112270561e-14,-8.352135523643832e-14,-8.779985289324701e-14,-9.181196390027497e-14,-9.670214708388398e-14,-1.0401956148265845e-13
31,-1.5981548449478388e-13,-3.280524221070774e-13,-3.987181252121602e-13,-4.389112489814507e-13,-4.672355729962136e-13,-4.906133757152004e-13,-5.130507215372726e-13,-5.392612084147645e-13,-5.789032219871745e-13
32,-8.330252803521442e-13,-1.6791224323219538e-12,-2.03053787443183e-12,-2.2304913935404457e-12,-2.370435504669747e-12,-2.4855980745462647e-12,-2.5965527115949645e-12,-2.7254060656050385e-12,-2.920050844715601e-12
33,-3.960268529826321e-12,-7.844658124939758e-12,-9.441148130279722e-12,-1.0346489739613871e-11,-1.0978174911186082e-11,-1.1497164778655576e-11,-1.1997033193391306e-11,-1.257557273869276e-11,-1.3449142083337928e-11
34,-1.7286867716484783e-11,-3.367078427425753e-11,-4.033468226396262e-11,-4.410011885295615e-11,-4.672100609891839e-11,-4.8870451313491865e-11,-5.0938420960189374e-11,-5.33285550672764e-11,-5.693157853215746e-11
35,-6.970136705997389e-11,-1.3356189372821533e-10,-1.5927657256552762e-10,-1.7375309755800474e-10,-1.8380554001943571e-10,-1.9203625611651196e-10,-1.9994525464580095e-10,-2.0907447282773452e-10,-2.2281680939573073e-10
36,-2.6100912646470163e-10,-4.922848993943876e-10,-5.845052281875509e-10,-6.362329457292099e-10,-6.720724371467166e-10,-7.013680182991736e-10,-7.29482471250731e-10,-7.618968790810389e-10,-8.106240316117604e-10
37,-9.122304627892407e-10,-1.6942913322751496e-09,-2.003172500662579e-09,-2.1758099444577833e-09,-2.2951577294827807e-09,-2.3925548777495623e-09,-2.4859061889355856e-09,-2.593415842662616e-09,-2.75481919187778e-09
38,-2.9891074825286185e-09,-5.469414999367871e-09,-6.439948651556159e-09,-6.980493960147067e-09,-7.353371234075332e-09,-7.65717899245091e-09,-7.948001806389213e-09,-8.28257455794745e-09,-8.784234872873639e-09
39,-9.220402248118196e-09,-1.6628341925074554e-08,-1.950078274597452e-08,-2.1095118482421215e-08,-2.219255713232687e-08,-2.3085290327881343e-08,-2.3938815763732833e-08,-2.491972303309338e-08,-2.6388726726642104e-08
40,-2.6875790492854688e-08,-4.7789812844424906e-08,-5.5827478687112936e-08,-6.027371465692713e-08,-6.332772462883813e-08,-6.580815251739753e-08,-6.817677437379622e-08,-7.08961575661494e-08,-7.496398036796059e-08
41,-7.427998350785579e-08,-1.3028316425535872e-07,-1.516199657405705e-07,-1.633838494739404e-07,-1.7144719431878956e-07,-1.779858951133125e-07,-1.8422242401025974e-07,-1.913755343843709e-07,-2.020637070951879e-07
42,-1.9527931695685357e-07,-3.379678082369456e-07,-3.9187059142740346e-07,-4.2149259217759335e-07,-4.417541666881329e-07,-4.5815908084837657e-07,-4.7378750222682447e-07,-4.916959449341519e-07,-5.184262265326681e-07
43,-4.897566014983955e-07,-8.366724577123213e-07,-9.66638373875871e-07,-1.0378310882459586e-06,-1.0864264773311894e-06,-1.1257111921879772e-06,-1.1630930752015476e-06,-1.2058895377718745e-06,-1.2697027677216785e-06
44,-1.1749286336946896e-06,-1.981938083829268e-06,-2.281813460909951e-06,-2.445558841361974e-06,-2.557099784585002e-06,-2.6471309513734612e-06,-2.73270319598133e-06,-2.8305838022239394e-06,-2.976390183586999e-06
45,-2.7028922378817093e-06,-4.5035230441302e-06,-5.16728761209623e-06,-5.5285993141336785e-06,-5.774215353729332e-06,-5.972161244870143e-06,-6.160090534286468e-06,-6.374867682603613e-06,-6.694510459461505e-06
46,-5.97627752468811e-06,-9.838657992724829e-06,-1.1251321524351092e-05,-1.2017909928402154e-05,-1.2537964276129404e-05,-1.295643956870173e-05,-1.3353293390649153e-05,-1.3806469266038906e-05,-1.4480315085142361e-05
47,-1.2727513843899261e-05,-2.0709120901565948e-05,-2.3606013117197985e-05,-2.5173217237506193e-05,-2.623424031860385e-05,-2.7086704779092137e-05,-2.7894226146863593e-05,-2.881562047269467e-05,-3.0184535155132988e-05
48,-2.6159360416809954e-05,-4.208092046606823e-05,-4.7816100273982535e-05,-5.0909403589332645e-05,-5.2999345252681186e-05,-5.467588521952754e-05,-5.626228366139552e-05,-5.8071005361566605e-05,-6.0756103184408316e-05
49,-5.198536910761849e-05,-8.26993647038151e-05,-9.368121498902674e-05,-9.958654433711722e-05,-0.00010356822451822057,-0.00010675734712283996,-0.00010977169404519765,-0.00011320595569296354,-0.00011830043772734233
50,-0.00010005768244403326,-0.00015745393091813487,-0.00017782698898424643,-0.0001887496193666837,-0.000196099103193498,-0.0002019764646536839,-0.0002075256662836057,-0.00021384344084086066,-0.0002232089263666115
51,-0.0001868227117534179,-0.0002908910447450538,-0.00032756671498921253,-0.0003471713667043162,-0.00036033547217816884,-0.0003708461818267206,-0.00038075924914820515,-0.0003920376649309299,-0.00040874609192543307
52,-0.00033889680718905804,-0.0005222496182706275,-0.0005864126115818037,-0.0006206091193396906,-0.0006435236162488098,-0.000661790281265662,-0.0006789996286946157,-0.0006985666192316343,-0.0007275370679886081
53,-0.000598095206226814,-0.0009124316902403179,-0.0010216707510366896,-0.0010797198550481545,-0.0011185360140373245,-0.0011494291173843756,-0.0011785025543539082,-0.0012115386737354744,-0.001260424970338665
54,-0.00102826700872469,-0.0015533239711360207,-0.001734550612885373,-0.0018305708326861797,-0.0018946414103460589,-0.001945550817247639,-0.001993409694640803,-0.002047759994374153,-0.002128147966165743
55,-0.0017242738043197047,-0.0025798398595070337,-0.0028731626587433856,-0.0030281194110408955,-0.003131294304602764,-0.00321313941295389,-0.0032899968837579088,-0.003377231023197658,-0.003506201926190559
56,-0.002823387041226708,-0.00418494134400962,-0.004648650885775662,-0.0048929005172938045,-0.005055175597727752,-0.005183685657182364,-0.0053042330819068634,-0.005440985160406265,-0.005643092277136731
57,-0.0045192585935167635,-0.006637716155382724,-0.007354502552047669,-0.007730944642771004,-0.007980493350872815,-0.008177777778634448,-0.008362636055188156,-0.008572243022965628,-0.008881930322724241
