S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.29165158460664e-26,1.1603450102636567e-24,9.792013233170407e-25,5.323515294096398e-25,-9.424981854590247e-25,-7.7705909792829665e-25,-1.565657252333183e-24,-5.1578457420999105e-25,4.928134478574791e-26
2,-1.1226143125116699e-22,-7.57669892921231e-23,-1.774233653315488e-22,1.1548421150811451e-24,-4.1245141828111e-23,-2.403815102553963e-22,-1.0667766048462143e-22,-4.273612142864785e-23,-5.551377745585489e-23
3,6.410184999498599e-22,3.002897185361226e-21,2.33053001964071e-21,1.9908947623277846e-21,1.470166276928708e-21,-4.343223896414661e-22,1.6571991354815124e-21,2.311345168190862e-21,-1.580876821688346e-21
4,-1.9343990401692237e-22,1.8618618721224362e-20,1.3303197354114983e-20,9.093935901389934e-21,6.519964772054392e-21,2.576410510447541e-21,-1.2680151622094224e-21,1.5890511593783332e-20,7.786966023050632e-21
5,-2.2261815873047545e-21,1.3336760784486302e-20,2.895625297144448e-20,7.479967983132754e-20,-1.1107194867743044e-21,2.5376176265976562e-20,3.0021439353825454e-20,4.762451167761294e-20,3.1889733890062105e-20
6,4.6231742371527915e-20,2.4553224155019813e-19,-9.175012983173282e-20,3.85386456676107e-20,5.497230827612938e-20,-1.3825861977607492e-20,3.3994982153471024e-20,3.6108640057846644e-20,6.770318997789567e-20
7,2.5039789326428364e-19,1.9569013224237932e-19,1.8683401143339961e-19,3.248879872133718e-19,-6.958699833875587e-20,1.929775927303676e-19,8.310640922708792e-20,-4.983358090704297e-20,-8.405041153256664e-20
8,3.5744244671110654e-19,3.7766793415813577e-19,1.1557690396001166e-18,-2.105064210432494e-19,-2.984187756380289e-20,1.1518844844379178e-19,1.4828510080795626e-18,1.5418594981856964e-18,3.884821280774022e-19
9,1.271490477131185e-18,-3.6503753188265634e-19,-6.361882256120423e-19,-3.8005799725200326e-20,1.3375628413967388e-18,-1.9373468108926654e-20,-3.8288508696982455e-19,-1.3413182156576447e-18,-5.240952768922814e-19
10,1.1167396206878559e-18,-1.9011323871527008e-18,8.867039138319944e-19,1.1275825215600912e-18,-1.9476556297636035e-18,-1.210510583664928e-18,1.9794619803354762e-18,1.980620563468204e-18,1.0837576441584989e-19
11,3.3178054222016823e-20,5.330814677352047e-19,-3.594169853386255e-18,-4.3594960384262754e-18,-7.325080621342087e-19,5.61374677148534e-19,-2.6550003048197535e-18,3.8997892816124993e-19,-5.067061208367368e-18
12,-3.495654833447404e-18,-1.2062581048384583e-18,-1.839007034036115e-18,-7.046949016828845e-18,4.335453012799656e-18,4.531396076944204e-18,-9.269621230801952e-18,6.049526454537997e-18,-2.000036454076951e-17
13,-2.228340739786815e-17,-3.387927235067836e-17,1.3489773379114182e-17,-9.646464677257125e-18,-1.1159825337666364e-17,-1.0461840872562115e-17,-8.783913885384927e-19,2.3745500570532554e-17,-1.3367934695023122e-17
14,-3.26670898596068e-17,2.3139510494268172e-17,-4.7028552782581845e-18,-1.480496990872151e-17,-3.468066925213801e-17,4.543591702368308e-20,2.0234744945487672e-17,-2.572607892709624e-17,-6.232012593018982e-17
15,-9.137530956460139e-17,-1.6525031716408813e-16,-1.0296394245032633e-16,-1.1389963672278162e-16,-9.952594870949139e-17,-1.1142035728464453e-16,-1.2038955838343142e-16,-6.648741511768274e-17,-2.155117184530687e-17
16,-2.2563503625977853e-16,-2.275240940432731e-16,-8.118655288772171e-17,-1.9809394495866804e-16,-1.5780578633909746e-16,-1.5182295830030782e-16,-1.882631374482073e-16,-1.692210205840896e-16,-9.983073255316092e-17
17,-1.595782463673843e-16,-2.506640497467115e-16,-2.522269900913381e-16,-2.308490183042539e-16,-3.39722499527014e-16,-1.2277763163116766e-16,-4.9132799857604694e-17,-3.07975865713792e-16,-1.2043406792482677e-16
18,-2.2243625885635847e-16,-2.2066417398492513e-16,-3.2927960011207186e-16,-2.8251804062981034e-16,-2.5082094828944893e-16,-3.6425973375121403e-16,-4.551775910204422e-16,-3.880334989856759e-16,-5.111025864489802e-16
19,-3.7794753132409337e-16,-4.938422410451804e-16,-2.7129321760744816e-16,-4.171275063406195e-16,-5.688124049885235e-16,-5.485993606874269e-16,-6.927313724600563e-16,-4.1582079304139734e-16,-3.7325748518741006e-16
20,-2.1852124902430251e-16,-4.2938463196233626e-16,-7.015321000470657e-16,-3.4479474499809195e-16,-6.695371620325545e-16,-8.445834047277115e-16,-7.999862528931543e-16,-7.220384021153062e-16,-5.00385674483442e-16
21,-2.467403267359086e-16,-7.002193318800489e-16,-7.573844209423489e-16,-6.502175458556648e-16,-7.604968726455115e-16,-7.851574986451749e-16,-9.885820580805661e-16,-1.0565788726220963e-15,-8.177424545381465e-16
22,-1.480152192911955e-15,-1.1074093994672768e-15,-1.1825567777777274e-15,-1.4885991689573656e-15,-4.3434934170148267e-16,-1.457233547974748e-15,-8.701856812939099e-16,-6.141924581101051e-16,-5.521214278951264e-16
23,-6.358174598044458e-16,-5.663071921978408e-16,-1.0608504862267077e-15,-9.100445595215887e-16,-1.3331815601846767e-15,-9.527822290558756e-16,-1.0998661979229409e-16,-1.4551694462360778e-15,-1.7606156810912676e-15
24,-1.3593518545124954e-15,-1.761961461003033e-15,-8.692340957049452e-16,-1.5280150938897913e-15,-1.708285767332336e-15,-1.5775373105470714e-15,-1.5954103394837416e-15,-4.143222553355926e-16,-1.6778664822733832e-15
25,-1.761474159752975e-15,-8.222985399376397e-16,-1.970627991580976e-15,-1.3224405578458236e-15,-1.7440155589014168e-15,-1.3248640346596697e-15,-2.7820270879480893e-15,-2.0455981276666085e-15,-1.853925888422361e-15
26,-2.38715773635785e-15,2.0903245735462553e-17,-3.379147894697257e-15,-2.6194194711854745e-15,-1.8271592414399232e-15,-1.203832484106705e-15,-2.3896980505792954e-15,-2.9044782577638816e-15,-1.600040268673742e-15
27,-1.7913413930084869e-16,-1.2567117308914784e-15,-2.1509017816835956e-15,-1.9814091019557374e-15,-4.5354327503739705e-15,-1.3556464369982122e-15,-3.4899943516973886e-15,-2.771431390863062e-15,-3.4865664649783478e-15
28,-2.3718275993288058e-15,-2.4431668311507253e-16,-1.783231127518079e-15,1.7983595099447505e-15,-2.135692008828724e-15,5.938281932635995e-17,-2.20824431908877e-15,-2.1682698629569974e-15,-1.6210532061724842e-16
29,8.839209742929638e-17,5.2327007565628146e-15,5.571715593621957e-15,9.024944077600382e-15,6.081000358410407e-15,6.5648503088387274e-15,8.33448042394795e-15,9.113672397185606e-15,8.156994179245638e-15
30,2.8711803106149624e-14,4.659979984678511e-14,5.055242488808229e-14,5.482071676011625e-14,5.541158521678386e-14,5.792562657897091e-14,6.214927462026165e-14,6.574466153394378e-14,6.898647953566296e-14
