S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.6794704906704504e-24,-1.334390493109347e-24,-8.693091977139823e-26,-5.931143814252223e-24,-1.1786354309205604e-24,-4.971708655238733e-24,2.528111369361809e-24,-3.0773993899359423e-24,9.162464618063736e-25
2,2.4665064055993064e-24,8.256849583689829e-23,4.24117311394072e-23,-5.602262991864532e-22,4.702487263555876e-22,3.3744506469203296e-22,-1.8877798933027205e-22,-2.011475991621635e-22,-4.967536141860362e-23
3,-2.2949344216378975e-21,-4.143909470068533e-21,-2.9173209116659114e-21,-2.281828368223048e-21,3.664370608957331e-21,1.83879620178964e-21,-3.689264441445056e-21,-2.8331341379572584e-21,3.492899615871242e-22
4,-3.8922615300793655e-21,-1.2665220793374988e-20,3.053439693120683e-21,-3.368949532816076e-21,3.813058113981806e-20,-3.412819910301744e-20,8.565447357243565e-21,-1.4736616909476848e-20,-1.4443521686989328e-20
5,2.8007993674076994e-19,6.373181392877091e-20,2.9014430224394526e-19,-6.842438175427396e-20,1.958760216627788e-19,1.7615905001368937e-20,-9.07254909696636e-20,1.2044757616730697e-19,2.469526419593584e-19
6,4.331423238674405e-19,9.221627949278733e-19,2.5266541181197085e-19,-3.156865534991579e-19,-6.26973077739465e-20,-3.565819902412272e-19,2.6435678116619867e-19,-1.9443235101406744e-20,8.00241446194461e-20
7,-1.1856226816234245e-18,-7.952981867481653e-19,4.533852552262919e-19,-2.863132530118969e-19,2.058395962209472e-18,-4.982783117826549e-19,2.329420927605381e-19,3.0144385043412814e-19,-1.6301083666556403e-18
8,-2.197513590070021e-18,-5.315034355387942e-19,-3.064481577942191e-18,6.486763330058697e-19,2.7795142115036284e-18,-2.720411639971726e-18,-3.0909293462683076e-18,-2.8871209238449894e-18,-1.6592645238390367e-18
9,3.2216719347832006e-19,-2.7284837553601747e-18,6.671172337123819e-18,-8.92741268059936e-19,-5.612045472668017e-18,-2.797496282853328e-18,7.878383170944316e-18,-1.439858056090038e-18,1.70339351459873e-19
10,-4.767113847893111e-18,1.9883245261601106e-18,-2.1966170720738337e-18,4.545020409394897e-18,2.4306434007508125e-18,8.776616413774117e-18,-1.4738178525889848e-17,-2.4449084589116837e-18,4.26465070370856e-18
11,-2.4314655854809088e-18,-1.6965806732588378e-17,2.3644563495893535e-17,3.596138645281549e-17,8.843272263867203e-19,-3.927124684520153e-17,9.800803965907412e-18,1.7191533579427626e-17,-7.566612094407013e-18
12,-2.905315452607586e-17,3.948533124551197e-18,2.135531972873632e-17,7.421273108661877e-17,2.60477625708081e-17,-7.564866115279322e-17,4.013528237837767e-18,-4.150736840753131e-17,2.3128366527782445e-17
13,-8.574519060699676e-18,1.3605028762761724e-17,4.798473470145764e-18,-1.7748319613100108e-17,-6.77766630995327e-17,-7.980026850604197e-18,-3.1691885762652465e-17,7.562947972148819e-18,6.033485824537177e-17
14,-7.049281172383878e-17,-2.291129138108584e-16,2.661028521271545e-16,1.8629328455564115e-16,2.1648472735628178e-16,7.552064969645733e-18,2.2035437801978133e-16,-1.0101379559778998e-16,2.5969900854708865e-17
15,3.854748697876964e-17,2.7642776808286545e-17,6.734469579263851e-17,-1.0643677924715812e-16,-1.8460075012681005e-17,8.94334603758055e-17,1.3540133844807725e-17,3.436993315326477e-17,-2.089521203647733e-16
16,-2.627579203728743e-16,-7.015898342670195e-17,-4.990502529304814e-17,2.0169896707621346e-16,9.090720959739152e-20,1.9246712512312044e-17,2.2302772647521004e-16,3.9118201827167997e-16,2.30212256732662e-16
17,1.3050175824396284e-16,-2.509731246974322e-16,-5.464070752195037e-16,-1.6223311903168744e-17,3.066655956827392e-17,2.2261472713771525e-16,-5.579623553999775e-17,-7.109136466929146e-17,5.679046878929114e-17
