S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,4.972364316997724e-25,-1.661036965325242e-23,-3.598114916649224e-24,1.638437615701751e-23,6.3358402278035634e-24,6.5169420112169005e-24,-4.028668016703564e-24,-3.878402495991288e-24,5.712403725198038e-24
2,-7.480102133617292e-22,1.357802489066223e-21,4.670186286826224e-22,9.92352058749189e-22,6.112543746038365e-22,3.824476109683989e-22,1.0511958749620592e-21,-1.1352629761606139e-21,4.663143378513126e-22
3,-2.9591767583690533e-21,1.0405198396612461e-20,-2.6192248862375554e-21,9.057603099851655e-21,-9.876733379241473e-21,1.044604102463119e-21,1.8090611079067516e-20,-1.3479279946934667e-20,1.618284248572244e-20
4,5.840966271703145e-20,-3.55783178618189e-20,9.235858222458283e-20,7.889668936953485e-20,2.723641179463309e-20,-5.2231291163873644e-21,6.076552793818395e-20,1.1078632364753718e-19,-4.5547582321802577e-20
5,3.968101651850629e-19,5.178779039890371e-19,-1.6093164815026172e-19,-2.900696492134314e-20,-4.130718774120872e-19,-2.3022282873580284e-19,3.9560904658602136e-19,-1.919381523449492e-20,-8.697677140700333e-21
6,-1.8197979950443927e-18,1.997954751139512e-18,1.0963283960354383e-20,-1.0422841603420625e-19,1.0493244859318225e-18,2.1547714326104193e-19,1.2142128399735097e-18,-5.164590436793586e-20,-9.214776024531497e-19
7,-1.0459998801412662e-19,-3.104614438113974e-18,1.3721518704618116e-18,1.6789188782103078e-18,4.597535501402183e-18,-3.982967987759145e-18,-2.3256818209452548e-18,-6.340507959949803e-18,2.784725823059829e-18
8,3.874991724073581e-18,3.2749727193423855e-18,-5.143571003816816e-18,1.1373217116570044e-17,1.0359146454095574e-17,-1.0178608977118078e-18,-4.0244482110540946e-19,4.835771873524644e-18,-4.6786694408656406e-18
9,-3.2924489098944522e-18,-9.916044226866462e-18,-7.094563533435118e-18,9.164815570330403e-18,1.4868001615232653e-17,-1.0397718653551194e-17,-2.0951665660203703e-17,1.487965486709516e-17,6.57887632910092e-18
10,2.4752061800370098e-17,2.3190359208181634e-17,4.4966761945145736e-18,2.6153874251826875e-17,-2.1832346573309165e-17,-1.0822153088990091e-17,-1.049814157206661e-17,2.8530365382300287e-17,-1.4948363100369396e-17
11,-1.715805094574849e-17,-1.0703065323643738e-18,-9.377727176866689e-17,-2.5646670211283575e-17,2.389395083450178e-18,1.6013239152135035e-17,-1.6391516063517465e-17,1.2155984988227444e-17,-2.63263426688377e-17
12,9.737677180878348e-17,9.53280447219567e-17,-1.98879701951995e-17,-1.0632348056150935e-16,-1.6541430613738026e-17,-7.041128670490427e-17,-1.4960208782325427e-17,-3.8238442945944564e-19,-4.61184715594491e-17
13,7.974092484570539e-17,-4.6548182882903463e-17,-1.0089641198094383e-16,-2.793275157775669e-17,9.237543399075867e-17,2.725997039605647e-16,9.418123074763641e-17,2.3033048181258113e-17,-2.9871184045468834e-17
14,1.8893120710034788e-16,-1.1615935205231798e-16,-1.2128894545212677e-15,1.4346638524380962e-16,-2.795747769600949e-16,-1.1800527178418797e-16,1.3770890188276905e-16,-8.744100809780535e-16,1.6466765653135204e-17
15,-1.5775254850643814e-16,2.4295421955605197e-16,-3.4077568040461916e-17,2.0682978952004392e-17,2.5509948522027495e-16,-1.6955005823858417e-16,1.3009357384056336e-16,-4.8663534008488694e-17,-7.652116827805851e-17
16,3.18719096184148e-16,2.8516229539947523e-16,-6.880313185776227e-16,7.084619876052283e-16,1.6666696705584699e-16,-1.011554663004298e-15,1.6146399548826578e-17,3.146161063408109e-17,-2.0311563249621966e-16
17,-6.902460654982149e-16,-3.59533224259549e-16,-4.857893801173439e-16,2.9185845694005145e-16,2.486533487105444e-16,-2.4846968151598144e-16,-7.898488524660137e-16,-9.859378741801156e-16,-3.2309372429579483e-16
18,-8.942003217071634e-17,6.764134272257268e-16,-1.433613008201432e-15,-1.2899164508496648e-16,-6.658258456282645e-16,8.85652711723131e-16,1.450686539733962e-15,4.294008866671322e-16,8.768950652219499e-16
19,-1.4327373017039605e-16,-1.2449190122709593e-15,2.1167990414923172e-16,-4.213296500192887e-16,-8.956085964839866e-16,7.009198846181665e-17,-1.0518994499603107e-15,2.1697391486006869e-16,-3.5879980221079483e-16
20,-2.1549192152757146e-16,7.262267993193722e-16,-1.3194832739976806e-16,8.304176640598376e-16,-2.163506937970915e-17,-1.572370880638334e-15,-2.146156624150022e-15,8.503406474645968e-16,1.3366361007416938e-15
21,-8.295954558329675e-16,-5.883418516243106e-16,-9.45097445186793e-16,1.3124520398592726e-15,-5.036363757659728e-16,-4.7040953494950416e-15,2.419636132207093e-17,1.9291596984928726e-15,1.7653501078437493e-15
22,1.4289817292744319e-15,2.7862377332758898e-15,7.505342809464441e-15,-5.880915781768896e-15,-1.273761704493464e-15,-1.4955956214371153e-15,3.075614340189563e-15,-1.250437279860375e-15,2.5291243345664105e-15
23,-3.6571835013830595e-15,-1.0604082603945564e-15,-8.149697967956828e-15,-6.719317573186445e-15,-5.290477750933992e-15,1.5867489368519821e-15,5.946650800401877e-16,1.573279060087801e-15,-3.5253730667290267e-15
24,1.187898874887526e-14,6.646878786946909e-15,-1.6512410293077838e-15,-4.630855910931049e-15,3.1221789224221674e-15,1.263236611944286e-15,1.5488767362728588e-14,-3.628255997906384e-16,1.7262197693723915e-16
25,-1.0896850391338104e-14,-4.0460152895911794e-15,2.614864818866666e-15,-1.5157660255590754e-14,1.218293302715782e-15,4.078305978465002e-15,-4.88972117897316e-15,7.955771818654356e-15,5.157214238703258e-15
26,-3.4387275185273286e-15,-2.0788949366380855e-14,1.664309032329904e-14,4.49279701371873e-15,-1.3360689963780126e-15,-7.18183533431364e-15,1.3102175505268542e-15,-3.714671333863987e-15,9.515545920991662e-15
27,-1.4888992374052025e-14,-1.9199895119835213e-14,-1.8784548415526775e-14,-2.878221544372424e-14,-1.1367142602772614e-14,6.729357147176513e-16,-1.588373631385844e-14,-7.675013214132467e-15,-2.0226942440316864e-14
28,-1.1922916964819481e-14,-6.625543944150212e-15,1.3645744677071134e-14,1.0327557120597925e-14,-6.43178753220217e-15,3.8637378332116085e-15,2.7611696095312986e-15,7.453074755635685e-15,8.772963630694085e-15
29,1.1528005710950994e-14,-5.308983670080715e-15,-2.056919783206691e-14,-1.2574522860036903e-15,3.0325366552053397e-14,-4.9160262564777205e-15,5.620114994854442e-15,-1.8256398118187404e-14,-3.0830611044276107e-15
30,-2.520752819632685e-14,3.4885654519520653e-14,1.2431765418296417e-14,2.118960218706571e-14,-9.525110551618947e-16,-2.008802835909818e-15,5.5465676102860954e-14,-3.450201101536328e-14,2.4474767754109757e-14
31,4.196268309010809e-14,4.322768906028535e-14,4.241409367427022e-14,7.452234541266087e-14,1.899944118333062e-14,4.778711037459263e-14,3.600242048322163e-14,8.811611842047745e-14,6.850286022163018e-14
32,1.2657872600147944e-13,1.804701327213598e-13,2.2931279462579364e-13,2.1304859026420688e-13,1.8161321356196297e-13,2.9240447725316795e-13,2.177808088825864e-13,2.443755866053519e-13,2.95712413782875e-13
33,5.338223492222274e-13,8.39750996727603e-13,1.0034177588952276e-12,1.1142730359404162e-12,1.0927046816479341e-12,1.1907682620225413e-12,1.1609582988509887e-12,1.237411040765323e-12,1.3001751976136496e-12
34,2.675149060015632e-12,3.840785991759101e-12,4.441210944179717e-12,4.702075409628843e-12,4.873363545121783e-12,5.03464053343133e-12,5.230573237946662e-12,5.491027412895939e-12,5.713329533993712e-12
