S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-2.411702285924037e-25,-4.6697241615942764e-26,-9.421416341317132e-26,5.7874421550495555e-25,-2.2516214723900115e-27,4.712099884407434e-25,-1.7187687726491618e-24,8.106716837337548e-25,1.2381048912733521e-24
2,-5.992607126455183e-23,-1.6367738444215855e-23,-2.3192181899985996e-22,-2.287033963955751e-22,-9.88850146982622e-23,-9.136406416589016e-23,9.843334395451896e-23,-2.2566361871539694e-22,-7.768875598229452e-23
3,7.6596425131859565e-22,3.4028165166510136e-22,-8.092523659913934e-22,2.0890056669157053e-21,1.1741376359742282e-21,8.852873140253168e-22,1.7806771692686353e-21,-3.8302200299903847e-22,7.198709481114533e-22
4,5.371114872003522e-21,1.3769780924759386e-20,2.403178258334584e-21,4.957988208132504e-22,-4.272393693369671e-21,1.5772151982811743e-20,-5.32486931865925e-21,-3.990848738464627e-21,5.97860297008571e-21
5,-3.2015092155845786e-21,1.3949691921156897e-21,1.1849646859612226e-20,2.776779483992385e-20,1.4842872792002174e-20,-2.3509507850672114e-20,5.978429891004325e-20,2.8372761946519287e-20,-1.614812873052495e-20
6,-1.3793595531544073e-20,8.422045645631292e-20,-1.2138778056514119e-20,3.542076933339825e-21,1.2077037468552945e-19,2.0335652446677625e-19,-7.728281937036392e-20,1.3107383885918038e-19,7.910410459476621e-20
7,5.438003649230736e-20,2.6874480734421273e-19,6.664955103003995e-20,-8.39895768595141e-20,7.386255436613513e-19,2.2942997915637916e-19,2.379885864293748e-21,9.875296973364383e-20,3.03246307396691e-19
8,5.712586665314876e-19,5.88680599395414e-19,6.539278466405607e-19,4.409845982550473e-19,9.884743901578848e-19,7.25544736156075e-21,8.231934636916221e-19,1.2103340900002813e-18,8.2155686278593245e-19
9,6.130403509664624e-19,-5.22772067022515e-19,-1.2895893728922055e-18,-1.892404432463903e-18,1.1703052540930909e-18,9.966903203791445e-20,8.172688705750237e-19,1.4300293401497748e-18,-2.071951086160188e-18
10,7.929048882973885e-19,-3.9481675964368405e-18,-1.981714822387908e-18,-1.2276536330634792e-18,-1.9997950423570216e-18,-1.136907245106286e-18,1.8483121326980357e-18,-2.2993642630399637e-19,-2.668079374781523e-18
11,2.288465722934672e-19,1.1136979635852942e-18,-1.3141188748963178e-18,-9.505003717984632e-19,1.5733889507847777e-18,-5.5583297846181906e-18,-4.15656137222068e-18,5.4085878228458235e-18,-9.66900760137559e-19
12,-3.575802743388589e-18,-8.189329567791496e-18,-6.3712534869904385e-18,-6.774858917341419e-19,9.995739953471511e-18,6.561799602800649e-18,-6.953408983364241e-18,-5.841778076781226e-18,-1.2034876750244668e-17
13,-7.168897124944157e-18,1.234641232333017e-17,-1.6376560452457277e-17,-2.2585294468378612e-17,-1.9097487244722936e-17,8.120259883337833e-18,-2.1546996176687136e-17,-5.666440297111964e-18,-4.249805875607341e-18
14,3.1806487814316862e-18,-6.590146783554084e-18,2.413202495054611e-17,5.570227541260766e-17,-2.413482209516644e-17,3.1669893582391746e-17,-3.5439446621056015e-17,-2.246245165689484e-17,8.46827352826608e-18
15,-2.8223712667485804e-17,-9.321088010719878e-17,-1.0812297579078857e-16,-1.1809880274996308e-16,-1.4626749923271874e-16,-8.755790236322545e-17,-1.173739495739499e-16,-5.2298807037228474e-17,-1.273467391312802e-16
16,5.159540061619447e-17,-9.576247742358594e-17,-1.6183772795703246e-16,-1.525544136605104e-16,-1.0755436029294624e-16,-1.3560887485615213e-16,-2.0118467675946128e-16,-4.850926188319522e-17,-1.4067795723319403e-16
17,-1.3501766424166182e-17,-1.52806533618906e-16,-8.501661079860926e-17,-9.868415359361795e-17,-2.283305497506874e-16,-2.079958005661686e-16,-2.4865364003457483e-16,-2.1924090088567628e-16,-2.4971842916206414e-16
18,-1.7293634189205939e-16,-2.4580150125352216e-16,-2.9009058857757284e-16,-3.771443646476363e-16,-3.386944565083184e-16,-4.2434720506615796e-16,-1.2802935036612948e-16,-3.607483540564144e-16,-1.0254678512589629e-16
19,-1.7143318397716823e-16,-4.843903171164331e-16,-5.126002524944255e-16,-6.56505681038019e-16,-5.849456589977436e-16,-4.701775595569186e-16,-5.827501188696963e-16,-4.0789299605099737e-16,-1.3535535547896643e-16
20,-3.8841777675832537e-16,-6.058981130040945e-16,-5.345697927560248e-16,-5.48022547384004e-16,-3.9888177859373307e-16,-6.599861197537827e-16,-3.021238648697708e-16,-8.283710548780574e-16,-3.9085414898527813e-16
21,-5.168091768435825e-16,-6.545928810617653e-16,-7.120671493365932e-16,-7.502050728019871e-16,-5.41185225593581e-16,-8.373570538717388e-16,-2.9601559095862785e-16,-1.010309503247491e-15,-8.745912764268395e-16
22,-5.536900307668006e-16,-8.761224572089933e-16,-9.643796579252518e-16,-8.905697003188917e-16,-5.459392084794607e-16,-4.529430027346451e-16,-1.2067546747045583e-15,-1.3763147109708925e-15,-1.0199568691714267e-15
23,-8.607476015415952e-16,-1.5150923693913259e-15,-9.791910168207182e-16,-4.424187105930951e-16,-1.2518461726600365e-15,-1.5117628194291805e-15,-3.4974474615178156e-16,-1.5806809498099481e-15,-1.0707822382823295e-15
24,-1.0292739062986673e-15,-5.255541002431939e-16,-1.4845904940569537e-15,-1.4672031371984633e-15,-2.035367736538925e-15,-1.2216189881894038e-15,-1.2203569362133568e-15,-4.42922673792517e-16,-4.0670007306656377e-16
25,-1.3088353266276694e-15,-8.1066315145419405e-16,-1.7070309522735075e-15,-2.281055585077743e-15,-1.6367428537955097e-15,-1.204757699721164e-15,-1.3025354702157616e-15,-1.0815029302740542e-15,-2.0654857902136116e-15
26,-8.838106265248676e-16,-1.7239132421123059e-15,-1.696358740497723e-16,9.541616634148483e-16,-1.870557113615387e-15,-3.2506052205006713e-15,-1.4952547392080463e-15,-2.8116145478896167e-15,-3.041522131582387e-15
27,-1.504591623008398e-15,-4.225348368443634e-15,-1.0155359857601664e-15,-1.5443805523184576e-15,-1.5640315858358415e-15,-2.065766994138321e-15,2.8758672118497553e-16,-4.788438933196581e-15,-2.66901547098581e-15
28,-2.0076034334280395e-15,3.7895204216286087e-16,-4.803719560707003e-15,-4.775299229774914e-15,-1.6354801854807816e-15,1.0950852489892553e-15,-1.8912534444978962e-15,-1.571156503839138e-15,-3.971952787426518e-15
