S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-4.681340982463547e-19,-1.8338669568541193e-18,-1.0897855227846558e-18,-1.492830739933266e-18,-1.2946308397652782e-18,-2.3591913074084073e-18,-2.024879502574493e-18,-5.610645955626024e-19,-1.1014285672866558e-19
2,-6.495483179803033e-19,-3.794733773900014e-18,7.854505007314539e-19,-8.08928790945298e-19,-7.690805868374407e-18,-7.3277124060081e-18,-1.3824690400031298e-19,-3.176124932806115e-18,7.493311063165745e-19
3,-1.3121042227160521e-17,-9.33644342526563e-19,5.821880867395629e-18,1.6362655504545555e-18,2.7180339672632058e-18,-4.846422138024024e-18,-1.2148825019709247e-17,-9.082894233706771e-19,-7.24988135371059e-18
4,6.93342954619269e-18,2.0839529822741e-18,-1.2931628621686852e-17,-3.233772035096304e-18,-8.793663804435633e-18,-2.0298426843483868e-17,-1.6282907531799803e-18,-2.1902614053395097e-17,-9.39588138286906e-19
5,1.1269570243297058e-17,2.810942357848353e-17,-6.166102126884581e-18,3.721080067114245e-18,-8.575353350097061e-18,-6.773432789231794e-18,5.4661535186464445e-18,-1.438430790390911e-17,1.858923275390401e-17
6,4.1497291975321605e-18,1.008175207329076e-17,1.2306768749877843e-17,-4.9841085075361e-18,-5.0759278913221586e-18,-3.89603205359528e-17,2.3496086296394035e-18,1.1464765592099924e-17,1.693376979065999e-17
7,-3.246741223435668e-18,4.018224773504299e-17,-3.557242753834491e-17,3.987792613212093e-17,3.5318006763681884e-18,-6.171303554024357e-17,8.863138098925154e-18,-1.4353939553889107e-17,5.506972794585729e-18
8,2.5119995356863676e-17,1.3119475085358565e-17,-4.34692026132332e-17,1.6707540838113113e-17,2.0290408249211483e-17,-5.314851602429142e-17,-2.9266724024715477e-17,-3.979081396526165e-17,8.247280405520817e-18
9,-1.1320687365613953e-17,-2.932392461346557e-18,-2.6181304621949055e-17,-9.004438662909829e-17,-4.402587034335414e-18,3.2374246263288315e-17,-8.573844402559918e-18,-6.640598454007767e-17,-5.165730880125901e-19
10,-2.418414424576214e-17,-4.499641447271898e-17,-9.994203718280848e-17,-5.144420839885975e-17,-4.4691254656433216e-17,1.2497861249726531e-17,-4.4393965439438955e-17,-8.084467779483348e-17,-1.9948118215764175e-17
