S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.4112246981742062e-24,-7.861185134415411e-25,3.3290254556146216e-26,2.394630967237134e-24,4.828908390261343e-24,1.492226128795479e-24,2.5391055406657127e-24,3.915018547801196e-24,-1.6519360528189818e-24
2,-1.6244761049985817e-22,-8.463982372402324e-23,-5.288790375371927e-22,5.750419400194384e-23,-5.131067605817193e-22,3.3445536890591486e-22,-3.3727286248125725e-22,3.35251384581797e-22,7.000285063940687e-23
3,9.613477298869045e-22,-2.7035739488657534e-21,6.47440460277854e-22,-4.644220597926043e-21,4.2539082210306584e-21,-1.2499191262003325e-21,-5.993450959603871e-21,7.53696049500767e-21,8.326308236920483e-21
4,1.1510236372285568e-20,1.7355194547001758e-20,7.788509330622557e-21,-5.50911828974742e-21,3.701757678618869e-22,-2.4267903400694047e-20,2.921925052118179e-20,3.0343012719031847e-20,4.336242021481773e-21
5,9.21811758371626e-21,1.2682412183783853e-19,4.450655552509978e-21,-3.533831217827292e-20,-7.067591807675974e-20,1.5397277315481205e-19,-3.167550456962e-19,2.1290362922926828e-19,1.3090569759048232e-19
6,-1.0266071413009695e-19,-1.5212798902192686e-20,2.581068158481781e-19,2.4574772406712417e-19,3.569778019067516e-19,4.545142956837927e-19,3.818912628926204e-19,3.868114083033115e-20,1.9908748412127456e-19
7,7.237721262668569e-19,-3.4523975393084584e-19,-1.2033458144711005e-19,-2.8691871437940624e-19,1.4291072362972038e-18,3.6415350440443753e-19,1.1965883700650129e-18,9.103513581045882e-19,-6.052660809417507e-19
8,-5.783512091959991e-19,3.2705361110130212e-19,9.01522323692845e-19,-2.6087202532804336e-19,6.495682305211672e-19,2.851243485464611e-18,-3.2307069454592626e-18,1.7182586403911084e-18,-1.777858054029425e-18
9,2.3308923152029707e-18,-2.261941212559494e-18,-1.2364383790181371e-18,7.310629472525518e-19,1.363413650083843e-18,3.2249801695701894e-19,-3.749089256032637e-18,1.5047575452264896e-18,-4.741483543413105e-18
10,2.7481635411436585e-20,4.564652746787274e-18,3.0502421254508565e-18,1.9588763288516696e-18,-2.8989602131020845e-18,9.954114840670474e-18,-6.996933278927108e-18,1.3519355223398978e-17,-2.1533855535886423e-18
11,-6.7437532662119e-18,-8.189135591649711e-18,-7.526717808384727e-18,-2.4759178981318963e-17,-1.3866440513809341e-17,3.330241112775619e-17,-1.1843732269674343e-17,-8.929862586746434e-18,1.0648500262568508e-18
