S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,3.4432680720759594e-24,-3.552839534852389e-24,-8.281498886822183e-24,-9.925999413227753e-24,-1.881507763242679e-23,-3.6945590478401545e-24,1.0647419466680515e-23,5.0108525145414615e-24,3.2076322381715483e-24
2,-1.6449619709656947e-22,1.0292425920727807e-21,-6.409084603429065e-22,-9.37446224624478e-22,-1.1763904011754014e-21,1.0295094654523929e-21,9.770390809735547e-22,-2.2905335443875912e-21,-6.01543240240466e-22
3,-6.115418252005166e-22,-2.038131781982512e-20,1.642317525762172e-20,4.656452376236159e-21,-2.3269011734884337e-21,6.421727428844468e-21,9.566611982919015e-21,-5.3333779600484234e-21,-5.939283146607516e-21
4,2.686884721730327e-20,-1.7234739793738072e-20,-1.0847226745522507e-19,-7.033114610896785e-20,3.6551984643827896e-20,-8.807151319919326e-21,-9.660945851982953e-20,7.159723226912607e-20,-6.970728336553606e-20
5,-4.426482565875962e-19,-6.878207614348025e-20,1.4104620370139538e-19,-3.725301385844245e-20,-3.470298335600998e-19,-5.696362891406526e-19,1.0245768862905323e-18,1.471153465232387e-19,-4.494036148250942e-19
6,-7.89920424690402e-20,-1.0362890972144732e-18,-7.559199453976962e-19,-6.418437974065368e-19,1.5610312680832536e-19,2.805131490634054e-18,7.833231361180225e-19,-1.4681824738698156e-18,-1.0793580006811418e-18
7,8.510670877467239e-19,4.2551292214018812e-19,-3.3209210037209686e-18,-1.5593867158983547e-18,6.193190375831739e-18,9.204910844095263e-19,2.9669858740645307e-19,-1.5806243101182547e-18,-7.194371006561529e-19
8,2.9931823433362556e-18,6.674210580308273e-18,5.9894840743960126e-18,6.547636315909279e-18,1.7695111054934626e-18,-5.176866084326189e-18,-1.9787768369012066e-18,2.57650252485804e-18,-6.45751152762698e-18
9,-1.2108357661791112e-17,3.9972984590815455e-18,-1.296867174832813e-17,-1.40882964785964e-17,1.0762927128598149e-17,3.3490310763634353e-19,-3.3012589934232923e-18,1.453712645147534e-17,1.3626837008297185e-17
10,4.963542796646178e-19,2.0860736101160037e-17,-6.423263908797308e-18,2.7092319697336582e-17,5.174788327558063e-18,2.0051083086118244e-17,3.4779376246612776e-17,1.809858437476078e-17,2.940315316370183e-17
11,2.1392426268300884e-17,-2.86885993216328e-17,7.608339653329473e-18,-1.2071163526738429e-17,-1.9576932105109552e-17,6.8948762444571735e-18,-9.733152100648218e-19,-1.8981977275809885e-17,4.5093750610661645e-17
12,-1.0278760525452283e-16,-2.96122358410431e-17,3.463644839976326e-17,2.6174814550233898e-17,-8.863548485397123e-17,2.3897687445860927e-17,3.05717940525444e-17,-8.018804727346993e-17,-2.4638336700684973e-17
13,-1.3119465921747953e-16,-6.363832241188387e-17,-1.1384411578000665e-16,-2.605651563224306e-17,1.158344938003058e-16,-3.1068346643075044e-16,1.6193268495595715e-17,7.834405050847165e-18,1.8788939315301385e-16
14,4.0545777534272983e-17,-8.250862135118179e-17,-6.029934596142562e-17,-1.0300693459050931e-16,2.276009850577773e-16,1.2525158643261274e-17,6.341995289663036e-17,8.053407480241594e-16,-2.0126310436805477e-16
15,-4.9338818081324e-17,5.1464197762139855e-16,2.359834891021111e-16,-9.890758043296911e-17,1.9741327824165573e-17,-2.077635166668886e-16,1.6995012334041914e-16,4.807444206415965e-16,4.2631771971359676e-16
16,-1.0785812273437497e-16,3.2468451895088467e-16,3.422872871029842e-16,4.595845813085801e-16,6.22828278670326e-16,3.5796289272642815e-16,2.988375096965049e-16,-4.023917309025554e-17,2.0661583746227744e-16
17,2.535907564385502e-16,2.763407639636739e-16,-3.89708316169272e-16,-4.0214227974507057e-16,4.50004412984913e-16,9.403588465686741e-17,-4.842564554659819e-16,2.3622569414744216e-16,8.865127423346566e-16
18,-5.795013400139981e-16,-5.896729997591653e-16,2.040632465391552e-16,6.243328512959309e-16,-2.77334856717242e-16,6.717579029643104e-16,-3.8147695264728323e-16,-4.916763781049824e-16,-4.496994225264656e-16
19,-6.379257422932388e-16,-1.4788490336204225e-16,4.351946254422514e-16,-1.7851588921243565e-15,-7.002937654856571e-17,5.631379426056187e-16,-3.6130367047167508e-16,-2.1283694550900368e-16,7.090350517577679e-16
20,9.406784015780908e-17,-5.540866139969553e-16,1.374866377556078e-15,-6.644948340237076e-16,-3.4334002413203367e-16,1.9176553351544646e-15,-1.9819619172831485e-15,3.3821086195294653e-16,-1.4905691932254921e-15
21,-1.00596510463379e-16,-2.1162905430898994e-15,1.4345795983249227e-15,5.364126428781792e-17,-8.828990560488711e-16,1.9808000593475996e-15,-4.489829262879753e-16,-1.5287281586764652e-15,-2.6386079411956623e-15
22,3.2441172217452434e-17,1.0491855429882557e-16,5.653964858217726e-15,4.77563234133111e-15,-5.806256783847217e-15,-1.86122006954021e-15,-3.4577817498767626e-15,1.0026124134312534e-15,-3.246754402626528e-15
23,-1.0921475004311688e-15,2.647567872914127e-15,-4.1451751029134545e-16,-1.5266949472052339e-15,-6.793626376387701e-15,-5.414245014039712e-16,2.4751386001806224e-15,3.865098417310563e-15,-8.095815827942379e-16
24,7.875506297085876e-16,5.099988430078733e-15,5.855306983612035e-15,6.241684783110985e-15,2.9561546597036477e-16,1.26290617179104e-15,1.3704626058785371e-14,-1.107014750203205e-15,-1.3335166843815071e-14
25,-7.774277956811902e-16,-3.699157490706033e-15,-1.8527725569473515e-15,-2.5959492332908185e-15,1.360739735639133e-14,1.3698966426284406e-14,-2.3441461420261276e-15,1.886160249043113e-15,-1.172055678084377e-15
26,9.429012850355e-15,1.0599027831004963e-14,-1.6896292121801964e-14,-1.827573851200464e-14,-2.0668790157856967e-15,-5.950748662262144e-15,-9.138161067482783e-15,-1.264688006980763e-15,-1.0633700856711068e-14
27,-2.7717203812159675e-15,-1.5077055593405243e-15,-1.6564673488295345e-14,-2.1550362511040378e-14,-1.6670543984396366e-14,-3.671732650703553e-15,5.443639396496162e-15,1.7820575523888548e-14,8.34431706060571e-15
28,-2.1715111800645654e-17,-1.481776323621909e-15,-1.2463393267807701e-14,-7.783495383858148e-15,8.627114974180735e-15,1.0084747479848193e-14,2.081085693019245e-15,1.57204279030829e-14,-3.8483369738362135e-15
29,2.8841428562532277e-15,1.6622778969533615e-14,-3.266382909123677e-14,1.4134210000092532e-15,7.187538975072196e-15,4.4710977067320696e-15,9.128348385235008e-15,-1.0102025245417498e-14,-9.340574090566453e-16
30,8.913971152392268e-15,-3.4467444944257815e-15,4.122763127170675e-14,2.5597366691471748e-14,1.6545627564013934e-14,-1.5342059448788364e-14,-2.9280476186718824e-15,-3.954303039006775e-15,-2.3957578049381017e-15
