S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.665651122160746e-25,3.3727791448220654e-25,1.042472884390096e-25,-5.576356869073938e-25,1.4115403182432012e-24,7.338423678364519e-26,-1.4384453874101255e-24,-3.860240153970395e-25,5.315814136318419e-25
2,-7.547046947517548e-23,-1.7084768779370573e-22,-2.4837397376538555e-23,-5.658595279003622e-23,-8.458472936725683e-23,-1.764996991847733e-22,-2.660652836855771e-23,-7.927433352646902e-23,8.337033989462792e-23
3,1.3567394630892895e-22,5.206190448390958e-22,1.4672288066159394e-21,-3.74292930440025e-22,9.778984068741584e-22,2.8635086735375665e-22,1.7878273628464137e-21,6.743825909132065e-22,2.8005766318596743e-21
4,6.985190528119228e-21,-4.0917040770120355e-21,-7.933267682239233e-21,6.1009488199846125e-21,7.212836361614158e-21,-5.879113671905281e-21,-5.123150648030859e-21,1.4770364541330334e-21,1.5371451668644228e-20
5,-1.2415679212349335e-21,2.3122650501504032e-20,1.187121986863043e-20,1.3839045286919896e-20,5.2113783993127084e-20,4.338886407715625e-20,4.423387692848912e-20,6.014187895101882e-20,3.7759413250588985e-20
6,3.1080611794898375e-20,1.0886399803036378e-19,1.1917597458771997e-19,1.4121141748118887e-19,1.1752346555961917e-19,1.0506625008814826e-19,4.957019743720507e-20,1.8341867111790845e-19,2.963900490050894e-19
7,1.7382823065888462e-19,7.470956679406727e-20,5.310654098942404e-19,-3.1529952575243033e-20,-1.2442646208703006e-19,-1.0231843501306529e-19,5.214162604428926e-19,1.2590799778746795e-19,4.650645373682041e-19
8,5.454040508181448e-19,7.097695727908797e-19,-1.0531561534681018e-18,7.99535424973214e-19,1.776278284139462e-18,5.52053751897385e-20,1.4660035250713248e-18,1.21210604901633e-18,3.022865864730773e-19
9,1.1922831402374176e-18,-7.256042506546879e-19,-2.0643260010047198e-18,2.3717539695719663e-18,-1.0907428676878924e-18,-6.044586862004302e-19,-2.044897766811629e-18,-1.791762322199956e-18,5.775455366197166e-19
10,-1.8865732655784444e-18,5.995127534899414e-19,2.855627220247453e-18,1.2689242917055154e-18,1.2366210744977904e-18,2.6666750616804954e-18,3.500666123765121e-19,2.3116365477951555e-18,2.7226001476513395e-18
11,-1.3806830765585382e-18,-1.069376131922405e-18,6.445466681237914e-19,-3.2046661756778017e-18,-1.3079769998800963e-19,-4.904938903331957e-18,2.6196000694867265e-18,1.524693904586878e-18,9.539630710630392e-19
12,5.54769073183565e-18,-9.95104551865496e-19,-3.7220599242314e-18,3.6361595725475805e-18,4.471084670782818e-18,7.353968029902344e-18,-1.0703285639619451e-17,-1.699473426802774e-17,9.411872668635403e-18
13,1.1901689249858789e-17,-1.50602374427721e-17,-1.3879650939336183e-17,-2.6008498495333136e-17,2.0444661689931288e-17,1.537041729731533e-17,-1.9785333550207293e-17,-1.275075978612024e-17,-2.0924563944907895e-17
14,-1.3854728083379016e-17,-5.365581044336826e-18,-2.899879342701393e-17,-4.9621477574850437e-17,-2.688884058800264e-17,-1.5449801951607357e-17,-4.657201216414782e-17,-3.954186229431441e-17,-3.2344250858256695e-17
15,-3.052849867200877e-17,-3.31127799187354e-17,-1.1015490012622835e-16,-1.3022925458922004e-16,-7.083849734164313e-17,-5.889344193603614e-17,-1.276718687550817e-16,-1.652122999290249e-16,-3.8068468222318467e-17
16,-9.590106785071285e-17,-1.753961354043996e-16,-1.3002438906001434e-16,-2.0363884037778115e-16,-1.1477074819927182e-16,-1.0447868684224143e-16,-1.6565246321000988e-16,-2.0134334829235474e-16,-4.089631459035851e-17
17,-2.0244500271200928e-16,-2.846483934276453e-16,-1.3311132681699152e-16,-3.0615027542273636e-16,-2.897048050734424e-16,-7.392435062103375e-17,-2.435718083153562e-16,-2.8743653970278327e-16,-1.283634215632215e-16
18,-2.636056069117257e-16,-1.1234123431821468e-16,-3.7770693303143823e-16,-2.408493172149671e-16,-2.6162952147500917e-16,-2.56726428128986e-16,-2.320924439813088e-16,-9.124033268945047e-17,-5.932603239045287e-16
19,-2.2308329453410715e-16,-1.9993097054305648e-16,-4.3074821149705657e-16,-4.289936937132144e-16,-4.696313466726054e-16,-5.1591418182555565e-16,-5.927255328526688e-16,-6.706835209508679e-16,-5.803875531584965e-16
20,-4.001919315090381e-16,-4.896365489595151e-16,-4.1831523614857983e-16,-2.7230393011728743e-16,-5.316312495350198e-16,-9.778523949699243e-16,-6.216544511235562e-16,-7.527642904857289e-16,-6.07925687411013e-16
21,-6.08834939345229e-16,-7.11928455725768e-16,-4.824141169074304e-16,-3.816364070097029e-16,-6.78378026756425e-16,-7.5284596594023595e-16,-1.1791782363988378e-15,-9.594345384605128e-16,-8.871403478217213e-16
22,-5.487849303353473e-16,-1.288276046398362e-15,-6.869688641685686e-16,-1.2537721314646781e-15,-6.000844679692429e-16,-1.0504491957585961e-15,-1.6372874623732755e-16,-3.16369609928139e-16,-9.295635542674289e-16
23,-8.558309659669848e-16,-8.318741857981498e-16,-1.118168007955984e-15,-8.353496130549473e-16,-1.239566032697958e-15,-4.121621590221273e-16,-1.3133308957812942e-15,-1.805802058719335e-15,-1.4459573373270926e-15
24,-1.253648230842082e-15,-9.441953463764076e-16,-1.6141247805851662e-15,-1.9126039162310956e-15,-5.822916383247084e-16,-1.2116555212365995e-15,-1.5059296423479952e-15,-8.66871970759965e-16,-9.079933561500276e-16
25,-1.3112003589264225e-15,-2.8722274159248284e-15,-1.7316043927358217e-15,-2.111627093863746e-15,-1.3353040209585562e-15,-1.622792221039054e-15,-2.5175171213729446e-15,-2.5633265452433202e-15,-1.9599668391263578e-15
26,-1.406871337782567e-15,-1.7152788344298432e-15,-2.2507519370410693e-15,-2.5607760601454542e-15,-2.9527900083690747e-15,-3.3816701178710087e-15,-2.917274944161756e-16,-1.0791627539898875e-15,-4.026853561287041e-15
27,-2.1092804801483857e-15,-2.106455533931756e-15,-2.199898453051646e-15,3.34528534598377e-16,-3.249867099422246e-15,-4.2935825648149573e-16,-2.957962806376082e-15,-9.175163271333694e-16,-3.021419142689526e-15
28,-3.4699355869923098e-15,-3.3782765515339885e-15,-1.3504056308779728e-15,-5.56379839818379e-16,-1.4487150191636918e-15,-1.6286753582328361e-15,-2.1533947976593337e-15,-2.4213859374168963e-15,-6.538953297200941e-16
29,-3.896330652905889e-15,-3.7289265422480795e-15,1.1409439906419526e-16,1.5647602088940969e-15,5.453420777085962e-15,6.451829520016296e-15,4.16771118572696e-15,5.666390331669934e-15,3.986428678895498e-15
30,-3.081483469071613e-15,9.804407075253217e-15,1.722632877708451e-14,2.4706021655717706e-14,3.452587112262775e-14,3.6280636633704754e-14,4.455022867055289e-14,5.103898485230435e-14,5.5342400023634163e-14
31,4.9681804101652925e-15,6.79999998926462e-14,1.277310212885548e-13,1.6385457074405977e-13,2.002792924901056e-13,2.2590941708630779e-13,2.5680666272250546e-13,2.853040923881472e-13,3.3467741823035207e-13
32,3.3332171179340145e-14,3.8674462857048974e-13,6.828916935659787e-13,9.021510773580611e-13,1.0603240506355164e-12,1.2059984694022592e-12,1.3557826224995598e-12,1.5128306176590044e-12,1.7410090606537405e-12
33,1.812061861054879e-13,1.916647250814905e-12,3.322947315190894e-12,4.325049797665079e-12,5.101375867783217e-12,5.770770199885221e-12,6.433994953697472e-12,7.191236352437137e-12,8.251026684228345e-12
34,8.906822531287644e-13,8.624574625606913e-12,1.4767814955534993e-11,1.9040917272176215e-11,2.233346775602006e-11,2.5217781014838063e-11,2.8038641974110748e-11,3.1229153829332045e-11,3.572061942886242e-11
35,3.9253172363319415e-12,3.573933099362013e-11,6.033481929316642e-11,7.726391305223267e-11,9.030433525642487e-11,1.0160515590931229e-10,1.1263301722095706e-10,1.2506345339461902e-10,1.4254765355442507e-10
36,1.5937866312292513e-11,1.3728548518222409e-10,2.285432757355207e-10,2.907699064289777e-10,3.3844950327530616e-10,3.79589541146413e-10,4.1967071183372497e-10,4.647012455341372e-10,5.277904361126322e-10
37,6.026353392859238e-11,4.911697125330517e-10,8.068477748454839e-10,1.0201153384814378e-09,1.1826409133779358e-09,1.3223893495140407e-09,1.458095868949278e-09,1.6101450061751627e-09,1.8224377977535082e-09
38,2.1286314788638608e-10,1.644936511802675e-09,2.667479909050291e-09,3.3518497522428126e-09,3.870803597014918e-09,4.315401688157975e-09,4.745928658168237e-09,5.226883897506533e-09,5.8961499658144874e-09
39,7.057429824932456e-10,5.178954903419089e-09,8.293233428873557e-09,1.0358759803118876e-08,1.191718784848308e-08,1.3247865308653225e-08,1.4532613399329043e-08,1.5963893268051556e-08,1.7949000165448392e-08
40,2.2053203407688837e-09,1.538820200705494e-08,2.4341428232658365e-08,3.0226759344660726e-08,3.464592288454599e-08,3.840649773028319e-08,4.202715856308737e-08,4.604974453761251e-08,5.1610913286599514e-08
41,6.518799933642394e-09,4.3305411017620805e-08,6.768720613457877e-08,8.357520855382482e-08,9.544880320935195e-08,1.0551992292814587e-07,1.1518982471205785e-07,1.259041318069828e-07,1.4066928942997083e-07
42,1.8288367515126716e-08,1.1580420355290911e-07,1.7890425445694176e-07,2.1967263315396838e-07,2.4999973050434773e-07,2.7564046280752673e-07,3.0019367110630567e-07,3.2732703337052746e-07,3.6460203441802324e-07
43,4.884586789981096e-08,2.951498497231345e-07,4.5080593078805897e-07,5.505366187636233e-07,6.243899922845321e-07,6.866349981279489e-07,7.460835554803675e-07,8.116084104291198e-07,9.013474205685283e-07
44,1.2455299945314393e-07,7.189551645812101e-07,1.08595862565554e-06,1.3191830211225984e-06,1.4911286116256144e-06,1.6356021116920916e-06,1.7732286365163667e-06,1.9245346041759115e-06,2.131127156767116e-06
45,3.0401021142828406e-07,1.6780900382500284e-06,2.5072609524258364e-06,3.0299680898156525e-06,3.4136658796227607e-06,3.735087403549602e-06,4.0404994698918835e-06,4.375423657945862e-06,4.831363865017579e-06
46,7.11998781290314e-07,3.7619451384421783e-06,5.5612599971914465e-06,6.686637330357585e-06,7.509219087514827e-06,8.196252004054208e-06,8.847437635161258e-06,9.559777732038562e-06,1.0526650206910349e-05
47,1.6036140400294917e-06,8.117970421468233e-06,1.1876374108619904e-05,1.4208939136489441e-05,1.5906788352869303e-05,1.732073617754448e-05,1.865762114764132e-05,2.0116481780158044e-05,2.209087012276116e-05
48,3.480587609267636e-06,1.6896849490008405e-05,2.446880750127438e-05,2.913258120781211e-05,3.251338503123928e-05,3.5320832707193185e-05,3.7968856038750905e-05,4.0851510299605265e-05,4.47416355813309e-05
49,7.294181065956821e-06,3.3986798932115055e-05,4.8728052870747926e-05,5.774001504316468e-05,6.42465520252878e-05,6.963445027280979e-05,7.470428994290383e-05,8.021019233805001e-05,8.761929603215456e-05
50,1.4786077460069966e-05,6.618004991921375e-05,9.396043011182963e-05,0.00011081946025630934,0.00012294330724964327,0.00013295498712627578,0.00014235352898133731,0.00015253639025513001,0.0001662006387850786
51,2.9040906167106263e-05,0.00012495978036870188,0.00017571999366657073,0.00020630287756961716,0.000228210299903818,0.00024625180818930526,0.0002631491365319354,0.00028141385117327915,0.0003058548500754107
52,5.5351316760458486e-05,0.00022914278495316217,0.00031920579994932383,0.00037308368850080906,0.00041152998798815266,0.000443106782178083,0.00047261322569061765,0.0005044336962507014,0.000546896915851715
53,0.0001025278421383703,0.0004086558262880315,0.0005640446731248592,0.0006563525950383463,0.0007219729732133864,0.0007757256264889172,0.0008258401160684615,0.0008797609050374841,0.0009515191334870642
54,0.0001848189215268306,0.0007097534671756816,0.0009707987243819654,0.0011248032500550643,0.001233874977190304,0.0013229868758672658,0.0014058809734804022,0.0014948680609171566,0.0016129706096782532
55,0.0003246377305565418,0.0012019919905588668,0.0016295249417773103,0.00188003600737183,0.0020568050865114092,0.0022008525724603427,0.002334551224796095,0.002477752556799304,0.0026672932869527006
56,0.0005563167734783109,0.0019872468825047618,0.0026706582733510165,0.0030684153585104085,0.003348067591347445,0.0035753710221385006,0.003785879060695592,0.004010841734525625,0.004307799254231075
57,0.0009311222503645607,0.0032109900286866,0.004278379853194961,0.004895505484072663,0.0053278339294551245,0.005678344534268311,0.0060022453818175,0.006347611417398263,0.006802280821761116
58,0.0015237510042180747,0.005075919783748353,0.00670646268541075,0.007643014254993556,0.008296790649212526,0.008825511515582397,0.009313030389765027,0.00983169619082967,0.010512682726136107
59,0.0024404965050738546,0.007857859345980826,0.010296358745403253,0.011687921804856104,0.01265591824280794,0.013436808324162186,0.014155286698263941,0.0149179629665183,0.01591664483372357
60,0.003829201149577741,0.011923609622833226,0.015497012518465164,0.017523166887294866,0.018927697728210346,0.020057947040392477,0.021095619975595763,0.02219467105781436,0.023629964306719164
61,0.005891006644825046,0.01775017254445623,0.022885573405496094,0.025778933018263082,0.027777699716097226,0.02938219547637521,0.030852102016307344,0.03240548021915231,0.03442865849220215
62,0.008893772365303006,0.02594446767191028,0.03318785822285591,0.037243245568302843,0.04003517531639649,0.04227090789032093,0.044314702065324,0.04646972870940352,0.04926897161771672
63,0.01318685743402861,0.037262373833831436,0.04729711668906723,0.052880295025156586,0.05671097621966128,0.05977106721411548,0.06256243940721196,0.06549912689629826,0.06930340154585965
64,0.01921676466275571,0.05262566817220565,0.06628941240373244,0.07384467801119926,0.07901092112393929,0.0831279013322134,0.08687527380939977,0.09080883886932681,0.09589066869855958
65,0.0275429367416289,0.07313523932472821,0.09143378420403604,0.10148963192068826,0.10834263354699089,0.11379056348635556,0.11873869653079935,0.12392089103117637,0.13059754319944342
66,0.038852794377285116,0.10007884992744263,0.12419532868560099,0.13736736127470914,0.1463139309001906,0.1534089482665632,0.15983909059681492,0.16655797893967877,0.17519061325858148
67,0.053974932197858434,0.13493174176786982,0.166229466207167,0.18321973364391653,0.1947210643816078,0.20381996612826858,0.21204820947877748,0.22062605450931352,0.231616427845251
68,0.0738892616741673,0.17934853156087274,0.21936593054301157,0.2409579668473296,0.2555254972087632,0.2670220218221712,0.2773955767598583,0.2881845611906082,0.30196897268972356
69,0.09973283028105219,0.23514514252057256,0.285581452824455,0.31263042802489105,0.3308184521614264,0.3451370200129207,0.3580282175046426,0.371403823589099,0.3884441154872881
70,0.1328000682728706,0.30426994928407086,0.3669606754705054,0.400378294872529,0.42277313015580753,0.4403599228436014,0.45615786023862903,0.4725098526634289,0.49328144238445365
71,0.17453632914506134,0.3887638615059259,0.4656454990152256,0.5063795512755265,0.5335852567391053,0.5548966637090869,0.5739965482508963,0.5937176467285532,0.6186947488624056
72,0.22652380020591992,0.4907097024719337,0.5837737904902315,0.6327825543673421,0.6654034002877979,0.6908920234213397,0.7136824124218468,0.7371548920041479,0.7667932807992051
73,0.29045916112272957,0.6121719116830223,0.7234091147718252,0.7816311617093313,0.8202512654315736,0.8503498384879876,0.8771981228453823,0.9047787305400956,0.939496581031235
74,0.36812274811398243,0.7551282674494314,0.8864638351343407,0.9547840881760777,0.9999448388274546,1.0350485765724808,1.0662851921298955,1.098288906907288,1.138446420919717
