S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-2.0500943676085338e-18,1.4130797000278927e-18,-2.0701251121478806e-18,-1.3904090573053348e-18,-2.490072331627877e-18,-1.7355372822314018e-18,-7.191598651349733e-19,-1.2975548260302082e-18,-2.7917476652133652e-18
2,-2.1181130766381907e-19,-6.044800656503629e-18,-6.89631183370084e-18,1.048264549628699e-18,-6.087476785157838e-18,-7.372583449580566e-19,-7.748894414949853e-18,-5.654210300354674e-18,-2.8973915821244547e-19
3,1.0066905318240167e-18,-1.1052123894944905e-17,-1.510861394145765e-17,-8.813167915546925e-18,-8.287666197349116e-18,-8.326698005575647e-18,-2.3749574462565925e-18,-1.4114896363423946e-18,-3.771751734443848e-18
4,-8.379669301317969e-18,-4.556636351053642e-18,-6.464903932943234e-18,-1.3536964340262276e-17,-7.320677994132181e-18,-6.4729494068160684e-18,-6.805437213554752e-18,-5.863526128690348e-18,-1.9944846307086076e-17
5,-1.5615137763023657e-17,-1.2811490863768774e-17,-1.8930019718006607e-17,1.2100508004735808e-17,-1.1675190945822328e-17,-8.872642073936134e-18,-2.5014769899297566e-17,3.6754843760583655e-18,-6.397789526141887e-18
6,2.8585095577283106e-17,-2.6391129596776527e-17,2.2151628961465308e-17,-1.1417645350363651e-17,3.344637247011987e-18,3.409233367137559e-17,-3.1111547382701456e-17,5.031380868685345e-17,-8.981956381708244e-18
7,-3.807325956803767e-18,-4.6270303680949814e-17,-1.8532265591557143e-17,1.494544365088282e-17,-1.5354389854955656e-17,8.488284575775483e-18,2.9280926863694136e-17,-1.5294142953998918e-17,3.5583591611006414e-17
8,1.6687379871800506e-18,-4.1470041704520253e-17,-2.6263425574769177e-17,1.788083462029067e-18,9.901912216383766e-19,-8.149214594437452e-17,2.4432646726909353e-17,6.910105549952389e-17,1.738752236731799e-17
9,-2.052235549476574e-17,-3.816703833123131e-17,-3.4018006170603144e-17,1.2689740735248636e-17,-3.7573753355619685e-17,9.108495206072516e-18,5.5229320773717585e-17,-4.4926884932241554e-17,-7.722396189802132e-17
10,-1.146233912796485e-16,4.208686692786326e-17,5.715719341912032e-17,-5.189020171535746e-17,-1.015072712169069e-16,-8.992335937734468e-17,-8.159799231900612e-17,-2.0593319113178242e-17,1.1933512011650414e-19
11,-3.2414226829834394e-17,-1.5246131493477471e-16,-7.990285922190546e-17,-8.845236323569802e-17,-6.903783772246791e-17,-1.413887725360309e-16,-1.0586806669870067e-16,1.984292980412318e-18,-4.161165673291476e-17
12,-3.6746852116322423e-17,-8.334648898876897e-17,-1.193529621654864e-16,-4.124947178249052e-17,-8.043608299479408e-17,-3.5103874674969824e-17,3.374855695795472e-17,-1.2692246657273987e-17,5.588037957718498e-17
13,-7.235088514366435e-17,-1.140202322012993e-17,-1.640151859218185e-17,1.132355014913486e-16,-7.721256960794557e-17,-2.0147163872976476e-17,-2.1544980243536465e-17,-4.368349508905134e-17,-5.49301334258432e-17
14,1.1323344520896471e-18,-5.437911858491967e-17,2.0759944593192583e-17,4.643690436806454e-17,-6.937285101946382e-17,-1.1345452374402549e-16,-5.734622498965128e-17,7.015330649280678e-17,-1.9351412197619746e-17
