S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.5253661437048004e-22,4.144576776927367e-21,-1.2171825150068698e-20,1.840127516852852e-20,1.6068431442394396e-20,9.746285195421181e-21,-1.350287844687822e-20,-3.6218129440129024e-21,3.748889798281455e-21
2,-1.6735083442182174e-19,4.4314497488823e-19,-2.410795495172269e-19,-6.962459862643341e-19,-4.953800008833006e-19,-3.1627390751110127e-19,5.664456179957084e-19,-1.0381375184159477e-18,-6.948980369223225e-20
3,-3.3850275148806383e-19,-2.9775585779587014e-18,-8.651599735845225e-18,1.8761412304976445e-17,-6.994600446303861e-18,-2.2316499660809917e-18,9.8208671236005e-18,9.481207211660531e-18,8.603378891457577e-18
4,4.7836681444994926e-17,1.9430422742014637e-17,4.6141869499820745e-17,-3.868948000705905e-17,-5.6990296087777694e-18,-9.92941399740356e-17,-3.2069461872658847e-17,-3.73056744458686e-17,5.765110958368226e-17
5,3.77816649398976e-16,6.020474755112595e-16,1.353871467882739e-16,5.456394636591626e-16,2.491692781758797e-16,-3.9582969482904597e-16,-2.712570137423929e-16,-5.941520059203703e-16,-4.1771731911517244e-16
6,-5.998982649653282e-16,-7.792831395149338e-16,-1.472710139282582e-16,6.589447896675133e-16,4.273815902633252e-16,1.2697131349810438e-15,1.780513721656236e-16,-2.512996293645284e-16,-2.1406790395261513e-16
7,-1.2205814286261586e-15,-3.3743558861979143e-15,-5.713163485023669e-15,2.9173818521207615e-16,-6.468746467495375e-16,-1.03680800575242e-15,4.0332643047547747e-16,1.7005476918923357e-15,-1.3556631690747567e-15
8,5.03270468054198e-15,1.8701253779305058e-15,-5.93204819396081e-15,7.394614306489266e-15,-1.1156549149619773e-14,5.426008899543488e-15,-1.1607133646752622e-14,-1.1381951261739443e-14,2.2828259003534535e-15
9,6.661251857498954e-16,-3.45839257638615e-15,-1.0003756408961298e-14,1.518872024980147e-15,-1.7469490292553726e-15,-6.604018533912774e-15,-5.865852249664891e-15,7.764405044646918e-16,-2.7590882417232536e-15
10,-8.836093708719065e-15,1.726887249724243e-15,4.316393827370218e-15,1.8222511324147215e-14,1.511161917848514e-14,2.621320743244876e-15,1.2228255048345165e-15,2.1099956502021445e-14,-1.9294438252908994e-14
11,2.8927089713376854e-15,-2.1118387879326284e-14,-5.948880688370052e-14,3.112023768930052e-14,-1.783177657176246e-14,4.456972893084706e-14,6.157904565037149e-15,-2.5709115022159037e-14,9.66954376265017e-14
12,-3.416981160535809e-14,1.2226517575942107e-14,1.4237989822878514e-13,1.7974573405681375e-13,-3.041375411605694e-14,-2.2604362466196892e-13,-1.8254648770411693e-14,4.945725112582698e-14,-1.3664559406189302e-13
13,6.127868058180071e-14,-8.194515337077934e-14,1.1661002294386905e-13,1.1309004517307332e-13,8.201094221221368e-14,-5.915724162644884e-14,1.4540329146221744e-14,2.3492147867131434e-16,-9.214950321589131e-14
14,2.765848143959145e-13,5.3707877965358873e-14,5.507198661865907e-14,-9.301448645929682e-13,1.7119461910569647e-14,-9.9777089569062e-13,-8.104081046355105e-14,-7.885911412398764e-14,7.656472682237145e-14
15,4.8865498452604205e-14,1.8442418515920501e-13,1.2573012167358322e-13,2.6956055848723617e-13,-1.1200704479558842e-13,-2.805953142693779e-13,-1.2633862838570218e-13,6.605906406866219e-14,-1.7798994699147008e-13
16,-1.9245072800818747e-13,-1.7064163205399287e-13,9.221531643350487e-14,8.213175627578245e-14,1.7444095574733822e-13,-2.6990933556050697e-14,-3.2682526256437027e-13,3.3240079247997113e-13,7.898017070762378e-13
17,3.405410003787878e-13,-5.205304945599981e-13,5.495162014718787e-13,-4.0862656304986935e-13,-1.5065219446989866e-13,-4.893474354876275e-13,-3.8259857434965675e-13,-1.0694261468588436e-12,5.583564736118718e-13
18,-1.8486206049078017e-13,5.938874856410882e-13,8.61833130740715e-15,2.4681976305489927e-13,-8.104942146319124e-13,3.606943661496625e-13,2.7417345097265914e-13,-2.5997633050228216e-13,1.9166757053853977e-13
19,-1.1601118635893026e-12,2.349597141672602e-13,-1.6483171175805213e-13,-9.650275336124188e-14,-6.718270335323922e-13,-3.724827045651568e-13,-3.740686573544252e-14,-6.433851866903131e-13,2.1124456553731098e-13
20,8.541920995135077e-13,7.645171353749521e-13,-2.4101075347783212e-12,5.977777225987514e-13,-4.7131632245286584e-15,2.240757445768105e-12,-4.819273552462751e-13,-8.052574110939701e-13,2.015793401476383e-12
21,-4.037005661814992e-13,-1.0769920981602189e-12,2.354955078717813e-12,-4.4256230019972837e-13,5.181135990476867e-13,-3.489691428630979e-12,-1.7674232818046594e-12,-1.6877132681244493e-12,2.9343023635784707e-13
22,1.1723188695654441e-12,2.1244836369551193e-12,-5.925564574603554e-12,-9.752163255772243e-13,1.5828386640865722e-13,-9.016268094466163e-13,-1.0334918269451674e-12,2.0073285283753174e-12,2.368907278287247e-12
23,-2.3014156298418663e-13,4.466114276026718e-12,-3.3843460736406623e-12,-4.879142669933396e-12,-5.606422569117077e-12,-2.360120020844878e-12,-5.58210276093448e-12,-3.1508979897966333e-12,-9.82727093487254e-13
24,-4.840331657385109e-12,5.550212349926472e-12,-4.44944860304239e-12,-1.5415178555744498e-12,-8.018077384985594e-13,1.1168527272410567e-11,-3.7426861793863815e-13,-1.96061384116263e-12,-4.524168611436112e-12
25,1.6027164360516635e-12,4.415341918731501e-12,9.846263608088435e-13,5.724058153720419e-12,8.43663253366123e-12,-6.040325367451263e-12,4.0154764546603494e-13,5.214589963643642e-12,8.770976708670997e-13
26,2.993800987125967e-12,1.1784871818976418e-12,-7.6269436412289e-13,3.1974281626753657e-12,-8.320090736140181e-12,2.3929809748318145e-11,-9.131913363613736e-12,-1.1597211353844291e-11,-1.5164023010302126e-11
27,-1.6888030155653576e-12,3.8583651002461497e-13,6.4219498177581065e-12,-5.7537220242695335e-12,5.0976017777191315e-12,7.478504829088306e-13,-1.059958403356293e-11,7.1141700300706585e-12,1.2153534154953936e-11
28,-7.701953190919894e-12,7.65173397298222e-12,2.3468421837198824e-11,-3.616554988876132e-13,-2.0761783219198985e-12,2.124413413979368e-11,-1.0714884135833703e-11,-1.1355129982180799e-12,-2.465356247936689e-11
29,-1.4672306929419086e-12,1.4560405103071842e-11,-1.529489201271209e-11,1.2836758740237988e-11,8.550947028158134e-12,7.029767288770122e-13,-1.021892086257327e-11,5.309098041550025e-12,1.6150454971262332e-11
30,8.959708298118825e-12,-2.238803409982578e-11,-9.523346245653863e-13,-1.3994937248673605e-11,-1.881519251216301e-11,-1.8371363193804833e-11,-1.619862657442082e-12,-1.8093372193756945e-11,7.080216557688756e-12
31,2.4415911521279066e-11,-2.7787821122226425e-12,5.2857035358017e-12,8.344163519916779e-12,-1.0245877893334007e-11,-4.711819672001594e-11,-3.9106230924120425e-11,-1.2532363798561485e-11,2.333049828227533e-11
32,5.9422867730938005e-12,1.6762967805106706e-11,-5.848072497591448e-12,-6.484408045497764e-13,9.595614659836077e-12,2.6426028066305338e-11,4.1980374460532615e-11,2.6169009537665555e-11,-8.916659040247333e-12
33,2.458304309288926e-11,8.624144410164532e-12,-2.6405541039757706e-11,3.157852143326627e-11,-2.743817687439883e-12,1.7384880120777965e-12,-7.251692374495741e-12,-3.40963250922756e-11,4.007746521545696e-11
34,-2.670728162074361e-12,3.650001611900757e-11,-2.0111807256833937e-11,-3.6837383987979516e-11,5.650409037309185e-11,-5.4773377931347254e-11,7.13193286387612e-11,1.2884733352439012e-12,7.175774345614065e-11
35,4.199590899417812e-11,-1.0221738943323261e-10,-3.640205031235893e-11,3.094819275101255e-11,1.2308969521089432e-11,-7.956967704337446e-12,-2.984510877144575e-12,-2.1920929710913243e-11,-3.992375341824334e-12
36,1.4766584955057672e-11,9.226527447842675e-11,-3.2188247621429513e-11,-1.4014189459462686e-12,-1.1559572233612137e-10,2.491502303924572e-11,1.2716124045141308e-11,-1.1127549608906718e-10,3.496204066958248e-11
37,-4.317039837676663e-11,3.343776534919679e-11,2.2352632859321387e-11,3.4236377251733445e-11,1.2034813712464067e-10,2.0615054001106487e-10,7.562064916652991e-11,7.489448620913908e-11,5.56270465569174e-11
38,4.404405045455574e-11,-1.867048101404192e-11,3.156169891924217e-11,9.458318681379028e-11,1.431545451121373e-10,-1.5640691621200932e-11,6.992093223672358e-11,2.41413840505974e-10,-9.630194566517072e-11
39,-3.601152938371276e-11,7.421035032765576e-11,3.201971948728787e-10,1.107093943573512e-10,1.5039269794316822e-10,9.781916616082917e-11,2.0646643156282835e-10,1.7573605142102395e-10,2.1847923180199387e-10
40,9.653593567341637e-12,2.1412123720710678e-10,3.2487729489076363e-10,5.074928523700263e-10,4.5554741950631403e-10,7.834824909289565e-10,7.544421131569015e-10,7.794177615880227e-10,9.85565371893379e-10
41,-5.456210628665921e-12,7.09669995735128e-10,9.513089482749295e-10,1.4018995189797925e-09,1.4852949170796843e-09,1.6782148185458848e-09,1.7510664865895659e-09,1.957457282825134e-09,2.3843010077482174e-09
42,4.044211332634554e-10,1.4823167256624907e-09,2.8163442038861714e-09,3.7214580307616735e-09,4.196285634479315e-09,4.3693843445943054e-09,4.947272903730797e-09,5.511412149443493e-09,5.964731899181898e-09
43,6.751884704226087e-10,4.258980093287516e-09,7.233032215977817e-09,8.452221909907789e-09,9.927488854382947e-09,1.074175180090004e-08,1.1943734483727684e-08,1.3209544325135328e-08,1.4670850694258245e-08
44,1.7955879217568264e-09,1.1364186186692105e-08,1.7678336464691204e-08,2.1215349348875497e-08,2.4163405170146727e-08,2.5859970142721973e-08,2.8841821585971914e-08,3.1417814545567e-08,3.461764495470916e-08
45,4.506259864427894e-09,2.6450400083433748e-08,4.0001770179261714e-08,4.894442838425087e-08,5.525415878808291e-08,6.044634436155418e-08,6.541479544643108e-08,7.117822599523105e-08,7.903773486321835e-08
46,1.0604183558662469e-08,5.980417427352721e-08,8.906586579011389e-08,1.0774994287203137e-07,1.2100917163522358e-07,1.3328984043980963e-07,1.441170404115767e-07,1.5544652562710966e-07,1.7308745185598142e-07
47,2.4136662090070643e-08,1.291196246017468e-07,1.917522291598468e-07,2.3058272350313426e-07,2.5950809926452464e-07,2.8332631369324687e-07,3.056546898119774e-07,3.306422702820756e-07,3.646268970750551e-07
48,5.273317631707281e-08,2.701687950581742e-07,3.9654759044919553e-07,4.754113288631801e-07,5.327369834861342e-07,5.803317594983975e-07,6.257423340012234e-07,6.752158079146729e-07,7.422065002185368e-07
49,1.1096456128529251e-07,5.462128965121239e-07,7.938869661216607e-07,9.483518626192194e-07,1.0583225101502478e-06,1.151933012766591e-06,1.2385946794298084e-06,1.3340005530811517e-06,1.4630272184639154e-06
50,2.2577862526503776e-07,1.0700524871016213e-06,1.5410361153456631e-06,1.8305680491673571e-06,2.0405712125383976e-06,2.2141445052875674e-06,2.377241419259388e-06,2.5553123087277124e-06,2.79510034807359e-06
51,4.453742382403862e-07,2.033376874673422e-06,2.903620006990148e-06,3.433138588208027e-06,3.814066965225236e-06,4.130072426769419e-06,4.427240383786434e-06,4.748827284233254e-06,5.1821851795646676e-06
