S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,2.5061824911100783e-25,1.413631846443551e-26,1.1142538463782914e-24,-5.63784653538615e-25,-1.0053752518842946e-23,-2.7656521109430836e-24,-1.788796963269135e-24,-1.0509351618243429e-24,7.24326974322494e-24
2,1.4854792052677648e-22,-5.081153871851736e-22,-2.5636389367575926e-22,-1.151946853023352e-22,-3.451626529025744e-22,-2.0206244203140693e-23,-6.280479697818464e-23,-2.455538849649725e-22,-4.690337070294664e-22
3,3.694309661655328e-21,-1.261317275244902e-21,2.852427968106489e-21,-6.503995468558904e-22,-1.056205646432429e-21,-2.2073485877354122e-21,1.716400112046322e-21,5.120386939741504e-22,2.0594902438075124e-21
4,-3.444764459553155e-24,-2.4149597665766792e-20,-1.0357765917468898e-20,2.3633587013740927e-20,-4.234900269976865e-20,4.21579507537446e-21,4.104101320080596e-20,1.029397196634803e-20,2.1012152239238283e-21
5,7.316109501012459e-20,1.7687306113391346e-19,-1.0796547430845546e-19,6.969103954029601e-20,7.27586912807895e-20,-5.0113266502711205e-20,-1.394721165802246e-19,-6.218359195318163e-20,3.1434998028522524e-20
6,-5.923773953379365e-20,1.884259509419495e-19,-3.81165156518714e-19,3.655565613224351e-20,1.744034100665154e-19,-1.1302383782883419e-21,-3.084244681016023e-19,-4.757212379546652e-19,2.2224743440308636e-19
7,7.2733041756266685e-19,7.414724869047177e-19,-6.195057533521669e-19,-3.066693675616053e-19,4.336906181689609e-19,1.6412739388382268e-18,-2.0193570365561318e-18,-2.7694018066492964e-18,3.6802152544122424e-19
8,8.598762598538923e-20,2.3714771610202624e-19,3.2780321276884577e-18,-2.0240597476983114e-18,-4.5159177628363795e-18,7.415674755564933e-19,-4.350383548744128e-18,-3.9083210401117975e-18,1.6340564276410096e-18
9,-3.75966015001891e-18,-2.9604460143634738e-18,6.197914107852541e-19,-7.22331432721473e-18,1.7888770169509713e-18,2.8014984070759213e-18,-9.621042111064673e-19,-1.783687656026336e-19,2.006400750460828e-18
10,-3.3197831781117142e-19,-5.182373599422866e-18,-7.420693938598764e-18,1.281977700608365e-17,-4.444784674761437e-18,-4.7476564775281764e-18,5.284224199302357e-19,6.517893469458367e-18,-2.5657745410640015e-18
