S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,3.122977534056603e-24,3.675363893644347e-24,-5.74476459983262e-24,1.1998325580384267e-23,7.189420150580468e-24,3.200262061057609e-24,-1.2805839501138804e-23,-2.271741638058482e-23,1.0535055973519268e-23
2,-1.3867474209881729e-21,-7.2403047799279e-22,1.5698886296156607e-21,1.060366948283552e-21,7.317804655553056e-22,5.244249921444785e-22,-6.412506150770487e-22,-1.0750975335857592e-21,-3.0442711151787204e-22
3,2.0401254563809477e-23,-1.527155255045109e-20,2.4833844436625343e-20,1.8933354517776726e-20,-1.9744867902118655e-20,1.8552606075929026e-20,-1.2248356158917427e-20,-1.4461175099687585e-20,6.300654230718582e-21
4,-5.864542879308013e-20,-1.1571969799500568e-19,6.264238370275828e-20,-1.196179801543112e-19,-2.159455440707628e-20,-8.327550582766809e-20,9.449225940654582e-20,1.433604015585446e-20,-4.9632001833915054e-20
5,2.8785988857845473e-19,1.717144189569977e-20,2.8782353631783225e-19,8.949585316024545e-19,3.973463342748669e-19,4.186519183368606e-20,-7.657512703777835e-19,5.57507051322741e-19,-2.7608029840460474e-19
6,-1.2775967079971788e-18,-2.8813216712214426e-18,1.6157729248283542e-20,5.843644223704925e-19,-8.51308519294142e-19,1.5493416251326238e-18,1.265529694853031e-18,-3.912550529422884e-19,3.797357286313316e-19
7,8.085007734102125e-19,-6.648217818739398e-19,1.323465037673455e-18,3.792196472462901e-18,-6.884388113258404e-18,7.083565102682154e-19,3.015147207539185e-19,-5.34459243493233e-18,3.699802774815362e-18
8,3.763809228446029e-18,-1.953824219557659e-18,-3.357809845851364e-18,8.022909104218973e-18,4.342806657311854e-18,5.346257609365027e-18,-3.6895877784551544e-18,2.8540286440723314e-18,7.521995783835582e-18
9,1.2920214530602497e-17,1.542893837626887e-17,-1.3185070929300566e-17,4.291113410235084e-18,7.302673360608411e-18,-5.40285098685962e-18,9.550541228513217e-18,9.458581796371017e-19,-3.548040475733829e-19
10,-3.590788307389943e-17,-1.3579893478019975e-17,3.587526568168573e-18,1.317341811652181e-17,1.924731484986774e-17,-1.4088537823165242e-17,1.6800727683476614e-17,3.1403641777686026e-17,5.6768499141846146e-18
11,1.8895189723446952e-17,1.9673534203076362e-17,9.755821841131153e-17,4.7194688336640863e-17,5.0977195795752575e-18,-6.98267954183803e-18,-5.586768566864535e-17,1.1862191286242878e-17,-2.821508790827401e-17
12,6.3199565098692045e-18,4.328052782126295e-17,8.61250840002977e-17,7.663609846461209e-17,2.670851620792982e-18,-2.453546139750346e-16,7.26356349553544e-17,3.153053017470761e-17,-4.818635066440324e-18
13,1.3816204854699585e-16,1.1189062130338295e-17,-6.544873288643822e-17,-2.3928916195274752e-17,6.194147027869779e-17,1.4487244135955346e-16,8.99800818671006e-17,1.3310803561182472e-17,-5.582246030977046e-17
14,9.316031041968942e-17,5.816345691736772e-17,-1.7776653102642312e-16,3.3149615028313915e-16,-1.0230670470355384e-15,-6.195096754049429e-17,-2.625132413770331e-16,-3.155107385740429e-16,5.607472972282088e-16
15,-4.191925826857441e-16,-3.410704297976051e-17,-5.422598480629311e-16,1.2073785706678728e-16,-1.183116471434031e-16,-2.778811113324819e-17,-2.0996731687171664e-16,1.2203224786077888e-16,4.1980942877724905e-16
16,-4.62258245597175e-16,1.963628471895832e-16,-4.1461168427063764e-17,5.255396000190873e-16,1.4986463669749218e-16,-6.71607210982152e-16,1.241767657101959e-16,-3.5595400405524087e-16,5.657319736580594e-16
17,-2.556519844948995e-16,6.148124045632233e-16,3.789189762095497e-17,5.607713008583705e-16,-4.802312290387853e-16,3.7260348850192227e-16,6.747607101821106e-16,3.709534239891971e-16,-5.87184036670103e-16
18,-3.7757225255347163e-16,-2.1591856615477564e-15,-1.0456572202465333e-16,8.652920166436441e-16,7.404830079208444e-16,1.3101267568140638e-17,2.965934634531541e-16,7.741281632668731e-16,-2.277603848786038e-16
19,-4.814276427693383e-17,-9.04848560190813e-16,6.690205817817185e-16,5.157250638509103e-16,5.671552251052789e-16,1.8505839227015092e-16,1.7742466596801006e-16,1.5334328381874921e-15,1.2664904794296519e-15
20,-2.438068570830184e-18,-1.1085878903756105e-15,6.493567468749624e-16,-2.437381376830912e-16,1.2053121367703447e-15,-2.2831408477958312e-15,7.093946776173133e-16,-2.2644424529477613e-16,-1.8839418485839833e-15
21,-9.19276744974254e-16,-8.305961373126143e-16,-2.5572366292399674e-16,-7.451023437362555e-16,2.151300481077723e-15,-6.553766976736153e-16,1.3675591459836633e-16,-1.885050325078314e-15,-6.835341134464301e-16
22,6.422315066400916e-16,-2.0764806403439466e-15,2.120748092558208e-15,4.4881147631190355e-15,1.2128571061968853e-15,4.797002929912409e-16,-2.606402200555467e-15,-1.731707118334671e-15,-9.963301291981301e-16
23,-2.9105102760696595e-15,1.669040879905602e-15,7.521212190220233e-15,-1.1929607068391584e-15,-2.5682300312140087e-15,1.7182454218324808e-15,-3.878643623134099e-15,-4.583996818272775e-15,-5.572334364507315e-16
24,-5.126258091252372e-16,-2.011525484633696e-15,-7.650972384337054e-15,1.6228506347218236e-15,-1.28492786324052e-16,-5.32884163475123e-15,1.0018982534116397e-15,1.3410454391182455e-16,-6.681007191246035e-15
25,3.247236783091789e-15,-1.191718186012254e-15,-7.904048614947253e-15,-3.5874552757727265e-15,5.520802440809603e-15,-4.3400935127477375e-15,-1.1656717696864856e-14,-1.3256733367796517e-14,2.2470406215902982e-14
26,1.4947899243428416e-15,7.535238998942146e-15,-4.043225172846763e-15,3.554082723669191e-15,-3.653130952191608e-15,6.539780411458536e-15,-6.392059761001534e-15,-1.2747238225530588e-14,-4.272716805468094e-15
27,-8.208283981797999e-15,8.280437301802297e-15,1.3104623369374416e-14,-7.914907058058349e-16,-7.932058936717282e-16,1.5807054386459576e-14,-1.016998154407292e-14,3.5027349819016576e-15,8.120751936537994e-15
28,1.4091213232560208e-14,8.956825644665507e-15,7.930755299948802e-15,-1.5914083433486825e-14,7.539770354916507e-15,6.103543499789637e-15,-3.0723953984957606e-15,-1.1871137408495796e-14,-1.3468373927058531e-14
29,-8.021814314828643e-15,-1.0448848032177682e-14,-2.7830104462992796e-14,1.2079997358250598e-14,3.374310748368718e-15,2.8817792196101633e-15,-2.8986757297251794e-15,-1.6346132958110006e-14,2.6666960369972314e-15
30,-8.656266009727133e-16,-8.228091903573858e-15,1.0159735475052973e-14,1.1697463170834726e-14,-1.0135279098139763e-14,3.24758087045663e-14,-5.156975034727551e-15,4.660734817937043e-15,-7.488042861833149e-15
31,1.5510766131040887e-14,2.062562211228502e-14,5.117219005601464e-15,1.779500263084217e-14,5.37621402942616e-14,2.9008574032587837e-14,3.766217059385637e-14,6.29796195260754e-14,4.370555276077265e-15
32,-1.6062926720750352e-14,4.2117173293009615e-14,1.2322845263302493e-13,8.492876185103115e-14,1.2472034570711768e-13,1.5996802211231593e-13,1.6879590895446725e-13,1.6423809925677944e-13,2.1164749575103407e-13
33,2.3814998351795213e-14,2.6783719583288303e-13,4.24391450354807e-13,5.752215253615764e-13,6.781994801125916e-13,7.638852956744223e-13,8.67408087719149e-13,9.838527340945966e-13,1.0902937090349367e-12
34,8.406550587868121e-14,1.0989722850207953e-12,1.946781535663287e-12,2.528133353864389e-12,2.959585728829486e-12,3.3429438957885094e-12,3.72496277788174e-12,4.1014193590075495e-12,4.850566290828844e-12
35,5.274449304967959e-13,4.723993092514488e-12,8.234612300364011e-12,1.0558805747981161e-11,1.2352520438259556e-11,1.37975575689716e-11,1.54044650889217e-11,1.7200027670224625e-11,1.9615148376859086e-11
36,2.082882098103551e-12,1.8882506957177677e-11,3.1757751941822413e-11,4.0525186971644515e-11,4.7477458375995594e-11,5.3284412904948195e-11,5.906654050482939e-11,6.56325998186894e-11,7.466571982125855e-11
37,8.1696527525634e-12,6.921489096233799e-11,1.1503568144690332e-10,1.4615346696738571e-10,1.7013539481975401e-10,1.9049199749410263e-10,2.106705819354137e-10,2.331191441570882e-10,2.6464725567283707e-10
38,2.960854017009487e-11,2.3821705719756395e-10,3.905062305594893e-10,4.930685588060925e-10,5.712858614010515e-10,6.385398371655489e-10,7.036194300308924e-10,7.767186056758115e-10,8.786755149801268e-10
