S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.6056042062225184e-27,6.54915960539359e-27,-1.4446808723023003e-26,2.569097589406787e-29,1.5538400002864916e-27,-1.4262885492579572e-26,-1.3860079033065168e-26,4.249763596637053e-28,-6.097813153402712e-27
2,1.0312011675625075e-24,3.0863295621740865e-25,-9.061353876800466e-25,-2.1037210611400022e-24,-5.648113881836588e-25,-2.5344298353701613e-24,-1.985015073845643e-24,-2.8368272111524002e-24,-3.152572664207332e-24
3,7.461523881896206e-25,2.0197390410071083e-23,-7.957542847211847e-24,-2.682940182823428e-24,-1.451875759964638e-23,-3.6885151508826053e-23,-2.0909201461617653e-23,-9.261152336557396e-24,-3.1263604376978037e-23
4,-8.706691713874317e-24,-2.2361049117416935e-22,-1.7830230876220587e-22,-3.5182474220156675e-23,-2.024621469925037e-22,-3.4415590112896585e-22,-1.759897143750375e-22,-3.409403601944134e-22,-2.118575834921474e-22
5,-4.477848184484457e-22,-1.9103507307019537e-22,-3.1508137439497047e-22,4.512320043423646e-22,-6.003276856089333e-22,-1.5857311157431115e-21,-9.58027860973109e-22,-8.577524302962066e-23,-6.1002021807740445e-22
6,-2.533361779924413e-22,1.0072478796962957e-21,1.306650137598877e-21,-5.400259445508324e-22,-3.651387886926184e-22,-2.338306537927827e-21,-4.87219174892581e-21,-2.958847412428314e-21,-1.4323808679102147e-21
7,-7.78365228165559e-21,4.5844958667952584e-21,-1.1270845286395027e-21,-1.1672005728851797e-20,-7.73338906022666e-22,2.3705803371427084e-21,-8.828056010859412e-21,-1.2563606440283043e-20,4.075927114492517e-21
8,-1.6043119883896863e-20,1.7289461455453585e-20,-8.836819320022421e-21,-2.33899908510946e-20,1.1794359224076294e-20,2.958229729940492e-20,1.2113898846650572e-20,-1.2918832084071287e-20,2.463939689064033e-20
9,-5.97336651675364e-21,7.035989712524533e-20,4.9528990385252674e-21,-4.564257608383397e-20,7.933320679495898e-21,8.130448818388736e-20,3.96480067359008e-20,-4.606832409639286e-20,6.3213589944928785e-21
10,2.098178655525812e-20,1.0206629960257365e-19,3.679834849431979e-20,-4.5528636111182153e-20,5.895785687254782e-20,1.4643000159703264e-19,6.07552272010994e-20,-5.962457418784968e-20,1.009796338664759e-19
