S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.8105591576738282e-18,-7.63576324559565e-19,-2.0253555597356668e-18,-1.0538823962210131e-18,5.836742975299578e-19,-7.411402790694991e-19,-1.371133653737868e-19,-2.642500891750715e-18,-1.5380770585724238e-18
2,-4.719990568499065e-18,-3.8542372104577915e-18,-1.816829551467579e-18,1.1229646278514545e-18,-6.86835711991474e-18,-5.054009054430476e-18,-5.192411046932247e-18,-5.9634035054995346e-18,-7.074807348631014e-18
3,-1.059518853914264e-18,-6.514711856281813e-18,-7.64587262330988e-18,-7.325098442803455e-18,1.378129209137652e-18,4.369208272693935e-19,-6.571867602379323e-18,-3.4559184280670813e-18,-5.154757486865989e-18
4,1.9679882813324826e-19,-1.133333862243458e-18,-1.1862054615892857e-17,-1.2804242502393735e-17,-5.731476770979496e-18,9.630304280445506e-18,-4.606086046930693e-18,-2.199290095472576e-18,-2.5546868025319844e-18
5,-5.913152955924648e-18,-1.5724819703705244e-17,-1.6806392822482623e-18,-9.378507215833072e-18,2.1434181517479667e-18,-1.3797119918529003e-17,-1.9662019644575377e-17,-9.04411979478257e-18,-1.862386133123344e-17
6,1.6266595313487223e-17,-2.6156159293431376e-17,-3.0432729024288056e-17,1.0017976854934104e-17,9.323842865367217e-18,1.7069576939770653e-17,2.3410628062340953e-17,6.478909645318451e-19,-2.4284606785110927e-17
7,1.394200173025252e-17,3.4001201506089176e-17,4.005735077680416e-19,3.111681229902485e-17,7.016584553330522e-18,-5.679653872152221e-18,2.4376397635712872e-17,2.9239717591479235e-17,-6.5837244513886664e-18
8,-2.7259747339239242e-17,-3.004894078314688e-17,-3.377093553711519e-17,-2.051660775322733e-17,-8.663998309759519e-17,-5.57999235564379e-17,-3.478586919161191e-18,1.7008237060308836e-17,-6.011432456172852e-17
9,1.2529255967195685e-17,-5.171529826689474e-17,-4.1596607899606095e-18,2.813345108999761e-17,-3.388019515123263e-17,-3.049186680728263e-17,-5.287867337481253e-18,2.33624454964405e-17,-3.786824659399203e-17
10,5.821540267012735e-17,-1.6290407218568993e-17,-3.398942465497969e-17,4.822655038113808e-17,-3.0189323746440003e-18,-1.0202922790407632e-16,-4.97900511369326e-17,9.123931066851221e-18,-8.919489352587482e-17
11,9.09998017043261e-17,-1.9909913194223982e-16,2.4270429790443967e-17,-4.2819676720364954e-17,-1.70134922760328e-17,-4.511830889075793e-17,-1.1657326228368542e-17,3.713068102662902e-17,-1.127633947002358e-16
12,4.818691856450253e-17,-1.6532181512485446e-16,5.837871406866491e-17,1.87327813175171e-17,-1.7596705700633898e-17,-7.171870634100014e-17,8.463979289703168e-17,5.146650154887556e-17,-8.212056102059041e-17
13,1.3713276695182597e-16,-4.138244984567655e-17,-1.0154753371411096e-16,3.88839535259636e-17,-5.0460514521412896e-17,-8.977354687447664e-17,3.8974229846912085e-17,7.887315521088228e-17,-1.5305929518120275e-16
14,-4.557535761830026e-17,-1.9117110220415687e-17,-1.2907502242407823e-16,2.2980203526414577e-16,-9.640695291828603e-17,1.8267388472237093e-17,1.9112169169990478e-17,2.2160672812756156e-17,-1.7166665191287378e-16
15,1.2335260823343403e-16,-7.848407814148803e-17,-3.9490860499125306e-17,-6.152695199335737e-17,-1.4583972943234772e-16,-4.872572105609754e-17,-2.6182490013974948e-17,6.936025521142511e-17,-1.4728273956787368e-16
