S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,2.250279878795901e-25,9.209538958341977e-25,4.605366150893765e-25,6.375552059302785e-25,3.85714085877801e-26,7.181551807774473e-25,-9.574572888667883e-25,-1.0291340964368618e-24,-4.705695464801357e-25
2,-7.537818633287962e-25,1.1115859338993932e-23,-1.3654302534630947e-22,-8.59850369958419e-24,-8.188253115256404e-23,-3.0096592893533725e-22,4.830854999966722e-23,-1.5990810521339568e-23,-9.419664606629603e-23
3,-9.423732246530755e-23,-6.554788808943703e-22,-1.0080747363728552e-21,5.335387762910933e-22,2.311850436459234e-21,2.386151911380684e-21,7.410966203559048e-22,8.697927519487081e-22,2.1826569216718667e-21
4,-6.925368177184047e-23,4.442028222121198e-21,1.0434461677721327e-20,-1.0570449525419762e-20,1.080938403473938e-20,7.66834675345275e-21,6.7906981983777805e-22,9.870056008859911e-21,-3.699919232467684e-21
5,-5.186988487163694e-22,2.945729274930315e-22,3.294931408058879e-20,9.122380684818007e-20,-2.828514251072999e-20,2.7183679989658486e-20,1.8421558943298523e-20,-1.490547245969557e-20,5.131425992480197e-20
6,5.954197817423185e-21,-1.255456521556685e-20,-3.43115008423127e-20,-2.228562951375384e-19,5.0035796573380335e-20,-1.1394145986524743e-19,-2.808203087907058e-20,6.004407390407333e-20,2.0674035204816272e-19
7,2.4335770225601326e-20,9.289501055916064e-20,-6.871309281431539e-20,-6.63366224163635e-20,-2.0511754175761082e-19,-1.2398669962331336e-19,4.211324167249314e-19,-1.6961595743989474e-19,4.341083945609749e-19
8,9.440794796204783e-20,3.436249136529439e-19,5.314148650635405e-19,1.0783610829234398e-18,1.4452670469970052e-18,7.192352428841305e-19,-1.579760317123885e-19,8.232598642830032e-19,6.600792024109033e-19
9,-2.4464363140529833e-20,-1.6333393699981707e-19,-1.6461883871300607e-19,6.182990414709148e-20,4.398148100130906e-19,-1.675582596081487e-18,7.1764804350403505e-19,9.765229476714435e-19,2.7442608951263856e-20
10,4.362560358139633e-19,1.768024036716876e-19,-2.0595101410436869e-19,-3.0577099989232816e-18,-1.7250513036094043e-18,-2.246710366089996e-18,1.7373532029215637e-18,-4.9250568911873836e-18,-3.9749379631391186e-18
11,5.001285179782526e-19,1.603922946605764e-18,-6.006046299099088e-18,2.2427502127093646e-18,-1.4261885819762592e-18,-7.73445653570349e-19,7.615456886191472e-18,2.779088687748929e-18,2.8156513304519142e-18
12,1.3727401595526196e-18,-7.681995760024467e-18,-5.4596424412254374e-18,1.1772543723627201e-18,1.4066397323395393e-17,-1.301092340543552e-17,1.3540171667510252e-18,8.770305741499352e-18,9.907904362373377e-18
13,-7.278197260551574e-19,-1.3188520959892282e-17,-1.5606267011638264e-17,1.1526706480882197e-18,8.135832152634184e-18,-3.1029503667225385e-18,-1.1655002763404962e-17,-1.423152394804961e-17,-1.2677011568530989e-17
14,1.2583797099065538e-18,-1.1485224351296577e-17,-4.948669356525268e-17,-8.537496729951544e-18,-1.0550167580419927e-17,-3.870920226861951e-17,-6.077236244234368e-17,-2.589603212088063e-17,-4.916100600530873e-17
15,4.674362211374853e-19,-1.2805935516872203e-17,1.4740773282740865e-18,-5.634338689306328e-18,-9.789825542736462e-17,-1.077736212692871e-16,-1.136202278862414e-16,-1.2818218477566578e-16,-1.2679194199029873e-16
16,-6.979142036934393e-18,-1.0235227159078929e-16,-2.7849369640632777e-17,-1.6064670105536036e-17,-1.0975866931601349e-16,-1.765915588125707e-16,-2.169740509192775e-16,-1.4945308228127718e-16,-1.4883101718540092e-16
17,-8.466600101548676e-19,-1.3915823591258597e-16,-1.388339494958376e-16,-1.1981191029369264e-16,-1.6732641563357815e-16,-3.1566264361840183e-16,-1.2748656181707405e-16,-2.79717244626781e-16,-2.7745617929604397e-16
18,-1.9738818204317192e-17,-1.4400673094496257e-16,-3.1707767783292217e-16,-3.313384123867921e-16,-3.957009216169589e-16,-1.4115835057854604e-16,-2.0453330003753525e-16,-1.9330344415794842e-16,-2.431608397714851e-16
19,-9.297046660975274e-18,-2.8141078323069595e-16,-3.900343701664119e-16,-3.065701570364151e-16,-4.758241424470204e-16,-4.475914868193392e-16,-4.0095895226208626e-16,-5.157249248592758e-16,-5.238465956230438e-16
20,-1.3762687113315355e-17,-3.438519923004367e-16,-3.3149304508041607e-16,-5.023290434490473e-16,-5.509023739193724e-16,-5.251981910873737e-16,-6.653774522674861e-16,-4.888482843841256e-16,-6.096720795620127e-16
21,1.0716672321860975e-17,-4.75427984680961e-16,-5.964940504851739e-16,-6.660804804401011e-16,-6.332151059626079e-16,-8.061282290921832e-16,-8.21010714496654e-16,-4.771161637237143e-16,-5.999289404940963e-16
22,-9.11394860947615e-17,-3.2450071919773237e-16,-6.522699051984167e-16,-1.0502564163357378e-15,-4.510299580408237e-16,-3.920047839046881e-16,-7.048254908583726e-16,-3.083782464979479e-16,-4.378178943459602e-16
23,-8.365447458868352e-17,-9.452082451072172e-16,-1.0112805729184237e-15,-7.786243374144338e-16,-1.0620393000570417e-15,-9.855327300887117e-16,-5.218664528324548e-16,-1.1984566713493367e-15,-1.0270846246325094e-15
24,-1.412619688463801e-16,-1.3047306606306782e-15,-1.3233664419874101e-15,-1.1274993825637088e-15,-1.5051087059671192e-15,-7.709801415969295e-16,-2.2417646819982067e-15,-1.8003181963892116e-15,-2.163241187774572e-15
25,-2.6876578463271913e-16,-6.125116836279527e-16,-1.325219076365324e-15,-1.4164946790963697e-15,-1.8975166042749007e-15,-2.175872975350539e-15,-9.643728186819844e-16,-1.269188487351251e-15,-1.2842292360702733e-15
26,-3.478652636442563e-16,-2.934772861520317e-16,-8.44553147660787e-16,-3.804905224298189e-15,-1.5976749819908767e-15,-1.4699023271089146e-15,-1.3536658873330527e-15,-3.2149200754309387e-15,-3.1617233061780602e-15
27,-3.3117263122085685e-16,-2.303795999869018e-15,-3.494732252840493e-15,-2.6462713280079575e-15,-3.423884800057471e-15,-1.8220158258864792e-15,6.912361438926461e-16,-3.1586446484252186e-15,-3.0640299818403307e-15
28,-4.006498935521865e-16,-1.8120317486288032e-15,-8.084334573424792e-16,-3.026019744626297e-15,-1.4622859299672882e-15,-3.9405948902298704e-15,5.767979975639776e-16,-2.7307768983505805e-15,-1.1173234638718117e-15
29,-4.257056106050782e-16,-1.2628238557787715e-15,-8.980130216323656e-16,-1.8971556257352663e-15,-7.791832940959538e-16,-1.129950523102728e-15,1.4492788740411894e-15,2.2352359335985972e-15,4.102203726794811e-15
30,-5.903512010321529e-16,-1.838820025840497e-15,-2.7787231235436004e-15,3.726741560956651e-15,8.641421551815304e-15,1.4627283404965157e-14,1.9276364615787886e-14,2.7603192008405016e-14,3.9469070427522674e-14
31,-7.785238486465086e-16,-1.0030379433810346e-15,1.2246559983684439e-14,3.590299202409826e-14,6.261027728781534e-14,9.247976293335897e-14,1.2494374922927137e-13,1.7226592361500388e-13,2.388405864163079e-13
32,-9.07621319201749e-16,1.7231594217628468e-15,6.912839014105631e-14,1.9953535429598474e-13,3.479849401812945e-13,5.182957016643109e-13,6.97133529702099e-13,9.24881807265602e-13,1.265129395381756e-12
33,-5.551464477637949e-16,1.9565278972827964e-14,3.737860645494082e-13,1.0149286632707494e-12,1.7584688501992944e-12,2.5336368597968314e-12,3.3943175121873776e-12,4.451584170455563e-12,6.037700628590007e-12
34,-7.34037881599998e-16,1.3232887371005062e-13,1.7690259238262784e-12,4.66882688174391e-12,7.925245266355465e-12,1.133611772464883e-11,1.5058330596065545e-11,1.958460024463635e-11,2.6337697624933432e-11
35,-1.4399054629021759e-15,6.369366251226894e-13,7.67675961017329e-12,1.9676673652209026e-11,3.292756764517579e-11,4.663924888819278e-11,6.148813807023421e-11,7.942698978162753e-11,1.0595619212786924e-10
36,-1.960770566725051e-15,2.729788102319142e-12,3.0671259191786186e-11,7.675534125113775e-11,1.2672901349429799e-10,1.7786916365634826e-10,2.3280618838718584e-10,2.986789057311042e-10,3.9538903410442464e-10
37,-2.6679032002541363e-15,1.0779284055127501e-11,1.1400565794421629e-10,2.787283726650947e-10,4.5433947412577017e-10,6.320756162897143e-10,8.215037066331602e-10,1.047000699164555e-09,1.3756991433317576e-09
38,-1.7508768628737788e-15,3.972042215480025e-11,3.9624241547979383e-10,9.47123854378693e-10,1.5245760252374032e-09,2.102969274910361e-09,2.7144901960559804e-09,3.4375690346729833e-09,4.4840587451268775e-09
39,-1.9407102572522826e-15,1.3718637197239563e-10,1.2934990896117229e-09,3.024292044443977e-09,4.809028713320095e-09,6.57840476226472e-09,8.435028973578654e-09,1.0615672458232281e-08,1.3749747200699574e-08
40,-3.5021363060396623e-15,4.4602374691908126e-10,3.981147500443145e-09,9.110469403252811e-09,1.4315398043296366e-08,1.9424032015478226e-08,2.4744803721535144e-08,3.095377660668361e-08,3.981674117981849e-08
41,-2.084880502059098e-15,1.3705119767498552e-09,1.1595109463079466e-08,2.5984488276191007e-08,4.03585501073728e-08,5.43291178876855e-08,6.877426253942206e-08,8.552407767650995e-08,1.0927457862588188e-07
42,-2.75208077941773e-15,3.992884688986935e-09,3.20635821249599e-08,7.040053622860235e-08,1.0811256840516044e-07,1.4441658329014053e-07,1.816875978392306e-07,2.2463751143524772e-07,2.8514244930102954e-07
43,2.3484572386236203e-15,1.1065106126977315e-08,8.44385809421904e-08,1.8173523543721894e-07,2.7601601123838476e-07,3.6592986568467757e-07,4.575979660105902e-07,5.625929250556472e-07,7.095605670709009e-07
44,8.221923472666494e-15,2.9249982757823564e-08,2.1236563936551502e-07,4.482451582753941e-07,6.734664481374666e-07,8.862930314793107e-07,1.1017968441970908e-06,1.3471655089824437e-06,1.6884784004248086e-06
45,3.749532011228559e-14,7.395236939924616e-08,5.114100301405363e-07,1.0590681485001404e-06,1.5744714328557854e-06,2.057148863191064e-06,2.5426425696073397e-06,3.0921994307730506e-06,3.851964387318218e-06
46,1.2507425442879086e-13,1.7926644923455811e-07,1.1820594076599762e-06,2.402697154128323e-06,3.535258516412583e-06,4.586594122147891e-06,5.637156988266886e-06,6.8195570848327965e-06,8.444410014231765e-06
47,3.9972606489993434e-13,4.175931031538049e-07,2.6282179943108157e-06,5.245659384436146e-06,7.64064204469558e-06,9.844707782157967e-06,1.203303952776039e-05,1.4482187139724066e-05,1.782794708640235e-05
48,1.1942938554517206e-12,9.367661852575225e-07,5.632911527892918e-06,1.1043766147375316e-05,1.592747269842398e-05,2.0383866523026457e-05,2.4780611857496272e-05,2.9674298002397472e-05,3.6320764187937354e-05
49,3.437573339002123e-12,2.027610815578165e-06,1.1659722024892773e-05,2.2463517214397276e-05,3.208453806153642e-05,4.0790825189513306e-05,4.932749498695039e-05,5.877762075975922e-05,7.153934604745297e-05
50,9.453678223689014e-12,4.2423507401130025e-06,2.3350910943590862e-05,4.4223379207210446e-05,6.256669570491186e-05,7.903050349173567e-05,9.507550462464679e-05,0.00011274289180527723,0.00013646761316626497
51,2.505517155517654e-11,8.594817591166638e-06,4.532145269609264e-05,8.44029505007844e-05,0.00011830516235809724,0.00014848944401313767,0.00017773017122637576,0.00020975901593599022,0.00025253152190223157
52,6.399285664209092e-11,1.6887497630994984e-05,8.538154164399482e-05,0.00015641015826769935,0.00021724217064658056,0.0002709753173063258,0.0003227227871034905,0.0003791122301029382,0.00045400697085512114
53,1.5793017256282864e-10,3.2228338269929466e-05,0.00015635651643021407,0.00028183839378705816,0.000387960745323258,0.00048097047031055184,0.0005700246361135766,0.0006665744895013331,0.0007941210020970068
54,3.7730383927005765e-10,5.982167854372412e-05,0.00027870893433648634,0.0004944805567448158,0.000674711036775015,0.0008314628561469199,0.000980692446705136,0.0011416725643159072,0.0013532084096120154
55,8.737416401333404e-10,0.00010814175901791754,0.00048419744633911705,0.0008457872264511437,0.0011441435628547815,0.0014016756437038762,0.0016454710927512092,0.0019071641418571639,0.002249244372280642
56,1.9641989368567763e-09,0.00019062219891849687,0.0008208243467069767,0.0014120521571670123,0.0018940361037326327,0.002306975878682918,0.0026957222410775184,0.0031109724041331692,0.003650976413053066
57,4.2920087738420625e-09,0.0003280178535753085,0.0013593204085086492,0.002303570438538495,0.0030642347958881183,0.0037111527235917673,0.004316836175997669,0.004960696805741667,0.005793717516601855
58,9.127318267831325e-09,0.0005516128256826748,0.002201383896385358,0.0036759345816769077,0.004849913445041035,0.005841110210203593,0.006764112848324359,0.0077406209325915345,0.008997634492506557
59,1.891189902040756e-08,0.0009074555995825898,0.003489823509234498,0.005743506023578673,0.0075170848289643445,0.009003816888806918,0.010380868085648658,0.011830881536822489,0.013688077945453566
60,3.8221920347416033e-08,0.0014617943676284032,0.005420647751645845,0.008794923065760829,0.011420076376352992,0.013605100860549921,0.015618240530327546,0.017728157909141333,0.020417168304510524
61,7.542623181376076e-08,0.0023078577934674454,0.008256994775061692,0.013210285966959032,0.01702041970170413,0.020169587130089664,0.02305586146465592,0.02606690850949847,0.02988550148120086
62,1.4547503110291692e-07,0.0035740747339855234,0.012344610668147954,0.01947940711568023,0.024906316221143775,0.02936076655825283,0.033422228561817875,0.03763985126296995,0.0429625012107011
63,2.7447971750674205e-07,0.0054337483397060935,0.01812836936982624,0.028220246880323065,0.03581155329412857,0.041999890080881855,0.04761332749034534,0.05341609002061957,0.06070366133017514
64,5.070681967138639e-07,0.008116095310885012,0.02616909801548433,0.04019639725727974,0.050632485944887735,0.05908213079010814,0.06670780729024035,0.07455506983468406,0.08436272972321082
65,9.179422136478714e-07,0.011918432515621871,0.0371597465500357,0.056332252965295926,0.0704414993932495,0.08178828351009491,0.09197687156559803,0.10241443362340573,0.11539682239308964
66,1.6296594789832043e-06,0.01721914647421379,0.051939741847789773,0.07772435130570104,0.09649525766896194,0.11149020727957339,0.12488702813449967,0.13854988208870847,0.15546254879697172
67,2.839443864835279e-06,0.02449092530791585,0.07150621782775696,0.10564729411757355,0.13023604900811758,0.1497482848393343,0.16709396694900186,0.18470532666760991,0.206401493461697
68,4.8588184404474764e-06,0.03431357920410894,0.09702073626088187,0.14155270845013154,0.17328467726437055,0.1982993886825643,0.22042611978588358,0.2427919775968134,0.2702138338406441
69,8.171085120246482e-06,0.04738563797649199,0.12981012672208786,0.18705987017971631,0.22742362702169588,0.25903420678530936,0.2868568916043236,0.31485551620667046,0.3490194635922053
70,1.3513159310185945e-05,0.0645338071199146,0.1713601908254897,0.24393690942525573,0.2945696428814648,0.33396328026999433,0.36846512349936883,0.40303113707588695,0.4450067009402134
71,2.198999655476792e-05,0.08671930098227629,0.22330124007981927,0.314071929763144,0.3767353921447017,0.42517171377027746,0.46738401831780685,0.5094869725474557,0.5603694468198778
72,3.523180606997907e-05,0.11504006514873565,0.2873847639151342,0.39943388499195237,0.4759804944167584,0.5347631993359026,0.5857394879103806,0.6363571792294964,0.6972344606883535
73,5.5606386123795585e-05,0.1507279586185177,0.36545094077744533,0.5020236375966047,0.5943528617454243,0.6647946994774168,0.7255796137969547,0.7856667170186987,0.857581182132916
74,8.650114244896605e-05,0.19514009416405145,0.45938718824242025,0.6238162342339995,0.733821952476621,0.8172038133152926,0.8887975957617283,0.9592505282093877,1.0431571834963738
75,0.0001326915684837726,0.24974373154190363,0.5710784685405631,0.766696033160999,0.8962061528140081,0.9937314502006522,1.0770511426671374,1.1586703735398662,1.2553928394910818
76,0.0002008149983211155,0.3160943765615452,0.7023505893090711,0.932386862961404,1.0830970156746471,1.1958429106108392,1.2916816899244399,1.3851329586413164,1.4953191016912892
77,0.0002999701243138233,0.3958070478209119,0.8549082299900979,1.1223798405816248,1.2957834666776913,1.4246507866506886,1.5336370732942084,1.639413156299535,1.7634923421909476
78,0.0004424638761546701,0.49052101593081987,1.0302698470079918,1.3378617948907323,1.5351793010151549,1.6808432173937016,1.803401327030163,1.9217860801325204,2.0599300713508573
79,0.0006447275322448122,0.6018586774664616,1.2297019347748406,1.5796474045054465,1.8017573244882845,1.9646209551585359,2.100935099241946,2.231971494287832,2.3840609478881225
80,0.0009284231842538393,0.7313795759645094,1.4541553201030677,1.8481181508588074,2.0954933307661125,2.2756464204198856,2.425629798215312,2.5690935664379744,2.734691908981568
81,0.001321759595875426,0.8805309027618696,1.704206228953925,2.1431710073605004,2.4158227647050334,2.6130074609953535,2.776278023362555,2.9316583197366852,3.1099944933865586
82,0.0018610329415943117,1.0505960806200114,1.980004779857658,2.4641794425991903,2.761612417465087,2.9751979155653863,3.151062129853055,3.317550353843235,3.5075115591759465
83,0.0025924026858830836,1.2426432343512483,2.28123333121083,2.8099688300700643,3.13114886585919,3.36011634974015,3.5475619703495553,3.7240495365292725,3.9241846661286495
84,0.0035739058675899795,1.457475471835501,2.6070767528976746,3.178807759312563,3.5221446442634807,3.7650835319968934,3.962782001836751,4.147867468895505,4.35640145732441
85,0.004877704316870316,1.6955849262188794,2.956206226638336,3.5684160681936916,3.9317623657764145,4.186878392320459,4.393197089365142,4.585202651364861,4.8000614894294635
86,0.006592548879330611,1.9571124434623888,3.326777632225719,3.975989704682603,4.356656236368939,4.621791408006004,4.8348155323291175,5.0318124746506765,5.250658176146894
87,0.008826432849359626,2.241814640536466,3.7164449785631604,4.39824181757309,4.79302967246964,5.065693631836066,5.283257123626095,5.483099469835162,5.703373861711825
88,0.011709393715867463,2.5490398173771966,4.122388724125958,4.831458808661204,5.2367070789383074,5.514118952242297,5.733843464069688,5.934208708270328,6.153184561645819
89,0.01539640857447838,2.877713892314726,4.541358232131865,5.271569486998695,5.683217300688215,5.96235668534062,6.181697317784174,6.380132865925203,6.594970611282225
90,0.020070314547830016,3.2263371633567406,4.969727053900086,5.714224976631765,6.127885850902848,6.405551259172082,6.621847524158619,6.815821267255329,7.023629352405081
91,0.025944672031850708,3.5929922951177806,5.403559253454038,6.154886662769199,6.565932755199233,6.838805574779228,7.049335880356944,7.2362892013622115,7.434186060579773
92,0.033266476104603766,3.9753635143646715,5.838684600244504,6.588919228991408,6.9925727385866665,7.25728460723829,7.459322472984642,7.636723945390056,7.821899551130329
93,0.04231861081368257,4.370766585743979,6.270780177017876,7.011685743021356,7.403114517596787,7.6563159456033425,7.847186147929008,8.012584218994867,8.182359277022488
94,0.0534219328899568,4.776188753732313,6.695455785783455,7.418641787841906,7.793056129639098,8.031484230652808,8.208617148519615,8.359690203645354,8.511571218960956
95,0.06693686646860571,5.188337492399997,7.1083404852445575,7.805425795675003,8.158173518917344,8.378716825392374,8.53969939259347,8.674301761082415,8.806030431687262
96,0.0832643891183777,5.603696617191289,7.505167655186273,8.167943008952072,8.4945999813546,8.694358511396327,8.836980372695091,8.953183047808455,9.062778721451448
97,0.10284629238492202,6.0185880909791045,7.881856144564825,8.502440846707149,8.798894522126233,8.975233513264236,9.09752722028978,9.193652312704526,9.27944654987023
98,0.12616460744724073,6.429237707438196,8.234585307675957,8.805573868784222,9.068097675490883,9.218693699453162,9.318968044125242,9.393616256145876,9.454278866769528
99,0.153740098422072,6.831842761340079,8.55986204851611,9.074456987616664,9.299773850082182,9.422652344328597,9.499518210898117,9.55158889277996,9.586145138094082
100,0.18612974240485475,7.222639814215004,8.854578357919696,9.306706047418345,9.492039768912441,9.585603361004225,9.63799175677238,9.666695378163226,9.674534338168783
101,0.22392313601508027,7.59797073326185,9.116058224458712,9.50046535856064,9.64357905681723,9.706626387124828,9.733798588325016,9.738661710914087,9.71953610003684
102,0.267737792851528,7.95434531179362,9.342093203534851,9.654422217413305,9.75364346050167,9.785378530327016,9.786928527923955,9.767791594841313,9.721809558969063
103,0.31821332391844537,8.288498961270818,9.53096633094841,9.767808843541559,9.822041568354756,9.82207392900225,9.797923585592727,9.754932041428077,9.682541674678191
104,0.37600452317241434,8.597444189801795,9.68146444226825,9.840392521445196,9.8491162084402,9.817452560052509,9.767840075625145,9.701429492725566,9.603396973885125
105,0.441773411796742,8.878514833696727,9.792879303782698,9.872455019279691,9.835711943018133,9.772739921918294,9.698202361265729,9.609078370829138,9.486460735397273
106,0.5161803267352341,9.129402277989751,9.86499825792908,9.864762589391063,9.783134245946457,9.689599348696731,9.590950088735894,9.480063998745791,9.334177629698459
107,0.5998741701050344,9.348183179431757,9.898085334274498,9.818528009906125,9.693102047139135,9.570078752068056,9.448380783396715,9.316901811748934,9.149287758916103
108,0.6934819656434499,9.533338473413089,9.892853969266646,9.735366226566455,9.567695356968997,9.416553576659936,9.273089626287145,9.122374688725898,8.934761913081957
109,0.7975978948473322,9.683763703569603,9.850432615126081,9.617245183699552,9.40929965581816,9.231667682962907,9.067908121078716,8.899470093126638,8.693737682294866
110,0.9127720083422497,9.798770946667368,9.772324598618098,9.466433417069098,9.220548654003125,9.018273749310524,8.835843215777572,8.651318537484798,8.42945786790672
111,1.0394988262608233,9.878082809731126,9.660363624055535,9.285445910052204,9.00426690650491,8.779374629286352,8.580018255317512,8.381134682355906,8.14521240037891
112,1.1782060542512434,9.921819151719191,9.516666295672493,9.07698961031933,8.763413612014048,8.518066922134082,8.303616943674541,8.092162159680782,7.844284745210928
113,1.3292436489191484,9.930477315309716,9.343582982532794,8.843909865756672,8.501028750238504,8.237487807738475,8.009831280002544,7.787622986432652,7.5299035372289325
114,1.4928734674449218,9.904906762385757,9.14364825666425,8.589138881207603,8.220182525446873,7.940766003846633,7.701814214504665,7.470672211518092,7.205199959070541
115,1.6692597309109214,9.846279065621744,8.919532021396392,8.31564712075128,7.923928883073472,7.630977482833146,7.382637561379468,7.144358225339431,6.8731711690972475
116,1.8584605195630377,9.7560542464592,8.673992312315804,8.026398409066715,7.615263678886208,7.311106401628464,7.055255509138547,6.811588965920379,6.5366498859376065
117,2.0604205009890073,9.635944447392575,8.40983060635736,7.724309300032317,7.297087894597709,6.984011510873245,6.722473880511615,6.475104075818194,6.198280074176665
118,2.2749650698472568,9.487875900111575,8.129850318772114,7.412213113608956,6.972176119912632,6.652398125126524,6.386925140731137,6.137452908898666,5.860498526413238
119,2.5017960506232284,9.313950102880497,7.8368190202837695,7.092828881472002,6.643150367562356,6.318795620767759,6.051049004653919,5.800978160372949,5.525522019294016
120,2.7404890838131357,9.116405046523113,7.533434753694834,6.768735292528305,6.312459151072147,5.985540265172062,5.717078381177743,5.467804781922325,5.1953396328840995
121,2.9904927821924887,8.897577248934141,7.222296688018659,6.442349603883457,5.982361639773615,5.65476310628199,5.387030304646601,5.139833760825496,4.871709746261388
122,3.251129707532996,8.65986525927731,6.90588022555616,6.11591136662426,5.654916609341143,5.328382555322975,5.062701419138449,4.818740295657875,4.556161189022134
123,3.5215991815062964,8.405695193864915,6.586516553603872,5.791470731608683,5.331975833016145,5.0081012345692955,4.745667552619182,4.505975844999455,4.249997994900667
124,3.800981907177703,8.137488759354383,6.266376542392038,5.470881017757279,5.015181503704724,4.695406629071641,4.437286868412826,4.202773527186565,3.954307198448248
125,4.088246341680257,7.857634117192092,5.947458796988769,5.155795178257705,4.705967244511555,4.391575054594199,4.138706088170352,3.9101563268850725,3.6699691342256813
126,4.382256726350731,7.568459844744524,5.6315816136987,4.847665758980213,4.405562236406979,4.097678446672859,3.8508692683869583,3.6289475986706066,3.3976697064019845
127,4.681782649050836,7.2722121490365055,5.320378528264058,4.547747919403378,4.114997998989622,3.8145934763100797,3.5745286358945805,3.359783361336355,3.1379141415222023
