S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,1.331361937593706e-15,4.583098791600023e-15,-2.2752660525694037e-14,-1.308253964861433e-14,4.583098791600023e-15,3.815766540191996e-15,9.54820207829163e-15,1.4515012761655393e-14,1.9364248519399694e-14
2,1.6555214865506975e-15,-4.7683434713887e-15,7.182828347790937e-14,3.281994133935219e-14,-4.7683434713887e-15,-2.4487609808741273e-14,-4.255040751963641e-14,-5.758870768332686e-14,-7.141703572658783e-14
3,-6.918680853541642e-14,-1.0831704234138918e-13,-4.3903138474168075e-14,7.717589765777342e-14,-1.0831704234138918e-13,1.5701618600196134e-13,1.674410592582045e-13,1.6871876041691797e-13,1.5985840955841362e-13
4,-2.6967338896003397e-14,-2.2310470043801362e-14,-2.2517644639356553e-13,-7.000539337424432e-14,-2.2310470043801362e-14,1.251026484995222e-13,1.816926123359501e-13,2.262174285757308e-13,2.638581590060585e-13
5,-1.5527091933566228e-14,-6.107304080731795e-14,3.7498885500419895e-13,2.0245185788308205e-13,-6.107304080731795e-14,-8.313969370422903e-14,-1.7805587708373392e-13,-2.592793021430681e-13,-3.373402531224162e-13
6,2.584655561268402e-13,4.233680888919841e-13,5.920230249280242e-14,-3.483892923632248e-13,4.233680888919841e-13,-5.68642179763845e-13,-5.810891357851716e-13,-5.629577927878081e-13,-5.073181581875423e-13
7,3.4763179707369034e-13,5.755169153849858e-13,4.4501273236235105e-14,-4.884704755418064e-13,5.755169153849858e-13,-7.586082192988042e-13,-7.665807543559038e-13,-7.343454565315707e-13,-6.518120118395768e-13
8,1.7248867230314528e-13,2.29256668167514e-13,6.915813981929377e-13,7.141087697876131e-14,2.29256668167514e-13,-5.953448493925526e-13,-7.687441362145985e-13,-8.942975197300775e-13,-9.8458467000331e-13
9,-5.249647652988654e-13,-9.531563061400214e-13,8.435821997761979e-13,1.1736171972356026e-12,-9.531563061400214e-13,8.603800579841704e-13,6.414266123468516e-13,3.9916526580642463e-13,9.439800771244815e-14
10,-7.626096573980993e-14,-2.8800168433881073e-14,-1.2388369823309933e-12,-4.627349373020291e-13,-2.8800168433881073e-14,5.786556416020153e-13,8.918860650367964e-13,1.1445136771570126e-12,1.3663265607802462e-12
11,6.620013883704221e-13,1.079853452800029e-12,5.460060211047792e-13,-7.40029225523312e-13,1.079853452800029e-12,-1.633982807485499e-12,-1.765448966370482e-12,-1.7991309647769291e-12,-1.7277090453174174e-12
12,-9.755339000214336e-13,-1.6748706521603479e-12,1.92781117806269e-13,1.5580512205608178e-12,-1.6748706521603479e-12,2.080243726924165e-12,2.020904518391746e-12,1.859437796698541e-12,1.5575756107119994e-12
13,1.1630031841356684e-12,2.0273016707370833e-12,-5.607687130433539e-13,-2.016057773121521e-12,2.0273016707370833e-12,-2.3766437301244283e-12,-2.2213403965874237e-12,-1.95815919264354e-12,-1.5326148872657476e-12
14,-1.314719514464412e-12,-2.282524815983413e-12,4.1064935638727816e-13,2.1854012625601292e-12,-2.282524815983413e-12,2.7755683747431717e-12,2.6566000401154444e-12,2.405279696193694e-12,1.9654660285889107e-12
15,1.3326259664835882e-12,2.2642622517197262e-12,4.2425739248709565e-13,-1.8448667963736226e-12,2.2642622517197262e-12,-3.124996816785355e-12,-3.2177589007313936e-12,-3.139024021463857e-12,-2.8533035273451697e-12
16,-9.335879700727504e-13,-1.4843558430784929e-12,-1.9731529229311603e-12,5.495589871142944e-13,-1.4843558430784929e-12,2.8058406124502024e-12,3.296671051560807e-12,3.5935381868729795e-12,3.715097510412519e-12
17,-1.4703722153113155e-13,-4.773160868356751e-13,3.608889278414156e-12,1.830530034014012e-12,-4.773160868356751e-13,-9.910797060072349e-13,-1.910703891515486e-12,-2.6897494030838573e-12,-3.4248900354676814e-12
18,1.6405291646736372e-12,3.071056212394676e-12,-3.723192978679707e-12,-4.181688200312514e-12,3.071056212394676e-12,-2.3258544457196707e-12,-1.3586323521287998e-12,-3.6512367667409594e-13,8.093814988108105e-13
19,-2.331430556824429e-12,-4.108329636892538e-12,7.853388298019015e-13,3.967473400772833e-12,-4.108329636892538e-12,4.9964148112692304e-12,4.766681768136451e-12,4.300782869490313e-12,3.4936238511182206e-12
20,8.451546655141171e-13,1.2688574077242962e-12,3.917484032542868e-12,3.84654921916934e-13,1.2688574077242962e-12,-3.419606188295083e-12,-4.406217241553168e-12,-5.119063820659426e-12,-5.627230607441185e-12
21,2.0833745741455754e-12,3.9164885958060085e-12,-5.203226211097911e-12,-5.509889502353693e-12,3.9164885958060085e-12,-2.754439553021217e-12,-1.4027526882332532e-12,-3.9798755709146254e-14,1.5439398661330923e-12
22,-2.824716791240962e-12,-4.948867118253713e-12,-4.3483504264995647e-13,4.25707570805285e-12,-4.948867118253713e-12,6.656652871261952e-12,6.730833125908245e-12,6.449601665125115e-12,5.723653165024679e-12
23,-6.911899162476935e-13,-1.5163891723015625e-12,6.677830251052307e-12,3.928607132092673e-12,-1.5163891723015625e-12,-1.0577234076122075e-12,-2.768216079513738e-12,-4.2576863011978485e-12,-5.7198117896539604e-12
24,3.728981278237709e-12,6.71428157851524e-12,-2.7388315061018573e-12,-7.065114011247199e-12,6.71428157851524e-12,-7.525899975218634e-12,-6.7767607856619986e-12,-5.7088193490443e-12,-4.1139996758365884e-12
25,-3.6362400866731756e-13,-3.736306295649588e-13,-7.064562956715806e-12,-2.3746143185549566e-12,-3.736306295649588e-13,3.722722747959692e-12,5.518648630712765e-12,6.944802295850023e-12,8.166713097787114e-12
26,-4.314127601595204e-12,-7.837765828970613e-12,4.474438770360047e-12,8.744091613855322e-12,-7.837765828970613e-12,8.20345798254022e-12,7.002375418483822e-12,5.487017082772256e-12,3.3902785491940235e-12
27,5.606771498692708e-13,7.382160170794389e-13,8.057986890151262e-12,2.413321146960499e-12,7.382160170794389e-13,-4.680425143440254e-12,-6.725681009284623e-12,-8.329458625540046e-12,-9.668788055970488e-12
28,5.023317256635858e-12,9.119561486711165e-12,-4.48315970833494e-12,-9.904750355064891e-12,9.119561486711165e-12,-9.882917219902043e-12,-8.665021185347937e-12,-7.048886834587875e-12,-4.733512390255605e-12
29,4.089133235976951e-13,9.988943608607981e-13,-1.0145984857521433e-11,-4.756365006922405e-12,9.988943608607981e-13,3.3900283917189185e-12,5.98555346137478e-12,8.1491022377942e-12,1.0149628801988839e-11
30,-5.577657340692693e-12,-1.007824769317851e-11,1.9887282565968736e-12,9.823791964024301e-12,-1.007824769317851e-11,1.2300114381591866e-11,1.1707145069809156e-11,1.0525390492624707e-11,8.498515928993764e-12
31,-2.7635382102498146e-12,-5.2283392997600905e-12,1.2291523555955243e-11,9.36183660423189e-12,-5.2283392997600905e-12,1.1343659740065767e-12,-2.046566368007107e-12,-4.975882070276307e-12,-8.06065738615099e-12
32,4.874116615368627e-12,8.747266269658399e-12,3.8534440006768875e-12,-6.4268340033522014e-12,8.747266269658399e-12,-1.3288279759100931e-11,-1.41898518322538e-11,-1.4304958293186587e-11,-1.3543350746287088e-11
33,5.9452126682468395e-12,1.093052583613923e-11,-1.1537496558104104e-11,-1.4198535900290494e-11,1.093052583613923e-11,-8.926341569946812e-12,-5.8736314212054445e-12,-2.6458508702526135e-12,1.2703187459591507e-12
34,-1.4820142436678366e-12,-2.5698428839264173e-12,-1.1850151293528485e-11,-2.095072492165932e-12,-2.5698428839264173e-12,9.082847802984511e-12,1.2126111778822417e-11,1.4411582694166744e-11,1.6194069817053254e-11
35,-7.67833786248481e-12,-1.400275009635409e-11,4.266078556246863e-12,1.4431833732998648e-11,-1.400275009635409e-11,1.6961979738312978e-11,1.593322572362695e-11,1.4191054237304325e-11,1.1410152833173778e-11
36,-4.5084130264176994e-12,-8.260189263141863e-12,1.6779805585297398e-11,1.4507503883317294e-11,-8.260189263141863e-12,5.181355987844185e-12,1.571893012795694e-12,-1.6461399580048094e-12,-4.78628408983981e-12
37,4.563611738217374e-12,8.458539290344459e-12,1.0740531152577796e-11,-7.285402642392238e-13,8.458539290344459e-12,-7.756791945930483e-12,-7.66560968593249e-12,-6.036433796512896e-12,-2.0333357421045637e-12
38,9.138608021548946e-12,1.7156226158179223e-11,-4.7156357093410916e-12,-6.902231592154247e-12,1.7156226158179223e-11,9.466536011585884e-12,2.0281716681124222e-11,3.338010779999408e-11,5.230332504702327e-11
39,3.886036892054047e-12,8.591219414291861e-12,-3.2107344393765648e-12,2.583029945469258e-11,8.591219414291861e-12,8.881147388361804e-11,1.201931762702389e-10,1.560417072200538e-10,2.0624650060215562e-10
40,-5.998628065610215e-12,-5.769023364303477e-12,4.309906182984238e-11,1.3133615817356348e-10,-5.769023364303477e-12,2.947288926339157e-10,3.765934602387741e-10,4.716112308671662e-10,6.07246346802641e-10
41,-1.0629434125739967e-11,-2.1943014078341477e-12,1.717436925149751e-10,3.955391152648775e-10,-2.1943014078341477e-12,8.305537182617551e-10,1.055195094649087e-09,1.3186274306914355e-09,1.6972234584601919e-09
42,-5.2929177690435915e-12,4.3271216074513516e-11,4.884982488515907e-10,1.080561696312198e-09,4.3271216074513516e-11,2.2659105873539766e-09,2.87929292529253e-09,3.5964987161532005e-09,4.6223381177829805e-09
43,5.418971028898764e-12,1.6317081474514904e-10,1.3012910061974273e-09,2.8798260639642513e-09,1.6317081474514904e-10,6.0114508824004345e-09,7.61347045188131e-09,9.47403309086712e-09,1.2116090475955654e-08
44,1.2159094977546172e-11,4.454640417326273e-10,3.3899491259944365e-09,7.448192303477001e-09,4.454640417326273e-10,1.533165630693706e-08,1.931269710618092e-08,2.390633639497609e-08,3.038624967555302e-08
45,9.036333781770272e-12,1.1361434892461734e-09,8.562218320488765e-09,1.8516993964509966e-08,1.1361434892461734e-09,3.746176888745652e-08,4.691870479394019e-08,5.7768282548373744e-08,7.298245482739918e-08
46,-1.7270600797173615e-12,2.838648885768763e-09,2.0804469669186455e-08,4.417438344776539e-08,2.838648885768763e-09,8.784280033585536e-08,1.0941328479467734e-07,1.3402829298575253e-07,1.6835299432663939e-07
47,-1.1928110157333962e-11,6.9100162542592305e-09,4.858883534313385e-08,1.0132754850320374e-07,6.9100162542592305e-09,1.9821457170394612e-07,2.45593461933256e-07,2.993799079351036e-07,3.7397509787177903e-07
48,-1.3859495458069013e-11,1.625543246217028e-08,1.0930350938511642e-07,2.2406246581451618e-07,1.625543246217028e-08,4.3145538354008537e-07,5.318758295802714e-07,6.452974450865637e-07,8.017570576816815e-07
49,-5.852357909049595e-12,3.68825320965082e-08,2.3741463163104682e-07,4.787059436506507e-07,3.68825320965082e-08,9.077959203010819e-07,1.113549654092171e-06,1.3447792800710972e-06,1.6620702469294545e-06
50,6.851005332887177e-12,8.082642686620254e-08,4.989550828806248e-07,9.900168615841176e-07,8.082642686620254e-08,1.849542586942321e-06,2.257766867902154e-06,2.714284539176159e-06,3.3374786770631737e-06
51,1.5982108735757223e-11,1.7144520888546497e-07,1.0163863745780926e-06,1.985238385237547e-06,1.7144520888546497e-07,3.6548894613004207e-06,4.440455826190557e-06,5.314730150182517e-06,6.502165790025469e-06
52,1.5814334469241893e-11,3.526778018833571e-07,2.0099192542560803e-06,3.865868920801399e-06,3.526778018833571e-07,7.015918374805714e-06,8.484404737750005e-06,1.0111014803886263e-05,1.2309312201985505e-05
53,6.871315596937634e-12,7.047235841729926e-07,3.864119527895718e-06,7.321067528158928e-06,7.047235841729926e-07,1.310155164014427e-05,1.5772026176318773e-05,1.87163912210363e-05,2.267622945488197e-05
54,-4.1674311435901625e-12,1.3698223956763802e-06,7.232157150456823e-06,1.3501647715114303e-05,1.3698223956763802e-06,2.383299100281422e-05,2.8563697480681214e-05,3.37559769906725e-05,4.0705690965575843e-05
55,-7.410190063258314e-12,2.5934583731613732e-06,1.3194416414673577e-05,2.4279583907861196e-05,2.5934583731613732e-06,4.2286844208261715e-05,5.0460799064703465e-05,5.939242882158344e-05,7.129117702375329e-05
56,6.990959222508776e-12,4.7884438023462265e-06,2.349332959256304e-05,4.262467167390686e-05,4.7884438023462265e-06,7.326930396558555e-05,8.706114736357138e-05,0.00010206571185398795,0.00012196295201825067
57,4.855156347437568e-11,8.632002335158281e-06,4.08720710673845e-05,7.313709274710061e-05,8.632002335158281e-06,0.00012411277534158543,0.0001468627057593753,0.00017150713230873027,0.000204040046035277
58,1.3148157080190488e-10,1.5209165556279516e-05,6.95508617228871e-05,0.00012278160102673075,1.5209165556279516e-05,0.00020575340345026135,0.00024247830060307386,0.0002820943025823667,0.00033415912728705925
59,2.866907756747503e-10,2.6219470636266352e-05,0.00011588064344080298,0.0002018751522883784,2.6219470636266352e-05,0.00033415301494812424,0.0003922284453291774,0.0004546172539112377,0.0005362536034843387
60,5.826599175085455e-10,4.4267974466633316e-05,0.00018921920407797744,0.0003253841882121391,4.4267974466633316e-05,0.0005321309280081071,0.0006221800817332178,0.0007185252337454331,0.0008440537485422486
61,1.1591952534824217e-09,7.326577075768597e-05,0.0003030787606529101,0.000514589511105966,7.326577075768597e-05,0.000831668782348976,0.0009686949192480194,0.0011147176387284235,0.0013041700296749904
62,2.2826071661581396e-09,0.0001189692139521441,0.0004765957621589938,0.0007991748039562519,0.0001189692139521441,0.0012767439906420498,0.001481541106534336,0.0016989300926200472,0.0019798062324634888
63,4.437845016517977e-09,0.00018969053650449416,0.0007363724686553029,0.0012197885160070458,0.00018969053650449416,0.0019267338724442435,0.0022276055424051617,0.002545747320270158,0.0029551260373880867
64,8.483124550075374e-09,0.00029721504809301127,0.0011187349843679803,0.0018311174110804236,0.00029721504809301127,0.0028604126464776506,0.003295221016886389,0.003753248153436663,0.004340266574743799
65,1.5906374032639512e-08,0.00045796114239153997,0.0016724433141041008,0.002705493242188329,0.00045796114239153997,0.0041805373623221755,0.004799092915232996,0.005448255302370576,0.006276956034751061
