S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,2.1463372661521027e-21,-1.3772380971446228e-21,-4.678182212051838e-21,-5.4199251635853056e-21,6.3935962988657305e-21,-6.26672576447504e-21,4.044618366048632e-21,-2.520404888859186e-21,-1.3479168694755994e-21
2,-3.175276247398617e-20,-7.237211071431594e-19,9.807659715703501e-19,1.6063182105174638e-18,7.647146371658937e-20,-6.4387893630249025e-19,-4.078823297703366e-19,7.183643776550954e-19,6.500421717842942e-19
3,-3.1583431415036514e-19,-2.1321754378011735e-18,1.1312466093023663e-18,-1.7660492518387036e-17,1.5316313299318384e-17,1.3594655954004945e-17,-7.80829483874499e-18,5.475095373216687e-18,5.664729472315897e-18
4,5.126194944733631e-19,1.4563906636657324e-17,-1.3334285517730496e-17,-5.189264759910605e-17,2.308897895495078e-17,-4.246178619042579e-17,-9.495650038019349e-17,9.709748501568501e-17,4.947875473499428e-17
5,1.3353772929085618e-18,2.2127644797346506e-16,4.957602054482058e-16,1.019739819095992e-16,6.250947557063365e-17,-1.6384370989381936e-16,1.7930773899067225e-16,1.4867918023411783e-16,-5.902666349009278e-16
6,-6.478192526457165e-17,-8.382796538331985e-16,-7.299335237325214e-16,1.2396788009836548e-15,-9.902655937372745e-16,1.2513482571522505e-16,-2.408531812972455e-16,-1.1756097116123363e-15,-1.7464346918198154e-16
7,-2.6925932770907697e-16,-1.0889579169028958e-15,-5.277145731783813e-16,8.904813736640064e-17,-1.530203204450487e-15,1.2525534394501529e-15,1.9997778414656598e-17,-2.2748181960049414e-15,1.949786564071929e-16
8,-1.1850756666258022e-16,1.6611564761060086e-16,-3.700269930035961e-15,-3.916335088232816e-16,2.574415759355915e-16,-1.0073162648555526e-14,3.227192599109313e-15,-9.944669727730083e-15,-9.878788108111678e-15
9,-1.6945298649910152e-16,3.1490347286199756e-15,5.438577286472155e-15,9.290242032183657e-15,-5.939589054172134e-15,2.661511262665418e-15,2.1417244470904435e-15,1.4945548084490144e-15,5.801457337725831e-16
10,-3.716292833965763e-16,8.126403173632444e-15,-5.3488843520950925e-15,-1.5738390277418702e-14,-5.0163802877220865e-15,7.807731784394369e-15,6.2263444245636796e-15,1.2882525617850839e-14,1.828047963465507e-14
11,2.7401243449041566e-15,1.5111667430094675e-14,2.789708787210553e-14,1.2731717214241252e-14,6.98221683966906e-15,1.2353695807416449e-14,5.774156968899429e-14,-1.0894270839835705e-14,-1.626655704623878e-14
12,4.942831662769093e-15,3.2938525439306266e-14,3.551116653653177e-14,-3.269803237509797e-14,-8.023454673424133e-14,2.5911858765859892e-15,-9.877550311076808e-14,8.152905456425804e-14,5.252953170084071e-14
13,-6.3031792560231e-15,-7.884625621782163e-14,-1.674008958085833e-13,-1.1817743412645645e-14,-6.6414629301918296e-15,-2.7615537775717232e-14,-2.752384716287411e-15,1.7191030440017148e-13,6.591818891461454e-14
14,7.271337029009345e-15,-1.7741395482552792e-13,-5.89422538538303e-14,-4.165143230311466e-14,-1.690968954865709e-14,1.183120053526804e-13,-8.71599667295277e-13,8.714830837231941e-14,-2.5077429932506895e-14
15,-2.2402187989244353e-14,1.2100459088325414e-13,-1.1499260172978805e-13,1.4360674625480015e-13,-2.1619742083749771e-13,1.7617225070461564e-13,4.52527313288249e-14,1.8715948061664007e-13,2.1242726205386568e-13
16,-4.2391610647555353e-14,1.1108442376389712e-12,-4.1727370456029015e-13,6.133074672393827e-13,6.976010641717864e-13,-1.7630278897291894e-13,4.431258069734948e-14,3.6273278211589266e-13,6.216754576380184e-13
17,2.2269662150482277e-14,4.619928452289906e-14,-3.396500612191028e-14,7.862203121677148e-13,5.670914322413245e-13,-2.065409279203202e-14,-8.568066814589896e-13,5.77445029942549e-13,3.840092214398285e-13
18,1.9903891130235952e-14,-6.69013569248235e-13,-5.975750375628318e-13,-2.0603768911436247e-13,4.0878797372358616e-13,-3.250522161330216e-13,-1.7198910844528264e-13,9.490762059539607e-13,7.128346431297601e-13
19,2.0960188171748295e-14,2.1968057435931737e-13,2.4891082342319187e-13,-1.53109715797858e-12,-6.160712457413311e-13,-5.033584294261539e-13,-1.020070692582711e-13,-1.5792906851170625e-12,-2.4889127226490326e-13
20,-2.512797705854015e-13,2.903543025644592e-13,-1.081644775008714e-12,1.6600592922414917e-12,7.790798414730277e-13,7.722652250392448e-13,1.002496620004658e-12,7.842807120328949e-13,2.0954758224614375e-12
21,-2.1980819808379344e-13,1.8587101869454622e-12,6.761085247636949e-13,7.221274525361382e-13,6.285313670292931e-13,-7.269794069371359e-13,-3.686354186581159e-12,-1.7286352865036352e-12,-3.9658629749107645e-13
22,4.4486601777207175e-13,-3.755869310029076e-13,6.197081037478201e-13,4.701487042731152e-12,4.376726335483162e-12,1.6580897757592796e-12,1.1105137112719165e-12,6.605283997295332e-13,3.6103108469317725e-12
23,-1.0977045700885282e-13,1.0126747017972878e-12,9.457443732847108e-13,3.0234538730470502e-12,-8.063058991849353e-13,1.6039125094498398e-12,-1.796710110409551e-12,-4.437426848880442e-12,-1.5043785142453132e-12
24,-2.2015869947089095e-14,-2.0612876676962725e-12,-2.863057296721759e-12,-2.2433120749400727e-12,1.6720250758726484e-12,2.4109010679927712e-12,1.051191621754367e-11,5.536924592368483e-12,5.966940513271651e-12
25,4.155549315394877e-13,4.416179972744913e-12,-5.7694842958971295e-12,1.5084825933244565e-12,3.392616393008183e-12,2.2738108002525963e-12,5.969493317679918e-12,2.249023996134617e-12,6.197464986238427e-12
26,-3.0747621287042985e-13,-4.38589374222611e-12,-3.391336774797785e-12,1.0190896490224104e-13,-6.328874737602148e-13,6.062529376900646e-13,1.8214488952611576e-11,1.832652546611275e-12,3.424414346109196e-13
27,-5.116060927706978e-13,3.956968645986094e-12,-6.7741157533824245e-12,-5.204055467950998e-12,9.457652502998414e-12,-9.794325771065237e-12,-2.475562913628339e-12,-6.347365735996373e-12,-1.6821306478054515e-12
28,-4.3662214851920654e-13,-2.141955946542503e-12,-1.0468153859585775e-11,-1.1793270604266004e-12,-1.0846580077572137e-11,3.805567917321336e-12,2.4848822904112883e-11,-1.4453209844172823e-11,-2.3258684902824718e-11
29,6.551873166584129e-13,4.719490282075101e-12,8.806872367434483e-12,1.0518472088721709e-11,2.8104321877956353e-11,1.493428310428578e-11,-6.691136656998704e-12,1.96652389771542e-11,7.3741672924255e-12
30,-2.462478312860374e-13,-9.77634146998223e-13,-3.766295923963614e-12,-3.7534861414798816e-13,-1.4075263146650572e-11,1.3242130558083152e-11,-1.818441703863783e-11,-4.508471548679874e-11,-3.414224630085982e-11
31,2.216892208093859e-12,-3.09869959964233e-11,-4.240281326901348e-11,3.788878734219245e-12,1.3991407411085317e-11,-3.114209802449603e-11,-3.3420152531214074e-11,2.8138659026117236e-11,-7.7868671438114e-12
32,-3.2518320499780117e-12,-7.118627291800495e-12,-1.722461695670525e-11,-3.069958753910064e-11,-2.5817823497841293e-11,-1.570214781609878e-11,2.7881020514554035e-11,1.5501715188918817e-11,2.315782235500437e-11
33,2.3290410867240486e-12,-3.3265588160021926e-11,-3.128212623167653e-11,-9.880447757248718e-13,3.953113732094461e-11,-2.1900789916718057e-11,1.8831457065300254e-11,7.047890164049513e-11,5.0446649640907825e-11
34,7.290676711653573e-14,-2.735622762099746e-11,-4.042621087354319e-11,6.378321912003417e-11,7.890448287784636e-11,-1.2353140367527653e-11,4.853210198214204e-12,7.953717048360745e-12,5.2414805975745525e-12
35,-5.494196010012855e-12,-1.897841946899135e-11,-3.629317804868063e-11,-3.199403963386916e-11,-5.688381970979814e-11,3.509371771558392e-11,-2.2576641224993186e-11,-2.666438227214534e-11,2.4371591195900263e-11
36,7.12728658819825e-12,-2.2367456815383583e-11,4.4758051011994075e-11,2.741513768679087e-12,5.483677376990524e-11,-9.708624912025606e-11,5.4428524776446925e-11,-6.832928943701462e-12,-7.224171729805699e-11
37,-7.543954822632499e-12,-3.327218800543802e-12,-7.651556383512689e-11,5.90064840839684e-11,5.3885097446648025e-11,-7.152150652717451e-11,1.4952269449726488e-10,9.718283291769832e-11,2.1209710443776322e-10
38,4.404639500642078e-12,4.37465946982676e-11,-3.8638411378641385e-11,-1.9210442521697708e-10,-1.2667970743601428e-10,1.268652026883793e-10,8.249512670981435e-11,1.0704478067976242e-11,5.5454893307780206e-11
39,2.189586668374536e-12,-3.6028260323291995e-12,9.153886812273677e-11,4.2094037147454435e-11,4.2164403398836275e-11,1.4758924907661133e-10,1.6739811479045948e-10,2.399768455437407e-10,3.799604073485879e-10
40,-7.052766374343515e-12,-1.4084750267925125e-11,1.3164022943637295e-10,9.082121688616085e-11,2.823194430335665e-10,1.7521017393153278e-10,4.770183398711998e-10,5.15007366889946e-10,5.86846496070498e-10
41,-8.448102187058595e-12,-2.5627978733375697e-11,5.878087345975656e-11,5.595660820534385e-10,5.735424694800766e-10,9.91284788161785e-10,1.219284106257137e-09,1.4489289037257678e-09,1.9152256903885733e-09
