S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-4.599220837065967e-25,-1.3087904146204942e-24,6.382778289492259e-27,2.598129687723736e-24,-2.891667656402026e-24,-1.5260442650966702e-24,3.2511341691623318e-24,7.545829481356086e-24,-8.783583926798356e-25
2,8.412900544566748e-24,-1.6309062469321186e-22,1.7037346518262444e-22,3.9533978099376903e-22,3.992284160506742e-22,-7.925370406133587e-24,-7.798099327515932e-22,5.992798017241115e-22,-4.1695585151757594e-22
3,3.2166835219797006e-22,1.841802458283568e-22,-3.2495215942417933e-21,2.6453485752881344e-21,1.3823979986961331e-21,-8.169180141812118e-22,-3.808966931535384e-21,4.235219872598292e-21,3.983870230262911e-21
4,-1.1654223824462196e-21,1.85727217706194e-21,-1.3560290296950185e-20,1.5287525373530748e-20,4.6166214024506214e-21,-1.2668771767457212e-20,5.987594443242572e-21,3.959155922169186e-20,-6.256935865962233e-21
5,-1.2318190198440113e-20,1.0326904307453744e-19,1.4401475655385807e-19,-1.683420540382457e-19,2.24091158677606e-19,-4.4491134821425125e-20,1.293763655191757e-19,2.466501360613242e-19,-2.1154378513106324e-19
6,3.427914516677773e-21,9.630784162748742e-20,4.882782743710396e-19,1.855622656850937e-19,2.257704761823236e-19,-5.628456019251976e-19,-6.384743084507295e-20,3.165853980385291e-19,2.0646563644349954e-19
7,-3.980586693202103e-20,3.8831479858025483e-19,-7.902946830538889e-20,4.001583922903051e-19,1.5713936252689045e-18,-2.1427171671647984e-18,-1.6775390858451148e-18,1.3794279971332126e-18,1.767621355743106e-18
8,-2.9736095716465344e-19,-1.6481777474072171e-18,-1.9842096414482787e-18,1.803798255499185e-18,1.2446393887599755e-18,-1.8591853755468564e-18,-7.080155343937656e-19,7.405162628341827e-19,3.7507490781968e-19
9,3.1617004378808777e-19,1.439093967351216e-18,2.2238802025746382e-18,-2.860524610128039e-18,-9.385805124108993e-19,1.8480576759647421e-19,-1.1063441988233132e-18,-7.193928296334063e-19,-5.262742128279854e-19
10,9.242598899404475e-20,2.807819668006877e-18,-2.9457413707557394e-19,9.762373277701285e-18,3.791349078772649e-18,-2.3308371977780077e-18,3.639138962919006e-18,7.312490527121401e-18,8.388314353595292e-18
11,8.855850428047342e-19,-1.73789060555342e-18,5.580988813305527e-18,4.200103897546254e-18,-4.982807773977197e-18,1.2885292114692017e-17,-4.592220057694274e-17,2.9740918025060257e-18,-1.591084592514977e-17
12,-2.7920060482816593e-18,-2.5066133394025407e-17,-9.69996189392975e-18,-2.794159849849574e-17,-2.844929238726585e-17,-1.4633698442552403e-18,-6.364862997698733e-17,-4.198780018450405e-18,3.997375619180821e-18
13,-1.1624421523411175e-18,1.4813892826835633e-17,1.3019170528406845e-17,-4.98526306505773e-17,-3.5807457333517104e-17,-1.1255930914279412e-18,2.782514394783124e-17,8.084736956437856e-17,5.265482073855129e-17
14,-2.857846325123311e-18,-4.6130859677379845e-18,3.342313017553486e-17,-3.775732359299784e-17,-4.4071261017310723e-17,-4.842597548876647e-17,3.2727110785507922e-18,2.2072956113811383e-16,3.0296405101043523e-16
15,3.627230961109239e-18,-8.142321914868176e-17,-1.5627720110793176e-16,2.5273892148873466e-18,-7.875174986573652e-17,3.886466157163182e-18,1.4739158229401678e-16,1.2929301126002064e-17,-4.0033545205255774e-17
16,-4.560334471810586e-18,4.4351670466133127e-16,2.514583941496975e-16,-1.981615788764868e-16,-1.0992391508351634e-16,-4.777478029007092e-17,2.179379844675241e-16,2.0716962782496217e-17,5.955815175831654e-17
17,-1.207517238610852e-17,7.53320242663358e-17,1.0489940369746497e-16,9.099093558147987e-17,2.0348913152076809e-16,-1.2387651835642981e-16,-1.6169016936421242e-16,1.217804335889931e-16,2.792988623815985e-16
18,3.013450170017891e-17,-1.0070378239576726e-17,-5.19764198797346e-17,1.0791390176278815e-16,-1.1689480465415925e-16,-3.545029260828033e-17,5.965962121345395e-17,-9.224370354083679e-17,-7.711335612226345e-17
19,-1.4704528005097215e-17,3.133642664018205e-17,3.7777980210031853e-16,1.635156604473946e-16,3.3491912939123455e-16,-4.9448978909778914e-18,-2.8516881452704394e-16,-2.1381942371548822e-16,-4.3631851417888004e-16
20,4.506516546651917e-17,-3.480952929293951e-16,-4.4164434495489305e-16,4.1913386371807433e-17,-1.2683723084055015e-17,-3.838752595053292e-16,1.8433246874223453e-16,2.085946521193298e-16,-1.7099373456059633e-16
21,1.8316042803009414e-16,-4.072339260006575e-16,-3.5449850608957154e-16,3.898160391362838e-16,2.349377475366034e-16,-9.899864459382684e-16,-1.7031712266070701e-16,3.4798386001313057e-16,2.225574752929848e-16
22,-2.371424168427232e-16,5.878014314370183e-16,1.0177047822090122e-16,-5.993146394134797e-16,-1.3831266115961804e-15,-4.90174531827623e-16,-1.49432112132883e-16,-2.2655960752442856e-16,-3.1795360152602013e-16
23,1.2216259463523934e-16,1.1399370071625203e-15,9.534516440749733e-16,-3.440645360963162e-16,2.065321612550545e-17,2.5288890413434623e-17,-1.028325036796143e-15,2.679159745310076e-15,3.810626791547854e-16
24,-7.856310604746765e-17,7.026650996769774e-17,-2.383548836876647e-15,3.337978404233133e-15,2.0871838676364306e-15,-1.736489100939136e-15,-9.576645262777774e-16,-5.548975198963364e-16,-1.3361131126185833e-15
25,5.380636723243933e-16,1.4680196582918884e-16,1.3839129820749812e-15,4.807280996415406e-16,1.5082179058927924e-15,3.2031337996184478e-16,-9.20989899138219e-16,-5.912540638506095e-16,-1.645155629314654e-15
26,-6.843615159861139e-17,-2.516156938887774e-15,-2.434578081671149e-15,-4.651169882744024e-16,3.9107751144581824e-16,-1.1443969126294919e-15,-4.669431935507897e-15,4.1166350110298e-15,2.2840449920913403e-15
27,-6.417953017316996e-17,1.4387590065505518e-15,-1.557747409423605e-15,-2.696202389164551e-15,-2.8202910725444307e-15,1.845471334773186e-15,-2.098505927210609e-15,9.309513877480966e-16,8.733447699484194e-18
28,-3.3206993257888757e-16,9.212016126938294e-17,-1.9885323904318283e-15,-9.998433833050713e-16,-1.169976049489843e-15,7.631586599923212e-15,1.818281359889984e-15,-1.3336058112979315e-15,-2.276856130799499e-16
29,1.2116611383708961e-17,-6.375162076929949e-15,-3.9077522525345226e-15,-3.294018181896939e-15,-9.513915246969821e-17,1.1858149645595385e-15,-5.876102081548346e-15,-1.5939723105601486e-15,-3.302789594539499e-15
30,-5.943982888804615e-16,3.626977526816632e-15,3.174293286442857e-15,-5.268714169747015e-15,-1.5395982622802073e-15,1.5917212959111406e-15,2.224765084495971e-16,-4.621336915963101e-15,-8.435492795295701e-15
31,5.488560369874116e-16,-1.8782314538953252e-15,2.87363316837544e-15,-1.3761465461203765e-14,-8.42793728690717e-15,3.679088836195537e-15,8.586223720276606e-15,6.541187047195504e-15,9.236873744075752e-15
32,8.988420724400744e-16,3.010472629888758e-15,8.139314438971684e-15,6.597607675379345e-15,1.86525304334948e-14,2.2792264217062758e-14,9.207663952936669e-15,2.0122872059578064e-14,3.099892799797131e-14
33,-2.4061424813815787e-15,3.473232398626192e-15,1.1083835591566275e-14,1.818667483357738e-14,2.746381801109229e-14,9.13584432897435e-14,7.534123551811904e-14,9.599760153973857e-14,1.4795359951317235e-13
34,1.932704492413783e-15,1.0853732713545325e-14,4.7967702348117344e-14,1.0765265436333206e-13,2.000972355588298e-13,2.4514387039940735e-13,3.546678995510075e-13,4.641894517338913e-13,6.071708396056656e-13
35,-7.008057080898035e-16,5.016905102198504e-15,1.6935053287338737e-13,4.3561409947790034e-13,7.356899892588809e-13,1.0156201355000862e-12,1.3371133532650964e-12,1.7397747063507028e-12,2.314904947071812e-12
36,5.748141700330168e-16,6.134033331408539e-14,6.397545685272497e-13,1.5695373536723332e-12,2.61157032111489e-12,3.626736013617216e-12,4.8251113735428735e-12,6.163324071398024e-12,8.151776098077755e-12
37,2.458762299708905e-15,2.32009612312674e-13,2.2500123843642728e-12,5.453340957734968e-12,8.88254749996425e-12,1.2380566249563587e-11,1.6018593232356555e-11,2.0553819356911797e-11,2.6956255350997026e-11
38,2.677844050922303e-16,7.351613319139316e-13,7.38023977960521e-12,1.759673809857138e-11,2.8316995325101435e-11,3.895750009766208e-11,5.033400351122795e-11,6.372756883574182e-11,8.314388611924715e-11
39,3.0211354329323885e-15,2.4173982626250787e-12,2.276085366443544e-11,5.324727379847214e-11,8.467584832663707e-11,1.1577186566626673e-10,1.4845682858514713e-10,1.8679631604390818e-10,2.41995083172376e-10
40,1.660375736080539e-15,7.427827056929245e-12,6.6571382513335e-11,1.5240187546617313e-10,2.3944624001937364e-10,3.248615986071769e-10,4.1390275031991297e-10,5.177721738932123e-10,6.660196291358592e-10
41,1.528051890376965e-15,2.1838293660302057e-11,1.845997659723153e-10,4.1352533416503223e-10,6.423320899230492e-10,8.647418983465804e-10,1.0946106575148101e-09,1.361329991456479e-09,1.7393977436579303e-09
42,4.968401612726967e-16,6.050135321232154e-11,4.861645001922894e-10,1.0676600620863115e-09,1.6395215404381253e-09,2.190165597235756e-09,2.7555276080519977e-09,3.406914849124428e-09,4.324578681656883e-09
43,-2.8439431476792383e-15,1.600131707262563e-10,1.2213654604429564e-09,2.628877017249985e-09,3.992902997504635e-09,5.293600012993352e-09,6.619846282736434e-09,8.138726947643841e-09,1.0265008102478806e-08
44,5.566769719725978e-15,4.039324151248699e-10,2.933332433399777e-09,6.191901785790445e-09,9.303333515289824e-09,1.2243426620533474e-08,1.522072645875462e-08,1.8610599263974676e-08,2.3326080433776483e-08
45,-8.595382568413493e-15,9.762504354019988e-10,6.752747301023244e-09,1.3984739571489432e-08,2.0791292376510213e-08,2.7165505656574357e-08,3.357711683529072e-08,4.083471246556427e-08,5.086872790107446e-08
46,4.140560979332556e-15,2.2646752475248976e-09,1.4935303018737436e-08,3.0359337472417954e-08,4.4670959837002145e-08,5.795653456607847e-08,7.123217960997045e-08,8.617403814114001e-08,1.0670764394698925e-07
47,1.129084183916538e-15,5.05288011830803e-09,3.1805856680219676e-08,6.348428360931607e-08,9.247128845073037e-08,1.1914800852386143e-07,1.456342939762865e-07,1.7527796750952595e-07,2.15774145128568e-07
48,2.3380770689544754e-14,1.08665275439213e-08,6.535062269933504e-08,1.281306772708501e-07,1.8479601753445467e-07,2.3650423383623474e-07,2.875205486116609e-07,3.44303793673796e-07,4.2142559094347503e-07
49,2.1795587761221906e-14,2.256804801331571e-08,1.2979431621141067e-07,2.5007104502875957e-07,3.5718300014805533e-07,4.5411243981679677e-07,5.491545249648056e-07,6.543672128644701e-07,7.964505294482078e-07
50,1.0578310087806308e-13,4.534544762155449e-08,2.4962390003426163e-07,4.7277202337191586e-07,6.68885455986579e-07,8.449070624492101e-07,1.0164521807725399e-06,1.2053446069312877e-06,1.4590013598633674e-06
51,2.6108297830125524e-13,8.82939084408222e-08,4.656408360165592e-07,8.672042670376212e-07,1.2155580654536112e-06,1.5257128353074676e-06,1.826173922105158e-06,2.155287209648136e-06,2.594799314566083e-06
52,6.267873585272067e-13,1.668642906630488e-07,8.437469940534445e-07,1.5457128820981197e-06,2.146918713585123e-06,2.6779719109041217e-06,3.189403423930695e-06,3.7467161542211044e-06,4.486925622020787e-06
53,1.5188124904138115e-12,3.0652260876847255e-07,1.4872653949915543e-06,2.680940443187851e-06,3.6904718412217883e-06,4.5752725741672194e-06,5.422448847595474e-06,6.340936281024035e-06,7.5543033307490844e-06
54,3.4618804015531544e-12,5.480508643469976e-07,2.553633434199706e-06,4.530753971427974e-06,6.182236052399554e-06,7.618591068480002e-06,8.986023930267542e-06,1.0461137747339814e-05,1.2399517055884613e-05
55,7.67430027729308e-12,9.549774455962074e-07,4.276267640907156e-06,7.469921517180508e-06,1.010511824194591e-05,1.2379755168513413e-05,1.4533073656997336e-05,1.684447941075135e-05,1.986591368187754e-05
56,1.669705941516525e-11,1.6236748775119692e-06,6.992233340317707e-06,1.2028956083637364e-05,1.6135069625061813e-05,1.9653002976237214e-05,2.2964836318120543e-05,2.6502472142997955e-05,3.1102931359182785e-05
57,3.5278184016869255e-11,2.6966665057688458e-06,1.1176069414131672e-05,1.893996785741394e-05,2.5194434757588088e-05,3.0513657746638213e-05,3.5493846686101595e-05,4.078795330566404e-05,4.7637426064386576e-05
58,7.234138807654738e-11,4.379623980066882e-06,1.7479665562067847e-05,2.918868922713487e-05,3.8511023165734275e-05,4.6381944744080996e-05,5.371136004847033e-05,6.146565868043671e-05,7.144741097527257e-05
59,1.4488370386340905e-10,6.962413891913857e-06,2.6777507934258853e-05,4.4070931731721944e-05,5.7680403106282786e-05,6.908879057504654e-05,7.965555095189834e-05,9.07821839164942e-05,0.00010503331451762118
60,2.831841353015199e-10,1.0844341494190978e-05,4.0215893110768196e-05,6.525082578965648e-05,8.472783122456459e-05,0.000100939362765581,0.00011587560941913981,0.0001315298706885612,0.0001514806082501298
61,5.406776304817953e-10,1.656344024921776e-05,5.926394124034472e-05,9.481720432457166e-05,0.000122165264841061,0.00014476907732275876,0.00016548589123381932,0.00018709824523227905,0.0002145068443162
62,1.0094779334550265e-09,2.4829269437866416e-05,8.576342365993785e-05,0.0001353336619093655,0.00017303803575121138,0.0002039860201802704,0.00023220358890243056,0.00026150602581379717,0.00029848564541464645
63,1.8445727930857201e-09,3.6558241201282374e-05,0.00012197373192848401,0.00018987716707318317,0.00024095530979989163,0.000282593421076921,0.0003203632010281149,0.000359406706197489,0.0004084404330462893
64,3.3021519312182058e-09,5.291001105127424e-05,0.00017060770925126853,0.0002620597792523001,0.000330098335354391,0.0003851859138939706,0.00043490139686568063,0.00048606127258949555,0.0005500015232660915
65,5.795237445779192e-09,7.532296729211279e-05,0.00023485380188769528,0.00035602811427736664,0.0004452009111626659,0.000516914033348026,0.0005813068543192301,0.0006472728509687026,0.0007293217675445607
66,9.979209079450132e-09,0.00010554642709847441,0.0003183799267237816,0.0004764357093480637,0.0005914974604993156,0.0006834126745243474,0.0007655312246786228,0.0008492799355528519,0.0009529481297815279
67,1.687233705242734e-08,0.000145666804434591,0.00042531489574150483,0.0006283844879769601,0.0007746355790583942,0.0008906910606114316,0.000993859447673967,0.001098607245297173,0.001227649304002404
68,2.80288591599454e-08,0.00019812477882472437,0.0005602039177855789,0.0008173330101092502,0.001000551868406141,0.0011449840761970642,0.0012727402654184872,0.0014018760358287807,0.001560202539732658
69,4.577972935481035e-08,0.0002657205025891757,0.0007279358985208539,0.001048970956606804,0.0012753120037269083,0.0014525671781021043,0.0016085803068374704,0.0017655785007272828,0.001957145743525235
