S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,2.191212600834082e-24,7.685965387877685e-24,-3.794364291520368e-24,1.4258280569328184e-24,-6.773955970379455e-24,2.967075338110681e-24,-1.267576918978844e-24,7.798220308987248e-24,-1.799003862632281e-23
2,-1.1873240992641279e-22,-6.588064424268113e-22,1.9330573933069158e-21,2.4749373129275256e-21,-1.6819795047471868e-22,-2.051131941071716e-22,1.347995740708333e-21,-2.396449310001971e-22,5.1612865914177124e-23
3,7.448350120215326e-22,-7.860421011052111e-21,-1.2820612051190401e-20,6.988178043002341e-22,-3.576325162657365e-21,1.5134410295110559e-21,-1.97819312759271e-20,3.88719851306847e-21,-5.6963866276540254e-21
4,-4.592716835128496e-21,-1.239698602115875e-21,-1.1309952250793477e-20,-6.558041289403758e-20,-6.646432048413793e-20,5.374879540418696e-21,5.2268092117641504e-20,5.109877657063894e-20,6.865612015123137e-20
5,1.7603311031814603e-20,-1.2865063020345857e-19,-3.0858343431958664e-19,4.477161954558348e-19,-2.502374515206621e-20,-5.376630842196685e-19,-4.17902935294295e-20,-8.859110013676164e-19,-7.039822767932082e-19
6,-2.4432581301080544e-20,-1.2345642752388916e-18,-1.0984596765903404e-18,-3.0095640033293474e-19,-2.899458514789174e-19,1.1098218131782335e-18,-1.3308190871729213e-18,-1.6044890623713227e-19,-7.397963730389689e-19
7,-5.40025824215324e-19,5.910057945776812e-19,-5.689703336360965e-20,2.177352691368265e-19,3.846357197332039e-18,2.2173075921113123e-18,-1.091129570261368e-18,6.7168844832942455e-18,4.900020588647813e-18
8,-3.002387445142868e-19,-1.6936157355871979e-19,-3.2550176718486755e-18,-1.6706614648380459e-18,6.291973816201119e-18,-5.886866568548682e-18,-3.796559268480234e-18,2.66936104536062e-18,-2.1705432178381388e-18
9,6.462197403233442e-19,-1.836602293792619e-18,2.2080912252548215e-18,4.1372398762729674e-19,9.80726813418155e-18,-5.498514183369792e-19,2.5717080935211287e-19,1.926729924718187e-17,5.2069424866211945e-18
10,-1.698684630374796e-18,-2.064889211171015e-17,-1.4994350053831675e-17,-4.625011151715237e-18,-1.893139852336992e-17,1.785296186746099e-17,3.618823103171719e-18,-7.637471983659213e-18,1.6585577028426797e-18
11,-4.027346057620386e-18,3.374404891093104e-17,7.363427716276255e-18,-1.9446864207428165e-17,-1.6077593175963887e-17,-3.628328645706084e-17,-1.9851733830869192e-17,-6.621557031230388e-18,1.5891236791501955e-17
