S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.2558051904852374e-27,-3.9424619946631184e-28,4.609443966339296e-28,-3.738716954428688e-27,-3.050116073397075e-27,-1.5273079247313125e-26,-1.313397790195044e-26,-5.753630217973588e-27,-1.989467903873434e-26
2,7.72468722143274e-26,7.561186557576306e-25,-3.26934797878755e-25,2.4258024181478048e-25,-2.8574786088866817e-25,-1.2641503606263289e-24,-2.947256791792447e-25,-2.2305903719549782e-24,-2.39513156078733e-24
3,-7.442539259396988e-25,3.122896923945696e-25,-7.29741869630381e-24,-2.873214747538274e-23,7.160528329436414e-24,1.437946129380823e-23,-1.4888813347707607e-23,-3.1468070843902376e-23,-1.2080816404757584e-23
4,-5.183750847088819e-24,-4.828670921183847e-23,-2.659921416324783e-22,-2.0943187205698537e-22,-1.973423949131447e-22,-2.3996350197843784e-22,-1.394689301833649e-22,-3.5100214701402775e-22,-6.284814096027568e-23
5,-1.0393270148021548e-22,5.448774153079962e-23,-1.0050327370790833e-21,-7.75741396440877e-22,-7.713187360684591e-22,-5.230118360306584e-22,-6.757707827168993e-22,-1.034678509024508e-21,-2.6613733984187026e-22
6,-4.473961372092154e-22,-3.225281958559777e-22,-2.754815213553047e-21,-4.2195011633149424e-22,-1.05140181467423e-21,-1.1182156560863372e-21,1.604029274408257e-21,-1.6923564204743712e-21,2.1793789940883857e-21
7,-8.51602323208697e-22,-1.742694641769007e-21,-1.0321816535638851e-20,-2.4858523556921215e-21,4.022743165444436e-21,-4.6255912192268295e-21,6.818844517510794e-21,1.1484292744284441e-22,2.311055269758276e-21
8,-1.3233475701420626e-21,-5.434468440451486e-21,-1.7338800945962583e-20,-2.610897756823795e-21,7.493537022193922e-21,-1.0819736602695279e-20,2.1023772718675997e-20,1.0858898805379593e-20,-9.102895426384917e-21
9,-1.965729860997442e-21,-6.38114249339346e-21,-1.2801626762216294e-20,3.9049730948126405e-20,3.233034949247873e-20,5.5226290364747425e-21,4.247631383649013e-20,2.76669591853324e-20,4.2783902584912094e-20
10,-7.893094650778497e-21,-2.751225290919621e-20,-4.682966851645446e-20,6.829728174146056e-20,3.033019873845747e-20,2.3543328152661326e-20,9.220253213257167e-20,1.2704048171597775e-19,1.0449797072288399e-19
11,1.2818920625597863e-21,3.025452259776005e-20,2.852180141420461e-20,1.1016383379733606e-19,6.440406145842436e-20,1.0629719524705957e-20,1.9955170251090635e-19,1.8190126952629266e-19,9.146725624437918e-20
12,-7.922238289670297e-22,-9.387161806125887e-21,1.3580569303273768e-19,1.711153427620426e-19,2.239672799438271e-19,7.693443897645021e-20,1.660023944454381e-19,3.199482026392407e-19,1.3652715891761665e-19
13,-5.563383179365009e-21,5.779352323411673e-20,1.461932239540216e-20,1.6999094370992622e-19,3.47557340686764e-20,-1.850531750291702e-19,1.6427569453611373e-19,3.2095787760914134e-19,-3.1852952842705014e-19
14,-1.2238460749080872e-20,4.4423198608840915e-20,4.562800163426787e-22,-1.7601456039746535e-19,1.520213058686267e-19,2.998879805613263e-19,-6.410893835184476e-19,-1.4515668280287143e-19,-1.0921197408674905e-18
15,2.4093899734635724e-20,-2.8687929086292205e-19,-6.880462769109752e-19,-1.1463381723369804e-18,-1.1785936969497994e-18,8.283839320996673e-19,-2.0666226830732734e-18,-4.260680201522793e-19,-1.3323313796481664e-18
16,7.461737059520513e-20,-1.2076201889455324e-18,-1.2800832866626813e-19,-3.2391197267981093e-18,-1.2041239575417868e-18,7.875332901555696e-19,-3.4622210740586563e-18,-1.3371886405277968e-18,-2.3824757885039003e-18
17,1.8421070306766003e-19,-1.412407636802474e-18,5.695800174928939e-19,-3.353221799023914e-18,-1.7318241680229177e-18,1.960926842702886e-20,-4.622730029819259e-18,-2.3342337967032657e-18,-2.971412826719657e-18
18,1.6606864519004573e-19,-1.859467983410675e-18,2.3428867950854486e-19,-6.948324462109496e-18,-4.1911639023469774e-18,1.4813673966018918e-18,-5.165847397956489e-18,-2.9787555178175225e-18,-5.571903610893855e-18
