S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,-1.1599494162792765e-21,-6.0612344425928434e-21,-1.5415671195612436e-20,6.742330974061352e-21,2.2808445522613442e-20,-2.6276458707829636e-22,4.002295361099273e-22,-3.9504609313735094e-21,-9.746177614747389e-21
2,-1.7523416173914244e-21,3.769794206322307e-19,5.959080567789303e-19,9.563460682145399e-20,1.1699075052033355e-19,-1.1950580919145933e-18,8.79349433433917e-20,2.2139571451576575e-20,-4.375522108886607e-19
3,-1.4047630783827632e-19,-1.4424393727519045e-18,-2.2397111538744953e-18,1.2315230786226273e-17,-4.002250880741535e-18,-7.308556615260039e-18,6.4937266811142106e-18,-1.1276569650516216e-17,-1.6873140134994524e-17
4,-3.0677005174886183e-18,3.031480811927054e-17,5.974887300956807e-17,4.064763775446765e-17,8.50943698326084e-17,4.628869025694797e-17,2.0749646297863082e-17,3.127355687937284e-17,3.824259512467969e-17
5,1.4404809159449824e-16,5.78859530076452e-17,3.324499481118525e-16,-2.2391734783632723e-16,-7.088779968698944e-16,-7.919266674814998e-17,2.9495262776186367e-16,6.794076715410896e-17,-9.54475651489484e-18
6,-5.526219242473223e-16,2.4822451638609674e-16,-9.129780504141084e-16,1.2458705378134696e-17,-4.631236279172563e-16,-7.6921356247291375e-16,-4.730203978012339e-17,-6.714829763616713e-16,-2.7602259847137203e-16
7,1.3889263922560293e-15,9.46588047260833e-16,-1.4849961728052223e-15,-1.9271943040305685e-15,-7.936168292646807e-16,-2.4957282845565856e-15,1.2547095095980646e-15,6.538495702023842e-16,-1.9327123230200153e-15
8,1.7610288955398787e-16,-5.4176650204957695e-15,-2.6521785748529795e-15,-1.1183195449943013e-14,1.0691734193906712e-14,-1.1210660203510463e-15,4.841346699649587e-15,-9.05749791987416e-16,-1.2808594983912214e-14
9,-4.1185743333042374e-16,3.5102321086296838e-15,5.452415868120363e-15,1.160360352067975e-15,5.72378619763271e-15,-4.9666413161229714e-15,1.2251610024974104e-14,7.578166637602954e-15,4.160676802718265e-15
10,2.428274108741525e-15,-1.3651854368363426e-15,-4.5163094734339915e-15,-2.621254100381128e-14,-1.158215488616391e-14,3.1903142054772715e-15,2.6264042121314824e-14,-1.6146032031100334e-14,1.2444065478102671e-14
11,-6.307384748283866e-15,-2.245311809369262e-14,-6.646000873039971e-14,-3.122156994194244e-14,-4.239505679973957e-15,5.674620288691957e-15,6.584136951094026e-14,-2.4236827159945313e-14,-5.501101597184674e-14
12,8.115264947666474e-15,2.4151789385057904e-14,1.422120844490459e-14,9.32109004522709e-14,3.0486582988554904e-14,-3.4463660233516355e-14,7.568069703885301e-14,2.8643963883316533e-14,1.1809680196454382e-13
13,2.048172812720916e-14,6.824101724788336e-15,9.64265557980971e-14,-7.791270069636155e-14,-7.71567422626539e-14,-4.942510561162406e-14,1.757810739053383e-14,4.1909593391828347e-14,1.9556359706270728e-14
14,4.72885837105394e-16,8.153817204664431e-14,-4.859525340131026e-14,6.147429116111456e-14,1.7961947342860144e-13,-4.0741288097713645e-13,-7.375511757977447e-13,7.294828711580605e-13,2.9994565448402666e-13
15,-5.726160598654327e-14,1.3567773047085517e-13,1.365004571764249e-14,1.356565190197408e-13,2.537029211912058e-13,-1.5725751267639324e-13,2.534001830197145e-14,8.803941301578775e-14,2.2481489705826277e-13
16,2.3812715202447743e-13,-2.3340260397397956e-13,-5.281147779224446e-13,-3.61193761711893e-14,-2.024206489884292e-13,-4.2720840880312345e-13,3.750268830538101e-13,-1.4523460669154492e-13,2.23836653717169e-13
17,-2.40469256095675e-13,-1.9556149960244607e-14,7.368534691656431e-15,-7.435964107750296e-13,-2.7013915114203766e-13,9.080279513624207e-13,-6.775531393944543e-13,-3.045189547781511e-13,6.248174230662498e-13
18,-3.6880106846942226e-13,1.1562292132961172e-13,-1.2390923720362849e-12,1.5502800949187807e-13,-1.1397359150055592e-12,8.672651247720809e-13,-1.136437328078204e-13,-4.824869041383549e-13,7.413634180747378e-13
19,-1.94988868590655e-13,-3.9794017191198025e-13,1.8223220127535761e-13,-8.325979672184504e-14,1.591239113260119e-12,-9.05549531283263e-13,1.4205396047524894e-12,-6.192314516371005e-13,-1.1791595363944171e-12
20,-5.391537679268818e-13,2.307356441467605e-13,5.276180848387625e-14,2.3880282658400065e-14,-5.424464218761495e-13,-1.5415727607350812e-12,1.6219836512197029e-12,1.3437724862632449e-12,-1.8031475749671733e-12
21,1.4947006626598425e-13,-4.945164113558754e-13,1.6999746039880388e-12,2.8522612277658766e-13,5.654446160066378e-13,2.3239211946848633e-12,8.304623707537884e-13,2.5978109001644344e-12,4.550804128354192e-12
22,-6.921877688881706e-13,5.336597343330522e-13,-6.035370944687927e-13,-7.144738203188053e-13,3.5456593815571477e-12,-2.3822277567618093e-12,3.0028230289905104e-12,1.1006358012223062e-12,-4.907777638556765e-12
23,1.1175241017704692e-12,-1.622860333506141e-12,-1.1633209197296834e-12,8.490969212741219e-13,3.699220046557973e-12,-2.5585597815739442e-12,-2.953128997990218e-12,-4.576499328747328e-13,-2.121104974584303e-13
24,-1.3038683986840125e-12,-1.2535829050804145e-12,-9.372239706979951e-12,3.8113387789932987e-13,-7.790226519400755e-13,-1.8717449339911385e-12,-3.3145688306143937e-12,-1.4044121467301911e-11,8.371156230062026e-14
