S,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,2.5682875629527497e-27,3.849830453574719e-27,2.8773262900626645e-27,5.776446655022352e-28,2.08332336924627e-27,4.033898575500487e-27,-1.275993865532913e-26,2.977243984755545e-27,-5.362555727646635e-27
2,5.1724524933872175e-25,-7.1067072551850015e-25,-1.1634545230973818e-25,-6.444597646173139e-25,-2.927663091577962e-24,-5.697992024172831e-25,-1.0733782273939175e-24,-1.6210706005410308e-24,-4.230166575092856e-25
3,5.024318481651851e-25,-3.5662933122618506e-24,-3.208093868985405e-24,-2.0445097318460894e-23,-7.748846241071643e-24,4.31272712959252e-24,5.4801887397107595e-24,-2.2243598920885557e-23,-9.764262659583845e-24
4,-3.530874098102755e-23,-1.5239981336903038e-23,1.854893290579475e-23,-3.3127651101326747e-22,-2.161105522038773e-22,-1.6604528129386039e-22,-5.400430820461949e-22,-3.986687281526205e-22,-3.8281234203489025e-22
5,-2.182628526781929e-22,-3.2555286776445254e-22,3.257419755440138e-22,-6.606543408633205e-22,-6.381937861468631e-22,-1.4269796692387816e-22,-2.1993699429994398e-21,-1.4478942312261732e-21,-4.8152372718912765e-22
6,-6.284365249060421e-22,-1.7273693395853516e-22,4.329881571764286e-21,1.1293924278865399e-21,-1.9805785268789076e-21,-4.159209038695254e-21,-2.9207310347056987e-21,4.416269267550953e-22,-2.470027252689232e-21
7,1.6836706372257076e-21,-4.0679121238984757e-22,1.193414474543235e-20,2.49980869653756e-21,-8.88222216498118e-22,-4.968736337277576e-21,-1.117462761180405e-20,1.3842326868866378e-21,-8.592114647889595e-21
8,1.1632291616931522e-21,4.869493176287653e-21,2.3943237909546364e-20,1.955304543152466e-21,3.965705557266659e-21,1.1850657297220126e-20,-1.741856010849531e-20,-5.3043645277036195e-21,-4.4121330526735496e-21
9,7.496414608052634e-21,2.814379639396422e-20,2.959180998985936e-20,1.0339262677001118e-20,2.4632955540660937e-20,-5.577096927890278e-21,1.573804412518119e-20,5.5637043364130675e-21,3.4699546012133694e-21
10,2.8021023389447266e-20,5.0247137453894964e-20,6.79049900272424e-20,8.47236182368109e-20,5.0445733175768853e-20,8.348352040178051e-20,3.095161210483674e-20,2.1294189074155466e-20,6.873472006948819e-20
11,2.182842068677888e-20,2.896458465730908e-20,1.620839224660357e-19,3.504191301754541e-20,4.125304923801165e-20,1.9639235466247675e-19,3.920695431436948e-20,1.5766342748936378e-19,1.5177730164236553e-19
12,7.241157017524193e-20,3.8525817570559454e-20,2.180257488955012e-19,-1.4873931215657696e-20,4.267863508333198e-20,1.6722275442221377e-19,1.2429968402363202e-19,3.8617110005375463e-19,2.7906550689414315e-20
13,1.0090606465554038e-19,-1.5189033084437171e-19,4.976559453055507e-19,6.369095955171081e-20,3.5662099550779874e-19,3.3025147160090714e-19,1.0704552252107654e-19,5.432472708500097e-19,-5.682866575255818e-20
14,2.8709332395348895e-19,-1.0417053585051211e-19,1.093373378101075e-19,1.7672654222330235e-19,1.4875580722465672e-20,-5.818584955251418e-19,-1.297853550815471e-19,-5.220917127097631e-19,-1.4497725305513525e-18
15,3.9930773238034466e-19,-1.4142761937516495e-18,-1.7314244432239788e-18,-1.2910748543889835e-18,-6.434709003924882e-19,-5.057126976805971e-19,-1.1588945424887229e-18,-5.191390677459384e-19,-1.8594316901633436e-18
16,3.3167344140696956e-19,-2.4626351199665905e-18,-1.282486109254545e-18,-2.0334660080577254e-18,-1.364409453933861e-18,-5.697898276309331e-19,-1.4031661805906853e-18,-1.4325262030392572e-19,-3.0034729905598205e-18
17,1.919234776517238e-19,-2.2468269235481275e-18,-2.271937308694374e-18,-2.465729670635952e-18,-2.091164564424584e-18,-2.078149996957311e-18,-1.9336962521848757e-18,-1.1882473394630825e-18,-3.732721457968201e-18
18,-9.716759473665502e-20,-4.519684032543333e-18,-1.7586705048271896e-18,-3.0853931501603906e-18,-3.924978853264711e-18,-4.5449780185663e-18,-4.679992816585231e-18,-2.200108964126415e-19,-7.71138238022567e-18
19,-1.6949188736320237e-19,-6.253237861175219e-18,-3.507463307166011e-18,-4.842984351861777e-18,-5.0095965222828516e-18,-5.9757099711201545e-18,-6.925072916019776e-18,-1.573323862515458e-18,-7.418912485193394e-18
20,2.2383820697932987e-19,-9.704454462864123e-18,-7.880291030378942e-18,-5.6421032997884566e-18,-7.411393675172456e-18,-6.906800228198412e-18,-9.237793707231159e-18,-5.957685841874195e-18,-1.0278759632760452e-17
21,-8.57607830227823e-19,-1.1272389615809095e-17,-9.094058703921568e-18,-5.5555112319969536e-18,-7.834920477062649e-18,-1.0294663146858376e-17,-1.0999943140811947e-17,-9.125032958571116e-18,-1.4621920743447533e-17
22,-9.95625417174928e-19,-1.3404479076299028e-17,-3.376005787390567e-20,-5.731763199856731e-18,-1.1518967269903116e-17,-1.2719422694229285e-17,-1.494852917670952e-17,5.316923260857579e-19,-1.914829911318303e-17
23,-3.473672543329147e-18,-1.437042443997295e-17,-4.681678549335808e-18,-8.272457067786371e-18,-1.3824345160654761e-17,-2.2702686406868034e-17,-2.555136533200628e-17,-4.84263176946127e-18,-2.6726729954251212e-17
24,-1.85494905394972e-18,-3.592978093640776e-17,1.8574508974317654e-18,-3.9315836726193424e-18,-1.1946789767282e-17,-2.0323563707582147e-17,-3.196838206592809e-17,5.55528694219242e-19,-3.680029095902666e-17
25,-2.2372673135830874e-18,-4.18337440713079e-17,1.0119179665361463e-17,-1.1598683755224877e-17,-1.88801439137533e-17,-2.972385753304202e-17,-3.7070684968209717e-17,-6.040320333288303e-18,-4.955993463240708e-17
26,-6.081605991063516e-18,-3.078867402724003e-17,-5.837008032571942e-18,-3.3658900422468284e-17,-3.826893139739621e-17,-2.7485847060620105e-17,-7.815802330150807e-17,-2.498161676105656e-17,-8.824313236874211e-17
27,-9.085791624365493e-19,-3.5480377054151093e-17,-4.112970414140321e-17,-6.057968404167524e-17,-1.1178253955859167e-16,-1.4278826649341897e-16,-1.9942504441992025e-16,-1.8846404060891007e-16,-2.9222173624532494e-16
28,5.946257150867486e-19,-8.607904399186994e-17,-1.9002667835603592e-16,-4.072515319696858e-16,-6.278514773732055e-16,-8.461896905990082e-16,-1.0704456679913726e-15,-1.3044033272857699e-15,-1.736175052690015e-15
29,-7.814312123397524e-18,-3.2690434463908036e-16,-1.3339035660818208e-15,-2.7246205383151544e-15,-4.154599497384391e-15,-5.6231550816664e-15,-7.112103086234389e-15,-8.9802521622089e-15,-1.1856479579412803e-14
30,-5.215584812589764e-18,-1.8000175854615034e-15,-8.830240458937197e-15,-1.7593986253054508e-14,-2.6438682198912403e-14,-3.528224308415946e-14,-4.488389438141039e-14,-5.6346671251763236e-14,-7.34843677901149e-14
31,-3.1630557245265856e-17,-1.0734903530319726e-14,-5.208439058819008e-14,-1.0224011275510063e-13,-1.5197298978032073e-13,-2.016279683226939e-13,-2.546744003190573e-13,-3.1831426599884355e-13,-4.1225448615789713e-13
32,-5.8004653250059415e-18,-5.947154396518826e-14,-2.790234441800072e-13,-5.386738826173636e-13,-7.928322072961819e-13,-1.0442514558094715e-12,-1.3115239496646315e-12,-1.6303385621191553e-12,-2.0971482123560863e-12
33,-1.0510680153659113e-16,-3.0126056270269887e-13,-1.3617909324143782e-12,-2.5874077450737377e-12,-3.772490340042243e-12,-4.935428978001392e-12,-6.163491900965624e-12,-7.62042599587258e-12,-9.74091558478735e-12
34,-4.839471683382318e-16,-1.397975207737648e-12,-6.098516259924462e-12,-1.1408082225428053e-11,-1.6481841290272447e-11,-2.1422036684080445e-11,-2.660632273670045e-11,-3.272411452333396e-11,-4.15736814342023e-11
35,-2.5026843747783627e-15,-5.981805101089705e-12,-2.5204908156640178e-11,-4.644788126928746e-11,-6.65121522500119e-11,-8.59000555814126e-11,-1.0612530796472846e-10,-1.2986578806131084e-10,-1.640090897927561e-10
36,-1.1586426298599173e-14,-2.3727972237196087e-11,-9.667497229062674e-11,-1.7558206862903907e-10,-2.4927240956181125e-10,-3.19952739116672e-10,-3.9326381726196616e-10,-4.788712004520028e-10,-6.012979511152466e-10
37,-5.057032245423872e-14,-8.769605547240923e-11,-3.458338505672856e-10,-6.193059976015534e-10,-8.719049048034813e-10,-1.1124481143255165e-09,-1.3605550294091375e-09,-1.6488185242701172e-09,-2.0588070611603057e-09
38,-2.0513010037194026e-13,-3.033767313038597e-10,-1.1590831546209153e-09,-2.047395215317604e-09,-2.859173363498747e-09,-3.6268133061043522e-09,-4.414304721364317e-09,-5.324770898848886e-09,-6.612797423902434e-09
39,-7.785810977991843e-13,-9.864703185313588e-10,-3.6547074401591155e-09,-6.370274519812973e-09,-8.826164574282642e-09,-1.1132750984711338e-08,-1.3486515554023073e-08,-1.6194862003490113e-08,-2.00064256145643e-08
40,-2.7764814924646297e-12,-3.026548750621404e-09,-1.0882437297622213e-08,-1.8724551293059278e-08,-2.5745169079196086e-08,-3.2295372660518944e-08,-3.89452451320428e-08,-4.656130738726064e-08,-5.722537259729947e-08
41,-9.335806874221259e-12,-8.792201928108183e-09,-3.0707411370882866e-08,-5.217497268884185e-08,-7.120462531891369e-08,-8.884481753616866e-08,-1.0666385276400225e-07,-1.269793559320243e-07,-1.5528453745592133e-07
42,-2.969854485326439e-11,-2.4262465462456277e-08,-8.237384291843739e-08,-1.382577878078691e-07,-1.8732013794249788e-07,-2.3251456225494994e-07,-2.7794454192622986e-07,-3.295101304710646e-07,-4.0100822039076596e-07
43,-8.966211847676205e-11,-6.378950937078905e-08,-2.1068823831146413e-07,-3.4943240423209413e-07,-4.701003353917268e-07,-5.805744155459458e-07,-6.910959574666194e-07,-8.160021534374155e-07,-9.883723049448136e-07
44,-2.576463306391059e-10,-1.6022504420426114e-07,-5.15196476886665e-07,-8.446058982843584e-07,-1.1284811288392337e-06,-1.386822025596798e-06,-1.6440737630860243e-06,-1.933580342022382e-06,-2.3312526547464317e-06
45,-7.065431835174597e-10,-3.854585719997388e-07,-1.2074650036364367e-06,-1.957242585909141e-06,-2.5976154370273646e-06,-3.176988337270573e-06,-3.7513025990930764e-06,-4.394959304875942e-06,-5.275101983246866e-06
46,-1.8536245181962883e-09,-8.902433995116795e-07,-2.718641139541259e-06,-4.35849563953881e-06,-5.746867448190486e-06,-6.995833609763796e-06,-8.228410595532693e-06,-9.6042349573941e-06,-1.1477221386756838e-05
47,-4.662982213356895e-09,-1.9781851298063713e-06,-5.893022978543247e-06,-9.346711191319547e-06,-1.2245865354537133e-05,-1.4839408952887172e-05,-1.7387839202090745e-05,-2.0221213073038768e-05,-2.406171016422178e-05
48,-1.1271529174618577e-08,-4.2376795605722864e-06,-1.2322530269834768e-05,-1.934077172348391e-05,-2.5183138370462314e-05,-3.0381231173905643e-05,-3.5467287830681325e-05,-4.1100172452393284e-05,-4.870279780836568e-05
49,-2.6231991893822346e-08,-8.768124681608003e-06,-2.4902504730515503e-05,-3.8688657875151693e-05,-5.007168230991493e-05,-6.0145625971490484e-05,-6.996164079176832e-05,-8.079188416263078e-05,-9.534834108985056e-05
50,-5.8884473936868046e-08,-1.755339061346674e-05,-4.8721202194070084e-05,-7.494375035409753e-05,-9.642317371824719e-05,-0.0001153336696989111,-0.00013368536526129767,-0.00015385815441545052,-0.00018086053656778136
51,-1.2771079633064836e-07,-3.4056336757598756e-05,-9.243246937385563e-05,-0.00014080746589918952,-0.0001801242928934566,-0.00021456303954175054,-0.0002478516660064689,-0.0002843106381916499,-0.0003329168332071837
52,-2.6803814588788694e-07,-6.413237145829578e-05,-0.00017030054813126354,-0.00025698329435461015,-0.0003268989317979782,-0.0003878358260346274,-0.00044650912204478274,-0.000510541348605261,-0.0005955704983590933
53,-5.45186658600407e-07,-0.00011738584377216337,-0.00030514284152184586,-0.00045622716416583817,-0.0005771803919418319,-0.0006820881612095758,-0.0007827151792633145,-0.0008921490786002995,-0.001036903790809419
54,-1.076135180110092e-06,-0.00020911733679841596,-0.0005324238647715683,-0.0007889029485606864,-0.0009927369987358973,-0.0011686900640663445,-0.001336835303466897,-0.001519069318898118,-0.0017592013762186922
55,-2.064019139056186e-06,-0.0003630282337516578,-0.0009057627972389234,-0.001330348776486453,-0.0016653803106712075,-0.0019532395413805657,-0.0022273222415688403,-0.002523369782531294,-0.002912011141868851
56,-3.851232169492154e-06,-0.0006148555874363066,-0.0015040983747006402,-0.002190318092411426,-0.0027280247216281673,-0.0031879184940902987,-0.0036242380239448215,-0.004093965317630096,-0.004708329676488413
57,-6.998458021912736e-06,-0.0010170989207474149,-0.002440698884741279,-0.0035246688154056145,-0.004368250233655185,-0.0050865389151513295,-0.005765621829104876,-0.0064943249455414525,-0.007443941215493379
58,-1.239838173138535e-05,-0.00164496468570797,-0.003874104146115667,-0.0055493274536367815,-0.006844340378061038,-0.0079422010479518,-0.008976575490860016,-0.010082987112229276,-0.01151965070818215
59,-2.1433753554420353e-05,-0.0026035882547018265,-0.00602093653389049,-0.008556350953366937,-0.010503525148747875,-0.012147213025349886,-0.013690639603884478,-0.015336373464878409,-0.01746579317921108
60,-3.618938768444047e-05,-0.004036494170552883,-0.00917032054584771,-0.012931652809128771,-0.01580186317286052,-0.01821459570528878,-0.020472681273297082,-0.022873013860539356,-0.025967993769287767
61,-5.972590011485365e-05,-0.006135122846445976,-0.013699412746400973,-0.019173665080515823,-0.023324866119176065,-0.026800138493161114,-0.030042134368599527,-0.03347789408604773,-0.03789272819817065
62,-9.641872973789218e-05,-0.009149090055830917,-0.02008928083911796,-0.027911896187276918,-0.0338076282413093,-0.03872361251761886,-0.0432950587755654,-0.04812525050574792,-0.05431083370653015
63,-0.00015235837825930027,-0.013396663158013395,-0.028940103426204847,-0.03992404448414424,-0.04815290872315089,-0.05498742410728679,-0.06132315729989943,-0.06799780638314255,-0.07651679323673576
64,-0.00023579600229565163,-0.01927474851467128,-0.04098441731540172,-0.05615007318735871,-0.06744536193947782,-0.07679074494540483,-0.08542765087503933,-0.09450021851687168,-0.10604140868775498
