Time,a,b,rho,m,sig
0.0466,-15.680214910391015,5.6088179606228925,-1.167383685455936,-10.587715256332684,-9.218615147179353
0.128,-20.57800858641349,5.13901493125643,-1.081172213172394,-11.72099567281331,-10.527416002904024
0.2094,-10.204790805500396,2.6930385022823997,-1.3415983962351605,-11.40086608378103,-13.009263227107004
0.2908,-9.326797788201354,0.8773578109163506,-2.071745475284342,-0.9836005708084468,-7.420212975967876
0.3721,-8.55005683858226,0.9827060912911155,-1.8115285295280084,-2.0573889814576596,-7.958118232743868
0.4535,-10.981281723868504,3.184211148651158,-1.1929364369298165,-12.350313868529845,-11.60484557759924
0.5349,-11.960397446362562,3.2036825826764286,-1.1851885891353255,-11.664277132754687,-11.383858462685337
0.6163,-8.346173346843672,0.8608510799859487,-2.005619740102889,-2.5853299616898218,-9.937079757973882
0.6977,-8.435307517467761,0.8203645643436793,-2.024557973839157,-2.5018442596658823,-10.362260170425342
0.7791,-12.280820174369348,3.1363880608966976,-1.1585649656876882,-11.807186695639928,-11.39735982592448
0.8605,-10.818114524706534,2.6529429113835503,-1.2341001176717974,-11.683503186669933,-12.400115237296436
0.9419,-9.063286558376891,0.6678785357981271,-1.9812964218374443,0.7167001813411653,-6.522236604189411
1.0233,-12.168449467450072,2.9927805873784386,-1.166693525631019,-11.683075969002818,-11.599846183290772
1.1047,-36.573600288707816,10.727051498387972,-0.8453921361068918,-8.156395754765587,-5.930907076466403
1.1861,-9.013088011958802,0.6393579342154471,-2.0192268108365257,0.9777248010947454,-6.253325603154901
1.2675,-7.872015498142896,0.8452542628433157,-1.7796489751873363,-2.40416752452309,-9.202209166002476
1.3489,-8.87644022841134,0.6689207553289475,-1.9337175996104705,0.7266666309014577,-6.325234356013722
1.4303,-8.87141383261212,0.6751419362724354,-1.8670509865284586,0.807874830297036,-6.212022929673896
1.5116,-8.88961425787218,0.651530073671135,-1.9370497842656316,0.8968279519607567,-6.280198255167744
1.593,-8.95743027780356,0.6429897501604857,-1.9505378042033565,0.992915245918562,-6.288685159650184
1.6744,-8.957902755467307,0.6387430424451523,-1.9544822668418014,1.0273337918681542,-6.2836217709104165
1.7558,-8.880578387179028,0.6499618964522665,-1.9221737798570016,0.9017325047182891,-6.343716214044559
1.8372,-8.852268694734525,0.6454153695276367,-1.9168538570534814,0.9799121472363853,-6.210362120285702
1.9186,-8.855403804725592,0.6921697037666019,-1.7773790724615435,0.7585363268252372,-6.275823077954966
2.0,-8.88707365095908,0.6823701733412895,-1.793724650759091,0.8398138238898044,-6.2689604100272165
